<title>溪上獨坐</title>,<text>聽水心無滯。看山意不移。箇中多悟會。默默坐如癡。</text>
<title>敬次海州栗谷先生聽溪堂原韻 二首</title>,<text>九曲夷溪一講堂。闢來荒穢掃炎凉。遙知混混源頭水。流與先生道味長。嗟吾晩學未升堂。月照空潭一鑑凉。金石笙簧猶有響。西風吹送海山長。友人安吾山正模拜先生俎豆之所。仍留三庚于是堂。轉而訪余于黃岡。誦傳原韻。顧以平日山仰之忱。自有同得於秉彜者。遂不揆僭踰。玆敢敬次。裭揭于楣末。○庚午仲秋。</text>
<title>李大將升權輓 五首</title>,<text>忠武神勳奠海東。雲孫趾美有如公。登壇非藉山西蔭。自是英名一代崇。一片氷心答聖朝。照天蠟燭幾騰謠。盛說三江分竹日。山民出市賣茸貂。平生身不到朱門。八耋興居一榻存。試看丹旌多少字。時人役役謾相奔。西河荐哭永懷寬。胡使仁人處此難。傷情最是薤歌路。嬴博新墳尙未乾。靑門曉色雨迷離。依舊悠揚大將旗。巷哭軍民懷叔子。廣陵何處淚遺碑。</text>
<title>次友人聞崔參判益鉉抗䟽。喜而寄示韻。</title>,<text>近日寥寥噤直聲。每歎時事轉相傾。同門幸有朝陽鳳。不負先生去後名。</text>
<title>拜關帝廟</title>,<text>古廟松杉肅氣冥。龍刀虎帳儼儀形。風雲畫壁開三國。草木空山護百靈。貫日精忠垂蜀史。撐天大義仗麟經。千秋眷我侔中夏。神甲當時渡左溟。</text>
<title>南浦卽事</title>,<text>日暖滄洲起棹歌。南江三月綠生波。杜鵑春恨斜陽遠。楊柳風流霽色多。人與禽魚同自得。客將花卉問相過。峩洋一曲歸來晩。別有山樽釀太和。</text>
<title>共諸友遊桃花洞</title>,<text>名源亦被造翁猜。每遣桃花向水開。溪有俗情多急瀨。石無人力自崇臺。緩不及時春已去。深猶知處客重來。回頭欲問漁郞跡。一抹斜陽兩岸苔。</text>
<title>題蘗山精舍 時有抄選之命而姑不及。故末句云云。</title>,<text>華山泉石好家居。春滿先生講道裾。草木皆含絃誦響。兒童能說性情書。嫡傳鹿洞遺規社。高卧龍岡大夢廬。近日干旄何處在。賢良詔下一元初。</text>
<title>舟泊幸洲 有權都元帥勝戰碑。且新設享院。又有宋丞相寅明舊宅。兼有名亭。</title>,<text>漕粟由來百險經。此江於國作門庭。潮驅遠浦千帆白。野入平蕪數郡靑。勒石將軍新享院。乞骸丞相舊登亭。回頭岸上多陳跡。曠感徘徊晩棹停。</text>
<title>隣榻共賦</title>,<text>東風駘蕩帝功宣。萬彙無曾得氣偏。日暖鳥聲如夢裡。雨過花信到門前。春心自在盃中物。晩計終歸郭外田。十載塵纓吾未濯。滄浪一曲有誰傳。</text>
<title>舟行到二水頭 舟回二水口。則白雲峯先見。而其下卽余故鄕砥平地也。</title>,<text>漢江東泝此分頭。白鷺洲中碧嶂浮。殘烟市罷牛川晩。列樹村回馬峴幽。霜篷客宿魚龍夜。月帆人歸鴈秋。忽看雲峯天半出。故園顔色動孤舟。</text>
<title>南湖夜懷</title>,<text>南湖滯客已多時。病枕愁寒夢寐遅。夜久江聲如有訴。天晴月色正無疑。身同驥伏懷千里。跡似鷦棲借一枝。慷慨終難奇氣掩。狂歌不足更爲詩。</text>
<title>廣陵途中</title>,<text>驛柳靑靑遞轉蓬。九春強半屬途中。松根古壑經年雪。馬首平郊盡日風。踈雨田家寒食後。落花酒店廣陵東。滄江一曲沙鷗白。萬事歸來問海翁。</text>
<title>自得</title>,<text>身無疾病是神仙。物外風流及少年。霽色歡欣楊柳岸。春心浩蕩杏花天。雲生宇宙看山屐。月滿江湖載酒船。莫向塵間分喜慼。榮枯自有四時遷。</text>
<title>秋懷 二首</title>,<text>昭文流羽倐淸商。萬樹俱喧欲近霜。騷客有懷秋正好。病人無寐夜偏長。千巖赤葉衣巾醉。數畒黃花棟宇香。世事獨難留少壯。生憎簾外度斜陽。夜晴虛閣近凉天。星漢分明罷夕烟。老樹風聲人獨坐。空庭月色鶴孤眠。婢傳曉市新登糓。兒續秋燈舊讀篇。每恨貧如陶靖節。無錢悄立菊花邊。</text>
<title>偶吟</title>,<text>萬事惟聽造物爲。得之何喜失何悲。乾坤大矣無偏足。日月昭然未敢欺。但識虛心能實腹。那求吐氣復揚眉。吾身自有金丹術。不必尋山採玉芝。</text>
<title>敬次尹尙書梣溪大人閒居韻。仍呈。</title>,<text>古操山阿續桂叢。非朝非野隱墻東。日長故舊盃樽裡。春在從容笑語中。半世風霜知蠖屈。一心和氣見鴻濛。白頭不識塵間事。蓬海瑤琴也自工。</text>
<title>東湖滯夕 三首</title>,<text>十月東遊再出城。短筇知我不羈情。鷄喉曉信山村逈。鴈背秋光水國平。百里人烟江勢據。一年風雨野功成。回頭舊會南雲宅。悽愴山陽暮笛聲。白友聖擇時已捐世。萍鄕陳跡夢依依。兩岸烟林散夕暉。故國音書人北至。殊方日月鴈南飛。天寒薄雪飄還歇。野濶孤雲斷不歸。偶滯松明田舍夜。老農秋後話年饑。碧天秋籟動星河。木落前江也自波。深峽冷雲歸洞倦。短簷明月入樓多。山中病起黃花發。客裡詩成白鴈過。遙憶雪城長笛夜。幾人相和郢門歌。</text>
<title>寓興</title>,<text>溟禽十載理雲程。肯學蝣衣楚楚輕。人似馬卿曾出蜀。世無羊肹孰知明。踈簷月待雙桐價。陋巷風傳五柳名。春鳥秋虫皆自得。男兒豈作不平鳴。</text>
<title>山行</title>,<text>幽人別界兩相宜。一逕禽聲白日遅。春盡晩花窺密葉。境深佳木遂全枝。無心渡水山仍改。有意隨雲岸忽移。九曲源窮猶進步。仙靈知在上頭期。</text>
<title>楊峽路中 昨夜有客盛說靑鶴洞。回首望鄕。先見白雲峯。</title>,<text>雪壓空山冷逼容。行人呵手強提筇。氷心已挫千江浪。風勢俱鳴萬壑松。客夢猶餘靑鶴洞。鄕心忽揷白雲峰。村婆迎勸排寒物。欵曲新醪滿酌濃。</text>
<title>溪亭逢別</title>,<text>君曾水宿我山行。飯顆相逢太瘦生。萬壑楓林聊自醉。一江霜月不加淸。遙帆客去長天勢。暮峽人歸落木聲。幾日蘆門溪上宅。偏師更會五言城。</text>
<title>雲江逢任友錦川。共宿旋別。</title>,<text>別懷如夢洛城隈。邂逅萍鄕病眼開。秋盡黃花留酒在。夜深明月渡江來。星霜荏苒違家室。豪傑尋常老草萊。缺界且將分手濶。那堪獨上望鄕臺。</text>
<title>野店留宿</title>,<text>鳳城西畔鶩湖灣。冷雨蕭蕭掩客關。三秋木落空山濶。十月禾收大野閒。村扉販酒凌晨闢。浦市沽鹽薄暮還。坐計盤庄明日路。故人家在白雲間。</text>
<title>東閣避暑</title>,<text>山閣虛凉出世羣。匏樽不减碧筩醺。長風度壑松聲合。遠水橫郊草色分。身苦蒸炎猶待夜。心傷積雨每疑雲。亂蟬啼罷西陵樹。一陣簷雷復夕蚊。</text>
<title>山齋秋懷</title>,<text>高秋淅瀝掩柴扃。塊坐多時悟性靈。丹楓盡落山心悵。大霧全收野色醒。燕歌趙筑風號樹。島瘦郊寒月滿庭。半世回頭無可意。謾將離合任浮萍。</text>
<title>隣窓戱占</title>,<text>碧樹環簷足四隣。午天凉樾似淸晨。落花深院留孤客。芳草纖烟送美人。綠酒惟當終白日。黃金不得買靑春。淸風吹罷羲皇夢。誰識乾坤我是眞。</text>
<title>東麓晩登</title>,<text>東樓餘興轉登城。瘦石寒松半峽情。王孫往跡空春色。學士遺墟尙舊名。閒雲度日埋山影。小路緣崖遞水聲。回首夕陽多曠感。百年風物惱浮生。</text>
<title>隣榻共占 三首</title>,<text>花落花開十日枝。良辰美事兩難期。春如故友逢還別。月似浮生滿却虧。無地立錐猶不病。有錢沽酒更何疑。百年通計餘閒少。只合淸遊度此時。弊屋風流寄碧松。主人馴鶴致雲蹤。花落澗林春泛浪。夜深山閣月移峯。周顗本淸無愧瘦。孟郊能放不傷慵。大朴從來猶未散。十年黃卷會心濃。靑天問月自停盃。放達何憂老草萊。散木能全當路在。奇花不見滿枝開。人情流水頻深淺。世事浮雲自去來。昨日寄書黃綺伴。靈芝從此夢相催。</text>
<title>東寺晩興 二首</title>,<text>每入山門世念消。回頭城市隔雲遙。洞深不雨巖猶濕。灘急無風浪自飄。芳草客尋烟際路。夕陽僧立柳邊橋。慇懃野老留人宿。道是今宵月色饒。地僻晴霞晩不消。落花深處洞門遙。天機自得禽聲滑。春事多知柳絮飄。恠石崩溪仍作瀨。老槎投壑遂成橋。白雲元是山中物。一付孤僧也自饒。</text>
<title>淸狂 三首</title>,<text>抱玉歸來白眼空。十年名姓晦墻東。春韶自在塵埃外。憂樂無非雨露中。肱九折猶難砭俗。口三緘亦易興戒。淸狂不病時人棄。到處誰禁月與風。日永山齋太古天。靜中無事坐如禪。谷口乍聞黃鳥去。石頭還傍白雲眠。酒到畢劉成樂地。詩從陶柳入佳篇。唐虞世邈靈芝老。萬事滄洲繫釣船。病裡佳辰夢裡過。詩膓皷吹付鶯歌。時平釰老吟龍匣。地僻松餘借鶴柯。人在百年歡樂少。花於十日雨風多。妄論堪笑劉伶婦。不飮靑春可奈何。</text>
<title>洗釰亭雅會 二首</title>,<text>別界猶多餞後春。洞深還可晩來人。雲含古寺留山頂。石戴危亭老水濱。盛際附攀欽往蹟。良辰觴詠續前塵。仙源每在桃花處。此地安知不是眞。俗耳針醒聽谷禽。一春餘興續繁陰。源窮石帶三生夢。地僻花開四月林。遠客重來芳草在。老僧獨去白雲深。層灘不與前塵息。鳴送當時洗釰心。</text>
<title>雲江途中</title>,<text>出城飄洒一筇枝。雲物扶吾任不覊。老柳荒橋秋水潔。短山平野夕陽遅。微吟自敵三人伴。半醉堪醫兩脚疲。今夜紫雲江上月。瑤琴幾處舊朋知。</text>
<title>舟行泊廣陵</title>,<text>日落滄洲罷棹謳。滿山楓葉客登樓。鴻聲夢冷江湖夜。月色懷寬宇宙秋。黃菊倚霜持世界。綠楊愁雨捲風流。村翁爲許重陽醉。自道巖田晩秫收。</text>
<title>游觀金相公三溪洞別業</title>,<text>拂拭林邱費化匀。三溪勝狀動城闉。泉同和璧開慳秘。石似雷鋒露本眞。靑山始得因公重。白鶴還嫌報客頻。倘使廊巖移此術。佇看窮蔀盡陽春。此在彰義門外尋常林木之間。而金公費財殫力。造成名區。鑿土生水爲名泉。壞岸出石爲奇巖。百種花卉罔不畢萃。遂使三溪之名。甲於郊關。但人客依舊輻湊。閙熱是欠。故第六句及之。</text>
<title>客秋</title>,<text>五湖東畔舊田園。尺釰携來歲色翻。暮雨人歸黃蘗社。秋燈客宿紫雲村。萬壑月明惟水響。千林霜落倐山根。鞱鈐近日城塵路。誰識江臺有此樽。武試隔日。余不赴。</text>
<title>次隣友送春韻</title>,<text>故人猶可挽歸車。此別人間更莫何。萬里應同流水逝。千山空作落花多。春光非不明年到。人事偏傷是日過。嬌鶯不解春歸盡。綠樹斜陽尙自歌。</text>
<title>野居謾興 三首</title>,<text>林屋鷄聲晩更新。陌桑緣路到溪濱。踈簾客去靑山暮。故峽人歸細草春。風雨得時皆樂土。鷰鶯持世便佳辰。東君轉放繁華物。野綠園紅不我貧。雪城歸客滯江臺。樂歲鄕隣有酒盃。俗美兒童携卷至。境深牛馬踏花迴。曉天忽曙山頭擧。春雨將晴谷口開。乘興鶴汀移棹晩。樵歌遠出白雲隈。弱柳婆娑不定陰。輕風暖日細聽禽。橋邊雨漲溪堪艇。雪後春回岸自林。皎月應多今夜色。黃鸝不改去年音。淸和未得蘭亭會。獨領佳辰抱玉琴。</text>
<title>宿江上友人</title>,<text>鵶背秋烟日欲昏。江天一畔掩柴門。明河影薄空山月。細雨聲深落木村。千古賢愚同水逝。百年憂樂歎棋翻。膏車異日盤中約。却領漁樵入細論。</text>
<title>僻居</title>,<text>雪巷關扉月自明。五更羗笛喚人淸。幽庭木落多山色。古壑天寒失水聲。書不去身宜白髮。室求容膝豈丹楹。狎梅踈菊隨時轉。自笑閒中亦世情。</text>
<title>山旅卽事</title>,<text>碧峯稠疊掩蓬扉。注意晴嵐却滯歸。秋後樹林餘骨氣。夜深星月倍光輝。飯牛峽突冬猶暖。篘蟻山樽歲不饑。近日淸虛由絶俗。從知戌削勝癡肥。</text>
<title>次南社諸人遊東寺韻</title>,<text>詩豪淸韻動雲霄。郭外尋僧野樹遙。十里禽聲芳草路。一行人影夕陽橋。缺界不多携友日。陽春無幾翫花朝。二難四美君能傡。瓊軸相傳眼亦饒。</text>
<title>新秋</title>,<text>盛暑如今酷吏過。半簾虛影倒明河。窓梧滿聽新凉葉。庭菊勤培後日花。月色共爭秋氣潔。蟬聲偏入夕陽多。商絃忽動廬陵感。不是尋常下里歌。</text>
<title>寓懷 三首</title><,<text>滄江一夢繞霜葭。回首人間日易斜。蒼蘚不登當路石。白雲多在近山家。關河壯睇終無便。天地浮生奈有涯。却笑淸談揮塵客。古來驅世病空華。抱玉歸來笑整冠。書棚白日遣懷寬。布衣憂國占風雨。蝸屋安身種菊蘭。學海有帆當極浦。要津無石亦危灘。寸田尺宅惟吾物。不必從人強作歡。夙志蓬桑夢已空。十年蝸屋閉東城。墻因久雨輕生碧。樹抱斜陽轉斂紅。浮世渾忘書卷裡。故人多在布衣中。秋聲忽入廬陵夜。翻向江湖想御風。</text>
<title>偶成</title>,<text>凉風拂面破微醺。木末寒烟起薄曛。秋老葉聲輕欲碎。夜深人語遠相聞。倦婢不堪隨事責。鈍兒猶在讀書勤。客來笑問生涯足。自道前山有白雲。</text>
<title>早秋氣候</title>,<text>朝凉午熱夜增寒。一日天時轉百端。東閣納晴葵露濕。北窓排暑柳陰團。淸霜信息蛩聲近。潔月精神鶴夢寬。除是石流膠折地。冷炎相半御人安。</text>
<title>駱山憑眺</title>,<text>矗峯籠石鎭東城。獨立西風病骨淸。萬戶接簷齊似織。千街分界細相縈。大野新晴天共勢。靑山不答水空聲。深烟忽鎖蒼茫際。無限長安欲暮情。</text>
<title>卽事</title>,<text>不逐時人強作豪。蓬門用拙是風騷。開書日砭羣童懶。灌圃時分獨婢勞。松子亂投庭面好。匏花輕上樹顚高。籠禽尙有雲霄志。時遣長鳴出九臯。</text>
<title>敬次呈心泉丈 李江西駿秀氏</title>,<text>昨夜寒愁雨滿扉。曉禽剝啄忽晴暉。佳辰夢裡尋常去。好事人間太半違。分外自多荒歲粒。病餘猶厚暮春衣。東園莫倦看花會。此日纔過便作稀。</text>
<title>敬次呈鈍靜丈</title>,<text>知君瘦骨是淸虛。隱几何曾病索居。浮生閱世心先老。志士資身計本踈。破屋多情迎客座。晩年從事課孫書。獨有寒梅同臭味。雪中開得數枝餘。</text>
<title>春興 二首</title>,<text>鄒管噓溫散太初。花朝評雨到隣廬。芳菲自在憂愁外。故舊相逢疾病餘。楊柳風流多洛社。桑麻消息見鄕書。人生不得恒佳節。莫使樽中酒暫虛。庭柯敷葉轉添陰。除却簷前曩對岑。半日微風楊柳夢。一天纖雨杏花心。靑山有守難威力。流水無常忽淺深。萬物終宜觀靜後。別般春意在吾襟。</text>
<title>李揔管觀煕輓</title>,<text>忠武名家有是人。干城令望動簪紳。開襟北海常盈座。擧扇西風早掩塵。㫌旗變彩三持節。桑麥登謠幾字民。萬事如今天不憖。那堪丹旐出東闉。</text>
<title>次洪幕致明遊漢挐山韻</title>,<text>南溟特出漢挐山。萬古留名在世間。人謂夢魂猶未到。我能居處也相關。淸都紫府通爲界。若木扶桑繞作灣。選日欲修相見禮。送君先報赤松還。</text>
<title>耽羅望京樓板上韻 余宰甲山歸纔一歲。</title>,<text>瓌觀尋常賴宦遊。白山如昨復瀛洲。鰲頭闢國傳三姓。鵬翼垂城聳一樓。管領喬松棲息地。指揮吳楚去來舟。聖恩圖報知何在。南極遙攀夜夜浮。</text>
<title>耽羅運籌堂 二首</title>,<text>別有乾坤象外開。戎衣節制更奇哉。軍民緫領三神國。山海全輸一將臺。太液池中功枉費。阿房枕上夢常來。男兒眼孔從玆大。倚劒秋風痛引盃。仙緣戎務二難幷。環海全區節制明。萬里風雲開玉帳。千家橘柚擁金城。鵬垂逸翮侵樽影。鳳遣淸簫和角聲。壯士呼嵩瞻北極。不揚波處驗昇平。</text>
<title>登漢挐絶頂</title>,<text>杳如鴻擧快鵬飛。只有天連海四圍。廣大高明躋聖域。風雷雲雨秘神機。非誣帝座通呼吸。始信仙翁遇庶幾。倘使秦皇能到此。猶應自笑萬乘威。傍有風雲雷雨祭壇。</text>
<title>次秋七月旣望泛舟楮浦韻 浦在濟州</title>,<text>纔經一雨忽淸秋。碧浪環城漲十洲。人似海鵬雲表擧。地疑笙鶴月中留。尋常隱几成高躅。造次移筇作勝遊。天上玉京臨咫尺。東坡赤壁詎堪儔。</text>
<title>耽羅望京樓上。常對漢挐山。卽政堂。漢挐山下。有三神人湧出壇。</title>,<text>秦皇漢武夢中山。而我常留几案間。朱墨起居司橘籍。靑油談笑鎭銀灣。乙那壇上蓮花出。南極星邊羽盖還。仙術自非求可得。須要至治奠區寰。良高夫三乙那聳出。一帆千里絶塵埃。白鹿潭邊洗玉盃。鸞鶴披雲仙出洞。魚龍聽角將登臺。環砌雨和鯨沫落。滿城風送橘香來。治民倘得躋仁壽。羽化昇天尙後陪。白鹿潭在挐山頂。</text>
<title>永宗雜詠 三從兄宣洙氏防禦是營。故余爲觀海。往遊數日。○五首</title>,<text>蜃樓層匝逼人家。尙有牙門細柳斜。吸地潮來餘培塿。浮天帆去化雲霞。淄岑月島蝸頭國。沁樹喬烟鼎足衙。蠃蛤朝晡如拾芥。居民不自重桑麻。淄月兩島當在海中。左右恰似蝸頭。江華喬桐與永宗分成鼎峙形。地盡西南更有天。晴虹時或揷歌筵。蛟機怳惚千端錦。蜃市玲瓏九府錢。擧帆靑山奔界外。登樓白日落人前。吳州不禁曹郞涕。風範猶憑故吏傳。昔我王考莅玆營。今爲五十餘年。鰲背蒼茫曉雨收。男兒壯睇此高樓。連天白浪通南國。列郡靑山護上流。漁箔每隨潮進退。戰舡空載月沉浮。登臺不見星槎去。撫古那禁髮竪頭。大明時朝天使自此發船。有乘槎臺。一夢滄桑杳莫攀。客愁迢遞水雲間。烟沉萬里乘槎路。礎沒千年駐驆山。灞橋風雪行吟路。春草池塘入夢顔。轉眄吾儕亦陳跡。登樓盡醉且無還。層崖接屋似蜂窠。日夕潮頭浩劫過。每夜魚龍當戶宿。有時山岳入簷多。乾坤亦是浮沉物。日月胡然出沒波。海屋桑籌仙去後。蓬萊消息近如何。</text>
<title>永宗挽河亭</title>,<text>萬狀彤霞一碧濤。挾仙風檻坐來豪。地偏草樹精光薄。天遠魚龍窟宅高。大漢年康漕渭粟。皇唐世遠洗河刀。將軍畫壁昇平樂。競病詩歌幾禿毛。</text>
<title>觀潮</title>,<text>雪岳崩騰散玉霄。舟人猶自弄笳簫。蟻封郡國蒼山斷。龍闘天門白日搖。故道長驅三峽騎。明堂倐退萬邦朝。盈虛二氣何須辨。回首人生亦一潮。</text>
<title>歎夷山民生 夷山甲山古號</title>,<text>太守生涯尙苦辛。那堪此地作居民。魚鹽交易經時月。氷雪尋常續舊新。燕麥爲飧相養老。狗衣能着不稱貧。願將一幅夷山繪。歸獻丹墀細細陳。</text>
<title>岡營。與半刺鄭小山 翼永，衙賓許上舍 涑 共賦。</title>,<text>名勝黃岡出將臺。昇平帷幄以詩開。隴梅頭白三年篴。萍水眸靑五夜盃。金鉞竹符人共濟。桐花楓葉客重來。關情最是風光轉。試聽寒空鴈響催。許上舍再來作衙賓。又城頭別起好樓臺。疇昔之遊眼更開。赤壁果逢名下士。靑油重續意中盃。宦久賓鴻驚舊聽。夢眞仙鶴覺今來。吾儕已恨逢相晩。前路歸鞭且莫催。</text>
<title>岡營別許上舍 涑 還京</title>,<text>新知才樂忽離歌。旅舘秋聲可奈何。戀國天涯黃髮短。送人江上碧山多。倒屣轅門縫掖士。留題梅閣拂塵娥。城南故舊如相問。老病將軍強枕戈。許上舍與本官爲男妹間。而五月來遊本衙。揭詩衙壁。九月又來請余相見。定交共賦。</text>
<title>閟宮直中。與本宮令李翠石  共賦。</title>,<text>同城每恨阻猶賖。薄酒相逢日易斜。半世悲歌驚落木。九秋佳句集黃花。顚狂笑我容微宦。儒雅如君見古家。安得隣居通竹逕。朝昏巾屐襲瓊華。</text>
<title>次吳孝子▣▣墓閣板上韻</title>,<text>世德君家不間言。中於百行孝爲源。殊褒特贈惟天監。至樂窮居所性存。肖子肯堂無改道。仁人永宅有名村。扁楣春雨留深意。婦孺咸知起敬尊。有封若堂於梁骨之廩巖洞者曰近故贈大司徒吳孝子之墓也。孝子幼而孝根於天。至老彌篤。游觀金相公狀其實甚悉。其胤宖點與余有素。謂以搆齋墓側。爲攀栢之所。扁之曰春雨室。盖取諸楊萬里記春雨亭之義也。懇余步其板上原韻。顧余跗注。何敢僭妄。而窃惟平日欽景之衷。式異於人者深焉。遂樂而不辭。玆搆蕪拙以副之。</text>
<title>閒居獨坐</title>,<text>閒居盡日遠山靑。一客何曾剝啄庭。縱酒尋常詩慷慨。宿林強半夢虛靈。凄凄戶覺秋深雨。落落簷分夜久星。惟有聖經賢傳在。此心時與古人醒。</text>
<title>次送煕川校院諸儒追寄韻 古號威城</title>,<text>威城迢遞夢遊歸。回首關雲望際飛。風樹百年餘涕淚。瓊琚千里照光輝。靑襟多見懷良寶。朱墨何嘗動化機。最是流民猶未集。至今身愧俸錢肥。甲寅四月。余宰煕川。九月遭內艱歸。乙卯春。校院諸儒追寄一詩。雖在苫塊。不忍恝遠情。不得已步答其韻。</text>
<title>任友錦川還卜舊居。喜叙久別。</title>,<text>片心曾許照氷壺。幾度同舟過五湖。筇屐向來頻報鶴。風霜閱去久分鳧。腥羶未掃吾何武。記誦羞爲爾是儒。幸復新居通舊社。雪帆竹逕莫相孤。錦川嘗與余隣居。後有事變。分豁二十年。復會同社。恨余投筆。常勉余以遼薊風雪。</text>
