<title>暮春有感</title>,<text>峽裏春將盡。風光惱客懷。不堪歸興促。推案步前階。</text>
<title>挽李時華</title>,<text>豐嶽多賢士。如公長者稀。有材堪世用。無命柰心違。丹桂花將綻。靈春露忽晞。四孤攀擗處。應有白鳩飛。</text>
<title>醉步李克淸 渫 韻。兼示大有。</title>,<text>團圓不覺漏聲殘。杯爵還憎象鼻彎。好惡元來知不遠。休言世味異醎酸。</text>
<title>挽申掌令晉甫 悅道</title>,<text>二難當日並騰驂。雙璧光輝動嶺南。栢府薇垣非不顯。桑謠麥瑞豈云咸。仁齡已驗能踰七。德位何知遽嗇三。欲說公私無限慟。數行衰淚自霑衫。</text>
<title>挽權淸之</title>,<text>天南半夜星沈彩。九老峯前一老亡。雙井年爲仁者壽。五男兒是善家祥。隻鸞對鏡愁孤影。兩鴈穿雲泣斷行。抱病未能趨相紼。北邙回首淚霑裳。</text>
<title>乙未四月之朢。與諸益會話石門精舍。敬次鶴峯先生呈退溪先生韻。以寓慕仰之忱。</title>,<text>山上高齋枕碧流。當年餘馥至今留。欲陪杖屨無由得。獨倚危欄盡日愁。</text>
<title>次金精彦 煓 韻。述懷。</title>,<text>上林誰借一枝棲。漂泊年來枕碧溪。身類病騏長伏櫪。心如枯木久忘蹄。春風顔巷瓢堪飮。霽月周庭草欲齊。疇識這中無限趣。沈吟不覺日傾西。</text>
<title>挽金進士性之 近</title>,<text>鍾得山河氣。文聲自妙年。朋儕咸縮手。士類孰爭肩。健筆千人北。魁名萬口傳。風斤期斲桂。霜刃止芟蓮。是驗難逃命。誰云可必天。好將雙井壽。閒卧一溪邊。絳帳循循處。靑衿濟濟賢。頤神嚮九五。返骨指三千。南極星沈彩。西山日入淵。孫亡纔涉夏。翁逝繼陞仙。窀穸同時擧。凋零此地偏。德音今永隔。良晤後何緣。款曲平生志。凄凉數尺阡。題詞欲相紼。雙淚自懸泉。</text>
<title>挽權奉禮擇甫 寏</title>,<text>早年聲價重南金。晩歲郞僚位反沈。窮達由來俱有命。行藏隨處豈關心。秋霜辭氣人皆憚。冬日襟懷我獨欽。爲仲平生移孝願。終歸落莫理難諶。公以榮養不逮爲痛。常曰。仲氏春秋旣高。若求一郡以奉之。庶遂余移孝之志云故未聯及之。</text>
<title>挽李正郞 燦</title>,<text>七十州之士。公其第一人。德容溫似玉。和氣藹如春。學博該今古。資明辨主賓。冲襟寧俗累。醇行任天眞。自是陶鎔力。從知薰炙親。不惟宜戚黨。亦可範儒紳。餘事兪和術。旁通閫奧臻。聊憑起死手。幾作濟人身。藻識超三際。風猷達四鄰。旌招紆異數。階級擢凡倫。單父琴初響。中牟雉更馴。折腰非素志。揮手謝紅塵。竹塢鳴藜杖。梅䆫岸葛巾。圖書長寓興。詩酒好頤神。夢斷騰騫路。心閒寂寞濱。長春擬勁栢。遐筭指靈春。豈料優年日。還爲屬纊辰。最憐雙井壽。未滿一生仁。南極星收彩。東方席喪珍。士林咸悼惜。鄕里共悲辛。顧我情相篤。中心痛罔垠。佳城今永閉。良晤後何因。拙語不成律。哀懷難具陳。空將數掬淚。遙灑北邙晨。</text>
<title>用李晦叟壁上韻。郤寄 四五六七言。</title>,<text>擇里而處。因樹而屋。朝耕夜讀。光借鄰壁。口談羲周。襟懷雪月。萬鐘何慕。一瓢堪樂。勿謂忘世。腥塵蔽日。淵明一張琴。玉川數間屋。人生此已多。何患徒四壁。靜聽虎嘯風。閒看山吐月。自幸得我所。向誰告此樂。顧瞻塵世間。蜀犬紛吠日。早年虎跳雄心。晩歲龜藏斗屋。幽興都輸寸管。瓊章遍揭䆫壁。睡來枕石閒眠。客去褰衣步月。擾擾路傍之子。孰知此間眞樂。我將一叩荊扉。共賞烟花終日。鶴駕之陽藥谷村。吾友晦叟新結屋。地廣端合碩人寬。避世何須爲複璧。登山臨水任閒情。隨處吟風復詠月。富貴功名匪我思。泌之洋洋飢可樂。煩君一語莫沈輪。匹馬相尋期異日。</text>
<title>挽李茂伯</title>,<text>四十年前友。如今兩禿翁。情深勞夢寐。地僻阻音容。一疾醫無賴。重泉痛不窮。白頭題挽處。雙淚自垂胷。</text>
<title>挽金仲敦</title>,<text>幾年閒卧洛之陽。漁釣生涯不厭凉。鷗𪆽相親心自逸。桑麻交翠興還長。稀齡旣有仁人壽。積善寧無後嗣昌。滿室芝蘭皆寶樹。德門從此日馨香。</text>
<title>次李壽翁 爾松 草堂韻</title>,<text>江湖勝景擅華堂。豈獨炎天納晩凉。春色動時羅幕濶。秋光爛處錦屛長。滅明漁火歸深夜。斷續禪鐘自遠方。鷗𪆽閒盟君莫詑。宦情村興恐相妨。</text>
<title>次金終卿 時忱 韻</title>,<text>思君不見久中藏。邂逅今宵共一堂。握手團圓愁緖散。開心傾倒吝萌亡。半天殘月當䆫白。一陣微風過面凉。時有鐘聲添客興。呼兒明燭更傳觴。</text>
<title>偶吟</title>,<text>小溪之上草堂前。滿眼風光欲暮天。山帶瘦容長自在。草含生意正油然。尋春戱蝶來仍去。耀日殘霞斷復連。散步逍遙幽興足。肯敎俗累到床邊。</text>
<title>輓南雲擧</title>,<text>早托忘年契。從遊四十春。藏心終莫逆。握手幾相親。命近醫無賴。天高鬼不仁。浮生信如寄。往迹已成陳。倐忽風中燭。悲凉草上塵。那堪臨死日。遽作斷絃人。痛哭哀塡臆。驚呼淚滿巾。白頭惟我在。靑眼更誰因。世德應陰隲。佳兒揔席珍。休言未食報。餘慶屬他辰。</text>
<title>與諸友期會廣寺。燈下聞雨聲。吟示會中。</title>,<text>無廵亂酌到深更。半壁殘燈滅復明。門外不知寒雨過。隔溪時有打林聲。</text>
<title>挽金參奉 秋任○二首</title>,<text>爲君哭寢前。雙淚苦懸泉。分厚從先世。情親自少年。那堪生死別。無復笑談圓。白首偏傷處。江雲欲暮天。裘業承開老。文聲擅妙齡。小科非遂志。微宦豈嬰情。剩得江村興。還嫌世路腥。悠然乘化去。餘慶屬寧馨。</text>
<title>次韻權峻甫 山立 晩翠堂</title>,<text>冲襟寧與俗同流。浮世功名早掉頭。物外烟霞頤志氣。閒中詩酒度春秋。優遊自是君恩及。耕何忘帝力酬。白髮蒼髯相對處。歲寒心事轉休休。金溪西畔鶴山東。晩翠堂高在此中。玉頂銀腰三品士。蒼顔白髮百年翁。膳粻誰倣周經異。杯爵時從野老同。欲識這間閒趣味。長松林立傲霜風。</text>
<title>新卜興臯書示友人</title>,<text>山色杯中落。川聲席下鳴。他年圖畫裏。難寫故人情。</text>
<title>挽權忠義 山重</title>,<text>痛哭權忠義。心長命不長。浮生元短夢。世事揔黃粱。有女堪傳業。無男孰肯堂。多端惻愴語。難盡數行章。</text>
<title>挽詞[東州李敏求]</title>,<text>牧老風猷遠。賢孫緖業遙。歸來五斗薄。散誕百年饒。晩愛雲林僻。新傷露草凋。河西餘故里。宅相日蕭蕭。</text>
<title>挽詞[觀雪許厚]</title>,<text>名賢宅相稟資高。風槩堂堂邁俗曹。壯歲交遊聯棣萼。晩來離阻各霜毛。辭榮下邑歸田早。卜築深山托計豪。千里哀音驚死別。秋風吹淚▣霑袍。</text>
<title>挽詞[石溪李時明]</title>,<text>稟賦元洵美。磨光藉外家。牛刀曾少試。鵬路坐長蹉。塵世常情息。雲山託意遐。前年分華約。已矣墮烟霞。</text>
<title>挽詞[瓢隱金是榲]</title>,<text>北學當時莫或先。風流文雅有來傳。曾因陶米腰雖折。更把顔瓢樂自全。深谷新移能幾日。黃壚一去便千年。可憐往事渾如夢。舊眼靑消但淚懸。</text>
<title>挽詞[開谷李爾松]</title>,<text>故人曾有百年期。未死相從謂不衰。藝苑翺翔欣並世。洛城簪笏幸同時。官膺小縣才何展。身沒窮鄕數亦奇。萬事卽今歸永訣。舊遊雲樹揔堪悲。</text>
<title>挽詞[安陵李時成]</title>,<text>世路方澆窄。吾兄獨任眞。爲官推召恕。歸墅樂原貧。庚甲交仍舊。婚姻義轉親。故人薤露痛。遲暮倍酸辛。</text>
<title>挽詞[錦城朴璿]</title>,<text>夙昔論交地。情如骨肉親。持身多苦節。治縣有深仁。山水元成癖。烟霞晩養眞。可憐今寂寞。吾道日沈淪。</text>
<title>挽詞[孤松申弘望]</title>,<text>吾友當時傑。才名戰藝初。鸞棲曾枳棘。蠖屈久泥淤。論議令人服。醇眞孰子如。安貧尋古道。避世卜幽居。雲樹三年別。存亡萬事虛。凄凉留寶帙。慘惔返靈輿。哀壑霜風動。荒原落木疎。無因漬酒送。瞻望淚霑裾。</text>
<title>挽詞[百拙庵柳㮨]</title>,<text>才合經綸學可師。名家宅相衆皆推。書生倡義胷藏甲。太守臨民口是碑。計活無那錐卓地。旅魂還促劒津期。異時天意應昌大。佳子佳孫揔白眉。</text>
<title>挽詞[自菴金時忱]</title>,<text>詩禮傳家訓。天球不琢溫。心肝一古劒。活計兩衡門。百里功名薄。平生孝友敦。天胡奪我速。漠漠問無言。</text>
<title>挽詞[縣令安應昌]</title>,<text>外門親舊幾人存。與子交情我最偏。儒雅端儀根素性。簪纓家世自先賢。南來準擬淸標對。東閣誰知惡耗傳。今日不堪題短律。去年分手尙依然。</text>
<title>挽詞[郡守權摶]</title>,<text>憶曾從事亂離際。始識吾君板蕩時。蠖屈自甘心淡薄。鸞栖休歎位微卑。重逢去歲多懽意。誰料今朝寫誄詞。庭玉定看餘慶毓。善家箕業肯陵遲。</text>
<title>挽詞[判官李敦臨]</title>,<text>矯矯名賢後。溫溫氣味存。家聲眞不忝。儒業素來敦。避世辭彭澤。尋眞隱鹿門。可憐明月夜。環佩謁豐原。</text>
<title>挽詞[聞韶金秋吉]</title>,<text>相從今幾歲。華髮各盈簪。心以同趨許。情因世分深。羡兄能避地。歎我遠知音。今又重泉隔。追思涕滿襟。</text>
<title>挽詞[參奉李尙逸]</title>,<text>知舊凋零盡。夫公又至斯。天資元自厚。宅相更餘規。倡義扶彝則。分憂流惠慈。寬閒移寓計。寂寞使人悲。</text>
<title>挽詞[存齋李徽逸]</title>,<text>牧翁厓老兩家孫。厚德元知已有源。試邑曾稱推化洽。勤王方服效忠惇。幸聯瓜葛頻承誨。擬作朱陳遽哭魂。萬事秪今嗟已矣。忍看丹旐向田園。</text>
<title>挽詞[野庵金㶵]</title>,<text>風裁早占斗南名。餘事文章亦可驚。倡義登壇聲益大。分憂剖竹治逾明。歸尋故土家無甔。去入深山計有成。二竪遽纏其柰命。百身難贖共傷情。年雖長我推先後。心卽爲朋作弟兄。江院剪燈同夜讀。黌堂促席縱秋觥。秪今萬事歸黃壤。惟有孤村寄素旌。白馬巨卿辜引紼。重泉他日愧難幷。</text>
