<title>得失</title>,<text>得失皆前定。悲欣都是空。誰能知此理。塞上有閒翁。</text>
<title>送趙敎官赴洛</title>,<text>白頭非樂走紅塵。只爲端居恥聖君。化柳一番春又老。應知夜夜夢林園。</text>
<title>踏靑日。次金去非 地粹 韵。</title>,<text>三月漢陽花柳新。風光正屬踏靑辰。把酒相看忽怊悵。坐中皆是憶家人。</text>
<title>題金山寺僧軸</title>,<text>碧樹陰陰古殿凉。入門衣袂自生香。居僧無事長廊靜。惟有山禽處處鳴。</text>
<title>夜見星月</title>,<text>高高星月掛空垂。難着人間一點私。方寸若能無物事。此身隨處亦如斯。</text>
<title>自悼</title>,<text>踈慵不合大君師。名姓還慙聖主知。料得此身無所用。白頭惟欲死茅茨。</text>
<title>鏡</title>,<text>鏡本無塵塵自翳。心非有欲欲相侵。澄淸不用求多術。磨鏡治心第一箴。</text>
<title>遇事</title>,<text>遇事勞勞心不閒。須臾事去卽心安。若能定性工夫在。事去事來應一般。</text>
<title>病中偶吟</title>,<text>春來病骨苦多風。長日呻吟一室中。惟有小兒三數輩。每將魚魯問衰翁。眼昏緣是患頭風。日出猶如在暗中。造物有心還不惡。定敎無事作閒翁。</text>
<title>滄洲語贈崔直卿</title>,<text>與君相約卜居幽。先到應知狎海𩿨。莫道此身猶未去。夢魂曾已繞滄洲。移家卜築海山幽。山有松篁海有𩿨。莫道此間無事業。欲將吾道付滄洲。從前恨未入深幽。十載寒盟負白𩿨。莫道經營還太晩。不妨從此卧滄洲。蓬萊南畔境偏幽。居處先須問白𩿨。莫道將來生計薄。煑鹽垂釣老滄洲。白茅爲屋碧山幽。身計淸如水上𩿨。莫道踈慵無着處。天公爲我有滄洲。</text>
<title>題瀟湘八景</title>,<text>一抹輕烟繞翠巒。千林欲暮鳥飛還。忽聞雲外鍾聲到。認得招提在此間。右烟寺暮鍾山市人家倚翠岑。槿籬茅屋望森森。靑嵐一抹掩歸路。彷彿桃源何處尋。右山市靑嵐平生江海定生涯。蘆荻花邊只數家。浦口日斜垂釣去。白烟籠樹見歸鴉。右漁村落照黃陵祠下莫停舟。班竹千年不盡愁。造物何心添夜雨。蕭蕭應白楚臣頭。右瀟湘夜雨極浦微茫欲暮秋。漁人收網却回舟。歸帆遠過碧山下。驚起波心雙白𩿨。右遠浦歸帆平湖七百水悠悠。鐵笛遺音尙此留。月在天心應共照。淸光最是洞庭秋。右洞庭秋月含蘆何事遠飛過。惟恐人間繒繳多。晩向江頭還欲下。孤心只是愛平沙。右平沙落鴈日暮江天雪滿空。便敎茅屋作瓊宮。可憐此景無人管。惟有孤舟簑笠翁。右江天暮雪</text>
<title>道中偶作</title>,<text>蕭蕭夜雨初晴後。颯颯秋風欲暮時。無袴小奴寒不去。任敎羸馬作遲遲。秋禾收盡野人稀。水落溪聲漸欲微。匹馬獨尋山路去。暮烟生處有柴扉。</text>
<title>別宋生文仲</title>,<text>搖落寒天歲暮時。一盃傾處已斜暉。看君病骨猶依舊。送後還愁帶雪歸。</text>
<title>次竹隱朴仲武 應寅 春信韻</title>,<text>久別長爲夢裏人。邇來吟鬢白毛新。老梅消息先傳我。折送南籬雪後春。病伏山村不見人。卧聞窓外鳥聲新。因君寄我相思句。認得梅梢已上春。</text>
<title>懷仲武</title>,<text>離懷悄悄隔牛鳴。霽後山齋暑氣淸。想得踈梧明月下。起扶藤杖覔秋聲。</text>
<title>責奴</title>,<text>盜入貧家席卷歸。靑氊眞是祖先遺。不嚴扃鐍雖吾過。全廢藩離責在誰。縱然衣食未爲豊。且不飢寒是主翁。家事近來零落盡。隴頭須罷午眠濃。</text>
<title>孤燈</title>,<text>生涯淡泊似山僧。獨卧寒齋病未興。寂寂無人作知己。暮年心事付孤燈。夜夜燈孤我亦孤。孤孤相伴不爲孤。交情可免愧君子。直到歲寒能不孤。靜坐那能理義尋。貧愁病患苦相侵。靈臺轉覺昏如漆。須借餘光照我心。</text>
<title>寄崔直卿謝未踐卜居約</title>,<text>江山非是負吾生。我自遷延歲欲更。惟有舊盟期不食。白𩿨應識未歸情。名途從古競奔馳。白首差池亦固宜。恠底江山誰主管。欲歸猶使老夫遲。</text>
<title>次直卿石泉韵</title>,<text>石底應知海眼開。有時甘液潤靑苔。只緣科級重重隔。未見眞源潑潑來。</text>
<title>訪伯亨不遇</title>,<text>村逕蕭條入草間。小橋危處馬行難。尋君不遇獨歸去。槐柳葉疎秋影寒。</text>
<title>聞栗浦津水赤</title>,<text>前年水赤又今年。人道今年有虜塵。我笑此言虗誕耳。邦家安得係斯津。川渴山崩古有之。從來報應恰如期。我言愚妄人應笑。安得邦家不係斯。</text>
<title>聞胡兵犯京城</title>,<text>莫笑燕丹計太愚。卽今那得忍須臾。可憐東國三千里。未有荊卿一勇夫。</text>
<title>客來問避亂題示</title>,<text>眼前無地不風塵。何處乾坤別有春。頭白未成浮海計。自憐身世愧秦人。</text>
<title>次吳公 達濟 詩以哀之</title>,<text>當官不計身生死。報主惟知義重輕。縛送虜庭何太忍。也應行路亦傷情。</text>
<title>奉呈淸陰金先生 尙憲 入虜庭</title>,<text>本心元是在成仁。不殺其心只殺身。入送虜庭成底事。但殺名義動千秋。此翁行色問何如。萬古綱常七尺軀。臺閣當時皆欲殺。陰山非獨是凶奴。</text>
<title>聞李公 時稷 沈公 晛 成節感而賦之</title>,<text>江城落日竪降幡。一死從容不動神。誰道君恩能致節。兩翁曾負後來薪。</text>
<title>贈造樂器者</title>,<text>亂後相逢各白頭。舊遊人事夢悠悠。當時手法應猶在。會作瑤琴破我愁。</text>
<title>聞一處女擄入胡中</title>,<text>胡歌悲咽塞雲飛。東國佳人淚未晞。艶骨終應埋絶域。傷心不獨有明妃。紅顔日日减輝光。愁對菱花不肯粧。想得單于宮裏樂。不如堂上食糟糠。深閨昔日誦雎鳩。今對單于抱暗愁。豈是當時無死地。鴨江春水向東流。</text>
<title>經亂日見載琴女卽題</title>,<text>何處靑娘載玉琴。夕陽紅袖映秋林。呼來欲聽昇平曲。只怕令人淚不禁。</text>
<title>與李泰之 惟泰 述懷</title>,<text>別後山河鎖虜塵。中間消息兩無因。相逢喜氣倍前日。俱是初經亂離人。</text>
<title>送趙統制 必達 之京</title>,<text>當時投筆事彎弧。準擬麒麟閣上圖。一釰如今還未試。少年名將泣中途。笙歌寂寞鬼啾啾。衢路班班血尙流。君去莫聽江漢水。寒聲只是使人愁。太平烟月夢悠悠。城闕荒凉草色愁。想得南塘塘水畔。敗荷衰柳不勝秋。從前分手不曾悲。今日令人淚自垂。滿地風塵兵革裏。此時非是別離時。</text>
<title>敎兒史略見新亭對泣有感</title>,<text>依俙風景獨多情。千里山河觸目驚。有淚莫愁無灑處。漢江江上卽新亭。</text>
<title>聞中原起兵圍潘陽喜題</title>,<text>聞道中原大發兵。直驅沙漠掃腥塵。遙知痛飮黃龍府。東土從今自太平。</text>
<title>贈李生壽夫</title>,<text>喪亂餘生別隔年。那知相對此燈前。憑君聽得江都事。淚灑春風雪後天。</text>
<title>又次前韻</title>,<text>閒中日月又新年。病起行吟小塢前。籬雪欲消簷旭暖。漸看楊柳弄春天。</text>
<title>夜聞春雨</title>,<text>忽然中夜覺閒眠。窓外霏霏雨滿天。想得明朝春更好。數村梅柳一時姸。</text>
<title>聞蛙</title>,<text>蛙聲閤閤閙前池。正是孤村夜雨時。一任天機鳴自得。不關人世問公私。</text>
<title>春日道中</title>,<text>長橋渡盡見村烟。下馬仍依古岸眠。却羡野人無別事。飯牛終日自耕田。濛濛靄靄滿空絲。得意歸來步更遲。啼鳥恰如知此樂。一時爭競上花枝。</text>
<title>羸馬</title>,<text>羸馬徐行摠苦遲。我心元自不嫌羸。江山多少無窮景。安得斯須領略歸。</text>
<title>雞鳴</title>,<text>朱顔凋盡雪盈鬚。五十年來抱病軀。聽得鷄鳴還不起。孜孜終愧舜之徒。</text>
<title>犬吠</title>,<text>寥落柴門晩不開。滿庭黃葉覆蒼苔。忽聞犬吠疎籬下。知有催租官史來。兵革年年禍及豚。吾家茅屋亦風塵。何不去尋閒處吠。桃花源裏寂寥春。</text>
<title>興福寺。次友人韵。</title>,<text>世亂離懷一畒宮。餘生心事正相同。今宵此會應須記。雪月分明古寺中。野寺蕭條雪正飛。居僧猶得此相依。可憐今日餘生事。不及林中老衲衣。</text>
<title>贈敬上人</title>,<text>我識高僧本在山。問今何事到人間。應知黑業都消盡。山上人間是一般。</text>
<title>古塘</title>,<text>古塘秋水鏡光寒。鳧鴈交交自在閒。堪恨吾人不如鳥。生涯未定亂離間。</text>
<title>春晩書懷</title>,<text>靜中觀物得天時。潑潑眞源正在玆。翠草一般周子語。始知千載不吾欺。</text>
<title>送舍弟盤谷 棹 築室金屑洞</title>,<text>送君築室海山間。纔出柴門眼欲寒。好事令人還作惡。始知兄弟別離難。與君疇昔約同歸。今日君歸我獨遲。如見沙𩿨須道我。白頭從此拂塵衣。一室須成八九間。半邊留待老兄還。且聞虎豹頻來叫。先作松籬護竹關。傍人皆是不知吾。錯謂棲棲爲避胡。聞道鱸魚在江海。老夫惟欲養殘軀。漁父本來稱海客。鹽商從古號村夫。此間風味誰高下。世亂如今摠可吾。新居落落少村鄰。惟有淸沙帶月痕。乘興便須朝夕訪。柴扉宜對直卿門。山中可與鹿麛友。海畔宜同𩿨鷺閒。愼莫區區招外客。江湖風浪卽人間。黃茅滿洞宜爲盖。碧樹盈林可作材。只是天寒人力薄。松窓恐未雪中開。卽今天地滿戈矛。世亂餘生已白頭。何處無愁閒境界。海雲江月荻花洲。今歸何事正堪誇。垂釣寒江雪滿簑。待得明年春更好。桃花影裏聽漁歌。</text>
<title>復用前韻。寄舍弟。</title>,<text>佳期知在海雲間。路入東津水更寒。聞道近來風浪急。暗愁舟子濟行難。應知𩿨鷺喜君歸。更笑吾儂尙作遲。魂夢獨尋江海去。白沙烟雨拂簑衣。蓬萊山在五雲間。聞道羣仙數往還。江上會看笙鶴到。月中休早閉松關。吾非厭世世欺吾。世道如今屬孽胡。十里江湖乾凈地。優遊此處可容軀。天慳地秘寬閒境。當日誰知爲病夫。講學竹林君輩事。釣魚淸興盡歸吾。漁父鹽翁與作鄰。不妨携手蹯潮痕。應知更有淡禪樂。時聽山僧夜扣門。十年兵革應難定。一境烟霞剩占閒。莫向仙源種桃樹。恐敎花落到人間。山中無限千尋樹。何處良工不棄材。還似老夫衰朽質。歲寒要與此懷開。世間何處避戈矛。物外須尋海上頭。茅屋數間玄鶴洞。竹竿三尺白𩿨洲。休將佳境向人誇。恐惹紅塵汚絲簑。山桂蒼蒼江月夜。數聲宜唱紫芝歌。</text>
<title>家兒行疫後喜作</title>,<text>先世從前積慶基。年垂七百子孫稀。我家兄弟多零落。興起衰門望此兒。</text>
<title>九日</title>,<text>世間佳節是重陽。落帽龍山自古風。今日黃花人不醉。浮生皆在亂離中。兵革中間歲暗催。風光隨處助悲哀。時節不知人事改。菊花依舊滿庭開。貧居長歎甑生塵。苦被妻兒怒且嗔。莫道黃花無世態。向風羞對白頭人。</text>
<title>初冬</title>,<text>蕭蕭寒雨夜連朝。正是孤村十月交。籬下黃花開欲盡。白頭生計却無聊。</text>
<title>庚辰十二月初三日。始見雪。</title>,<text>臘前三白是豊年。此語吾聞古老傳。十二月初初見雪。恐敎來歲又顚連。</text>
<title>寒齋卽事</title>,<text>窮陰不解日沉暉。急雪霏霏點點飛。正是此身愁絶處。獨憐童僕負薪歸。</text>
<title>訪友</title>,<text>步出松關細路幽。暫投亭舘話窮愁。歸來不覺山將暮。黃葉黃花處處秋。</text>
<title>遣懷</title>,<text>心因病患難收拾。身逐干戈易老衰。從此便尋山海去。白𩿨麋鹿共相隨。</text>
<title>草虫</title>,<text>營營役役百年間。浮世人生盡一般。不識草虫絲底事。亂鳴終夜未曾休。</text>
<title>題人家八景</title>,<text>高山邈邈谷逶迤。燁燁新芝帶雨肥。當日不緣逢四皓。至今那得識芳菲。右谷口紫芝晴嵐出洞繞崔嵬。濃樹連雲密不開。却與幽人如有約。霏霏靄靄入簾來。右帝釋晴嵐濛濛細雨綠簑衣。正是前村芳草時。橫笛數聲牛背上。此間風景牧童知。右牛川牧笛亭亭窓外嶧陽枝。百尺如今待鳳儀。欲識主翁無限興。五更踈雨酒醒時。右梧桐夜雨橘林霜落正深秋。佳實玲瓏色欲流。風因晩香來枕席。却疑身卧洞庭樓。右橘柚香風浦口霜飛蘆葉踈。晩潮初落亂沙虗。忽看流火江橋畔。認得漁翁夜打魚。右斷橋漁火無數寒鴉閃閃還。海天空濶夕陽殘。就中安得元暉手。描出重重紫翠巒。右金華落照可惜明堂樑棟姿。孤生石上老無爲。危根莫歎風霜苦。淸節當年起聖師。右石上老松</text>
<title>挽鄭生</title>,<text>老益多情淚每含。尋常聞死亦衣添。人間最是難堪處。白髮衰翁哭壯男。髫年諸伴悲臨穴。衰白偏親哭撫棺。借問九原能記否。無情只是一靑山。</text>
<title>挽柳昌原 莘▣</title>,<text>用知零落幾人存。又向靑山哭送君。頭白此生前路近。佳期更與結泉原。</text>
<title>挽黃生</title>,<text>兄弟並隨慈母去。應知孝友夜臺俱。生者不知死者噫。哭聲終日徹雲衢。</text>
<title>有感</title>,<text>忽忽悲雙鬢。悠悠更十年。跡慙林下士。心負卷中贒。細雨生春草。孤村帶暮烟。題詩非自好。拙語恐相傳。</text>
<title>梳頭</title>,<text>老髮梳千下。淸窓已向晨。揮時霜滿手。垂處雪渾身。漸覺蘓前癢。仍敎刷舊塵。朝來又洗面。病骨更精神。</text>
<title>洗面</title>,<text>一洗又一洗。朝朝洗更淸。仍敎心境凈。復使眼花明。正好看文字。端宜養性靈。如何王介甫。垢面過平生。</text>
<title>眼暗</title>,<text>眼暗書難讀。燈前歎老深。遙看猶了了。近見轉沉沉。彷彿行纔識。依俙字莫尋。雖然還不惡。此理會諸心。其二眼暗驚身老。餘年問幾春。飢寒兼共迫。疾病且相因。縱或妨看月。猶能好避人。不須要快視。天地滿胡塵。</text>
<title>用唐人韻。題草堂。</title>,<text>草閣臨高頂。牕看白鷺洲。天時惟仲夏。山氣似新秋。興是緣佳客。詩難語俗流。君能今日至。一笑共凭樓。</text>
<title>喜雨</title>,<text>喜雨通宵注。朝看水上阡。岸花紅艶艶。庭草綠芊芊。枉了憂無麥。居然覺有年。誰家借黃犢。明日欲耕田。其二酷見前年旱。方憂此歲飢。皇天應不殺。好雨却知時。允合千人望。能令萬物滋。作詩聊志喜。非獨爲吾私。</text>
<title>遊金汝一 秀南 林亭</title>,<text>四月初晴後。微凉乍似秋。林塘最奇絶。竹樹更淸幽。忽聽佳人唱。能令病客留。有誰借紙筆。吾欲記玆遊。</text>
<title>次浩然亭韵</title>,<text>縹緲無窮界。崢嶸㝡上巓。人間眞特出。物外獨高懸。危檻光搖海。崇軒勢逼天。惟應淸夜月。笙鶴下神仙。</text>
<title>次趙雲壑韻</title>,<text>高義容踈懶。叨陪密席傍。正逢花雨節。團會竹林鄕。酒滿琉璃盞。詩生錦繡膓。端宜續往躅。釀熟有何郞。</text>
<title>用前韻。送別雲壑之京。</title>,<text>杳杳秦川路。春風錦水傍。歸應拜北闕。去卽憶南鄕。惜別重回首。聞歌倍斷膓。聖君方側席。未許久爲郞。</text>
<title>述懷。奉呈釣巖李相國。時白</title>,<text>聖主龍飛日。諸公翊戴年。要興萬世業。盡用一時贒。夕舞花迎月。春歌柳拂烟。環吾東土內。洋溢頌聲傳。</text>
<title>謝城主饋黃橘鮒魚 宋國澤</title>,<text>不惜一書問。兼將二味遺。魚含江海色。橘帶洞庭姿。入手揮金質。登盤粲玉肌。能令慰老母。那得報恩私。</text>
<title>次觀察使元子建 斗杓 韻</title>,<text>棲捿欲安適。衰晩此生涯。世道蒙塵久。天心悔禍遲。梅含新歲意。柳帶去年眉。春色還無賴。難成一首詩。附原韵歲律今將換。人生覺有涯。官醪病後斷。客夜枕邊遲。梅蘂偏驚眼。覊愁剩帶眉。離情此時苦。排悶強題詩。</text>
<title>又次元子建贈別韻</title>,<text>可惜朝正節。還聞戰艦催。逢塲但垂淚。別席強含盃。馬踏邊雲去。愁從海雪來。生前且相見。歸路莫遲回。附原韻此夜人皆惜。天時到子催。不眠非守歲。有酒且拋盃。舊疾春難去。新愁曉更來。鄕關隔風雪。魂夢亦遲回。</text>
<title>次靑霞權正之 克中 韵</title>,<text>學業三冬富。才名一世元。忽驚尋陋巷。還喜接龍門。落日寬閒野。高秋寂寞村。茅簷好淸坐。莫恨欠歌樽。其二胡猶喜殺戮。天未弔黎元。避世還無策。藏身合杜門。蒼苔封野逕。黃葉擁山村。不謂逢佳客。論文共一樽。</text>
<title>十月聞雷</title>,<text>乾道何時靜。年年十月雷。元非外人事。卽可懼天災。修省祥仍至。因循禍始媒。願將斯二者。吾欲獻靈臺。</text>
<title>傷時</title>,<text>全盛知何日。艱虞卽此時。生涯一丈釰。身世數篇詩。兵革棲難定。風塵跡已危。傷心魯連子。空復入吾思。</text>
<title>憂國</title>,<text>國在艱虞日。民逢板蕩年。羣臣皆自聖。王事孰爲贒。狂虜紛馳檄。邊烽浪報烟。人心好驚動。消息莫相傳。</text>
<title>見避亂人口呼</title>,<text>擧目迷歸路。吾生地自偏。衣冠嗟已矣。文物亦凄然。擊磬期浮海。乘褨欲上天。徒言還未踐。只是對戈鋋。</text>
<title>聞講和述懷</title>,<text>殺戮人將盡。村村鬼哭冤。餘殃及牛馬。積禍被雞豚。草木含悲色。山川帶血痕。銀潢如可瀉。吾欲洗乾坤。其二喪亂何時畢。乾坤殺氣昏。衣冠厭北路。民俗戀中原。處處山頭骨。家家塞外魂。傷心漆室淚。欲灑九重門。其三干戈猶未定。世道日興訛。浪說無聲鬼。虗傳有語蛙。天時已到此。人事竟如何。欲得藏身地。須乘海上槎。</text>
<title>見吳公 達濟 詩感以次之</title>,<text>昔日中郞將。拘留十九朞。堂堂古人節。耿耿夙心期。雪裏丹衷苦。雲邊白鴈遲。東韓許多士。君獨是男兒。</text>
<title>無題</title>,<text>寂寂人愁坐。孤村欲雪時。㥘寒緣抱病。排悶賴唫詩。世路從前險。吾行到此危。滄浪一片月。夜夜夢中思。</text>
<title>與元方伯重會金山寺</title>,<text>昔年蕭寺會。勝跡復來尋。玉洞晴烟斂。金壇宿霧沉。君方厭驛路。我欲入叢林。共被離愁惱。終朝費苦吟。</text>
<title>次元方伯贈人韻</title>,<text>悄悄誰知者。孤心正似僧。殘年一身病。寒夜五更燈。懶拙才無用。優遊學未能。因人聞玉韻。還覺此燈澄。</text>
<title>遊竹村</title>,<text>竹村遺俗美。鄰里尙敦和。燕飮隨時節。琴樽對物華。南國征徭重。西關戰伐多。玆遊不可數。得酒且長歌。其二好會因佳節。林亭日正和。白頭雖落莫。紅袖亦繁華。草色連空遠。烟光向晩多。逢歡兼別恨。不敢聽纖歌。</text>
<title>丁丑十月初七日。大雪。</title>,<text>雪是豊年瑞。斯言豈我欺。從前已驗得。向後可推知。大亂初經日。殘民欲散時。區區志此喜。非爲老夫飢。</text>
<title>庚辰</title>,<text>庚辰非舊歲。閏月亦新正。農事春來急。人心亂後驚。藥因多病盡。詩爲遣愁成。忽此逢佳雨。悠然看草生。其二南國春初動。西關鶴未還。乾坤何日泰。民社此時艱。不覺生爲樂。惟知死是安。中宵仰屋處。只有淚痕乾。其三我是迷津者。長歌行路難。家貧知稅重。身病㥘春寒。世亂何由定。窮愁不自寬。忽看梅柳發。佳節亦憂端。</text>
<title>喜成士強 以健 來訪</title>,<text>窓外靜羣籟。燈前宜細論。那知今夜雪。更對昔年樽。已老嗟哉我。長貧命矣君。生涯正相似。從此欲源源。</text>
<title>題朴仲武幽居八景</title>,<text>窓外新梅發。寒宵月上枝。銀蟾含冷蘂。玉兔倚氷姿。素質本同尙。淸光相與宜。道人忘世事。聊此托心期。右梅梢素月力疾淸晨起。要看出峀雲。霏霏連野樹。靄靄掩山村。莫作宮中夢。須捿物外軒。當時神女說。千載謾紛紜。右楚臺朝雲蕭瑟聞寒韻。淸風生竹枝。每從閒處至。偏與靜中宜。縱是無情起。還如有意吹。令人發深省。書罷欲眠遲。右竹林淸風半畒石塘小。芙蓉生在玆。縱然爲水植。元是得天姿。詠德濂溪說。知音太白詩。老夫長對此。幽興十分奇。右石池芙蓉種得梧桐樹。亭亭出竹欄。初期棲鳳集。晩欲作琴彈。夏榻淸陰轉。秋簾滴露寒。端宜醒心處。明月夜中看。右竹欄梧桐春雨初培植。孤根衆卉俱。始看霜後發。方識物中殊。採是陶徵士。餐惟屈大夫。吾今亦相伴。馨德免爲孤。右霜後黃菊樹外寒鴉噪。雲邊夕照濃。霞橫紅片片。峀露翠重重。杖錫僧歸寺。尋巢鶴返松。不禁詩興動。揮翰強疎慵。右金崗夕照閉塞凋羣木。靑松雪色明。不緣經凜烈。那得信堅貞。獨保千年節。能全萬古名。索居無伴侶。聊與結幽盟。右雪裏靑松</text>
<title>重遊鳳棲寺</title>,<text>鳳去何時返。還看彿宇開。路迷秋後葉。石滑雨餘苔。三十年前事。依俙夢裡來。摩挲舊名字。存歿只堪哀。</text>
<title>初雪</title>,<text>兒童報初雪。却使老夫驚。歲律知將暮。餘生問幾齡。靑春無舊伴。白髮有新莖。忽憶前頭事。從今歿亦寧。</text>
<title>書齋。次崔直卿韻。</title>,<text>吾衰寡儔侶。末路得崔生。久別心如渴。相逢氣欲醒。志高難合俗。才大孰爭衡。一笑兩無語。悠悠塵外情。其二白石踈林下。端宜歲晩居。倩僧開草逕。養鶴守茅蘆。逈望靑山郭。平看碧樹墟。逢君多意緖。握手更躕躇。其三久病誰相問。經旬不啓關。聊因萬事廢。剩得一身閒。落日靑山外。輕陰綠樹間。有時凌絶頂。携客共躋攀。</text>
<title>送梁廣文</title>,<text>存歿百年內。相看無限情。宿雲歸海樹。殘雨過江城。宇宙三人老。乾坤一室淸。那堪送君處。斜日聽蟬聲。</text>
<title>次聽潮軒韻 李汝勤</title>,<text>正値深秋後。登臨海上臺。天空惟有月。水凈更無埃。鴈逐寒潮落。帆從暮雨來。浮生百年內。能得幾徘徊。</text>
<title>凰山寺。次友人韻。</title>,<text>高嘯倚東林。仍爲長短吟。僧眠山磬靜。雨宿野雲深。交道傷存歿。閒談雜古今。誰知一室內。佳會是同心。其二寂寂古叢林。無人和苦吟。老隨貧共到。愁與病俱深。天地猶依舊。干戈獨至今。凄凄不成寐。萬事摠傷心。</text>
<title>秋夜卽事</title>,<text>落葉滿庭際。空齋秋盡時。愁多猶強酒。病劇且除詩。世亂身難處。道窮命可知。倘成浮海志。一笑破塵思。其二寂寂空齋夕。蕭蕭落木時。家貧那得酒。身病不成詩。佳節還無賴。窮愁只獨知。寒蛩如解意。凄切助相思。</text>
<title>挽趙雲壑</title>,<text>欲識先生德。要看取比宜。貞松出澗壑。仙鶴避喧卑。蹟未登靑簡。功惟在絳帷。侯芭老且死。地下更爲期。</text>
<title>挽金同知</title>,<text>南極星精動。公惟稟得專。玄曾孫滿室。九十四行年。異爵從天錫。殊榮擧世傳。今登玉樓去。摠道是神仙。</text>
<title>挽尹僉知</title>,<text>鉛槧初從事。中年始學弓。常言死於國。終不有其躬。骨肉歸黃壤。精魂化紫虹。回看仗鉞輩。平日聖恩隆。</text>
<title>挽吳進士</title>,<text>素性際拘檢。蒲團不掃塵。與時長齟齬。隨分任沉淪。一夢世間客。千秋泉下人。平生溝壑志。識者更沾巾。</text>
<title>挽金季鷹</title>,<text>喪亂兼凋謝。餘生復幾時。夫君又云歿。吾道轉堪悲。古氣誰知者。今人或笑之。病中違執紼。獨卧涕空垂。</text>
<title>挽李汝勤</title>,<text>未瘳經年疾。終悲入地魂。眼前無一子。身後只孤墳。素幔飄江月。丹旌拂海雲。平生知己淚。更灑聽潮軒。</text>
<title>挽蘓子愼</title>,<text>幾灑凋零淚。今君益可憐。淸詩未鳴世。窮命又無年。破屋苦侵逕。荒村草沒田。貧妻與弱子。生理竟蕭然。</text>
<title>酒席。敬次雲壑趙丈呼韻。</title>,<text>草芳南浦曲。花明北砌傍。佳節不可孤。陶然卧醉鄕。席上白首翁。樽前紅面郞。老少各爲詩。相與吐錦膓。此樂豈可極。淸唱送夕陽。人生死卽虗。誰復問石羊。</text>
<title>用杜詩十八韻。贈崔靑山直卿。</title>,<text>吾贒倜倘氣。合向古人求。尙志窺三代。馳心狹九州。途窮未嘗哭。瓢匱不曾憂。峻語驚時輩。淸文忤俗流。獨來尋陋巷。同往上禪樓。老暑方當夏。微凉乍似秋。百年徐孺榻。萬古李膺舟。講學慙衰懶。論詩忝唱酬。風塵從晦塞。天地入旃裘。吾道終安在。斯文亦已休。從今迷去住。何處任沉浮。蓬島山南畔。蘆洲海上頭。其間有奇勝。此地庶淹留。好事雖曾誤。佳期合晩收。德鄰要久敬。仁里貴和柔。難與俗人說。只當知己謀。林風吹別席。山日起離愁。贈律非云好。期君繼此遊。</text>
