<title>僧伽寺別贈待可學長 乙亥</title>,<text>故人信宿歸。落日千峯夕。悵望立空門。烟雲勞遠目。</text>
<title>次朝發高嶺韻 二首</title>,<text>故國別多日。關河秋盡時。行藏萍不定。棲息鳥無枝。欲灑丈夫淚。寧爲兒女悲。滄洲吾道晩。華髮爾先知。漢道方全盛。邊秋虜不驚。將軍歸玉塞。壯士入金城。日落寒山影。霜殘遠樹聲。客行悲白髮。策馬度遼營。</text>
<title>次路逢南兵有感韻</title>,<text>一怒應無敵。同仇幸有人。臨危敢愛死。許國已忘身。腸掛烏鳶樹。魂飄瘴海濱。饅頭棲白草。冥漠荷深仁。</text>
<title>次有所思韻</title>,<text>萬里觀周客。恩私荷聖君。長瞻漢北闕。不盡海東雲。老馬夜知道。征鴻悲失羣。孤城寒柝響。無寐獨多聞。</text>
<title>次沙河夜韻</title>,<text>地近黃龍塞。深秋白鴈來。風霜時苦晩。老病日相催。擊柝可憐子。無衣寒夜哀。遲迴戎馬久。那得好懷開。</text>
<title>次過六州河韻</title>,<text>鷗鳥淸江裏。征衣雙髩踈。長途窮阮籍。秋雨病相如。靑眼何須哭。白頭肎負初。殘生吾已了。一室有琴書。</text>
<title>次書狀嘲行路人韻</title>,<text>歧路遑遑者。何爲滿面塵。應緣衣與食。不覺髩成銀。冠玉徒觀美。莊珠只喪身。黃金看欲盡。然諾恐難親。</text>
<title>次關王廟韻</title>,<text>結義桃園裏。收功汗馬塲。江東視兒戱。鄴下欲鷹揚。老瞞窮奸槖。阿蒙誤智囊。英風留古廟。颯颯暮吹長。</text>
<title>次東關夜記夢韻</title>,<text>聞君說夜夢。使我動悲顔。溫凊誰相問。覊棲久不安。門閭身獨倚。朝暮眼長寒。遊子征衣淚。縱橫臉謝丹。</text>
<title>次題皮背子韻</title>,<text>鹿皮爲背子。免受北來風。絶勝黃綿襖。何須寒女工。霜晨最得力。畏日可忘功。歎世非吾事。無衣願始終。</text>
<title>次觀海韻</title>,<text>大瀛呑宇宙。淼淼自千秋。童女何時渡。仙槎八月浮。秦皇思駕石。精衛謾塡流。欲逐扁舟去。蒼茫落日愁。</text>
<title>沙河江途中</title>,<text>客行萬里道。秋盡欲還鄕。北望胡山衆。南臨遼海長。逢人多帶甲。躍馬更撚搶。戰地妨儒服。空催兩鬢霜。</text>
<title>次曹庄夜記夢韻</title>,<text>十二巫山峀。黃紬眠夜床。不曾離下界。應得近仙鄕。樓逈秋風篴。船明錦繡粧。知君爲我夢。早晩得無忘。</text>
<title>次騎𩣭韻</title>,<text>日暮連山道。蕭蕭驅馬遲。艱難成白髩。憔悴向明時。匣古蓮花澁。籠殘羽翮悲。淸波鷗鳥戱。萬事樂無知。</text>
<title>次邊城兒韻</title>,<text>十歲邊城兒。騎𩣭何處驅。金鞭日下拂。泰岳眼中無。莫向章臺道。早淸遼海隅。誰知漢飛將。結髮事平胡。</text>
<title>次刺暮歸女韻</title>,<text>香拂烏紗面。雲凝翠黛頭。相邀少女伴。却向大堤遊。背立膓堪斷。回看貌可羞。天姿難用餙。姸醜欲誰尤。</text>
<title>次詠瓢韻</title>,<text>老圃收秋實。霜殘苦葉凋。山居喧可厭。窮巷樂還饒。何必多三爵。惟恐任一瓢。邊民太平樂。耕鑿不知堯。</text>
<title>次逐兎韻</title>,<text>趯趯草中兎。獵夫爭亂呼。寒蟾宜爾伴。走狗奈人驅。三窟徒虛計。空林豈遠圖。不逢殷網祝。生晩亦堪吁。</text>
<title>次坐車韻</title>,<text>途中卸鞍馬。日暮還坐車。汲汲緣底事。遑遑何所如。求安翻可畏。欲疾去逾徐。只喜尋前轍。行行庶復初。</text>
<title>次烟臺韻</title>,<text>一身負何罪。萬里長戍邊。縱得刑章免。那期性命全。豺狼隣賊窟。氷雪迫寒天。死作關山鬼。哀哀誰汝憐。</text>
<title>次紅螺山韻 聞元亡時藏寶玉於此。毁者必殃。</title>,<text>元帝紅螺廟。秋風百草長。匹夫不可得。寶器何用藏。指點行人笑。流傳異事荒。百年天道變。過客至今傷。</text>
<title>次十三山韻 庚辰以書狀過此堡。爲㺚虜所圍。故及之。</title>,<text>緬憶庚辰歲。歸來十載間。胡戈耀霜日。殺氣動陰山。燕塞今無戰。秦城早閉關。獨憐前度客。非復舊容顔。</text>
<title>次十三山古寺韻</title>,<text>萬仞峯頭寺。居僧欲問名。凈緣元不殺。眞界又何城。險絶猱飛度。高臨鴈草平。禪枝看宿鳥。飄轉客心驚。</text>
<title>次閭陽朝霧韻</title>,<text>宿霧連天地。寒暉不放明。茫茫成大海。漠漠失前程。嚴警邊秋意。稽留遠客情。依俙廣寧樹。猶似洛陽城。</text>
<title>廣寧敎塲觀兵</title>,<text>玉塞烟塵靜。深秋壯士閑。軍容張海日。陣勢學常山。一鼓千麾合。重圍萬馬環。䧺威有如此。肎使隻輪還。</text>
<title>次書狀和韻</title>,<text>風雲開陣勢。霜日耀威容。壯士飛虓乕。中軍瞻子龍。星流看躍馬。般雷聽撞鐘。陰雨居安備。鴻基頌荗松。</text>
<title>次滯雨廣寧韻</title>,<text>漠漠深秋雨。迢迢關塞愁。只令歸路滯。非爲主人留。霑濕床寒重。蕭踈髩雪羞。如絲縈客恨。竟日不知休。</text>
<title>次九月晦日韻</title>,<text>雨後晨光潤。天邊宿霧藏。正當秋盡日。獨作鴈隨陽。禹迹閭山峀。堯封漢水鄕。空殘床玉鬢。蕭颯路何長。</text>
<title>盤山途中</title>,<text>一夜寒窓雨。天涯歸夢何。人生莫作客。秋盡未還家。留滯黃金盡。艱危白髮多。朝來又策馬。古驛望中賖。</text>
<title>次長墻阻水韻</title>,<text>遼河秋水至。旱路見行舟。只畏三竿日。遙牽百丈溝。客懷念浮海。吾道欲乘桴。平地看如許。風波足可愁。</text>
<title>高平舟中</title>,<text>百丈通濠裏。孤舟水驛邊。篙師牽纜語。童僕倚檣眠。魚戱波間日。人行鏡裡天。蓬瀛如可到。直欲泛湖船。</text>
<title>西寧堡</title>,<text>遼西秋盡後。寒岸帶蒹葭。落日三官廟。回船太子河。自憐霜鬢髮。猶記舊經過。天地沙鷗影。吾生豈有涯。</text>
<title>疲馬嘆</title>,<text>霜落秋郊草。玄黃影獨哀。枯箕恒不厭。執策歎無才。未見涓人市。難逢伯樂回。橫行爾有足。一展待時來。</text>
<title>途中</title>,<text>遠客薊門路。新霜草樹凋。歌桑張子廟。洗馬祿兒橋。伐叛懷唐將。徵賢想漢朝。蒼茫今古意。落日更迢迢。</text>
<title>夷齊廟 二首</title>,<text>客行北平路。獨立暮江濱。義也扶而去。聖之淸者人。歌哀薇一曲。城古竹千春。死不食周粟。高風與誰倫。古樹寒霜後。平灣野水濱。傷心孤竹國。不見採薇人。北海今如昨。西山秋復春。君臣太寥落。微爾可扶倫。</text>
<title>重次高嶺驛韻</title>,<text>入關歸心絶。出關鄕思多。今宵宿高嶺。幾日渡遼西。漠漠海天遠。悠悠時月賖。雨中足凉氣。有酒是誰家。</text>
<title>次福川試院契會軸韻 甲午</title>,<text>乙酉春。公爲銓郞。時以京試官往于湖南。時羅州牧使則鶴峰金 誠一 也。錦山郡守則宋 廷筍 也。俱爲試官。同福縣監金 富倫 爲都會官。高敞縣監李 弘業，泰仁縣監李 從運 爲差備官矣。甲午秋。公爲慶尙監使。則金同福爲同知。以契會軸示公。故公次其韻。金同知字惇叙也。一別南州院。蒼茫信不通。重逢喪亂後。百感畵圖中。對酒靑山暮。傷時白髮同。瓊琚投贈意。欲和語難工。</text>
<title>懿仁王后挽詞 庚子</title>,<text>鳳幄風烟古。龍崗草樹凋。那堪聞薤露。無復聽鷄朝。仁懿羣公議。慈良萬口謠。年年社飯日。長憶女中堯。</text>
<title>送朴應邵赴燕</title>,<text>小海新膺命。星槎趁賀班。啣綸辭鳳闕。仗節渡龍灣。別路春初動。歸期月幾彎。鸎花時易失。樽酒待君還。</text>
<title>挽衡山正</title>,<text>未滿荀龍一。侯門赫葉輝。如何太零落。之子又長辭。伯道傷無繼。東床幸有依。郊原有新卜。丘水正堪悲。</text>
<title>送姜晉興 紳 勉卿出宰永興 幷引</title>,<text>僕於令兄。年過隨肩之長。而居同閈官同秩。得酒則同醉。醉後則同樂。自少至老。無日不相同也。况同有老親而榮養之願亦同。適有北路同歸之願而偶未得同也。則其行也能不悵然。不辭荒拙。錄奉五言一律。只露衷悃。幸賜和敎。迢遞關河道。離鴻月下嘶。那堪暮年別。又値菊花時。風土常宜愼。音信且莫遲。一樽千里外。何日不相思。</text>
<title>送別李蒼石 埈 叔平朝天之行 進退格</title>,<text>鰈域重煕運。靑宮少海輝。東民延頸久。北極降書遲。瀝血天墀奏。啣恩日下歸。孤臣餘一寸。珍重送行詩。</text>
<title>題德陽遺稿。奇服齋遵所著 次許美叔 篈 荷谷韻。</title>,<text>盥手披遺稿。吟哦倍悵然。空懷濟斯世。那忍說當年。公議堂堂在。詩篇句句憐。淸標猶可想。風月浩無邊。</text>
<title>贈妓</title>,<text>問汝愁何事。愁深人不知。梧桐雨滴後。蜀魄月明時。指下泠泠曲。心中脉脉思。靑樓好風景。一倚淚如絲。</text>
<title>挽金東崗 宇顒 肅夫</title>,<text>南服窮經士。西淸勸講臣。深憂進退一。苦節險夷均。旅泊他鄕日。歸魂故里春。鑾坡舊僚在。白首倍傷神。</text>
<title>送婦弟金汝遠還鄕 進退格</title>,<text>亂後偏驚別。天涯又送君。悲歡不忍說。離合更堪論。嶺路新冬雪。江樓日暮雲。臨分無限意。欲贈已忘言。</text>
<title>送金昌遠宰江陵府</title>,<text>送客溟州路。相看鬢似銀。萍逢三載久。交契百年親。嶺上梅初發。河橋柳欲顰。那堪別後思。獨作望鄕人。</text>
<title>次曺汝益 友仁 梅湖軸中韻 甲辰暮春安東府使時。</title>,<text>形勝襄陽地。聞君卜一宮。經營憑老釋。結搆費新功。入戶山無數。當堦菊有叢。菟裘吾亦老。相憶渺雲空。</text>
<title>次閔伯紀韻贈別</title>,<text>癸酉新司馬。君登丙子名。靑春渾是夢。白首有何成。寥落悲前事。支離笑此生。他鄕一樽酒。去住各忘情。</text>
<title>贈恩陽守 丙午春</title>,<text>校局三年久。忙齋雨更風。如何功未報。忽此譴還蒙。得喪皆天數。悲歡任塞翁。靑春物色好。莫使舊罍空。</text>
<title>送別</title>,<text>白雪元同調。陽元和獨難。相逢一樽酒。此別萬重山。歲暮羣芳歇。時危老膽寒。最憐籬菊凈。猶帶傲霜顔。</text>
<title>松都舊有斯文會。廢而不擧三十年餘。今幸獲覩。是豈但一邦之盛事歟。感懷之餘。遂占一律。錄奉席上諸君子。因冀瓊報。時則癸丑陽月下澣也。爲留守時</title>,<text>寥落麗王國。蒼茫歲暮天。斯文尋故事。盛會列長筵。秩秩開樽俎。泠泠奏管絃。象賢遺澤在。山仰思悠悠。樗散松都守。悠悠二載強。杯乾無意把。心弱不禁傷。病葉已辭樹。寒花猶傲霜。故園歸思切。一夕九魂揚。</text>
<title>次門西生賦二十韻 甲午</title>,<text>皇風開泰運。帝德足瞻聆。漢道方懷遠。周治庶措刑。雕題盡通道。毳幕欲無庭。渤海鯨猶怒。陳家將未醒。重關驚破竹。一怒震如霆。葵藿寧容採。蓮花已發硎。邊謠思小范。飛將得今綎。壯畧風雲卷。游魂海島靑。長歌聞入塞。杖鉞獨漂萍。川路還家夢。他鄕送客亭。包茅欺白日。勳業上靑冥。遠客愁兼病。天涯影吊形。繡衣聯轡幸。蒲質望秋零。白雪元同調。芳蘭可挹馨。臨危須報效。靡盬敢遑寧。際會逢千載。何時致四靈。孤懷常耿耿。華髮易星星。越膽難忘耻。燕山早勒銘。西暉反哺切。長日寸心惺。渺渺西方遠。空歌隰有苓。</text>
<title>七家嶺夜。口號十韻。</title>,<text>衰顔關塞遠。黃葉九秋時。殊俗難爲態。寒宵影獨隨。繁憂嫌夜永。長路覺行遲。白髮那容待。丹心只自知。風塵故國淚。沾灑暮途悲。歲晩空搔首。民哀願察眉。重煕周道復。盡瘁漢臣誰。忠信平生事。艱危未可期。光陰携鏡懶。消息問人疑。漸欲收雙涕。亡胡已不支。</text>
<title>挽鄭相國藥圃 琢 子精二十韻</title>,<text>南斗名賢一。儒林早見推。芸香豈淹滯。玉署正委蛇。敭歷淸華遍。風雲際會奇。澄淸出關嶺。覊的備艱危。佳氣還金闕。筍班舊羽儀。危言霜雪凜。勁草疾風知。黃閣聞賢卜。蒼生可起疲。誰能容直道。只合賦歸辭。時事危如髮。儒臣去不遲。鄕關某邱水。嵩洛夢差池。晩節吾知免。深憂退亦隨。銓衡忝郞屬。湔拂荷恩私。善誘常提耳。推誠更去皮。遨頭幸▣▣。杖屨獲陪遊。談笑春常藹。杯樽席屢移。告歸還怱怱。惜別重噫噫。嶺樹長瞻憶。凶音遽遠馳。天時亦可卜。小子欲依誰。宿德留靑史。遺風在白眉。寒杯無路奠。和淚寫哀詞。</text>
<title>挽通判尹公 六韻</title>,<text>去歲黃花節。同在上壽筵。佳辰猶昔日。良覿奄重泉。不忍遺篇在。休論慶報綿。潘輿悲獨返。萊竹痛深纏。晩契吾何託。浮生只自憐。遙遙送丹旐。白首淚雙懸。</text>
<title>挽廣南君李公 光岳</title>,<text>矯矯萬夫䧺。乘壇大樹風。危時一長釰。高鳥避良弓。草木知名早。山河策伐崇。病纏由盡瘁。謗起孰明衷。淸蘖連姻識。長城爲國恫。迢迢廣陵樹。丹旐帶嘶鴻。</text>
<title>挽習靜閔先生 諱純一。號杏村。</title>,<text>東魯茫茫緖。靑邱有幾傳。斯文不墜幸。夫子間生賢。習靜心常逸。安貧意愈堅。襟懷貯秋月。世利付魚筌。孝友成吾性。行藏聽彼天。一官宜擊柝。數邑賦歸田。啓手今知免。煎膠誰續絃。吾生更何托。世道益堪憐。遽飭延平柳。空悲茂叔蓮。平生恩義淚。寂寞灑重泉。</text>
<title>送鄭生時赫之中原</title>,<text>逢君今六載。愛之卽骨肉。飢寒與共之。不願有離別。如何遽告歸。使我心慽慽。欲留不得留。此意君應識。春風正淡蕩。嶺路梅應發。持之欲贈行。寒枝不堪折。</text>
<title>送金昌遠赴任江陵</title>,<text>平生分手時。解道前期易。如何此日別。難禁丈夫淚。一日已三秋。况復路千里。窓前梅欲發。晴波洛水涘。</text>
<title>送金汝吉還湖南</title>,<text>我非愛酒者。勸君何太苦。秋風一夕起。遠客傷離抱。一杯復一杯。路入千峯暮。</text>
<title>送兒</title>,<text>去年送汝歸。西山飛白雪。今年又送汝。炎程積旱熱。年年送汝時。使我催白髮。此時珍重意。茫茫不盡說。</text>
<title>挽禹錦山 伏龍 見吉</title>,<text>去年哭許友。今年又哭君。吾生太衰病。能復幾日存。九原如得會。收悲可懽欣。此理竟渺茫。驚號獨斷魂。遺愛九州民。巷谷爭來犇。圖書空四壁。孤寡徒煩寃。陽春和彌寡。誰復理龍門。秋夜苦無眠。哀鴻那忍聞。已矣勿復道。誰知我懷煩。</text>
<title>僧伽寺。次待可道中有吟韻。乙亥</title>,<text>誰劚瓊瑤揷翠巒。朝朝新色異容顔。逢君盡日禪窓話。占得天遊境界閑。</text>
<title>夜坐聽雨</title>,<text>半夜空堂燭影斜。忽聞窓外雨聲過。杏花消息應非遠。欲解春衫問酒家。</text>
<title>與功彦同登東巖。望浦霧有吟。</title>,<text>夜來風雨曉來收。起向東臺霽色稠。宿霧欲沉平萬壑。銀海浩渺碧螺浮。</text>
<title>次功彦雨後月臺卽事韻</title>,<text>僧歸石洞暮鐘鳴。雨後千峯意思淸。晩向東橋望不極。嚴城十里翠烟橫。</text>
<title>別功彦夜坐有吟</title>,<text>半壁靑燈夜向闌。客懷孤寂枕生寒。遙知九陌傳淸漏。離思依然定一般。</text>
<title>和功彦呈諸彦求和韻</title>,<text>西峯落日漸看看。會待松欞月影團。堪笑故人多病㥘。急呼殘衲閉春寒。</text>
<title>次功彦南樓夜興韻</title>,<text>懶扶藜杖立空門。古木生陰日已昏。輕靄不妨山外望。一燈明㓕近江村。</text>
<title>過蕩春臺。次功彦韻。</title>,<text>荒臺雲沒舊繁華。流水靑山尙不訛。最是夕陽魂斷處。數聲寒杵響山家。</text>
<title>次而敬蕩春臺懷古韻</title>,<text>往事興亡經幾春。祗今來往有閑人。東風不盡當時恨。芳草年年一㨾新。</text>
<title>次而敬途中韻</title>,<text>巖邊來訪數枝紅。淸艶空藏古澗中。莫恨尋芳人不到。天香不待薦華宮。</text>
<title>次見吉別功彦歸家韻</title>,<text>昨晩逢君話別愁。今朝相送上門樓。人生百歲無多日。太半離懷惜去留。</text>
<title>次而敬醉後懷待可慰見吉韻</title>,<text>松間新月影霏微。醉後多情倚石扉。誰道碑峯千仞隔。歸心忽逐嶺雲飛。</text>
<title>臨別贈功彦</title>,<text>芳草新生欲滿溪。送人情思更悽悽。可堪今夜南樓月。回首春城望眼迷。</text>
<title>次功彦路中留別。寄諸君韻。</title>,<text>懷君昨夜夢相隨。今日招提又別時。從此山中春意好。一壺成約恐遲遲。</text>
<title>次功彦霄字韻</title>,<text>醉後微吟向碧霄。一眉新月在松稍。令人忽憶山中客。歸夢寧知去路遙。</text>
<title>夜坐懷見吉</title>,<text>東風送客漢陽城。離思傷春撥不平。寥寂一庭山雨過。落花門掩更多情。</text>
<title>次功彦夢見月梧。示諸友韻。</title>,<text>春愁多惱對花眠。遙憶情人對花眠。獨倚山窓成假寐。廣陵迢遞隔山川。</text>
<title>次功彦東臺韻</title>,<text>古寺黃昏鳴暮鐘。前溪流水聽舂舂。怊悵廣陵人不見。春風多意對三峯。</text>
<title>次功彦碑殿卽事。憶月梧韻。</title>,<text>何處鐘聲山外聞。嚴城十里動寒雲。廣陵消息無人道。春半離懷苦憶君。</text>
<title>送而敬</title>,<text>春來遊子偏多感。空對閑花笑不成。今日送君無限意。白雲迢遞漢陽城。</text>
<title>次養初夜酌懷見吉韻。戱善應。</title>,<text>春雨濛濛去路遙。客懷何以過今宵。自憐縮地無奇術。空羡飛禽度碧霄。</text>
<title>別朴少年</title>,<text>翩翩海外雙飛鳥。一夕風雲化一身。雖値佳期還易阻。石門携手謾霑巾。</text>
<title>自城到僧伽。聞諸益登山有寄。四首</title>,<text>晩來春雨欲收遲。倦馬山門強策羸。何意故人先我去。武溪花下負歸期。雨後千巖霽色奇。滿山新綠動新姿。更憐葉底棲殘艶。留待遊人獨繞時。山嵐暗霽報新晴。雲棧風生客袂輕。林外歸蹤追不得。却從殘衲閱題名。夜雨風雨送殘春。也識山靈故有神。應恨雲林汚塵躅。一時䟽滌待遊人。</text>
<title>旣望南臺集句</title>,<text>步出南臺月正明。李。 滿山松影十分淸。石。 懷人更倚巖頭立。洪。 回首碑峯暮靄橫。禹。</text>
<title>次劒水遇雨 甲午</title>,<text>花如紅錦雨如酥。雙馹翩翩興不孤。明日浿江橫桂楫。一杯思潤肺腸枯。</text>
<title>途中</title>,<text>重踏幽燕去路塵。一秋虛作遠遊身。歸心漸覺秦關近。多少烟㙜入望頻。</text>
<title>旅舘夜。次前韻。二首</title>,<text>露下秋空絶點塵。關河片月影邊身。薊門今夜多辛苦。滿酌流霞莫厭頻。故國江山戰伐塵。天涯猶作未歸身。傳聞漢將收靑海。還渡遼河送喜頻。</text>
<title>安四耐 慶昌 軸韻 三首</title>,<text>我欲置身夷惠間。暮年更慕赤松閑。何來門外安居士。勾引詩情到碧巒。悲莫生離樂莫新。兩忘悲樂獨斯人。雲山到處皆其屬。見輒欣然岸葛巾。爲生當處有無間。有便爲忙無始閑。無到十分猶未盡。海雲飛去見蒼巒。</text>
<title>在關西時。次僧軸韻。</title>,<text>閑是孤雲凈是僧。不妨呼我凈閑朋。夢逐孤雲入僧舍。碧蘿凉月更千層。</text>
<title>在奉化。次僧軸韻。</title>,<text>太白山中雲密師。手持霜繭強求詩。歸去碧峯明月夜。萬松淸韻勝新詞。</text>
<title>次僧軸韻</title>,<text>爲問太白山中人。早晩行歌紫芝曲。風塵役役鬂絲垂。欲往從之山路黑。</text>
<title>甲辰二月。淸河縣寶敬寺作。</title>,<text>湖上春陰帶小寒。樓臺縹渺有無間。風流勝賞還堪惜。新月初昇要再看。</text>
<title>落淵</title>,<text>秋光滿眼媚斜陽。楓葉紅酣菊蘂黃。晩向沙汀橫一篴。碧峯烟月更蒼茫。</text>
<title>自落淵先發。宿臨河縣。錄奉趙月川 穆 士敬。二首</title>,<text>笑殺天公眞戱劇。故敎飛雨灑行程。無端臨夜臨河舘。玉立秋巒夢裡明。半日陪遊半日仙。蒼顔華髮照寒淵。歸來更結淸都夢。翠壁浮空月一天。</text>
<title>敬次月川壽席韻</title>,<text>洛中高會成陳迹。千載風流更幾人。八十年來享淸福。一天雲月獨精神。</text>
<title>少憇廓然亭。始望月川精舍。偶吟一絶。聊寄景慕之懷。仰希和敎。</title>,<text>層巒曲曲帶晴川。流水桃花鏡裡天。借問主人何事業。滿懷風月自無邊。</text>
<title>淸源堂奉月川丈。因憶去年勝會。錄呈小絶。兼示同會諸君子。</title>,<text>花柳依依三月暮。二年佳節客重回。滿川寒玉淸如許。知是陶山一派來。</text>
<title>次金昌遠見寄韻 二首</title>,<text>窮愁如海病還添。老守方知百不堪。安得洛江爲美酒。一斟嬴得一春酣。鄕思逢春日日添。落花踈雨更難堪。忽憶城東舊知己。一樽凝綠共誰酣。</text>
<title>贈弟</title>,<text>君詩多態出逾奇。遇興吟哦我亦爲。此會人間知有幾。肎論京洛醉裙兒。</text>
