<title>江上別友人</title>,<text>缺月漁村曉。孤舟水國秋。杯傾人已遠。停棹更夷猶。</text>
<title>次林石川 億齡 贈月出山僧彗遠韻</title>,<text>海鎭峙月生。不啻南山節。連峯表裡雄。僧廬新舊結。剔髭唱梵臚。如來枉豪傑。遠也年尙少。貌瑩寒江月。道岬昔相知。歲暮棲風雪。一別換星霜。夢寐愁孤孑。今來抱黃卷。索敎誠頗切。山途險拖氷。朝夕脚皴裂。嗟予事鹵莽。莫與庸人別。門羅雀聲嘈。逕草朋蹤絶。禪科況新設。物外遭鞿緤。乘馬盛驅從。氣焰煮手熱。伊何好相舛。如食舍炰鼈。雋永入淡泊。虀根還可舌。出鶴會歸山。雲苔封故穴。悵望不能追。逸氣慙前列。元韻晉時有高士。乃是陶靖節。視世一鼠肝。喜與名僧結。廬山山之秀。遠師僧之傑。逍遙白蓮社。握手虎溪月。其事播宇宙。淸風洒蘭雪。嗟予後先生。天地一身孑。大嘯月出山。高與浮雲切。海風吹九井。吹我荷衣裂。遠也住其中。古僧無分別。出入雲萬重。遂與世人絶。予猶俗緣重。中間塵勒緤。每望倚晴峯。使我肝肺熱。如今復棄官。曳尾泥中鼈。吾當巢雲松。永息蜀厖舌。秋風會歸去。爲我掃巖穴。將使千載後。名與陶翁列。</text>
<title>敬老亭</title>,<text>殊方十年客。故鄕今歸矣。茅亭水際構。非爲遊觀事。敬老燕於斯。揭石良有以。村中往事改。耆舊存無幾。養之不可遲。一社皆人子。丁寧戒諸子。愼勿隳其始。唐虞世無異。孝悌而已耳。</text>
<title>題紅葉</title>,<text>未央宮中秋欲暮。凉威一夜霜滿空。上林千樹葉盡赤。飄零萬片隨西東。美人睡起感年華。玉淚暗濕羅衫紅。幽懷脈脈不敢語。捲簾搦管臨凄風。題詩何用薛濤牋。葉間膩墨香霧濃。吟哦腸斷知者誰。只有御溝鳴玲瓏。寧將泛水出城去。有情庶與人間通。干卽眞箇有心者。一讀未了先感衷。波原寄赴聊戱耳。誰知已入香笥中。風流一朝好緣成。十年鸞鳳棲深叢。傳媒舊葉字尙明。一笑豈非由天公。從來有情解感物。何羨月老繩滿絨。君不見太玆樓上桐葉題。亦與此事奇緣同。</text>
<title>曹娥碑</title>,<text>蒼茫斷岸草蘺蘺。荒碑半倒龜趺危。笞衣深合字尙宛。披拂一一猶言之。娥年廿四德成孝。自擬奉養無違離。豈意卽罷不自重。逆濤千頃爲沈屍。江邊走哭雙眸枯。一十七日精神疲。哀哀此生不復見。寧投波底魂相隨。却訴馮夷覓父屍。依然抱出江之湄。遺骸免被魚鼈食。天實使之非人爲。何人刻立三丈石。美迹載以瓊琚詞。雨蕩霜磨神鬼護。千年留與騷人悲。停驂讀罷一回顧。茫茫落日江無涯。</text>
<title>鸚鵡洲</title>,<text>黃鶴樓前鸚鵡洲。涵天碧江平如油。蘆花兩岸雪紛披。遊人正値西風秋。稱君遺塚今何處。白沙十里迷寒眸。當年才調天下奇。名動四海驚凡儔。如何到處不見容。將身屢陷曹劉謀。終然江夏謾罹快。冤骨葬處烟波幽。平生一賦人所慕。揭作洲名千古愁。楓林迢遰芳草歇。詞魂日暮應夷猶。停驂此日訪陳迹。洒淚蘋渚心悠悠。空學些吟擬楚招。吳天萬里愁雲浮。</text>
<title>巫山神女廟</title>,<text>天邊碧峯橫十二。遊人暫憩楓林間。陽臺夢罷雲雨散。尙有遺廟留孱顔。錦衾瑤席無處尋。壁間古畵苔班班。虅蘿引蔓補屋罅。寒溪繞戶鳴潺潺。時將羞殽能幾薦。行人旁午來躋攀。當年神艶是虛幻。夢魂一去難復還。終然世人指爲實。廟宇無乃憑神姦。好怪末俗何足道。悠然獨倚碑石頑。雲間猿叫聽未了。一陣行雨過前山。</text>
<title>銀橋</title>,<text>華淸宮裡秋風新。太液池面波紋勻。君王憑欄御夜凉。明月正當三五辰。薄雲散盡玉露零。長天澹澹無纖塵。仰眺氷輪九萬里。餘輝尙可爽精神。倚桂蟾蜍搗藥免。欲見彷彿知無因。羅仙元自上界客。遊賞廣寒知幾春。期將異境駭俗眼。戱擲桂杖撑蒼旻。須臾化作橋千丈。直掛雲端橫素銀。參差危級穩宜躡。攀登可作姮娥賓。終敎至尊餐沆瀣。暫曳寶舃辭紫宸。迹着空虛若平地。快勝駕鶴東海濱。九霄冷氣逼肌骨。忽見玉闕高嶙峋。俯視塊蘇是何許。霓裳羽衣還相親。歸來怳怳付一夢。新翻異譜驚世人。仙梯一滅難再攀。幾時望月空逡巡。那知胡馬騁秋風。西作劒門奔逃身。棧梯縈紆接九天。蕭蕭獨去饒悲辛。却憶銀橋更斷腸。行宮夜夜沾衣巾。由來君道不外求。貴用至德臨臣民。承調日月足云美。詎向物外仙爲隣。胡爲一身慕淸靈。禁闥引接方術倫。觀燭廣寒復遊月。役意荒怪何其頻。終然國步際顚倒。銀橋無賴扶傾淪。風流爭似趙知微。秋空翳月誠堪嗔。携筇步上天柱峯。不用銀橋訪上眞。</text>
<title>鐵狗行</title>,<text>君不見秦時李太守。伐石刻犀巴江口。又不見漢家武皇帝。鑄銅範馬高如阜。千年奇勝到東海。還敎寶鐵融成狗。繁華帶方古稱國。厥初好事誰調剖。堅鐵猶帶戀主心。豈比泥車隨戱走。廣寒樓下作司閽。未許暴客干牕牗。桃花妙粧逈獨立。影入鵲橋秋水溜。三生似恥盜肉語。日啖桂麋哺瓊糗。追飛摶走渾未貫。綏綏有狐難爲嗾。人知投骨不可招。狎翫自有瀯溪叟。叟乎其人美且偲。墮耳重環眞得偶。淸齋日永書滿几。梨園粉黛紛麤醜。亂吹繁管戛慢絃。陵看崇案樽澠酒。靈馴眞似唐苑馬。啣杯拜舞稱萬壽。春花秋月樂未畢。南涯一去歸期久。形容瘦已似喪家。蓬毛誰爲掃塵垢。不向人中更乞隣。何曾掉尾因俛首。孤樓夜寂夢未溫。星河正蘸官街柳。風鴉翻樹缺月昇。耿耿漏鍾聞曉扣。望仙一路接通衢。紛紛過客迷前後。狺狺猜吠日未休。始信蒯生言不苟。憶曾泗水澳醉臥。縱有所賣那忍負。似聞遺迹托神仙。隱松樓觀依巖藪。高緣未忘舐鼎時。仙家白雲輕可蹂。況知道友有靑蓮。踏象弄鶴終無咎。走參淸契亦甚樂。一日趑趄恒八九。不是鶉江不可泗。不是寶鎖難解紐。道傍豺虎摠非害。只怕閨中獅子吼。</text>
<title>韶石</title>,<text>咸池遺響久杳寂。洞庭波浪搖秋碧。愁雲鼎湖已斷腸。況復韶州見韶石。韶之方奏春繞石。律協八音純更繹。率舞鳥獸感神人。祥風鼓德吹遐域。韶之旣闋雲鎖石。九成淪散山寥闃。猿鳴鳥嘯澗聲咽。空巖無處尋幽迹。重華當日豈徒哉。要用至音和乖逆。紛紛管絃賞山水。荒耽後世那堪責。悵望南薰不可見。西風日暮騎驢客。斜陽掛山石無語。回頭九疑雲政白。</text>
<title>黔驢</title>,<text>噫噓嘻世人不量力。動乘小忿旋妄侵。輕躁何知自保計。凌强鬪大災相尋。誰敎微獸冒此辜。哀哉驢也死於黔。江舟載入已非樂。況復放棄窮山陰。形貌空大何足誇。異鄕猜訝虞憂深。淸泉豊草▣▣▣。尙可畢命依山岑。山君威猛慴百毛。危乎倉卒於空林。魂驚遠走是云幸。蔽林窺覬終何禁。宏聲縱非捍禦具。猶可微駭消機心。胡爲狎習不自愼。欲將短技防暴臨。雙蹄難可敵爪牙。骨肉委碎叢榛森。由來出技以怒强。畢竟鮮不爲所擒。息侯滅蔡身竟殲。胡子掠楚邦亦沈。紛紛賭禍不自省。蚍蜉撼樹元非任。柳州刺史玩世翁。光年坎軻南海潯。秪憐昧者好乘物。托斯引譬陳規箴。麑干非類鼠竊時。並垂三戒傳至今。其言雖是未必有。事貴驚世吾所諶。不辭揮翰述微詞。重與病狂當砭針。</text>
<title>護花鈴</title>,<text>長安城裡雨初經。長安城上烟冥冥。春光先到五侯家。東風淡蕩吹階庭。百花齊綻弄韶華。紅紫耀日爭光熒。叢叢窠窠密成林。暖雲低壓蒸芳馨。風流公子雙眼開。半脫錦幘憑虛欞。把酒多時惜妖艶。秪恐春盡隨凋零。生憎烏雀不解事。亂集梢上紛未停。踏破殘蘂啅軟葩。有如嘉穀遭蝗螟。金丸彈去亦徒勞。欲盡驅逐將何令。新機巧出網羅外。紅繩滿綴黃金鈴。枝間橫繁百餘尺。忽然風動聲玲玲。嘈啾相顧不敢近。飛散豈啻驚雷霆。園欄寂寂掛夕陽。萬條帖妥環樓亭。逡巡遊宴喜有餘。撫掌暗語誇威靈。年年歲歲管此樂。將身幾醉還幾醒。繁華一朝不可留。臺傾苑癈莎草靑。只將奢侈買幾貶。護花之說垂千齡。山中老夫事幽淡。東風一夜搖紫扃。簷前亂卉已布繡。扶筇獨賞時携甁。只將開落付天公。遮莫野鳥棲交翎。喃喃好語政可伴。何況懸鈴驚彼聽。</text>
<title>大鯉上龍門</title>,<text>龍門之山高拂雲。河源萬里天河奔。山下潛鯈不知數。跳躑欲上難爲援。中有大鯉眞異物。衝波一躍驚濤翻。心期不是魚鼈伍。氣勢已欲江海呑。奮鬐直上三級上。震雷一聲天地昏。飛騰九霄變化去。腥風陣陣吹山根。噓雲吸霧薄日月。快注靈雨浸八垠。俯視昔時同隊魚。尙將點額蟠沙痕。從來神物不終蟄。會須振翼凌乾坤。十年學海有潛鱗。搖尾經欲尋龍門。何當掉鬣破巨浪。一雨下土蘇黎元。</text>
<title>文章憎命達</title>,<text>長嘯激昂眄宇宙。胸中五岳高崚𡾓。堪嗟古來翰墨徒。崎嶇嶒嶝紛相承。草堂杜老豈虛語。有命似被文章憎。士生天地異凡庸。才氣落落雲霄凌。螢窓遊藝不暫停。盈床典墳神所憑。心期直擬燠皇猷。豈欲媚世求譽稱。詞源倒流三峽水。文彩萬丈神光騰。天孫雲錦脫塵機。綠池波淨披荷菱。英名共許華國手。金馬玉堂身宜登。如何不遇揚得意。飛詔永斷天門徵。一官未授顔已衰。垂簪白髮空鬅鬙。飢寒困苦何足道。人間禍患紛相承。平生所負反爲祟。悲吟到處愁難勝。萍蓬飄迫竟莫補。後來祗得騷人矜。奇才豈是害身物。古來窮阨何相仍。治安賈生落長沙。春秋董子江都丞。柳江又見子厚老。昌黎揭揚罹炎蒸。寒郊貧島未須言。吟哦有似蛟與蠅。獨憐謫仙李翰林。風儀軒豁南溟鴻。調羹御床未爲貴。夜卽萬里山千層。知音杜陵有布衣。一生自許金蘭朋。應憐坎軻寄幽憤。詩詞苦楚非寬弘。流傳千載指爲例。騷林遺誦悲塡膺。窮鄕今日一書生。十年映雪隣山僧。高風縱未涉古人。奏技豈讓時輩能。胡爲奔走困風塵。名參薦書猶未曾。長吟聊復訢不平。搦毫盡日心兢兢。</text>
<title>傳鐵狗書</title>,<text>秋霖嶺北共霑襟。滯雨長安獨無衾。我是丈夫猶欲死。爾誠兒女作何心。</text>
<title>無題</title>,<text>春晩長安欲夕暉。俠途楊柳正依依。廣通橋畔仙娥過。風送天香襯客衣。</text>
<title>塔松。幼時作。</title>,<text>一尺靑松塔畔栽。塔高松短不相齊。傍人莫恠靑松短。他日松高塔反低。</text>
