<title>九歲作此。偶續成之。自註。上句兒時作。</title>,<text>白日落西海。化月歸東海。陰陽自循環。造化無定態。</text>
<title>彈平調</title>,<text>溫溫更安靜。心悅氣自怡。此意吾自樂。何必他人知。</text>
<title>曉坐謾吟</title>,<text>開窓凉氣至。當曉始知淸。高天澄且肅。蟋蟀近人鳴。</text>
<title>朝坐。與仲舒論小學。自註。秋厚之說。乃君範言。</title>,<text>朝來氣淸凉。客曰秋已厚。相對無他言。從容講五事。</text>
<title>夜坐</title>,<text>明月雲間出。光輝混乹坤。精神十分靜。徐然誦經文。</text>
<title>朝坐</title>,<text>烏性隨陽氣。朝往暮復回。人可不如鳥。動靜無恒哉。又東嶺日初昇。南山佳氣浮。恭默儼然坐。心虛氣自悠。</text>
<title>晨坐</title>,<text>曉天猶有月。乹坤混澹虛。閒中無雜事。靜坐念經書。</text>
<title>月夜</title>,<text>月明風不動。天無一點雲。靜極含動意。森然怳有聞。</text>
<title>曉獨坐</title>,<text>淸晨恭默坐。心中淡如水。孔孟或後先。顔曾在左右。自註。叶。又默坐誦論經。如侍孔夫子。吾友不在斯。誰與同此意。</text>
<title>冬夜月色正明朗。獨立於廣庭中。四望野色山光。曠然心甚洽然。寄興寫懷。</title>,<text>月明心益靜。儀容自儼然。聖心無査滓。天道自乹乹。</text>
<title>月夜</title>,<text>月白乹坤濶。胷中覺浩然。常保此氣象。庶幾聖與賢。又夜深羣動定。風月自悠然。靜立西亭上。朗吟大雅篇。</text>
<title>旅舘翫雪聽溪</title>,<text>明月照雪上。玲瓏發光精。閒人中夜坐。涓涓聽溪聲。</text>
<title>曉</title>,<text>曉月照窓虛。閒人夢初罷。澄心無一物。恭默儼然坐。又明月揚光輝。乹坤淡且凈。輪廻誦古經。怳見卷中聖。又凝神儼若思。自可見天道。主此常不已。庶幾到卓爾。</text>
<title>春風歌</title>,<text>春風之和兮。氤氳六合。化行浸浸兮。萬物咸樂。鳶飛于天魚躍于澤。物物各得其所兮。是曰帝天之極。</text>
<title>月夜</title>,<text>夜深羣生靜。帶月挾冊歸。無人如人見。恭立整冠衣。</text>
<title>雷霆歌</title>,<text>天有至陽。爲陰所亢。包久則欝。氣一則壯。疾氣所迫。勢將震擊。泄而光爍。薄而聲暴。暴聲振蕩。物皆警惕。思我過愆。旣警且悟。焚香危坐。敬天之怒。又天有疾氣。爲陰所爭。噴而爲光。薄而成聲。起於何處。終於何許。在天曰雷。在人曰怒。爰有知覺。孔義其武。肆厥威風。素㥘動物。厥聲一震。物物振揚。我思舊愆。心焉如迷。恭默危坐。敬天之威。又天有義氣。遇邪則發。暴聲震撼。物皆驚躍。東西走藏。莫知攸施。人之動怒。臣妾僕婢。縮容潛聲。如飢如癡。如禽之畏。于天之威。矧伊家長。其可不愼。同班而暴。尙難堪忍。况爲長上。主管生殺。和顔柔聲。尙有餘烈。矧玆太嚴。使不得白。矧玆家長。愼之敬之。念玆在玆。戒斯在斯。毋偏毋僻。毋妄毋暴。以此恕彼。哀矜勿喜。</text>
<title>次從兄韻</title>,<text>願將誠敬箒。灑掃神明宅。理義爲其主。私邪乃是客。</text>
<title>庚申陪家嚴。寓居玄石村。厥後家嚴遭奸㐫三金兩閔之讒。謫雲陽。上知其無罪。欲令有司之臣放釋之。二金與閔南四人。連五次遏沮之。遂不諧。厥後連有四五次大赦。擧國死囚以下。盡得蒙釋。而外方謫客則道伯或書入於放秩。或書入於禀秩。上達天聽。待其命令。䂓例也。其時道伯柳奸。拔之不書。恐書則蒙放也。其爲用意奸巧。故終不得蒙恩。終於謫所。覆載之間。安有如此之至寃極痛哉。言之哽咽。不能成說。今己巳六月。訪友于西江。過此舊里。感而成一絶句。</title>,<text>山川依舊舊時顔。滿目風光拭淚看。蒼茫烟樹迷江岸。細雨濛濛薄霧寒。</text>
<title>次仲舒兄謾吟韻</title>,<text>日午風正微。閒鵲在前林。檻外漢水流。虛舟泛水心。順流自有所。莫爲風浪侵。</text>
<title>題春秋</title>,<text>先王大法載於經。萬古綱常日月明。經中深意深如海。義鉞潛威亂子情。</text>
<title>夜坐</title>,<text>靜坐對明月。夜凉覺秋新。此意誰能識。上下有鬼神。</text>
<title>夜坐</title>,<text>明月滿庭白。閒人坐夜中。志一斯氣一。琴聲自從容。</text>
<title>次夢烏亭韻 自註。亭在美湖上。</title>,<text>削立雲空大一層。湖山千里畫中憑。蒼茫林抹黃昏月。明滅波心㓒夜燈。卜宅偶然同五柳。潔身非是學於陵。從今怡養江湖上。經濟山林或是能。</text>
<title>泛美湖</title>,<text>鏡面波閒泂若空。水中蟾影正玲瓏。雲烟面面蒼茫色。夜靜天寒不動風。又此日誠難得。不樂復爲何。乘流閒上下。明月照澄波。</text>
<title>至日</title>,<text>靜而復動。其義在復。君子存養。克新厥德。</text>
<title>詠盆梅。次白鵞堂韻。</title>,<text>玄酒淡且淡。無樽亦無杯。貞則復元始。天心先到梅。</text>
<title>次夢烏亭韻。贊太湖先生。</title>,<text>宦津風浪起層層。莫放輕帆入此憑。隱鼉性貪迷藥餌。飛蛾無智撲殘燈。三山暮勢當西極。一鴈寒聲自穆陵。推幻轉常眞早事。此翁之後繼誰能。</text>
<title>月夜</title>,<text>明月茫茫流淸輝。鏡天浩浩星辰稀。隔林何處送遠聲。北村犬吠人獨歸。虛庭樹陰踈。遠空山光微。野濶景自好。夜深興正幽。興正幽不可涯。不可涯亦有涯。所以無流思。悠然獨立西亭上。時有光風灑巾衣。</text>
<title>午浮江</title>,<text>雲映江心帶日紅。金波萬頃撼瑤空。靜看波底澄無極。誰掃丹靑玉鑑中。</text>
<title>悼尹屳丈以勉 自註。公性聦敏。操心淸高恬靜。見世之將亂。杜門脩煉。不與世接。博覽經史百家。見識該博。年七十餘。以天年終。</title>,<text>昨夜微星奄晦精。蜀簾無復叩君平。默坐細詳公氣像。月林風靜露華淸。</text>
<title>詠江上風雪</title>,<text>靑山有桂谷維蘭。佇立斜陽思萬端。江送氷風吹雪㥘。嶺含殘日近西寒。獰威疾勢噓人急。烈氣侵膚出面難。誰致陽和回作泰。大令天物盡平安。</text>
<title>押前韻</title>,<text>道源在己盍推端。博約從來力可殫。甘閔自能輕富貴。服顔方得任飢寒。四時常敬元非易。三月全仁又是難。誠學倘追曾氏篤。定於他日素而安。</text>
<title>自警</title>,<text>危哉人欲制之難。主敬工深內可安。流習移來思易苟。自欺萌長念多奸。外除倘未矯偏性。內達何能擴本端。默數生平多少事。忸怩懷塞滿腔寒。又暗室無如人欲危。戒於幽隱省於微。抽身快脫塵烟外。默數平生事事非。又財色令人易陷非。水綿漸漬是危機。一毫倘未消融盡。氷炭胸中互作迷。又知非難也踐之難。灼火忡忡不自安。扶正須咽調氣劑。養神宜服降邪丹。存仁克己心斯靜。捨己從人量孰寬。多愧生平多少事。願悛前過服曾顔。又 自註。因調病。怠惰漸長而作。水之初漬火初燃。斷欲須要先斷源。人之損益皆疹疾。點檢生平自悵然。又從今愼勿責人言。自愧靈臺隱惡源。査滓着腔消不得。倘微存省詎歸元。</text>
<title>悔</title>,<text>寶鏡當時誤蔽迷。幸而能免大磷淄。天神上下昭臨在。余所欺心必厭之。</text>
<title>江上偶興次韻</title>,<text>江上淸風陣陣來。綠蘋魚躍浪花開。磯頭日暮漁歌起。打得纖鱗得意回。</text>
<title>又次韻</title>,<text>千里雲烟拱檻前。一江風月兩無邊。此間春興知多少。好是羲軒皓皓天。</text>
<title>春朝</title>,<text>東窓日已映。幽鳥話前林。閒中無雜事。默坐點身心。[以下落張。]</text>
<title>三角山</title>,<text>搏攫何年正氣融。屹然䧺立勢磨空。尊嚴且有優容態。千里江山度量中。又削立芙蓉勢絶倫。化翁當日此凝神。巍巍氣貌尊天上。卓爾三峯最白雲。</text>
<title>詠天下形勢。東方形勢。</title>,<text>大氣凝形大布張。自註。比大量。 域中名勝最東方。自註。吾道東之意。 山川相讓蘓杭地。禮義皆知魯宋邦。高處三峯天未尺。括來千里海爲囊。䧺蟠永作蒼龍首。藐彼諸山孰短長。</text>
<title>道峯山</title>,<text>萬丈高峯揷入空。勢如兵馬下雲中。千形百態俱騰踴。造化當時幾許工。</text>
<title>寶盖山</title>,<text>寶嶽深深秀氣融。德容淸肅儼遙空。逶迤自作含弘勢。萬疊雲烟抱括中。</text>
<title>白鷺洲</title>,<text>曾已聞名白鷺洲。偶然占得一時遊。巖頭依舊仙人跡。人去巖空水自流。自註。屳人。卽楊士彦蓬萊也。</text>
<title>炎程得風喜作</title>,<text>峽路崎嶇甚不平。轉由平野廣如枰。苦炎無計堪疲熱。天借長風順我行。</text>
<title>詠太古先生寓居 自註。卽從兄𤂪氏。</title>,<text>鴟山盤海曲。中有白雲栖。種藥開新圃。鑿塘引小溪。深林鸎語亂。幽逕燕飛低。習懶藏弓矢。山禽得意啼。</text>
<title>奉次御題隆武堂韻恩字</title>,<text>如天如地壬辰恩。東土之人爾敢諼。射海久無連弩手。大舟空作巨魚呑。</text>
<title>又年字</title>,<text>七曜無光五十年。山河萬里楚氛纏。誰能噓吸回陽泰。大播明光曁北埏。</text>
<title>奉次日新軒韻</title>,<text>求仁都在省吾躬。精一從來允執中。洗滌須要査滓盡。日新方得大收功。又日斯之邁日斯征。鏡面光生漸覺明。持敬倘無涵養力。體仁那得一於誠。</text>
<title>再次江上詩韻</title>,<text>春風浩蕩渡江來。吹盡纖雲萬里開。波心忽有漁人笑。任得輕帆帶夕廻。</text>
<title>朝來聽蟬</title>,<text>曉色初收遠峀邊。柳陰深處起炊烟。蟬聲忽報三庚伏。未久西風動昊天。</text>
<title>松陰喜風 自註。二水浦寓居。</title>,<text>東湖烟月別爲區。誰幻丹靑作此圖。風來萬里淸心熱。便覺松陰六月無。</text>
<title>自賀自戒自責自勉 自註。占吉㐫。得屯比之爻。</title>,<text>母氏仁明愛我誠。掃除妖孽一家平。須於每事加三省。恐有餘根得再萌。屯所戒辭毋遽往。比之爲德利居貞。從今願革生平過。無復他時一髮生。</text>
<title>遊山</title>,<text>尊重優容勢自安。魁巍獨出九霄間。天邊一吸含西海。雲裡千重擁衆山。朝括橫彎之屈曲。秀氣䧺壯也橫盤。平臨浩蕩淸明界。錦繡彬彬萬野斑。</text>
<title>登蓬萊嶺。望京都。</title>,<text>歇馬松陰逸興遅。蓬萊山色欝參差。一條細路緣崖上。三角危峯入眼奇。門柳晩來烟氣暗。禁林深處麗光垂。雲啣殘照鴉聲急。正是靑山欲暮時。</text>
<title>卜居 自註。二湖浦。有蓬萊山。湖之一名鑑湖。</title>,<text>偶得神屳界。蓬壺接鑑湖。登山忽有見。烟樹是京都。</text>
<title>次鄭戚丈 搏 韻 自註。字萬里。公性仁厚寬柔。坦然寡欲。貧窮人所難堪。公處之泰然。不與人爭利爭詰。隣人愛敬。不輕聲色。不言人過失。敎子弟頗有法。以廉潔爲尙。臨事思義。命窮空老可惜。</title>,<text>江水彎爲百里湖。蓬萊形勝別成區。養閒謝意功名上。誰是山林大丈夫。又二水沿洄別作湖。恠來畿甸有屳區。省尤分合長貧賤。林下甘爲一匹夫。</text>
<title>次鄭丈仙遊峯韻</title>,<text>萬古登臨作勝遊。崔巍百尺石爲樓。攔流撑作千鈞勢。地任還將嵑石猶。</text>
<title>夜看太虛。淸圓如鏡。盖得月而尤明鮮。氣像浩蕩快爽。心神豁然。有作。</title>,<text>望月流輝滿太淸。夜光還擬晝光明。澄如磨洗琉璃色。萬里昭昭一鏡平。</text>
<title>夜坐見初月喜作</title>,<text>明光生戶牖。新月映簷茅。靜來邪慮息。天理自昭昭。</text>
<title>漫興</title>,<text>愧來無德體生生。一入蓬壺意自淸。携杖獨登西嶺望。密雲千疊壓重城。又蓬萊洞裡寄閒生。學海波連鏡水淸。乘興獨尋幽靜處。雨餘溪瀑自新聲。又 自註。望三角道峯。野色微茫入眼明。萬山風靜霽嵐輕。蓬萊峯上披雲坐。重疊芙蓉散太淸。</text>
<title>入京暮還逢雨</title>,<text>誤遊塵世却還來。雷雨多心促我回。忽見祥光雲外露。此間知有小蓬萊。</text>
<title>續前自勉</title>,<text>我過不勝數。作詩以自責。過多詩亦多。所以贏六十。餘意尙未盡。續詩所以作。莫以隱暗中。謂之無人迹。乹坤在上下。鬼神在傍側。昏朝與晝夜。隨處無不及。所以戒隱慝。恐或再萌孽。所以常持敬。恐或有作輟。人之有不善。勿喜潛摘抉。攻己不自暇。何暇攻人惡。所以不求備。恐或流苛刻。人有犯我者。謙恭莫較角。人有毁我者。勿有怨憝色。人有侮慢者。戒勿含拂欝。憤𢜀易失正。恐或流過激。情友或踈遠。至親多間隔。有財莫相爭。恐或生釁隙。釁隙一朝生。陷之於不測。莫近淫邪女。莫近淫亂樂。淫聲易流蕩。淫色易沈溺。萬事盡廢墜。百道皆滅絶。財糓或有餘。周給於窮急。爲我愧楊朱。兼愛非墨翟。念念在一視。庶體上天德。分殊而理一。質諸橫渠說。遷善勿遅留。改過勿吝嗇。人之有法言。聞之勿厭薄。留心勿放過。如斯斯有益。人於交際間。所貴在純直。當面勿曲諂。背面勿反覆。人有不愛附。反身自戒飭。思己先下人。何必要人屈。傲乎妄自尊。不知己無實。千秋井底蛙。笑殺公孫述。與人講道理。因人或有覺。厭然佯不知。退而潛偸窃。他日與人言。便作前所得。人以善歸我。曾所未能度。受以爲己見。安然不知怍。人或有好見。洽洽心所悅。諱言出於彼。便爲己所出。與人有所講。書以相卞質。他日更取觀。所見與前別。追書記新得。發明前所缺。姑留舊文字。使徵於後日。倘惡後有徵。獨自改前轍。我已自前聖。彼尙爲愚塞。我有所著述。恐人或論列。掩卷不要直。但誇媚悅客。人或不諂譽。含默不肯樂。人或中切病。周遮亦辨折。周遮尙不足。杜心自遏絶。不是量狹隘。恐近於吝惜。如斯豈進步。多見其退郤。如斯數病痛。微似小關節。小節亦大節。所可深加察。察之又重察。庶幾無漏失。一或有所惜。難免於邊幅。君子所深警。小人所易忽。誠僞所關繫。勖哉勿泛着。所以孔夫子。諄諄卞聞達。嗟我學業淺。難免有此習。此習倘遺在。終難入聖室。除非涵養力。此根無以拔。嗚呼四勿戒。庶幾爲此藥。辭終別有辭。庶幾醫我疾。我質本燥暴。動靜多麄率。夙興與夜寐。未能遵聖法。肢軆不齊整。氣像欠儼恪。惺惺兩字語。一心之機括。沉潛養之善。庶幾無急迫。明鑑與止水。我願同此物。昭昭復虛明。永永無昏濁。</text>
<title>戒驕慢</title>,<text>人而有驕吝。餘外不足道。非徒德不厚。𧦧𧦧人不付。不付必爲離。非謗則傾害。</text>
<title>歇馬松間</title>,<text>歇馬巖下畔。溪流雨餘淸。人閒心自淡。靜聽松風聲。</text>
<title>戒氣俠</title>,<text>嗟嗟尙俠人。氣像何其麄。自謂尙義氣。皷動一世愚。意實不在義。只在聚朋徒。倘有濟其私。溺人輕於毛。儻惡謂之義。誘之納網罟。愚彼好名人。慨然不顧𨈬。謂己死得所。捨命如秋毫。君親大經法。違之等浮漚。陪臣執國命。猶爲大罪尤。况乎一士人。乃敢無王侯。是謂樂禍人。罪當逢天誅。階亂或於此。深爲識者憂。</text>
<title>學</title>,<text>聖道大且深。茫然不可測。博文與約禮。學莫斯要切。所以靜之養。發恐有差失。差之是邪客。不可容一髮。所以大用工。精察而猛克。邪去理自復。自有自然則。行之有生熟。心之有虛實。一一論工效。庶可有所的。忠厚而篤確。徙義而主一。沉默而齊儼。精密而要實。靜一而澹虗。雍容而不迫。油然冲和氣。藹然天地塞。</text>
<title>戒家長</title>,<text>有家必有長。長乃家之則。爾心之邪正。子弟之脩慝。子弟之脩慝。奴婢之善惡。謹爾之刑罰。怨憤之所集。怨憤之有無。禍福之倚伏。戒爾之呵怒。心苦則悖逆。愼爾之威儀。毋或有差忒。爾儀之脩否。人之服不服。人之服不服。威之立不立。威之立不立。事之得與失。謹爾之言笑。人易窺釁隙。人之窺釁隙。讒妖之所作。讒妖之所作。人倫之乖滅。人倫之乖滅。家道之顚覆。嗚呼戒之哉。孜孜敬脩德。敬哉不間斷。純乎常若一。</text>
<title>夢奇童滿堂中。喜而作上句。覺後續下句。</title>,<text>乹坤聚精氣。釀出諸奇兒。帝意將何欲。幽深不可知。</text>
<title>夢得銀杏。人使我作詩。作二句。覺則忘下句。續成之。</title>,<text>抱得陰陽氣。方圓備其中。自註。夢初以在字充上句。中▣改以備字充之。寤而思之。備字爲優。 三才自成立。生意浩無窮。</text>
