<title>悠然堂夜坐</title>,<text>步葉迥山逕。川原欲夜時。宿禽啼殺盡。溪月石門移。</text>
<title>安東望海樓題詠 並序</title>,<text>往在丁酉年間。我作是州府使。適値天將楊經理鎬領麻提督貴諸將以下軍兵十萬。追倭淸正之行。供帳蒭粮。玆已獨當焉。其間闔境勞苦之狀。至今思之。不覺齒酸。今我杖節重來。遂感而聊以寄懷云。萬曆丁未仲秋。天兵供餉苦難任。十載陳蹤老更尋。只怕軍機雷似疾。早知民怨水如深。靑山有約猶長路。白髮憂時是素心。回首帝鄕雲外濶。一樓斜日獨登臨。敢曰驅馳病不任。海樓遺什遠來尋。飛騰字體龍蛇動。炳煥文章意趣深。玉節依然行部地。銅符愧殺忝先心。悲吟倍切羹墻慕。如見精靈此儼臨。公之曾孫河陽公致相敬次板上韻。</text>
<title>次李東野韻。贈趙雲野丈老。二首</title>,<text>野庄雲物托襟期。此老風流我不疑。綠髮紅顔應有術。煑鉛燒汞欲爲師。西河水漲人留日。東店霜寒鴈叫時。往返相尋如舊約。臨岐無語慰離思。客寓江南眠食何。峽中風物也應差。今年夏雨山田惡。卽日秋霜野氣華。彭澤可憐黃蘂摘。按廉能送白衣多。近來珍重梁君報。祗得酸寒不得他。</text>
<title>衙軒偶吟</title>,<text>坐嘯三年底事成。只多爲吏隱兼名。村深日落牛羊下。庭靜人閒鳥雀鳴。北斗夢回頭欲皓。西山氣爽眼常明。却憐遠峀雲無意。舒卷長天自在行。</text>
<title>送仙槎客章</title>,<text>却憶年前幽薊間。手中征節道途艱。長濠水積波成海。曠野雲多雨滿山。未抵皇州常極目。思歸鄕曲更凋顔。鶯花此日君歸去。霜着龍灣早往還。</text>
<title>挽李錦山 大遂</title>,<text>先春寄我音書至。湖嶺長懸兩地思。豈意陶園尋逕日。遽聞遼鶴化仙飛。靑山無限君埋少。白首何歸老淚揮。獨夜鈴齋愁不寐。那堪風雨冷侵幃。</text>
<title>輓李月川君 廷馣</title>,<text>五百年間此一人。風流儒雅逈無倫。文章大手還餘事。忠義高名照萬春。時論擬推黃閣望。凶音遽自漳江濱。懷恩唯有羊曇在。下哭吾私血滿巾。</text>
<title>輓李藥圃 海壽</title>,<text>端居方可見平生。玉雪爲襟謂不淸。浮世喧卑餘論在。九天寥廓大星明。風流掃地吾安放。死別關心夢亦驚。莫向靈輀歌此曲。羊曇悲涕不勝傾。</text>
<title>奉別禾翁按節海西[石洲權鞸]</title>,<text>卽今宵旰重西方。方面䧺才較誰長。俗喜動搖須鎭靜。事多騷屑貴商量。爲煩公試澄淸轡。要使民歌蔽芾棠。簿領侵尋應少暇。肯容書䟽及滄浪。</text>
<title>送慶尙監司禾翁十韻[月沙李廷龜]</title>,<text>明庭僉擧屬名流。鎖鑰䧺藩地望優。此去政聲應振肅。向來民力困誅求。名傳嶺海千餘里。膽破東南六十州。文獻風謠輸攬轡。山河物色入登樓。沒頭簿牒看遊刃。到手經綸係運籌。器業定從盤錯展。賢勞端爲寵恩酬。殘生悄悄空多病。世事悠悠已白頭。送君幾逢街鬼笑。食貧長任室人憂。花開驛路驚佳節。夢罷書齋憶舊遊。別後湖扉春掩色。詩筒藥佇頻投。</text>
<title>附 輓詞[丫湖辛慶晉]</title>,<text>落地弟兄元自厚。於君契分四般如。同爲累世通家子。又是童年一隊魚。蓮籍題名幸聯翅。天曹接武共推車。死生臨老無涯戚。何况長卿久索居。</text>
<title>處江湖憂其君</title>,<text>渺滄海之悠悠。有幽棲之寂寥。寓心事於嘯詠。寄生涯於逍遙。何耿耿之一寸。懸魏闕兮不弛。志旣切於經濟。固進退之無二。猗丈夫之挺世。擔宇宙之丕奇。君未致乎堯舜。愧有甚於撻市。俗未濟乎煕皡。若己推而納溝。隨行藏而一身。豈窮達而異憂。睹廟堂之崇高。日近親於冕旒。寧富貴之是營。志惟篤於迪棐。及爲澤而居下。邈江湖之千里。身雖逸於淸閒。志難忘於終始。立芳洲之蒼茫。魂每撓於丹扆。卧汀蘭之烟霞。夢長回於魏闕。念君心之十寒。誰輔導而啓沃。思主德之闕遺。誰繩糾而正格。渾薰蕕於朝端。孰取舍而別白。有怨資於白屋。孰陳達而蘓活。心常切於獻芹。誠恒篤於背曝。情逐雲而遠騰。心與葵而長傾。鬂先衰於一飯。眉長蹙於平生。玆盡忠之寸赤。無出入焉一致。惟天下焉憂樂。物何得而悲喜。古之人亦有此。偉元老之忠贒。專懷君而無已。决憂樂之先後。志旣大於雙屈。揖遺芳而永惜。嗟衆人之庸鎖。志惟纏於榮祿。獲納利而欣欣。失錙銖而慼慼。儼軒冕於廊廟。憂罔反於社稷。矧放浪而寬閑。孰有志於家國。彼江臯之逸民。與山林之隱士。非操尙之不高。非志氣之不雅。然忘世而異哉。亦何足以取斯。進亦憂退亦憂。寔君子之得宜。採幽蘭之滿地。微斯人誰與歸。</text>
