<title>春帖 甲午</title>,<text>羲經著復卦。曾傳說湯銘。莫使今如舊。工夫在喚惺。</text>
<title>月夜。與李奇玉 汝玾 呼韻。</title>,<text>十載相逢奏郢音。琴中山水忽千尋。風爭酒力知春淺。月惹詩魂覺夜深。自愛棊中全局手。誰知雪裏閉門心。咸陽客舍孤吟客。強起隨人賭百金。</text>
<title>書懷。上內舅權公。</title>,<text>道田先生浩然巾。高卧林泉歲月頻。心事浣花茅屋夜。行裝安樂小車春。窮來幽趣江山宅。老去閒情詩酒鄰。君子藏修須匪懈。近看巖穴有蒲輪。</text>
<title>書懷</title>,<text>杖藜明月下。極目意茫如。獨樹圓如蓋。邊山曲似梳。思家雲共遠。憶弟星幷疎。歎息仍無寐。羲和着日車。</text>
<title>次從兄 寅經 詠雪韻</title>,<text>山月爭光山鳥驚。今宵如在白玉京。來疑舞絮迎風起。落似粧花入鏡明。已向臘前三夜白。可斯秋後萬篝盈。璚田冰屋眞屳景。何必樓船遠訪瀛。冰簾寒透鶴夢驚。屳侶如將喚玉京。摸得春光花欲壓。先於曉色戶生明。梅隨長笛高低下。潮抱寒磯瞬息盈。思把侍臣衣上瑞。殷勤獻賀入蓬瀛。</text>
<title>甲子九月。與諸長老會道院。至詠歸亭。月夜呼韻各賦。權淸臺相一，黃華齋翼再，李野逸溟，李龍麓麟至，黃荷淵澫，金開湖國采，從兄龍溪寅經。</title>,<text>齋壇梧月上。江岸柳風生。自愛淸江水。淵源一派明。</text>
<title>次淸臺權公韻</title>,<text>適來道正院。復拜淸臺翁。敷色琴書裏。神交道義中。飮河猶未果。聽德豈能聰。欲識先生意。江心霽月籠。</text>
<title>贈琵琶客</title>,<text>琵琶一曲感君恩 曲名。五月江城逗白雲。太平歌詠知誰力。我亦康衢擊壤人。</text>
<title>贈吹笛客</title>,<text>春風赤壁暮江頭。斷續淸音白鷺洲。夕陽芳草高吟興。何似淸宵七月秋。赤壁。在丹城。</text>
<title>冬夜。和從兄及從弟周伯 濟經 韻三首。</title>,<text>不苟求於世。人言此漢牢。簞瓢師亞聖。風月想人豪。只恨新華髮。何嫌舊溫袍。三緘須可戒。今世好吹毛。十年猶未透。名利此關牢。未有功程熟。安能氣象豪。願聞夫子道。不恥仲由袍。可使心如水。何須事若毛。靑山三逕宅。白首閉門牢。計拙儒冠賤。金多市儈豪。宋人爭衒石。秦俗自同袍。吾道非楊氏。何慳拔一毛。</text>
<title>又和七言</title>,<text>蹶然而起剔燈殘。又看年光已向闌。窮巷少人資會輔。老年無計救飢寒。三更炳燭猶非晩。一日行仁是所安。名利關頭曾未透。西京風雨等閒還。十年憂慽一身殘。歡笑隨人興未闌。月代書燈時入照。天憐病骨歲無寒。只因古典尋行讀。粗得吾心觸境安。起向梅枝看物理。隆冬去後早春還。一聲風角五更殘。山雪河冰歲色闌。宇宙百年霜鬢老。松篁一室布衾寒。詩書大讀心無怍。蔬糲猶甘分所安。孤夢不知身世晩。杏壇祇拜聖人還。百年喬木一朝殘。中夜思來夢未闌。只願後生能孝悌。不關垂死任飢寒。世人皆以科名重。吾意惟於儉字安。更把詩書勤勸勉。光陰如水不重還。</text>
<title>大芚寺。次宗人善山倅 斗壽 韻。</title>,<text>連城多少璧。相照若瓊林。話入三更細。情從百代深。喜成新族譜。感起舊碑陰。歲歲同人會。親親一倍心。豐原君顯命爲嶺伯。刊族譜。始祖墓改築立碣。善倅先相公書之。故詩中及之。</text>
<title>外舅姜公嘗植小梅。公歿後河澤厚 潤寬，郭仁卿 榮之 來會感吟。遂次其韻。</title>,<text>草堂人去後。庭畔等閒栽。今春逢舊客。猶送暗香來。</text>
<title>夢得第一聯。覺後足成言志。</title>,<text>少小心期自不羈。年來喫飯外無爲。雲山日暮還棲早。花逕春深採藥遲。正好草堂諸葛睡。休言瑤局幼淸棊。今來世事無關念。只恐諸郞懶學詩。</text>
<title>聽蟬</title>,<text>楚楚其裳嘒嘒音。病牀終日快吾心。聽來忽起高風想。人在東岡萬竹林。李寢郞子純。在栗里之東山。</text>
<title>病中述懷</title>,<text>強起開門瀉鬱襟。乾坤萬象正沉沉。天邊烏鵲秋期近。池上蝦蟆夜色深。狹處方知浮俗態。病中多見舊交心。精神欲試詩篇上。七字將成鎭日吟。無事寒牕坐獵襟。梧桐秋雨暮沉沉。身如韋杜山形曲。愁似湘𤄷草色深。惟有退來三舍計。了無進取一分心。那將好話蘇吾疾。賴有牀頭首尾吟。邇來牀席廢冠襟。天地灾魔尙陸沉。大嶺蒼生爲鬼半。淸朝學士納言深。風雲一代勞孤夢。形勢中原起壯心。莫道迂儒無膽氣。匣中龍劒自長吟。嶺南癘尤甚。重臣元景夏啓請行關造辟瘟丹布民間。○時中原有事。東方亦騷。曉日晴牕起整襟。此心頃刻戒飛沉。師將德性薰陶久。天以聰明賦與深。一世治平豪傑事。千年開啓聖贒心。於斯二者曾留意。今日歸來作謾吟。</text>
<title>八音詩</title>,<text>金井梧桐一葉彈。石壇明月夜來閒。絲垂澤國魚漚凸。竹擁巖扉鳥夢安。匏葉㝡爲佳客饌。土酥難上野人盤。革鞶草屩閒來往。木筆題詩付碧湍。</text>
<title>七夕吟</title>,<text>一夜秋風桂樹開。星橋萬里正崔嵬。空聞銀浦乘槎去。不見緱山駕鶴來。天末暑雲飛細細。月中凉露滴皚皚。九宮屳侶如相遇。願借紅雲液一盃。</text>
<title>曉行</title>,<text>僕夫催曉發。雞唱出城頭。媚月花如曙。乘風角送秋。邨邨聞急杵。處處起眠鷗。漸看雲移去。分明水上樓。</text>
<title>春日吟</title>,<text>天地淸明日月華。三三佳景一年多。均分淑氣生生草。欲謝東風處處花。霽後山容新彩畫。晩來禽語太平歌。草堂春睡無人喚。不覺壺中日已斜。</text>
<title>用前韻。戱贈金徵叔 恒瑞。</title>,<text>平生習氣好繁華。遊賞江南樂事多。白首去看商嶺月。靑春來醉鳳城花。離羣斷鴈空回首。惜別嬌鸎自唱歌。怊悵今朝分手後。任他湖上酒旗斜。</text>
<title>次金徵叔淨襟堂韻</title>,<text>畫裏江山鏡裏樓。居然城市小蓬邱。登臨信覺樓名好。盡日渾忘遠客愁。</text>
<title>次彰烈祠致祭官韻 幷序</title>,<text>壬辰晉陽之陷。義烈崔慶會抱右兵使印。投南江而死。英廟丁卯。游手得是印於矗石樓下潭中。印背書曰萬曆十年三月造。慶尙右兵使印。閫臣聞于朝。自上曠感忠節。親製印銘。仍命鐫印。傳于兵使。賜祭彰烈祠。嗚咽寒江肅穆祠。五更冠佩駿奔儀。也知魚腹孤忠魄。泣下慇懃諭祭辭。</text>
<title>又次致祭官傳印兵使時韻</title>,<text>神皇年號我王銘。顯晦波心自有靈。爲是忠臣携死節。憑渠天下樹風聲。</text>
<title>鄭道翁 重器 爲湖南亞使。相遇於飛鸞舟中。因成聯句。</title>,<text>偶逢佳客共屳舟。道翁。 三月煙花十里洲。儂。 驛路風塵渾洗盡。道翁。 伴鷗亭下辦淸遊。儂。</text>
<title>次謝金上舍翊章 國采 見寄韻</title>,<text>三冬風雪閉荊扉。歲儉山中鶴料微。熬煎不堪千業火。飛昇安得六銖衣。秋霜鏡裏迎來早。楚調人間和者稀。惟有慇懃湖上老。平生意氣不相違。六十一春回舊甲。鶴南飛曲奏新年。懷人石榻梅花下。卧病雲山桂樹邊。浮世存亡俱是夢。小園蝴蝶正堪眠。神交只在吾名敎。俠氣何須結客燕。流光冉冉驚新歲。壯志悠悠惜暮年。身上竆通元有數。胷中風月自無邊。君如老驥思千里。我似春蠶罷再眠。底事酒酣仍攬涕。黃金臺在昔時燕。</text>
<title>早柳</title>,<text>垂垂官道上。送送幾人行。猶帶怯寒色。已含寄遠情。繡牕眉八字。沙塞笛三更。底事無情物。令人恨自生。</text>
<title>白髮</title>,<text>也無人力去秋蓬。泣盡英雄明鏡中。落處憎霜惟惜桼。生時緣恨却非公。雖敎白面殊前後。難使丹心變始終。聞道神屳爲一賊。任他飛雪亂西風。</text>
<title>哭子後過舊寓</title>,<text>洛北人千古。江南草一年。依然城郭裏。孤鶴謾蹁躚。</text>
<title>梅邨寓舍書懷</title>,<text>幷鄕物色尙分留。芳草殘花客恨悠。風月哦詩聲裏老。光陰憂國淚邊遒。有繩可繫靑天日。無地能埋白髮愁。獨有幽人輸興事。長吟傑句勝封侯。</text>
<title>金翊章在靑龍寺。用前韻以寄。又次。</title>,<text>春風雙屐上雲扉。千葉芙蓉接太微。惠好歸來如滿社。慇懃留與太顚衣。欲拋世上千緣去。莫待山中百卉稀。淸福晩年吾有否。半生心事白頭違。</text>
<title>用陶山梅十絶韻。寄金翊章寓案。</title>,<text>東君消息隔新年。別樣春光在眼前。寒徹骨時香滿鼻。臨風三嗅思悠然。臘梅造物破荒生玉人。精神醞藉氣淸眞。不憂虐雪侵癯骨。只怕寒花殿晩春。早梅紛紛六出壓娟娟。折竹聲中老榦堅。曙色寒牕讀周易。鶴山淸致想同然。雪梅冰魂桂魄有奇緣。影入疎枝活畫傳。玉兔搗藥綠衣舞。怳如坐我蘂珠然。月梅旣有凌霜絶豔姿。何無傾日好心期。當時楚客騷中漏。復恐向人人不知。垂梅不憤桃花意放顚。生憎舞女影聯翩。如何點點猩猩血。染盡羅浮獨立屳。紅梅長吟雪谷破荒詞。惟恐顚狂粉蝶知。只爲主人怯寒意。春前臘後遂愆期。晩梅野鳥驚飛苦見猜。梨園恨不帶鈴開。傍人若解惜春意。莫把東風長笛來。落梅紅褪池臺綠影疎。逋屳一夜返蓬壺。已成佳實將調鼎。何必招魂向藐姑。靑梅湖邊屳鶴載人歸。一片楊州但夕暉。南北風流吾所愛。黃昏明月暗香飛。通論梅花</text>
<title>次金翊章韻</title>,<text>山樓消息鴈書回。閒倚烏皮岸鹿胎。結社春來登白閣。問人江上折靑梅。哦詩腸作千金繡。干祿心如一寸灰。賴得煙霞囊裏字。索居襟抱十分開。</text>
<title>次地主李侯 埉 自天臺韻</title>,<text>人間回首劫灰飛。春色依然采采薇。別起樓臺明府至。獨留碑碣主人非。空添志士山河淚。若見皇朝日月輝。江上客來猶弔古。好音誰復慰西歸。</text>
<title>李侯重修舞雩亭。設落成開白場。因呼韻遂和。</title>,<text>點也風乎地。劉公翼彼堂。人高齊倜儻。臺古魯靈光。春水屳舟穩。斜陽白戰忙。落霞孤句。滕閣少年郞。</text>
<title>又次七絶</title>,<text>天地中間有此臺。古人消息只殘梅。可憐三逕俱荒處。猶有淸香襲襲來。</text>
<title>咸昌士林。設白場於儉湖上權淸臺。掌考時蓮花盛開。臺翁作古詩。謹次以呈。</title>,<text>我愛湖上蓮。淡淡照秋水。皎皎君子心。斑斑古人字。有此勸勉詩。爲爾資質美。何不書諸紳。勖哉吾黨士。</text>
<title>道院講會。次芝圃權丈 澣 韻。</title>,<text>眞源淸洛汭。絳帳彼汾隈。面諭周庠士。身霑楚醴盃。嘉言能力學。明德必成材。兩帙洋洋訓。先生曰勖哉。時淸臺以丈席。講大小學。</text>
<title>廣灘舟中。贈鄭士仲 垕。</title>,<text>菁川冬十月。時氣暖如春。流落江湖久。逢迎鬢髮新。東南君志士。風月我閒人。方丈尋何處。斜陽獨問津。</text>
<title>道院。別金上舍國均 衡國。</title>,<text>黌齋一夜話。慇懃古人道。征驂挽不得。杳杳春江棹。</text>
<title>又以雨中蒼壁立分韻。得立字。</title>,<text>依依大江迷。漠漠靑山濕。篙師候征人。暝踏孤舟立。</text>
<title>酬李掌令伯宗 齊華 遊自天臺韻 李謫居本州</title>,<text>憶踏天臺上上頂。仍留宿債綠陰時。風光人去猶無盡。遊賞吾衰亦復爲。佳水佳山渾似畫。春前春後總宜詩。蘇屳赤壁眞緣在。明月扁舟與客隨。</text>
<title>次李夢瑞 獻慶 自天臺韻 夢瑞卽伯宗之子。時爲金泉察訪。</title>,<text>夜夜冬靑哭杜鵑。新亭高處憶前賢。滄桑獨有孤臺石。天地難忘萬曆年。依舊雲煙生一壑。至今風雨戰三川。芳薇采采吾將祭。欲向東溟配魯連。</text>
<title>永慕齋主人鄭祥伯。邀長老。爲七夕會。</title>,<text>名園松竹鬱蒼蒼。近水樓臺意已凉。興廢千年沙伐國。風流一代鄭公鄕。盤堆丙穴纖纖雪。罇瀉羅浮豔豔香。老馬爲駒工部句。慇懃持贈主人郞。</text>
<title>追次自天臺韻。寄李伯宗。</title>,<text>故人消息近如何。鴻鴈秋來尙不過。暇日屳區耽勝去。滿山詩料憶君多。夢回滄海團團月。思入長江滚滚波。想像秋風遊衍地。心如鷂子念新羅。</text>
<title>次李台甫 承延 道南院樓韻</title>,<text>暮天樓閣映殘霞。臺下平蕪鷰子斜。蒼壁依然巫峽雨。東風無限武陵花。詩吟古調靑山色。人待歸程晩水涯。約伴屳區乘興去。森森松柏歲年賖。</text>
<title>道院贈李子美 穥</title>,<text>院齋偶聯榻。儕友盡衰年。後會知何日。相逢是別筵。鸎花三月後。絃誦一堂前。莫唱隱侯什。座中易泫然。</text>
<title>寄鄭成仲</title>,<text>閒花落盡綠陰時。與子三年一見之。天地吾人非寂寂。江湖白髮柰垂垂。長吟宿債詩三首。半掛相思月一眉。通德門前遙寄語。須看淇竹綠猗猗。</text>
<title>用李志彥 重慶 玄鶴。吟寄成仲。</title>,<text>嶧山之陽碧梧桐。亭亭特立于中林。浦上老人心獨古。截之三尺爲孤琴。陽春白雪君休奏。聽我膝上玄鶴音。九皋何時聲聞天。四海何人能知心。閒來一彈復一吟。此曲非古亦非今。</text>
<title>鄭汝強 泰健 宅。次成仲韻二首。</title>,<text>故人不忍別。匹馬來城東。山水希音在。乾坤我輩容。翦燈風雨裏。覓句醉醒中。雞唱催歸路。驪駒曲未終。送子悠悠恨。洛江東復東。簷花明夜色。籬菊老秋容。琴奏鍾期後。歌成白雪中。風塵華髮客。堪愧弱冠終。</text>
<title>重陽翌日。地主金侯 光遇 送酒雞。詩以謝之。</title>,<text>重九黃花尙未開。籬邊盡日獨徘徊。黃雞綠酒酬佳節。多謝門前白衣來。</text>
<title>次蔡舜擧 元凱 韻。贈洪倫叙 聖文。</title>,<text>龍山佳節正含盃。秋到鄕園客未迴。莫怪東籬花意晩。也應留待主人開。</text>
<title>謹次鄕校明倫堂板上韻 幷序</title>,<text>我聖上頒小學書。申諭試講。作人之聖化。猗歟盛哉。在昔慕齋金先生爲嶺伯時。題詩于吾商之明倫堂。勸士以小學。海村趙相公 顯命 按節巡到。與都訓長息山先生追次其韻。淸臺權公又次之。今秋不佞忝校任。遵聖敎勸小學。謹次諸先生韻。仰體菁莪之化。因寓羹墻之慕云爾。天作之君又作師。唐虞三代盛於斯。事親事長諄諄敎。必自人生八歲時。右古者小學之敎卓彼考亭是我師。做人樣子在於斯。輯成千古嘉言行。設敎經殘聖遠時。右朱子小學之書穆穆文王是我師。吾君治化法於斯。寄言小學書中士。須似芃芃棫樸時。右聖朝小學之化吾聞主善以爲師。慕老淸詩尙在斯。濟濟靑襟將事後。明倫堂上仰瞻時。右思慕齋先生吾道南來世有師。里名東魯擇於斯。新頒小學敷明敎。恨不先生在此時。右思息山先生尊爲方伯德爲師。作聖之基斅於斯。更得醇儒居丈席。正當新政勵精時。右思海村相公性好撝謙不好師。魯多君子取於斯。慕翁詩句爲先唱。更賀醇儒輔聖時。右思淸臺令公</text>
<title>謁吉冶隱先生影堂。次致祭官朴韻。</title>,<text>行尋栗里宅。瞻謁葛巾人。試看歲寒竹。何如五柳春。</text>
<title>次李而亨 邇興 新居韻</title>,<text>簷前細雨響丁東。兩夜聯牀一膜通。雪月風花都主管。書生生契不全竆。</text>
<title>贈而亨</title>,<text>一點孤山𤃡水涯。三春消息到梅楂。箇中若有靑田鶴。不讓西湖處士家。</text>
<title>贈李墀 廣州人</title>,<text>憶昨東軒一見親。邇來三月隔參辰。絃中白雪逢知己。天上長庚降後身。肝膽秋空龍氣鬱。襟期歲暮菊花新。問君他夜長安月。倘念商山一醉民。</text>
<title>與水南諸友會道谷書堂。次堂中舊韻。</title>,<text>山上高樓作勝遊。淸風六月客疑秋。忽看巖際銀河落。興入蟾宮博望舟。</text>
<title>道院。贈洞主洪叙一 相朝○二首。</title>,<text>我來淸洛暮。君去故山靑。此夜黃花酒。無人共醉醒。看君雙鬢色。非復舊時靑。自愛盃中物。也應戒獨醒。</text>
<title>往在己酉冬。息山先生主道院。余與叙一陪賞江雪。今冬叙一爲洞主。物色如古。人事非昔。有感拈韻。</title>,<text>詞伯高開白鹿茵。玄冬勸我洞庭春。先生此座奄千古。後死同門惟二人。浮世光陰空老大。中天雪月更悲辛。江山古宅遺文在。擎讀那堪手澤新。</text>
<title>贈叙一</title>,<text>知有前期看竹遊。蹇驢踏雪暮江頭。八賢道大今天下。一貫堂高古上州。吾輩幸生東魯國。今朝又上李膺舟。與君欲泝眞源去。只在吾心豈外求。</text>
<title>次金景涵 光澈 船遊韻</title>,<text>靑龍山下白雲隈。一葉扁舟泛泛迴。醉客依然天上坐。瘦山忽爾鏡中來。論交莫問頭邊雪。歡笑堪聽席上䨓。喜得與君長夜語。高才眞是賀方回。</text>
<title>李上舍敬止 漢訥，李寢郞子純 達中 與南邨諸人遊淵嶽。族從思仲 學經 自其會來傳所作詩。遂和之。</title>,<text>淸詩金石韻相諧。絶景糖霜味漸佳。坐聽遊人談勝事。卻忘炎日到中街。</text>
<title>賀蔡護軍 允中 壽爵宴</title>,<text>公年愈邁福愈遐。人世飄然見鬱華。春色長留南楚樹。天恩偏重地屳家。頭邊舊物團團玉。檻外新香灼灼花。小子聞風歌盛事。蘭亭舊會更堪嗟。</text>
<title>渚谷五老宴。次座中韻。</title>,<text>風日溫溫十月天。紫荊輝映白華筵。何須玉液三淸藥。知有丹砂一洞泉。耕鑿自甘歌擊壤。功名休道畫凌煙。思將峴首羣屳會。添入新圖洛下傳。</text>
<title>靑華歌 幷序</title>,<text>李子純自栗里入靑華。有別舊居詩曰。入洞如無地。依山卽有家。百年甘鳥獸。一壑飽煙霞。老竹方生韻。新梅欲放花。不堪回首戀。持酒且狂歌。又曰。好在東山舍。臨別更依依。粧點松篁色。留待主人歸。余旣悵其遠去。且憐其詩意。以三篇續和之。猶有未盡懷。於是效古人之詞三章。各繫詩下。仍誦朱紫陽招隱二操。于時遙夜漫漫。淸霜浩浩。怳然若和許琴而迭唱。爲之愀然者久之。子純見之。亦必悠然而興懷矣。名山自有主。逸客本無家。方丈筇頭月。金剛鶴背霞。𤃡川朝洗耳。栗里夕餐花。匹馬歸靑華。贈君踏踏歌。歌曰。踏踏歌嗟汝和。人生恨若何。天地一逆旅。光陰一飛梭。靑春冉冉去不住。白髮蕭蕭生更多。屳人邀我授寶訣。東將入海凌鯨波。門前有垂柳。栗里卽君家。忽復入靑華。飄然凌紫霞。娟娟輞川月。撲撲湘江花。此計知長往。贈君招隱歌。歌曰。南山之岑。桂樹之林影蕭森。俯臨霜崖碧潯。上枝下枝秋光深。高人雲外獨往幽尋。我聞山中飢虎晝侵。我聞山中竆猿夜吟。振石巉巖鎖頑陰。魑魅嘯幽濛。熊羆出嶇嶔。君獨胡爲陸沉。空山歲暮無知音。願言思子。臨風勞我心。華山雖絶境。東里亦屳家。庭唳三淸鶴。牕生五色霞。平安醫俗竹。瀾漫映腸花。欲勸三人酒。贈君商嶺歌。歌曰。屹屹商山。淸洛東迤。採採丹芝。于以忘飢。鴻鳳影斷。吾與誰歸。白頭傾蓋。其喜孔大。雲松之遐想。不如金蘭之同志。</text>
<title>栗里歌 復以餘意述之</title>,<text>松篁自鬱鬱。水石相依依。我有小山作。王孫何日歸。歌曰。仰西岑兮怊悵。撫孤松兮延佇。惟玆邱兮可樂。君何爲兮遠擧。</text>
<title>又贈別子純</title>,<text>知君長有好容顔。夷惠之風可否間。卿相家中高蹈士。桑麻影裏隱居山。文章此世將焉用。富貴於君亦不關。何處屳區藜杖遠。𤃡濱風月自今閒。不作春風桃李顔。孤高身世萬松間。漁樵契活安豐士。蕭瑟平生庾子山。人自爭趨靑瑣闥。君能高卧白雲關。屳岑一半如相許。十畝之間我亦閒。大藥休言駐韶顔。屳鄕不離白雲間。居因曠世陶陳宅。人號同居大小山。塵骨每思餐石髓。茅堂相對闢松關。卻從東里歸西嶽。閒者生涯到處閒。君居栗里我商顔。卜築初心隱此間。遊子卽今成白首。故人何處買靑山。春深未訪桃花洞。歲暮先歸紫氣關。試把平生優劣較。紫微司諫判忙閒。紫微號忙。司諫號閒。君曾綠髮我紅顔。逸氣稜稜宇宙間。能事徒知乘駟馬。雄心不肯卧雲山。春風彩鷁驪江水。暮雨羸驂鳥嶺關。茅屋歸來成小隱。薰爐晴晝此心閒。秋風桂樹老孱顔。白石先生謝世間。九轉丹成香滿室。三聲笛罷月橫山。長生寶籙人誰伴。太古玄壇晝掩關。鳥獸同羣何所益。歸耕十畝是寬閒。</text>
<title>贈棊巖主人金厚卿</title>,<text>方丈之南小洞天。午雞聲出白雲邊。仁川擇處君爲智。石室行尋我欲屳。半壁煙霞渾似畫。一堂風月本無錢。松竹輕陰春睡足。人間消息莫須傳。</text>
<title>又次壁上韻</title>,<text>蜀郡山中各有堂。不如春睡卧南陽。人高可使江山重。德好何須黍稷香。㝡愛數竿醫俗竹。將爲三宿有情桑。奇毛况復生丹穴。日日翺翔翰墨場。主人壁揭蜀郡劉禹錫陋室銘。蜀郡。又有子雲亭。初句盖謂孔明可慕。楊，劉不可學。</text>
<title>道院齋中。酬李思仲見贈。</title>,<text>春風江閣好會開。滿匊驪珠洛水隈。詩癖太生工部瘦。璿源復見謫屳才。上丁俎豆鏘鏘佩。特地煙霞淡淡盃。自有吾儒名敎樂。晴川小棹盍歸來。</text>
<title>金啓源阻痘在靑龍寺有書。以詩答之。</title>,<text>傾蓋逢場白髮新。小舠來往幾回頻。牕梅花發相思夜。江鴈書傳欲暮春。不是東林迷去路。只緣西疾阻遊人。黌堂絃誦洋洋處。恨不携來席上珍。</text>
<title>謝趙述夫留贈</title>,<text>梅下留連躡後塵。再來江閣十分春。此間見月相思夜。何處騎驢獨去人。嶽麓祠前儀可覩。詠歸壇上興堪新。憐君少小靑雲志。今日歸田一角巾。</text>
<title>玉洞院將事後。拈明人韻。各賦。</title>,<text>恢恢德量古來稀。千里東溟一範圍。宇宙長留諸葛廟。丹靑怳見武公衣。先生氣像依俙處。是日鸎花瀾漫飛。回首洛東江上院。前賢去就兩無非。右謁厖村先生。露陰山下客來稀。歸卧茅堂脫帽圍。五世交深如覿德。百年生後未摳衣。金陵王氣今安在。博望屳槎不復飛。惟有羅浮山下石。莓苔蝕字偏傍非。右謁沙西先生冠佩鏗鏘曉漏稀。香煙細細欲成圍。䨓聲百里寧來耳。和氣千年若襲衣。爲學必須先格致。此心宜戒忽淪飛。古人謁廟詩中語。說與諸生也不非。右將事十年三匝我來稀。感淚潸然對燭圍。鹿洞舊規猶揭壁。龍門勝賞異留衣。長祈南極明星在。忍看西林落葉飛。孤露餘生叨此座。從今院事日將非。右感舊○先君子曾當本院首席。書白鹿洞規於院壁。因遊龍門寺。今不肖猥忝院任。有感謹述。少年癡絶讀書稀。碧峀呼鷹大打圍。仍向程門三尺雪。更携沂上暮春衣。居然歲月梭空擲。晩矣工夫鳥數飛。慚愧當時蘧伯玉。先吾十載已知非。右自道老去年來見面稀。談鋒今夜破愁圍。輒書元白同吟句。半拕綺黃甚偉衣。萬古江山梅雨過。一筵花月羽觴飛。雲林此樂君知否。聞道功名有是非。右夜話前邨鼃鼓報來稀。詩壘三更欲解圍。月桂影寒初罷睡。驪駒聲徹更牽衣。詩名爾有千金重。別夢吾多一片飛。流水落花春已暮。漁舟歸路是耶非。右惜別</text>
