<title>暮春漫興</title>,<text>夜雨朝來歇。山村照日初。不知春已盡。芳草滿庭除。</text>
<title>到縣。偶吟一絶。寄呈白軒李相公。景奭。</title>,<text>峽束乾坤窄。花繁洞壑明。鈴齋無一事。山鳥伴人鳴。附次韻 白軒別後長相憶。書來眼忽明。遙憐縣庭靜。黃鳥隔簾鳴。</text>
<title>題笑陶軒</title>,<text>高卧笑元亮。歸來苦忍窮。誰知五斗米。兼有北窓風。</text>
<title>天赦日。修縣獄。懷仁。別號仁山。</title>,<text>天赦人修獄。山仁吏虐民。不如投手板。敀去養吾眞。</text>
<title>次盆梅韻</title>,<text>客土盛陶器。危根長雪梅。能回造化力。花趁臘前開。</text>
<title>送春 戊子</title>,<text>莫道東君去。明朝閏月來。從今三十日。日日盡餘杯。</text>
<title>庚寅五月。李使君 惟寅 以拿命去。口號贈別。其家屬。歸丹陽別墅。</title>,<text>遺愛三年夢。離懷五月霜。分知棲隱處。鍊藥在丹陽。</text>
<title>冬至日。送外孫權鶴來。</title>,<text>鶴來來又去。冬至至還悲。赤豆通宵煮。朝餐慰別離。</text>
<title>感懷 時有落傷之患。</title>,<text>盛夏流頭日。殘年傷足翁。前溪不得到。華髮灑松風。</text>
<title>見射雀有感 庚子。喪室後作。</title>,<text>可惜雙飛鳥。雙飛在碧山。一雌墜白羽。誰與繞林間。</text>
<title>送春 壬寅</title>,<text>四月明朝是。春風卽日歸。應知昨夜雨。天意慰芳菲。</text>
<title>三月晦日。寓懷。癸卯</title>,<text>流鶯迎夏囀。巢燕送春飛。物物渾如舊。傷時淚濕衣。</text>
<title>送朴使君 安禮 以尙衣判官之京</title>,<text>王命徵還入洛陽。六年遺愛故桐鄕。袖裡平生五色線。此行應補舜衣裳。</text>
<title>守歲聞蛙鳴</title>,<text>分付蛙鳴作敎坊。一年將盡夜將央。渾家願祝無多語。欲使祥兒似我長。</text>
<title>夢作 癸丑</title>,<text>乍晴乍雨靑山夕。或短或長枯葉蟬。一杯桑酒浩歌發。霜滿玉階秋滿天。</text>
<title>乙卯冬有懷</title>,<text>大雪關門詠杜詩。山妻擧案晩齊眉。人將橡栗充腸日。還使狙公苦忍飢。</text>
<title>七月十日夜雨</title>,<text>七日不雨十日雨。滿耳秋聲生碧樹。銀河漠漠夜沉沉。應是牽牛別後淚。</text>
<title>送朴參奉 東立 南歸省母</title>,<text>行色飄然倦鳥如。甄萱城外有郊居。羡君白首營甘旨。再見姜詩煮鯉魚。</text>
<title>秋夕</title>,<text>長安秋夕意如何。獨坐茅簷鬢欲華。遙想阿咸掃墓地。滿山松栢夕陽多。其二白首微官成底事。長安八月倍思家。中宵坐想山中伴。濁酒黃花興轉多。</text>
<title>淸夜</title>,<text>淸宵獨卧漢陽城。霜滿秋空月轉明。自是浮生爲口腹。紫鱗紅蠏夢還成。</text>
<title>鑷白</title>,<text>客中佳節重陽近。鏡裡衰顔四十秋。強對黃花鑷白髮。今年或可免花羞。</text>
<title>雪夜</title>,<text>雪滿長安霽月明。鄕園夢斷夜凄淸。逢人莫說思敀意。說到思敀似不情。</text>
<title>秋思</title>,<text>靑袍似草秋來故。鄕思如蟲夜轉吟。殘秩挽人歸未得。夢中南國盡楓林。</text>
<title>次李歲卿 楚望 韻</title>,<text>花發墻根九日前。此間覊思正依然。感君淸夜來相訪。挑盡殘燈話昔年。其二漢北湖南勞夢想。今宵相對菊花時。從來古劒終難隔。不信人間有別離。</text>
<title>送單曆于兪上舍爾城山居。兼寄一絶。</title>,<text>山靑幾度識春時。寒盡非緣曆日知。堪笑天涯寄一紙。破牎風雨只相宜。</text>
<title>次柱笏軒板上韻。贈朴使君。自凝○朴以不參癈母䟽。左遷高山。作此詩以美之。</title>,<text>紫霄鸞鳳落江干。獨宿風霜羽翮寒。枳棘不妨棲暫定。天敎芳躅後來看。</text>
<title>和宋使君 錫夢 見寄韻</title>,<text>樓在龍溪路幾何。近來心賞夢中多。使君持贈烟霞句。怳倚危欄對月華。其二書生食籍太淸凉。每想行厨擘蠏黃。時遣官僮遺束縛。玉盤爭似間華觴。其三霜露凄凄玉宇空。芙蓉塘畔有西風。明年九月知誰健。請看仙區樹樹楓。</text>
<title>閑愁</title>,<text>壯志蹉跎氣欲降。淸宵枕手背金缸。閑愁秋雨天難曉。落葉流風入小窓。</text>
<title>雲梯和白雲寺惠遠師詩</title>,<text>吾愛高山處處山。雲梯何似白雲閑。雲梯逢着白雲釋。却話白雲秋日寒。</text>
<title>黃山書院。寓興。丁卯胡亂分朝時。以義糓差員。久留此院作。</title>,<text>初從二月到三月。聽盡黃山夜夜蛙。浦口月斜風浩浩。孤舟出沒滿江波。</text>
<title>完山秋思</title>,<text>秋思迢迢秋景新。幾家梨棗半城闉。片雲長短成踈雨。洗盡甄萱百戰塵。</text>
<title>秋夜聞杜鵑</title>,<text>杜宇春啼秋亦啼。此心無夜不悽悽。錦江千里未歸恨。聽到月輪低欲西。</text>
<title>贈別黃同年時彦 名世 還龍華窟</title>,<text>龍華山窟卽金華。聞道初平卧紫霞。暫下人間留信宿。仙壇一夢繞三花。</text>
<title>漫興</title>,<text>種一頃田付小童。枕溪邊石睡松風。却憎村犬驚殘夢。謾向瓊潭吠釣翁。</text>
<title>感秋</title>,<text>萬事人間鬂已絲。菊花初發曉霜欺。縱然衰病無詩興。忍向秋光不有辭。</text>
<title>丙子四月五日。韓山船上。</title>,<text>前年此日子生孫。自喜箕裘屬後昆。此日今年湖海上。遙欣穎悟勝堂軒。堂軒兩子致成，致兼。小字。致成。生子猉獜。年十五。夭。</text>
<title>丁丑上元日詠懷</title>,<text>郊原無處不黃雲。南漢迢迢白日曛。欲向街頭佇獻捷。逢人盡是走迴軍。其二未死人逢此亂離。偏驚節序上元時。蒼茫獨立呑聲哭。南漢孤城勢轉危。</text>
<title>閑居漫興</title>,<text>流水靑山一草堂。滿園松竹欝蒼蒼。斜陽遠見牧羊客。疑是華山身姓黃。</text>
<title>次蘇柳川 昕 韻</title>,<text>男子虗生宇宙間。白頭行色澤藏山。荒郊老馬無人管。日暮空懷十二閑。</text>
<title>七夕 戊寅</title>,<text>日食廣興四升米。身居瓦署一官寒。梧桐半夜秋聲起。夢入湖南萬疊山。</text>
<title>自嘲</title>,<text>馬跡車塵不稱情。斜陽睡起漢陽城。白頭假板誰能識。着處爭傳子晦兄。子晦。從弟熽字。</text>
<title>長安秋日</title>,<text>一川魚蠏秋宜捕。萬壑松聲夜可聽。魂夢不禁隨鴈去。昨宵飛過短長亭。</text>
<title>重陽感懷</title>,<text>鬂華霜葉一般秋。九日空齋遠客愁。遙想故園今夕樂。東籬花揷幾人頭。其二住世假令期百歲。今生斷送戊寅秋。強顔羞對長安菊。佳節空添萬斛愁。</text>
<title>長安春日 己卯</title>,<text>白頭塵世任飄零。再見長安草色靑。却羡當時玉川子。看花猶得抱添丁。</text>
<title>送金察訪 宏 解官歸海州 金以典藉。除居山察訪。朝議以爲不合邊塞重地。故解敀。</title>,<text>白頭離思正依依。塞馬飜成得失機。誰惜此翁經濟手。浩然歸採首陽薇。首陽。海州山名。</text>
<title>端午</title>,<text>五月正當初五日。麥風吹暑日如年。遙想兒孫今夕樂。綠楊塘畔弄鞦韆。</text>
<title>食蓏</title>,<text>麥風吹冷雨斜斜。千里歸心晩更多。白首小官期已滿。客中重食二年瓜。</text>
<title>直宿有懷</title>,<text>榮辱叢中日月多。霜㙜直宿意如何。今宵欲作還家夢。爭奈官池到曉蛙。</text>
<title>暇日。使童子墨尺。鑷白髮。戱成一絶。</title>,<text>南北東西五十年。是非憂樂任皇天。霜㙜可遣三秋興。墨尺能令兩鬂玄。</text>
<title>次權殿中學古 爲己 韻</title>,<text>歲暮容顔鏡裡凋。白頭黃葉共蕭蕭。使年七十今餘幾。強着靑袍忝百僚。</text>
<title>廣興倉頒祿</title>,<text>糜塵成屑襲衣巾。人語如蛙滿眼前。坐覺世緣都在此。殿中奔走亦拘牽。</text>
<title>再往廣興。馬上偶吟。</title>,<text>曉風吹作十分寒。纔渡溪橋又上山。世道難於江路險。幾多來往是非間。</text>
<title>松峴遇辛察訪 希古。口占一絶以贈。</title>,<text>十載江湖遠別離。亂來相見喜兼悲。欲知心內無窮事。看取風塵鬂若絲。</text>
<title>次契帖韻。送權學古之抱川。</title>,<text>抱川三望出霜㙜。府吏偏驚異數來。驥足莫言無所展。先將小縣試英才。</text>
<title>和長兒致成畫山詩</title>,<text>山可以藏世莫容。夢魂千里躡仙蹤。春來倘乞餘年去。吸盡淸泠第幾峯。</text>
<title>金奉事 始乾。大風失鷹。次高霽峰失鷹韻。示余要和。因醉而成。</title>,<text>狂風動壑野雲平。絛解杠空六翮鳴。揚去卽知緣飽肉。啄泥端合息營營。</text>
<title>辛巳元日</title>,<text>新年坐占壽無窮。三歲仍稱老殿中。自笑不歸成底事。紅塵白首又春風。</text>
<title>次圭山李僉知 師聖 韻</title>,<text>客裡星霜幾度移。鏡中嬴得鬢邊絲。遙知故國烟霞伴。更入新年笑我癡。</text>
<title>送洪叔美 柱彦 之牛峰</title>,<text>騘馬三年踏舊班。牛峰分竹亦酸寒。之人才調尙如此。轉覺世間行路難。其二三年同躡殿中班。一字朝廻耐曉寒。縱是牛刀今有試。老夫偏惜別離難。</text>
<title>寄印文伯 世禮</title>,<text>離思悠悠日月多。溪居逸興問如何。却羡此翁無一足。不知人世有奔波。</text>
<title>赴任仁縣時。山花盛開。縣齋無聊偶成。</title>,<text>叱倅峯頭花正開。花光倒影水縈回。使君欲試尋春脚。只恐峯頭叱倅來。</text>
<title>聞杜鵑有感 時王世子在瀋陽。感物寓懷。</title>,<text>他山流落未言歸。聲痛西峯曉月輝。蟣虱小臣遭世亂。終宵聽此淚霑衣。附次韻 白軒春盡江南客未歸。夢回山月送淸輝。鵑聲偏入愁人耳。聲到殘時更濕衣。</text>
<title>風巖打魚</title>,<text>風巖水穴舊聞名。每恨東坡夜不行。曉渡溪橋尋勝槩。明沙白石古今情。</text>
<title>留別李秀士晩</title>,<text>三月來人至月歸。花冥冥處雪霏霏。白頭離思堪垂淚。不是仁山也濕衣。仁山。懷仁別號。古諺云。太守初來。以峽深邑殘而泣。去時以官閑俸饒而泣。故云。</text>
<title>送從弟熽之京</title>,<text>數朶芙蓉數叢菊。近來風雨正離披。六年蕪沒芳菲恨。更入淸秋怨別離。</text>
<title>追和澤堂李判書 植 見寄韻</title>,<text>萬事人間雪滿顚。忍看文宿落天邊。洛陽甲會還如夢。獨立蒼茫詠舊篇。附元韻 澤堂丱時相別到華顚。落落晨星各一邊。聞道輞川詩法在。栢梁何日奏遺篇。</text>
<title>次洪師傅天光 宇定 韻</title>,<text>人謂非狂自謂狂。憐君才命不相當。白頭傾盖露肝膽。濁酒數杯歌正長。</text>
<title>甲申初度。有感。是歲北京破。作此以哀之。</title>,<text>自甲申逢又甲申。分明六十一年身。是非憂樂知多少。憶昨兒時萬曆人。</text>
<title>寓興</title>,<text>長短誰登一百年。非非是是更無全。曉窓殘月明如燭。讀破心經上下篇。</text>
<title>贈李宜叔 惇義 所親金興寶</title>,<text>君於宜叔眼中人。聽說襟期意轉親。沉痛去年存沒後。豈知今日見元賓。</text>
<title>哀兪羲之 羲之。兪上舍爾城子。纔及其父初期而夭。</title>,<text>羲之之後有羲之。誦此寬懷已及朞。誰料羲之今又逝。是時悲甚去年悲。</text>
<title>送春 戊子</title>,<text>一盞正當三十日。春光欲盡苦吟中。惟有山花向我笑。天開閏月又東風。</text>
<title>訪權處士幼安 謐 不遇</title>,<text>人遊江海草堂空。離思悠悠惱此翁。不向門扃題鳳字。小梅花發暮烟中。</text>
<title>醉次兒輩韻</title>,<text>何處淸香入盞中。芙蓉塘畔有微風。生憎兒輩多輕薄。笑殺山翁面發紅。</text>
<title>鼠破朝衣歎</title>,<text>小時書劒計還非。白首爲農歲又饑。飢鼠且嫌無粒粟。夜來穿斷舊朝衣。</text>
<title>琴娥雲英，勝英與衙客。久留不歸。其夫彩雲居武人。眷戀彷徨云。戱作一絶。</title>,<text>酒暖人間琴復鳴。風松蕭瑟彩雲輕。風松，彩雲。皆琴曲名。 將軍莫憶陽㙜夢。東閣春深鎖二英。</text>
<title>夜坐吟</title>,<text>田家炊麥足爲生。抱膝長吟欲二更。漠漠頑雲成夜雨。滿林螢火濕還明。</text>
<title>送李使君 惟寅○家在丹陽</title>,<text>無錢無酒又無詩。人世難堪此別離。白首莫言終遠隔。丹丘日月夢中期。</text>
<title>贈菊</title>,<text>黃花白髮一般秋。仔細看時哂不休。等是西風俱索寞。莫言羞上老人頭。</text>
<title>輓陳處士</title>,<text>白髮蒼顔兩老翁。仙區卜築占西東。未成丹液公先去。獨立靑山一半空。</text>
<title>夢覺</title>,<text>風雨池塘夢未闌。惠連消息隔雲端。方知咫尺如千里。白首悲吟行路難。</text>
<title>秋思</title>,<text>寥落秋齋萬古心。暗雲三逕夜沉沉。却憎童子多輕薄。戱逐飛螢過遠林。</text>
<title>送心上人遊金剛山</title>,<text>師向東溟訪列仙。不妨南國暫逃禪。諸天合在金剛裡。踏遍奇峯萬二千。</text>
<title>聞杜鵑</title>,<text>春夢驚時古意多。小牎如晝月西斜。杜鵑底處聲悽切。不在梨花卽杏花。</text>
<title>重陽遊龍巖</title>,<text>九月正當初九日。龍巖何似古龍山。強登高處追餘賞。吹帽秋風共一般。</text>
<title>一足烏</title>,<text>一足烏一足烏。啞啞低飛坐不得。何當决機上靑天。便向陽烏借一足。</text>
<title>輓趙僉樞 瑾</title>,<text>仙蹤不出古城村。白首江湖齒爵尊。天落玉棺泉路隔。也應餘慶屬兒孫。</text>
<title>輓李生 萬葉</title>,<text>世傳詩禮卽眞儒。積德門多汗血駒。榮宴罷時違色養。親朋慶吊一年俱。</text>
<title>感春</title>,<text>近日沉綿久閉門。不知春色滿荒村。小牎開處傷心事。卧看梅花正斷魂。</text>
<title>丁酉歲終</title>,<text>丁酉歲終丁酉日。老人頭戴老人星。兒孫滿眼斑衣舞。只合尊前不願醒。</text>
<title>送趙使君 億○戊戌</title>,<text>五馬歸時歲亦終。別愁愁雪復愁風。爲君春祝無多語。佩竹重尋此老翁。</text>
<title>哀陳生舜民</title>,<text>上有慈親下妻子。旋將黑髮托丘原。哀詞若說平生事。人是人非口不言。素有啞患。故云。</text>
<title>寄金馬太守洪叔美 以事解歸。復以命再莅。</title>,<text>忘年蹤跡舊霜㙜。離合無端問幾回。坐覺神交自有分。天敎五馬去還來。</text>
<title>用前韻。酬叔美。</title>,<text>病怯秋風不上㙜。簞瓢陋巷學顔回。箇中多少寬心處。金馬詩筒數往來。</text>
<title>哀勝上人</title>,<text>雲門洞府是諸天。眞偈吟成有幾篇。甁破雀飛禪影滅。舊袈裟作亂峯烟。</text>
<title>哀從孫廓 壬寅</title>,<text>暮年頻哭少年喪。斷盡衰翁一寸膓。忍見從孫今日逝。雙親白髮在高堂。</text>
<title>詠盆梅</title>,<text>盆梅花對墨梅開。眞假春容巧剪裁。便可吟詩消永夜。不知門外雪崩頹。</text>
<title>次韻。留別定能法師。壬寅冬。</title>,<text>仙區異境路悠悠。要伴禪翁作勝遊。歎我一生無所往。空垂六翮似周周。</text>
<title>送李秀才浻之三陟 癸卯春。</title>,<text>屛間每見竹西樓。願一登臨已白頭。塵世徒悲雲路隔。羡君今作畫中遊。</text>
<title>用前韻。酬李使君。癸卯夏。</title>,<text>仙郞千里幾登樓。跡徧關東地盡頭。爭似使君詩遣興。琴軒高詠卽淸遊。</text>
<title>戱題 癸卯夏</title>,<text>阿咸遊賞最無端。看盡龍巖巖上山。却笑天公嫌獨往。故將風雨濕衣冠。</text>
<title>次乞僧韻 癸卯夏</title>,<text>山僧只合說空空。何必奔波道路中。絶糓自能成佛道。一時飢飽任天公。</text>
<title>謝從姪致中送酒 癸卯夏</title>,<text>郊居每恨各西東。千一朝來信始通。爲謝梨花酒一器。能令六月醉春風。</text>
<title>寄南士瞻 嶪○補遺</title>,<text>明珠大貝出窮溟。不惜餘光照濁涇。空谷寒梅春正發。可能於此眼俱靑。</text>
<title>題雲梯林處士幽居</title>,<text>古縣何時廢。人居松石間。川分雲兩岸。山擁日三竿。秋晩槐陰薄。天晴水氣寒。閑中有罇酒。却恐暮敀難。</text>
<title>和宋使君 錫夢 見寄韻</title>,<text>去來隨所遇。南北坐詩窮。白憶溪邊石。紅思峽裡楓。容華今日異。淸興少年同。倘解陳蕃榻。重陽陪下風。其二自知萬事足。孰謂一生寒。節食身逾健。休官意轉閒。流雲吐夜月。零露繡秋山。東閣容踈放。良時酒量寬。</text>
<title>九月十日。與宋使君遊裵亭。</title>,<text>世事殊無暇。人生歎有涯。仙官閒簿領。遊刃釣漣漪。坐愛淵明菊。還傾太白巵。此時宜酩酊。莫作一秋悲。</text>
<title>送宋郞奎徵</title>,<text>以我論才子。如君有幾人。都忘一日長。喜作兩家親。西塞風塵色。南州草木春。可堪千里別。頭白更沾巾。</text>
<title>挽朴部將  慈堂</title>,<text>鄕隣欽婦德。遐壽七旬餘。歌哭三從後。悲歡一夢虗。萱堂有故址。馬鬣像平居。塟于舊基。故云。 負土情文盡。宜㫌孝子閭。</text>
<title>漫興</title>,<text>白首營新築。依山眼界通。枕喧淸澗水。窓入綠蘿風。雨候雲藏寺。秋光井吐虹。晩來披散帙。扶病敎兒童。</text>
<title>次權生汝守 大業 韻</title>,<text>安得絲千丈。爲君意馬覊。幷鄕久轉厭。秦贅數還奇。怨句工全刺。恩情厚益。要須心地靜。此老亦鍾期。</text>
<title>次汝守牛疫韻</title>,<text>萬姓憂灾疫。千牛病勢同。豈徒遍湖右。傳道自遼東。藥物無神效。寃氛化白虹。村童舊牧笛。不復弄溪風。其二千萬古災異。難將牛疫同。曾從鴨水北。深入貝江東。無乕欺黃犢。非燕畏白虹。兩西先設驗。復恐有邊風。</text>
<title>入城後。次喚醒鞠上舍 涵 送行韻。</title>,<text>朝野多艱日。干戈滿目時。如逢大亂止。敢謂小官卑。歲月遅丹液。行藏感素絲。遙憐方外友。招隱有新詩。</text>
<title>用前韻。酬兪上舍。</title>,<text>久被浮名繫。懷君獨卧時。憑將身進退。要識道高卑。芳草迷三逕。瓊潭弄一絲。應憐此病叟。追和去年詩。</text>
<title>長安秋夕</title>,<text>莫道長安近。風雲未易逢。斷腸天際鴈。側耳枕邊蛩。故國迷千里。秋懷復萬重。應知丘壠上。烏鳥集寒松。</text>
<title>三月卄四日。縣齋有懷。辛巳。</title>,<text>小縣無公事。鈴齋賞物華。山山花似錦。樹樹葉藏鴉。強飮非關酒。沉吟苦憶家。蒼茫迷去住。獨立夕陽斜。</text>
<title>次李秀才晩韻 辛巳</title>,<text>何處難消日。鈴齋寂寞時。淸思南澗水。閑愛逸人詩。山鳥驚官吏。庭苔耀碧滋。野多刈麥穗。民或可療飢。</text>
<title>哀從姪致和 死於賊刃</title>,<text>不辨東門草。安知削礪工。驚魂逐丹旐。寃氣射蒼穹。忍淚憐孤子。含哀慰乃翁。世間恩愛絶。千載泣幽宮。</text>
<title>次洪天光韻</title>,<text>吾愛洪夫子。高風世所宗。那堪指白日。且樂勖靑松。談笑湖南酒。棲遅嶺外蹤。神交期歲晩。同躡海中峰。</text>
<title>輓兪上舍</title>,<text>君才刃發硎。師事我慚丁。歌詠俱頭白。追隨每眼靑。名成老上舍。魂返少微星。絃斷峨洋絶。蒼茫涕淚零。</text>
<title>次韻。贈具勉甫。時勉。</title>,<text>吾宗伯勉甫。聲價動殊隣。名以詩書重。情因意氣親。相逢疑夢寐。乍別話悲辛。莫道山川隔。元來一體人。</text>
<title>遊花巖寺</title>,<text>迢遰花巖寺。躋攀感遇餘。時當冬至後。跡趁雪晴初。石戴苔紋滑。窓含雲影虗。上房無長老。明月滿庭除。其二此寺今兜率。行尋十里餘。僧衣石色古。山態雪花初。涉世迷眞實。齋心詠步虛。逝將供井磑。老病孰能除。</text>
<title>漫興</title>,<text>蕪逕誰能屈。閑居病易瘳。林亭比廣廈。菜甲勝珍羞。看竹開靑眼。迎風露白頭。百年渾在此。外物更何求。</text>
<title>輓白石柳咨議用汝 楫</title>,<text>後學將安仰。先賢孰可追。悠悠塟日促。慘慘路人悲。道以詩書大。貧惟爵祿辭。焉知鷄黍約。竟作九原期。</text>
<title>春深</title>,<text>特地春深好。貧居興亦長。奇花迷近遠。稀菜滿園場。日暖黃蜂閙。風輕白蝶忙。均沾造化力。無物不悠揚。</text>
<title>癸巳有感 萬曆癸巳。連喪怙恃。</title>,<text>孑孑身仍老。重逢癸巳年。殘生未入地。摧慟迫終天。萬事供搔首。千愁集聳肩。追思六十載。合眼夢三泉。</text>
<title>挽孝子鞠上舍深源 沉</title>,<text>白髮驚千丈。靑衿落九原。哀笳催素紼。㤪色起紅門。酒至相先後。詩成共討論。峨洋終永隔。淚墨與招魂。</text>
<title>哭從弟殿中熽</title>,<text>咄此人間世。池塘一夢催。白頭愁獨立。靑眼復誰開。地望鄕閭丈。天恩御史㙜。居然成古迹。空入哭聲哀。</text>
<title>述懷</title>,<text>素乏資身策。生涯老轉貧。腸飢思玉粒。肌凍乞烏薪。官有催科令。門無問病人。空庭雪未掃。何日見陽春。</text>
<title>輓權郞在</title>,<text>憶昨淸和節。郞來一宿歸。那知終永訣。卽事夢依俙。妻子恩情斷。爺孃色養違。嗟吾每多感。於此又沾衣。</text>
<title>輓李生 東白</title>,<text>厭苦他鄕久。將歸托比隣。如何萬壽洞。遽作一阡新。孀婦誰相恤。孤兒孰可親。是非憂樂定。脩夜卽安身。</text>
<title>哭舍兄 補遺</title>,<text>天意實難知。我兄奚至斯。呻吟八晝夜。存沒兩塤箎。地下修文日。人間痛哭時。先塋誰共掃。任伐白楊枝。</text>
<title>和鞠巨源 溟 韻。贈喚醒。</title>,<text>以吾五十五。憐君六十六。長幼間十年。今日俱頭白。向來葱竹伴。幾人爲枯骨。當杯若不御。後悔追何及。</text>
<title>輓鞠生 洪</title>,<text>前年哭巨源。今年哭士純。如何二年間。奪此雙麒麟。二墳起松丘。九原應相親。朋知執素紼。子女哭蒼旻。早知人世間。百年如隔晨。行年六十八。遽作狐兔鄰。猶有兩上舍。慰我思元賓。一奠終永訣。哀詞難重陳。</text>
<title>哭從弟燀</title>,<text>痛哭復痛哭。八月十四日。令弟就窀穸。日月獲其吉。祖載發酉渠。風烟起㤪色。七十年間事。俯仰成陳迹。孑孑只一子。襄事誰共策。佳城迷處所。謾向他山卜。先塋幸不遠。莫謂楓林黑。平生孝友誠。夜㙜應會合。豈知此老兄。哭送愁獨立。敦睦隔幽明。招尋宛如昨。時遣騎奴迎。芳罇酬令節。靑鶴不復來。靑鶴蒼頭名 白首吾安適。老境近重泉。相逢庶可必。</text>
<title>遊山後。贈朴性之。安行。</title>,<text>樹陰濃綠黃鶯語。分日尋眞奉使君。水曲觴流成半醉。僊厨丹伏未全焚。天燈山路連天闕。白馬江舟阻白雲。有船遊白馬之約。而至白雲寺止。 萬事早知皆有命。異時蕭寺憶淸芬。</text>
<title>金成之 士尙 別墅。戱次壁上韻。</title>,<text>客到高堂顧後前。小溪淸淺不容船。壁間製作空詩思。門外江山未實然。荷泛池塘際晴日。花殘躑躅屬炎天。主人靑眼吹葱舊。此夜胡床喜更連。</text>
<title>偶吟</title>,<text>西風吹作十分寒。寂寞空齋獨掩關。世慮憂煎成白首。餘生瀟灑卧靑山。僧催敀寺斜陽盡。蜂倦趍衙晩菊殘。領略閑中多少事。五年塵夢正無端。</text>
<title>輓銘石宗丈 大修</title>,<text>每恠吾宗頭早白。纔經六十卽長眠。平居十室專忠信。此日三山伴偓佺。伯道無兒天可恃。中郞有女業還傳。凄凉銘石哀笳發。執紼驚呼淚逬泉。</text>
<title>和鄭汝諧 維 韻 金山賀老人</title>,<text>寒食春華照眼明。何人不起故園情。老夫搔首驚千丈。鄭子撚鬚斷數莖。竹嶺烟花鳥道遠。錦江芳草野船輕。歸田便合從今始。莫向天門詠鹿鳴。</text>
<title>次高季悠 任久 春懷韻</title>,<text>客意酸寒病轉辛。年華又屬踏靑辰。三更慣作還家夢。九陌飜嫌拂面塵。笛裡愁聞梅已落。街頭厭見柳還新。可憐五十知非日。白首宜歸某水濱。</text>
<title>輓柳兄佐郞 泰亨</title>,<text>吾兄憂世不憂貧。天與英才老有神。薄宦未成經濟志。風塵任作去來身。琴書花竹餘年盡。離合存亡舊迹陳。暮齒夜㙜期亦近。却疑冥府更無春。</text>
<title>輓柳楊城 之豪</title>,<text>看君年少氣方強。豈意浮生速電光。一子可傳身後事。九原難進眼前觴。斑衣舞罷萱堂暮。繡被香殘錦瑟傍。白首故人無限淚。秋風月谷樹荒凉。</text>
