<title>除夜</title>,<text>國步危如線。竆陰逼歲除。孤臣渾不寐。倚壁聽晨雞。</text>
<title>答喜晴</title>,<text>積雨初收滴。何關雲色昏。漁商衝戶過。村笛隔籬喧。課學兒趨席。含泥燕入門。田家爭荷鍤。孤客喜堪論。其二故人新得句。來豁病眸昏。貧約仍吾分。生涯遠市喧。宿雲開晩峀。遠客駕空門。山趣吾能說。幽懷更可論。其三中歲求同氣。相攜避世昏。心閒仍得趣。境僻自無喧。美釀時開綠。高軒不到門。但令無愧怍。生事不須論。其四楚天多暑雨。客意轉昏昏。晝厭靑蠅集。宵驚白鳥喧。竆途幸少病。交態肯書門。枉被傍人問。休將學力論。</text>
<title>次鄭尙古韻</title>,<text>寬法聊投畀。殊方着此身。驚心傷往事。撫跡愧先民。小榻功因樹。殘齡懶是眞。平生學道意。牢落傍鮫人。</text>
<title>偶題</title>,<text>瘴海冬無澤。連宵雪滿庭。明年應有麥。南畒不憂螟。簷溜朝堪喜。窓霏晩可聽。平生憂國意。聊復失孤醒。</text>
<title>寒食日有感</title>,<text>子厚城南句。千年愴我情。今朝忽惆悵。來日又淸明。庭草連愁緖。村舂和雨聲。白頭爲客處。腸斷北邙塋。</text>
<title>贈尙古</title>,<text>竆海初飛雪。霏霏入戶輕。家山千里遠。時節一陽生。淸坐欲無寐。相思空有情。那堪回棹興。繚繞到天明。</text>
<title>詠梅</title>,<text>偶然乘晩興。鄭老有梅堂。庾嶺孤根遠。西湖一夢長。月窺淸得韻。風細暗傳香。靜對忘衰疾。何須撿藥方。</text>
<title>偶吟</title>,<text>老去休耽學。談經意亦昏。初無實見得。何事浪爭喧。此禮如長訟。諸公各異門。狂言眞妄耳。臣罪在輕論。其二未效涓埃報。投荒坐妄言。直須愁瘴癘。那肯㤪湘沅。縷息非吾分。秋毫荷聖恩。邇英專對地。應有未招魂。</text>
<title>遊東林寺</title>,<text>自愛東林趣。朝來更絶奇。孤雲歸極浦。芳草散空陂。海闊客心遠。春晴花意遲。悠然乘晩興。故故立多時。</text>
<title>再用東林韻</title>,<text>隨處安吾分。無心歎數奇。殘骸元土木。世路有平陂。雲盡暮山出。春深淑景遲。故園消息斷。惆悵落花時。</text>
<title>尋梅未果</title>,<text>南遊緣底事。日月去堂堂。芳草如煙綠。新愁和雨長。忽思尋玉樹。滿意嗅梅香。泥滑迷歸路。閒抄陸氏方。</text>
<title>癸酉仲秋。自謫所放還。過光陽縣。</title>,<text>曉發光陽縣。逶迤古將墩。不堪還望海。愁殺未招魂。雨歇秋天凈。雲深古木昏。君恩隨處在。歸得掃荒原。</text>
<title>到蟾津。同鄕親舊及晉西士友皆邀慰。留宿江上村。仍記十五年前。與從兄及諸友。放舟遊陟有懷。</title>,<text>一水分湖嶺。歸來遠客魂。岸留朝載舫。村記夕敲門。存沒悲前事。衰遲荷聖恩。親朋長在夢。相對卻無言。</text>
<title>還家後。追次東林韻。</title>,<text>春來無好况。百卉謾呈奇。落鴈迷寒渚。浮萍帶晩陂。客情隨物感。歸夢到家遲。病肺休枏癭。飛花撩亂時。</text>
<title>步來韻呈似</title>,<text>孤夢迷鄕路。覊魂不自由。淸霜驚楚臺。明月對吳州。衰颯仍漂泊。心期轉謬悠。全生荷聖造。撫迹數愆尤。</text>
<title>次梁可漸 世鴻 韻</title>,<text>狂瞽宜膏鑕。鴻恩縷命全。風霜纔閱歲。霈澤許歸田。春興迷花塢。秋鞍稅水邊。丘園成晩趣。無夢到華筵。其二遙想池臺興。良辰美景全。孤雲歸晩壑。山鳥下秋田。爛醉黃花下。微吟綠猗邊。頹然坐落葉。不必錦爲筵。其三誰言秋興逸。搖落易生悲。急景催竆律。寒香漸後時。衰遲心轉苦。存沒夢爲期。槎老思投轄。能忘撤絳帷。</text>
<title>庚辰仲春。與李玄洲 昭漢 期會於白雲菴。玄洲見玄悟軸中有舊詩。感懷作詩。仍步其韻。</title>,<text>東洛曾題卷。干戈事已非。愁來閱舊軸。別路又新詩。勝會前期在。孤臣宿計違。臨觴無好况。悄悄對脩眉。</text>
<title>示從弟道甫</title>,<text>我病君莫憂。君病我不戚。七旬能幾何。久爲浮世客。世難敗人意。太晩稅覊束。歸來臥一室。時把隣翁酌。十年爲此樂。於世無不足。惟當順元和。且莫親藥物。</text>
<title>欲賞梅以病未果</title>,<text>輕香鬬暖律。殘雪閉羣姸。厭見冰鱗壯。那知梅信傳。暗香來月下。淸蘂照罇前。病裏阻乘興。相看祗可憐。</text>
<title>贈金鶴圃 奉祖○時爲邑宰</title>,<text>山公乘逸興。爽氣薄炎天。皓月仍波面。芳罇且眼前。醉爲臨海作。留與武城絃。再欲趨徐榻。能忘泛雪川。其二平生道義友。相許卽䨓陳。世路十年別。江流何處津。幽貞竆士志。夷險丈夫身。努力崇明德。收功在日新。</text>
<title>答蕭寺約</title>,<text>閉門聊屛跡。匡坐竟朝昏。寂寂閒居趣。悠悠塵世喧。已能收妄念。更欲陟禪門。明發須乘興。歸期且莫論。</text>
<title>次朴龍湖 文楧 龍巖亭韻</title>,<text>吾友幽栖地。衰遲又一過。階臨二派水。岸隔數漁家。落鴈迷寒雨。斜陽漏晩沙。自然生楚愴。聊復和羊何。</text>
<title>與煕伯同賞梅。因贈一聯。</title>,<text>自我寒梅素。重登君子堂。照床分影穩。臨水引條長。雨過精神迫。風來笑語香。不辭成一醉。覔句轉迷方。</text>
<title>題東溪精舍壁上</title>,<text>東溪佚老鬢如霜。放浪形骸入醉鄕。莫向傍人說平素。此翁年少亦顚狂。</text>
<title>偶得春和字。呈金邑宰 奉祖。</title>,<text>芳洲花柳正爭春。勝日端宜任賞春。鱸膾山梁非起興。一年春盡不 缺 春。其二侯德和時春與和。韶華形氣揔爲和。仁風吹起同民樂。江上淸尊又一和。其三紅稀綠暗更尋春。皁蓋榮臨春又春。玉潤盃間春在是。花衰何必惜餘春。其四心和氣和又時和。况値春和民亦和。席上和容珍可戴。由來位育在中和。</text>
<title>栗寺詠懷</title>,<text>三十年前讀書處。重來贏得雪盈顚。當時相識今何在。依舊冷冷響木泉。</text>
<title>過吳思湖墓</title>,<text>江雲漠漠草萋萋。楓葉蕭蕭日欲低。惆悵南州無過客。樂天墳土不成泥。</text>
<title>香爐峯</title>,<text>萬壑精神峭小峯。層巖聳出白雲中。飛身直上三千尺。笑駕靑鸞跨碧空。</text>
<title>洗耳巖</title>,<text>吾行雖晩正逢秋。醉揷黃花俯碧流。自是無塵何用洗。休敎洗耳刊巖頭。</text>
<title>偶吟 玉貫子見破。紅帶亦斷故云云。</title>,<text>白首梨花照鬢開。腰間猩血又堪咍。如今玉碎紅仍斷。依舊丹溪老秀才。</text>
<title>過石梯院 壬申四月。謫海南時。</title>,<text>秋院蕭條繚毁牆。家山迢遞海雲長。孤臣罪大君恩重。生到羅浮橘柚鄕。</text>
<title>次李白江 敬輿 韻 白江時爲完伯</title>,<text>跡遍江南五十州。當時世事使人愁。凌烟已了男兒事。衣錦歸來尙黑頭。其二羽扇臨戎下沃州。遙飛玉屑問竆愁。孤臣罪大君恩重。肯向秋風詠白頭。</text>
<title>風雨夜。獨坐書懷。</title>,<text>誰將萬死補前瑕。春後槁楊未易華。落葉滿階成獨坐。半天斜日漏殘霞。其二鍾鳴不息是疵瑕。一指誰能見泰華。行世早知無寸輔。不如依舊老烟霞。</text>
<title>用前韻次鄭尙古</title>,<text>連城白璧自無瑕。浮世升沉夢胥華。老子行藏成一笑。愧君無事臥烟霞。</text>
<title>石川廟成 石川。林億齡廟。在海南。累經灰燹。尙未重建。先生謫居時。勸邑儒重建。</title>,<text>山斗文章勇退風。直須歸向古人中。孤舟駭浪渾依舊。誰把行藏得似公。</text>
<title>石川新廟成。人皆歸功故賦此。</title>,<text>湘潭流落揖遺風。撫跡傷心宿草中。今日兒孫重有廟。孤山不獨待蘇公。</text>
<title>次尹孤山 善道 將欲遊海韻</title>,<text>欲傍沙鷗賦遠遊。春陰釀雨未全收。不妨造物聊相戲。明日晴光媚晩洲。附韻春風知我欲淸遊。吹卻湖山宿雨收。爲報行吟權御史。何妨納履向芳洲。</text>
<title>次韻答鄭尙古</title>,<text>失腳漁磯上玉堂。狂言誰信瀝肝腸。尊前斷送人間事。長計如君見未嘗。其二春盤細菜已登堂。誰遣昭華攬客腸。一夜歸心和夢斷。不辭沽酒對君嘗。其三昨日開襟君子堂。試將枏癭繞愁腸。只今依舊愁如海。誰把淸罇喚客嘗。其四眞成亡肉婦辭堂。未必能懷鐵石腸。歲暮蘇鄕成一笑。軟蠔霜橘特堪嘗。其五西隣跬步惜離違。風雨蕭蕭打野扉。借問梅花開遍未。直須沽酒典春衣。其六坐念平生素志違。春愁和雨對柴扉。忽成池畔尋梅興。掩却床書起着衣。其七流澌時節便防胡。誰信書生活國謨。不向大江爭地利。謾敎鬬艦列西湖。</text>
<title>踰八嶺有古城</title>,<text>平明始起促征驂。行盡湖南見嶺南。欲過孤墉成一笑。頭流萬疊路通站。</text>
<title>聞和議已定 丙子</title>,<text>朝家無策制強胡。多小金繒卽廟謨。今日憂端齊岣嶁。却敎流涕在江湖。</text>
<title>完山龍巖</title>,<text>蜿蜒遺跡後人看。幾度登臨俯碧灣。白首重來羞滿面。不知何日又西還。</text>
<title>興陽村家感舊遊</title>,<text>此地經過十載前。三行紅粉爲誰姸。主人已逝山公病。遠客重來倍黯然。</text>
<title>南原霹靂巖</title>,<text>何年神物轉雷車。劈破亭前雪浪餘。客子經過憑野老。村名猶記後人居。</text>
<title>戲贈尙古 尙古常語了無世况。但願速死。一日尋去處。以供佛祈福事上寺。</title>,<text>㤪鳥長號我欲死。千林啼血不堪聞。虞羅一夜垂春嶂。隨意驚飛萬壑雲。</text>
<title>次鄭松灘 弘緖 韻</title>,<text>世味甘酸夢已空。歸心贏得病消中。一年佳節空惆悵。隨處殘花滿意紅。</text>
<title>權士中 克行 池亭詠早梅</title>,<text>南國梅花已後時。千林寒重意遲遲。獨憐幽竹山窓下。開遍南枝又北枝。</text>
<title>遊長者淵</title>,<text>十五年前辦此遊。年年不負碧山秋。風塵一出渾閒事。今日重來意轉幽。其二飛瀑喧騰聒世耳。高低巖磴坐頻移。從敎水濺蘿衣濕。誰信平生識險夷。</text>
<title>壬申春祝</title>,<text>管籥庶幾無疾病。邊封聞道脫兜鍪。孤臣老去安蓬蓽。好把梅花供酒籌。</text>
<title>贈尙古</title>,<text>楚澤驚心木落秋。危樓一夜夢刀頭。休言老子腸如鐵。卻攬愁端惱去留。其二瓊瑤岳色望中奇。好去重參想遠師。病裏孤吟還有興。明朝風日倘能知。</text>
<title>癸酉仲冬。遊栗寺。</title>,<text>招提少日守書燈。臥對重巒翠幾層。四十八年如一夢。馬蹄依舊踏寒冰。</text>
<title>患眸病。馬上閉眼行過。偶占一絶。</title>,<text>邇來明月蝕蝦蟆。上馬昏昏伴睡魔。閉眼時多開眼少。兩湖春色夢中過。</text>
<title>十年前棄官還鄕。與從兄默老偕臥泥山。憇路邊松臺。今來獨坐臺上。愴然有懷。</title>,<text>曾攜默老憇松臺。誰遣征驂又獨來。春色不隨人事變。海棠依舊滿枝開。</text>
<title>過獐嶺口號</title>,<text>驀壑穿林路逶迤。仰看雲際石扇危。行來絶頂還平地。始信人間有險夷。</text>
<title>戊寅冬。呈辭南歸。贈金東溟 世濂。</title>,<text>存亡遺澤在東藩。忍把干戈答聖恩。白首重來羞滿面。不如歸去閉柴門。其二烏頭未變朔天遙。白髮宮臣膽欲消。倚壁書空仍不寐。殘更欲盡曉星高。</text>
<title>淸和上浣雨中。次鄭松灘韻。</title>,<text>悄悄無心把一盃。落花飛絮任徘徊。小窓睡起成愁絶。滿院東風微雨來。</text>
<title>龍巖感懷</title>,<text>濁世栖遲寂寞濱。書生袖裏秘經綸。不堪江上重回首。煙雨苔磯跡已陳。</text>
<title>甲申淸和日</title>,<text>芳草萋萋欲似茵。牆陰日轉霽光新。漳濱又見淸明節。紅杏碧桃愁殺人。</text>
<title>聞錦州圍合</title>,<text>殘堞浮懸欲恃誰。祖生心訃辦牢癡。援兵不至長圍合。天下中分已可知。</text>
<title>過金而述舊基</title>,<text>廢垣蔓草路高低。楓葉蕭蕭日欲西。三十餘年如夢裏。不堪班馬更躊躇。</text>
<title>梁君可漸。雨中贈以兩色盆菊。因贈一絶。卽和。</title>,<text>臥看霜蘂上蜂鬚。一病寒慳任大蘇。微雨數莖分送似。故人缶裏喜盈孚。</text>
<title>申公輔以敬差過訪白上舍 尙賢。席上賦一絶索和。仍步韻贈別。</title>,<text>竆懷歷亂不宜秋。御史調狨地盡頭。未死相逢眞一夢。且敎㫌旆少遲留。</text>
<title>寄贈畵盃</title>,<text>輕淸惹暈玉無瑕。淸夜微雲點月華。持贈醉醒應有意。黃花笑殺負流霞。</text>
<title>聞三學士四四館有恩命</title>,<text>近聞明詔滌微瑕。環珮玲瓏響九華。惟有孤臣歸不得。小窓無語對晨霞。</text>
<title>秋夕。在直臺次而寧韻。</title>,<text>去歲玆辰在帝京。今年依舊未歸情。年年爲客成何事。默數殘更坐到明。</text>
<title>次洪花圃 翼漢 韻</title>,<text>方丈驂鸞夢已非。秋風黃葉倦遊歸。不辭仙侶來相對。處處林翁解挽衣。</text>
<title>謝太學士 庚辰</title>,<text>懸車前路已無多。驅策其如白髮何。自是當歸歸亦晩。投章未必引沈痾。</text>
<title>贈洪懷仁 成海號梧村。丁酉擧義討倭。甲申皇明亡。遂不仕。時稱大明處士。</title>,<text>爲國忠誠星月輝。征倭鞱略鬼神知。一面干城猶在。子功名須取少年時。</text>
<title>淸心亭上口號</title>,<text>白首歸來一夢賖。望仙橋上聽絃歌。此心已似粘泥絮。柰爾罇前妙舞何。其二月前成會玉人賖。愁殺淸罇聽亂歌。今日盍簪知幸爾。滿村親舊意如何。</text>
<title>江樓泛舟</title>,<text>斜陽倚棹又中流。奇絶全勝月下浮。解道山高何意思。蘇仙辜負一江秋。</text>
<title>上元偶吟</title>,<text>南鄕未解賞元宵。處處重簾悄寂寥。遙想廣陵燈火閙。怳然天樂下淸霄。</text>
<title>題扇贈人</title>,<text>朱門六月苦蒸炎。誰遣淸風到屋簷。買取片雲分送似。自然於世不傷廉。</text>
<title>贈朴知申 明榑</title>,<text>再把封章動九天。只今淸議更堪傳。憑君休說韓公事。纔到潮州便乞憐。</text>
<title>諷人</title>,<text>聞道天官奉玉書。紫薇消息問何如。孔明亦有支離恨。辨了三分合臥廬。</text>
<title>贈別申公輔</title>,<text>蕭蕭寒葉海山秋。千里重驚兩白頭。京洛故人誰得到。罇前一笑當封留。</text>
<title>次能師韻</title>,<text>凈業玄襟老轉奇。十年聞說太能師。坡翁海外方持戒。寄語參寥聖得知。</text>
<title>送金東溟持節關東</title>,<text>客心終日常思穎。此別令人意渺然。關嶺淸秋開玉帳。庾樓明月挾飛仙。眼竆碧海東南北。跡遍金剛萬二千。句漏丹砂須九轉。刀圭已許葛翁先。</text>
<title>別小司寇賀節朝天 全沙西湜</title>,<text>八月高秋鴈影忙。仙槎迢遞海雲長。行尋闕里先師宅。帆過嗚呼義士鄕。暮境危途心似鐵。朝來明鏡鬢如霜。東歸好把漁竿去。玉署分香夢一場。其二蹔輟仙班第一流。提攜玉節去觀周。張槎路闊風帆遠。蘇筆題新海市浮。此老剛腸輕萬里。何時金鑑慶千秋。男兒肯灑尊前淚。當日廷爭辦壯遊。</text>
<title>別西隣吳丈出牧首陽</title>,<text>羣英濟濟賁淸朝。此老浮沈最下僚。連抱誰知無寸朽。割雞今復用牛刀。夷齊苦節留名字。文獻遺風已寂寥。莫向黃堂久製錦。不堪賢路日蕭條。</text>
<title>留別會甫</title>,<text>山林習氣未全除。名利前頭一夢虛。東洛風塵憐越鳥。南華心事在濠魚。不妨共飮三江水。最好閒觀萬卷書。士所當爲須晩節。吾儕肯許樂耕漁。</text>
<title>送李學士 敬輿 出廵關西</title>,<text>朝廷近欲靜妖氛。黃石神機佇策勳。玉署傳臚催學士。靑油梳髮對將軍。離魂暗結東門柳。爽氣遙連紫塞雲。又唱驪駒成獨坐。不堪歸思日絲棼。</text>
<title>送韓釣隱 夢參</title>,<text>蕭蕭征馬趁歸程。殘歲蒼茫雪意輕。孤堞有鴉啼晩色。寒林無葉寄秋聲。風霜極海難爲別。零落衰容祗可驚。遙想鼎巖行樂處。孤舟依舊月邊橫。</text>
<title>送金正字士逸入洛 槃</title>,<text>西風和雨報新凉。行子歸心日下忙。小別未應催淚睫。孤懷忽復攬愁腸。雞虫得失渾閒事。橘柚酸醎且小嘗。老我先君諳世味。送行無語意何長。</text>
<title>送鄭汝廓令公按海西 彦宏</title>,<text>持被金鑾已渺然。君纔中歲我衰年。重來故舊誰相問。又送征麾祗自憐。北事惟艱無上策。西門爲重屈吾賢。男兒期待終非淺。肯向尊前惜別筵。</text>
<title>送李東野守靈巖 時其大人任全州</title>,<text>湖南千里要人才。蹔輟淸時禁從來。肯謂朝廷無此例。只今黎庶正堪哀。分憂已慰䨓封望。去路仍榮壽席開。不惜當筵成遠別。念君恩耀首重回。</text>
<title>仲秋至金陵道上作</title>,<text>去歲仲秋對玉墀。玆時又復任驅馳。田家到處觴隣社。遠客逢人問路岐。老去一身如泛梗。年來萬事辦牢癡。非無江海平生志。聖主鴻恩報答遲。</text>
<title>暮宿陷谷村</title>,<text>地名陷谷臨長道。遠客停驂薄暮時。飢蝎侵人鄕夢斷。殘燈背壁曉星遲。蘆梢露重全經雨。岳面嵐生細抹眉。行向初平成一宿。故園歸計日差池。</text>
<title>過王來村</title>,<text>歇馬王來過具墩。崎嶇岡坂不堪論。藤蘿擁路征驂逗。松檜連雲怪鳥喧。石磴中分湖嶺界。晴嵐平鎖俗離門。一年再負江湖約。應有高人笑我煩。</text>
<title>送姜寒沙 大遂 赴朝</title>,<text>昨日今日皆天雨。忽謾相逢不在人。閉戶上元成獨坐。孤村諫議與誰隣。春蔬靜愛香芽嫩。野水閒尋綠漾新。明發逍遙非淺興。桃花源外莫逡巡。</text>
<title>癸亥七月。被恩赴朝。行到高靈。呈病還家。中元節有感作。</title>,<text>微雨侵晨野色新。朝來爽氣暢精神。伽倻風俗中元節。蓬蓽恩私下品人。自是痾痒聊戲我。肯將衰朽故迷津。南歸隨處漁磯伴。笑殺塵容出脚頻。</text>
<title>過柱屹詠懷</title>,<text>勇脫危途豁遠眸。忽驚柱屹揷天浮。狂奔夷貊三千里。雄鎭東南六十州。天旱卽今興雨澤。地靈終古鍾風流。年來閱盡㫌招者。誰把長才佐廟謨。</text>
<title>欲就鼎巖下流。經營數架精舍。而舊病未蘇。偶成一律寄懷。</title>,<text>晩來扶病訪梅兄。佳節驚心自不平。橘柚甘酸知世味。雨雲翻覆見交情。江山有約魂長往。疾病如期計未成。安得靈丹方寸匕。衡茅滿意費經營。</text>
<title>次方伯李 基祚 會稽泛舟韻</title>,<text>山下平湖湖上舟。東南自古數玆遊。靑春好住山公節。勝事重尋庾令樓。玉署連床如昨日。丹丘掃榻卽前秋可憐病負登仙約。別路寧辭擧白浮。</text>
<title>次金鶴圃韻。因以贈別。</title>,<text>眼前人事日紛然。又共疲氓送二天。九曲愁腸雲樹外。一秋衰鬢是非前。驛亭今夕同看月。詩酒何年更續絃。夾岸江楓正蕭瑟。不堪移棹過前川。</text>
<title>次鄭參奉尙古韻</title>,<text>四罪曾聞服舜堯。端宜聖主棄蒭蕘。欲將暮齒爲身計。肯負丹衷白日昭。孤堞哀笳雲外咽。故園歸夢枕邊遙。夜來風雨嫌泥滑。誰許蹇驢趁早朝。其二明主疇咨法聖堯。孤臣芹𣌑愧蒭蕘。當時得失輕毫髮。今日紛紜重穆昭。𤱶畒肯忘天下事。江湖未覺日邊遙。危樓一夜歸心切。猶記當關促曉朝。其三盥露微吟癢得搔。聯翩佳句意彌高。聲名欲似千金馬。身世空悲一羽毛。老去思鄕勞遠夢。秋來遣興有醇醪。平生閱盡人間事。柱下幾成三見逃。</text>
