<title>種竹</title>,<text>手種窓前竹。春來長玉竿。相將期歲暮。天地北風寒。</text>
<title>懷士剛 愼獨齋字</title>,<text>吾友今何處。分明在眼中。疎髥殊骨相。淸儀古人風。地僻人誰問。山重信不通。夜寒離思迫。新月照窓櫳。</text>
<title>懷子容 鄭畸菴弘溟</title>,<text>吾友鄭子容。蒼松獨秀林。紅塵非素願。白屋乃初心。應苦長腰折。時憑短律吟。參商南北隔。夜夜夢相尋。</text>
<title>夜霽</title>,<text>世路昏凮雨。人忙走倒潦。雲移山自立。溪轉石猶高。大地平寬濶。長天靜寂寥。寸心元不昧。星斗夜昭昭。</text>
<title>憶趙玄洲 纘韓</title>,<text>不見玄洲久。中宵勞夢思。慣伸茅舍膝。初屈故人兒。開笑逢人處。嚬眉獨臥時。何當成一會。剪燭慰相離。</text>
<title>贈崔石溪 命龍</title>,<text>聞說江村勝。身留心往先。辭喧憐靜僻。斫雪厭銀鮮。山榻雲生席。松亭月湧川。超然塵世外。何羡玉堂仙。</text>
<title>楊上舍 爾謙 挽</title>,<text>邂逅艱難際。相懽若舊知。同年兄弟義。晩契雪霜期。幾遠昏時累。終含盛世悲。自慚恩未報。揮淚寫哀詞。</text>
<title>題日出菴 在回文山</title>,<text>古寺餘瓦礫。新菴開莾烟。幽禽棲㵎竹。錦葉覆苔錢。興廢那能說。盈虛固自然。懸燈吟永夜。松子落寒泉。</text>
<title>自笑 四首</title>,<text>自笑謀生拙。長飢謂弗貧。充膓盂滿藿。禦冬骭懸鶉。羞作富家虜。貴爲男子身。所憂殊異俗。願學古之人。自笑爲儒陋。徒能讀古書。業科乖好惡。求道昧階除。欲事操心法。難廻迷路輿。平生多義氣。跡與衆人疎。自笑顔貌醜。逢人不我娟。無華安本性。有耦熟前緣。梳洗臨明鏡。和柔禀上天。外容寧掩內。閒弄鳳凰絃。自笑爲官易。三年已四遷。固宜居畎畒。寧復媚要權。病卧文山下。懸心白日邊。靑衫趍驛路。時入夢依然。</text>
<title>閒居</title>,<text>人間少可人。境外多閒境。閒境勝良朋。時尋開小徑。烟霞粧晩林。花木耀新景。相對不相猜。陶然長嘯咏。</text>
<title>示李君沛然 起浡</title>,<text>草屋纔容膝。藜床可穩眠。門關山色靜。林晩鳥聲圓。畫本雲嵐巧。詩材水石姸。如居塵世外。萬事任蒼天。</text>
<title>蜾蠃</title>,<text>附翼而細腰。能飛又能鳴。擧族長孤鰥。物理吾難評。旣無卵孕性。又有慈育情。取抱非類虫。入穴塗其扃。日夜呼如我。及成肖其形。形肖心亦似。不別自胎生。如何世人父。誨子愧螟蛉。</text>
<title>無人行</title>,<text>大道無人行。荊棘自成春。狐貍窟其下。跳鳴昏與晨。蛇虺穴其中。閃舌常齧人。白日欲西落。重雲掩蒼旻。曠野暗如柒。曲徑馳蹄輪。斯路日蓁蕪。薄俗無由淳。悵然回首望。天地漲風塵。俗薄亂作。皆由於大道之不行。而狐狸蛇虺。窟穴其中。以爲階也。</text>
<title>贈別金鳳谷 東準</title>,<text>男子剛腸鐵。離愁大冶工。三更冬夜半。孤燭酒杯中。寸寸消爲淚。潛潛滴作濃。自然成一水。流與馬蹄東。</text>
<title>寄金東溪 峻業</title>,<text>遠想幽亭勝。茅簷俯碧灣。松陰洲渚靜。風滌暑炎寒。刀落鮮飛雪。壺傾露注團。臥聽琴數曲。塵事隔前巒。</text>
<title>寄愼獨齋</title>,<text>一別成千里。相思歲屢更。芳春邀社老。永日卧松亭。不厭盃中酒。無關世上名。淸眞吾所慕。徒自想儀形。</text>
<title>憶金君而行 東達</title>,<text>不見金生久。無緣問後期。長江沙上路。匹馬望中誰。苦待行來近。難禁眞未疑。俄然門外去。佇立日西時。</text>
<title>早秋初吉日 三首</title>,<text>節序流丸轉。偏傷七月初。言休邦運否。只恨廟筭疎。聖壽新昇旭。堯宮晏出車。千秋如喪淚。萬里作長渠。新秋初吉日。仁廟遽賓天。罔極當時痛。無窮後世傳。廣寒深復密。霜雪白而鮮。渡水踰山曲。一吟雙涕漣。大德臨偏國。無端遽遏音。三年天若假。萬世澤猶深。北虜寧窺塞。南倭已獻琛。遺民安奠枕。那復凍飢侵。</text>
<title>徵兵</title>,<text>風傳胡必至。羽檄急徵兵。主將夜宣令。殘軍晨發行。懸鶉垂短骭。積雪滿長程。妻子出門別。荒村連哭聲。</text>
<title>沙溪先生再期。行至 一字缺 川。水漲不得渡。二首。七絶附。</title>,<text>三年喪未盡。心若有憑依。遽見琴祥至。深嗟日月飛。沙川連霽色。秋月漾寒輝。倀倀吾何往。不禁雙涕揮。龍鍾霜髮老門生。矯首西回望外城。痛哭山頹期再至。雨淫川漲阻吾行。</text>
<title>崔石溪挽</title>,<text>昔來含笑迎。今到寂無聲。入室書猶在。循階跡尙明。弗聞諸友喚。何薄舊交情。哭輟求將見。丹旌東出行。</text>
<title>金東溪挽</title>,<text>皎皎氷壺月。是君平日心。能 缺 羣聖道。欲掃滿天陰。蟾妖常薄蝕。光彩未埋沉。今化文星去。千秋長照臨。</text>
<title>與柳白石 楫</title>,<text>未到路何險。臨來境界寬。知心盟白鷺。無客對靑山。江涵秋色老。鴈送塞聲寒。日暮浮雲合。狂歌帶月還。</text>
<title>以使院令。奉命頒布祔廟慶赦之行。</title>,<text>叨陪邦慶赦。宣布峽中民。奕廟元仁號。同雲霈澤恩。禮經難據古。制作卽歸新。但願加修省。綿垂億萬春。</text>
<title>春雨</title>,<text>終日新春雨。皇天洗積陰。風霜摧折盡。冰雪凍閉深。澤洽三陽節。萌均萬物心。聖明當體此。布德活餘黔。</text>
<title>暮秋</title>,<text>歲暮衆芳歇。谷邃孤蘭光。霜凮日以急。淸芬日以揚。靈均採爲佩。餘馥流沅湘。斯人已千載。誰復知幽芳。寧求人世知。暮雲中自香。</text>
<title>敬次東宮詩 昭顯世子</title>,<text>洶洶何時定。飄飄着處鄕。文章非豹隱。鞱略豈鷹揚。無路歸秦客。逢人問楚狂。夜來江海夢。烟雨滿漁梁。</text>
<title>奉和睿製韻 孝廟潛邸時</title>,<text>中宵多感慨。耿耿不成眠。客况靑燈外。鄕愁白髮邊。風塵迷道路。身世負林泉。却起開門望。霜淸月滿天。</text>
<title>次龍湖精舍韻</title>,<text>塵寰隔白沙。無事理漁蓑。閒伴鷗眠月。靜看魚躍波。鬟娟雲外嶂。羅薄雨中莎。長對新圖畫。烟嵐活態多。</text>
<title>寄宋同春 浚吉 示花江</title>,<text>山中崴欲華。春寒雨雪深。重雲閟白日。夜色昏沉沉。冥冥鳳何之。鶚鶹噪空林。蕞爾小奴醜。敢懷猾夏心。瀋撫入兇呀。遼帥又見擒。豈料天子朝。士無干城任。大明天下主。列聖輸丹忱。休慽義所共。徵兵帝曰欽。廟筭不在戰。元戎有姜金。驕虜喜購和。反覆多鶚音。一朝蹴龍宣。民喜如甘霖。將卒眠不起。禦戎冠古今。可憐毛將軍。匹馬奔駸駸。和字孰主張。朝無檜孔壬。堂堂禮義邦。不復頭冠簪。和成戍不罷。兵牒紛追尋。調丁南郡空。蹄跡交獸禽。東倭欲乘乘。篚絶淮夷琛。都城事光輝。貝闕連雲陰。猶嫌禹宮卑。樑橫星斗侵。老弱走風雨。斫材竆崖潯。九重萬幾閒。長奏南薰琴。贒相協經邦。直臣爭獻箴。隆治問如何。堯舜方君臨。天何怒譴災。民何怨謳吟。伊我生此時。投足路嶔崟。歲晩浩嘯來。林卧天爲衾。憶在壬辰歲。八路迷氛祲。不有聖皇賜。東土無餘黔。戰場盈桑麻。男耕女織紝。懷忠未能報。有淚雙淫淫。痛哭者非一。欲言口啞瘖。悠然望東南。太白露雲岑。去矣誰與共。夫子同胷襟。耕雲釣月樂。世人誰得禁。閒理白柄鑱。采采雲中蔘。萬事莫問天。從古天難諶。白雲綠蘿下。松醪相對斟。</text>
<title>李萬戶 明恕 挽</title>,<text>獨村遺餘慶。二子麒麟兒。天報仁贒後。人言壽福宜。無端相繼逝。欲問更誰知。歸怨終何處。千秋永結悲。</text>
<title>題望月菴 在回文山</title>,<text>聞道一瓢衲。掃灰荊棘中。經營新搆浮。形勝舊時雄。簾灑頭流雨。面寒桑海凮。何方生羽翰。飛到玩從容。</text>
<title>渡鼎巖津 在咸安</title>,<text>鼎水之東是我鄕。翩然西渡向何方。巴山 咸之舊號 漸遠頻回首。淚落長波波更長。</text>
<title>偶興</title>,<text>夏欲凉寒冬欲煖。飢思粱肉渴思泉。此心到處隨他役。只是源頭立不堅。</text>
<title>雨後道中</title>,<text>小雨初收野景新。綠楊芳草摠精神。歸來十里斜陽路。滿面東風三月春。</text>
<title>訪用汝 柳白石字</title>,<text>路入層雲石棧傾。攀躋魂失萬尋坑。何方鏟盡千峯險。且作長途濶步行。</text>
<title>雪夜</title>,<text>頑雲漠漠夜漫漫。山下孤村獨掩關。烟煖土床閒睡足。不知風雪五更寒。</text>
<title>西宮怨 時爾瞻等殺國舅金悌男父子。又殺大君。因幽閉大妃於西宮。父與兄弟死非其罪。而劫奪大君於膝上。安置江都。炙殺之。其㤪爲如何耶。</title>,<text>長宵永日坐呼天。遺怨無終後萬年。幾望蒼梧廻鳳輦。悠悠消息隔湘川。</text>
<title>春雪</title>,<text>新春已半氣如冬。大雪連旬又大風。寒重夜深天不曙。何時煖日照靑空。</text>
<title>閒居</title>,<text>分作溪山自在身。忘機魚鳥日相親。寒梅數朶眞吾友。不願東風雨露新。</text>
<title>李白沙 恒福 挽 在謫所卒</title>,<text>兩朝白髮調元相。千里黃沙楚水魂。遺痛應將宣廟訴。君臣同哭九疑昏。</text>
<title>醉贈李天默 尙馨○二首</title>,<text>從古醉鄕別洞天。依然風景混沌年。居民禮數殊塵世。一臥千秋長熟眠。時爾瞻把弄權勢。薦引憸小。布湍要地。日事圮毁倫紀。故不欲在人世。飄然有遠去之志而不可得。是以詩意如此。六月炎天凮雨惡。路坑川漲不宜行。休言男子功名重。雙鬚蕭蕭雪萬莖。</text>
<title>示李成仲 興祿</title>,<text>饑歲豐年粥一盂。淸寒生理樂無虞。官之得失寧增揖。守道安貧是丈夫。</text>
<title>是非</title>,<text>從古人間有是非。是云是也非云非。如何今世是非子。是不是焉非不非。</text>
<title>示辛靑坡 二剛</title>,<text>薄紙糊窓凮不透。柔絲繫艦水難移。元來未可糊而繫。一寸心如六馬馳。</text>
<title>思母詩 壬戌</title>,<text>思母求尋遍室中。入房無見枕筵空。還從靈几號聲哭。何處今宵更與同。</text>
<title>寄安牛山 邦俊</title>,<text>人間白髮牛山老。滿腹琅玕達聖聽。五歲元孫轅又北。廟堂謨畫勝書生。</text>
<title>題人𥳑書</title>,<text>聞道西師水陸並。謀臣銳意立功名。憂深獨有延平老。他日應思瀝血誠。書中有延平相公以西征不可再箚。罷出門外。故詩末聯二句如此云。</text>
<title>閒居 二首</title>,<text>草堂長日無來客。時有淸風自動門。懶讀古書高枕臥。笑看翻覆碧空雲。最愛崐崙萬仞峯。蒼蒼秀色聳天中。飄然欲沂黃河去。相與翺翔綠髮翁。</text>
<title>次南大元草堂韻 二首</title>,<text>索價元非洛北涯。佳期自與美人遲。拋書來作漁樵隱。猿鶴相驚問是誰。樵歸山日欲西時。坐歇松陰咏古詩。起渡溪橋移步緩。桃花飄撲白鬚髭。</text>
<title>閒居 二首</title>,<text>鸎歌碧洞無竆樹。鷰舞晴天不盡風。物物欣欣皆得樂。誰知生育化工公。洛陽多少名園裏。無盡年華不盡收。鷰舞鶯歌拋擲散。任供田老遺閒愁。</text>
<title>積雨後見月。吟示柳白石。</title>,<text>積雨三旬久晦微。天晴今夕始生輝。重陰長養桂花潔。全魄鞱藏玉兔肥。比比君子雖遭讒搆久害。所守猶篤而其道愈光。明其害之者。適所以養其道而已。</text>
<title>閒居</title>,<text>靑山茅屋白雲裏。綠水柴門相對開。莫道幽人無與伴。淸風明月不期來。</text>
<title>次飯牛堂韻 主人李經</title>,<text>蹤跡年來斂小堂。人眠牛卧兩相忘。前溪雨細烟莎晩。藜杖驅牛去不忙。</text>
<title>無題 斥金人</title>,<text>十月重雲暗不開。獨將長劒此徘徊。行當直渡黃河去。百萬胡兵一戰摧。</text>
<title>丁丑作 三首○上一首。見丙子倡義錄。</title>,<text>陰雲四合夜沉沉。空谷啼呼雜戰禽。天上大明偏晦塞。何時東土赫重臨。恒風恒雨恒寒苦。更有朝朝大霧昏。朔氣連陰呈此異。皇天非是誡吾君。君臣大義根良性。田老亦人天賦同。擧世醉眠眠不覺。隋家憂國獨漁翁。</text>
<title>無題 見丙子倡義錄</title>,<text>已作胡民冠冕裂。忘羞僕使忍生身。毒寒誰喚竆荒北。却怨春來不似春。</text>
<title>丁丑後有題 五首○下一首。見丙子倡義錄。</title>,<text>朔雲釀雪朔凮急。漠漠窮陰鎖暮寒。滿苑羣芳驕雨露。也無橫翠一枝完。狂猘龍灣長喙毒。公卿氣死犬聲中。偸生苟計惟從順。誰念民和坐制戎。珥貂金帶銀臺長。世祿家兒寵又新。失節貪生傳有祖。媚胡同惡姓非秦。使馬東回齊笑語。心酸禮節漢陽城。花飄風裏無南北。珠落盤中任轉傾。千載黃河幾日淸。凮塵天地半氊腥。男兒若在張拳起。談笑掃除輝大明。</text>
<title>春寒</title>,<text>冬寒春煖天分序。冬煖春寒豈故違。燮理陰陽梅鼎手。憐民暍死凍無衣。</text>
<title>與鄭畸菴</title>,<text>君袂西飄水石程。我騎南向弊廬行。秋鴻社燕相違背。虛擲三年竚望情。</text>
<title>冬至</title>,<text>雷破羣陰動一聲。林林萬物摠生萌。乾坤自此陽方泰。只願爲人克己誠。</text>
<title>星變</title>,<text>白日雷霆猶未見。夜中星變更誰知。皇天仁愛誠雖切。爭奈牢眠覺太遲。</text>
<title>曉聞風雨</title>,<text>頑雲昨夜結重陰。今曉滿天風雨惡。難見靑空白日明。不禁老淚漣漣落。</text>
<title>種柳</title>,<text>驛亭種柳勞疲卒。不爲臨分折贈人。枝長他年烟雨裏。東風吹帶太平春。</text>
<title>立春 二首</title>,<text>天憐萬物苦乾盡。故促新春臘月廻。明歲元朝隔一日。靄然生意動根荄。東皇爲厭塵寰汚。雪供三陽初發生。作瑞新年成玉界。箕封今復素風行。</text>
<title>次金牧使 元立 韻</title>,<text>天時已復一陽來。竆谷春光殷鼎梅。夜夜前星光彩動。東還應做太平開。</text>
<title>嘲雲</title>,<text>浮雲不敢近西飛。應有中間苛禁揮。誰道無心而出岫。亦知從順罔能違。</text>
<title>種菊</title>,<text>老夫帶雨勤移菊。不爲深杯泛落英。九月霜凮搖落盡。獨憐金萼滿庭馨。</text>
<title>立春</title>,<text>病深無力春符寫。默默心禱只數言。門外石田禾黍熟。巷中烟月笑歌喧。</text>
<title>示金薇谷</title>,<text>人情隨日隨時薄。薄到極時全絶無。天賦良心昏蝕盡。可憐禽犢一頑軀。</text>
<title>感古</title>,<text>飽食閒眠無所識。百年甘作聖王民。携來掛樹瓢猶棄。可忍爲君浼此身。許由男兒生世貴天放。扁束塵埃天子陋。陋言浼耳恨無聾。洗遣長流淸潁水。巢父低頭瞋目激波耳。田老牽牛經下灘。叱牛欲飮引繩急。飮滿旁流歸去閒。田父鴻冥冥擧遠逃秦。商嶺高深隔世紛。缺 廢劉盈非所與。偉冠何事漢庭塵。四皓政歸王氏主威奪。千里封章盡血誠。早識灰炎新芥手。白雲隨處遠藏形。梅福足收帝腹起還山。身卧桐江自在閒。不但一絲扶漢鼎。淸凮千古動人間。嚴陵金口三緘守正終。全身何必碧山中。人亡國瘁傷時哭。不忍顚危爲漢忠。郭泰幾先黨禍超然去。容膝因爲碧樹林。明月淸風猿鶴伴。漢庭遙隔萬重岑。申屠蟠黨𥚁深懲名節礪。晉時人物習猖狂。淸談惟事竹林醉。自誤誤人終國亡。竹林七贒欲濟時危初計誤。一官非是爲功名。秋風忽起蓴鱸興。歸去扁舟逐浪輕。張翰斂藏磊落丈夫志。身與白雲同去留。壯憤塡胷無處洩。出聲長嘯動巖邱。孫登天憂頹絶晉綱常。全付頎然七尺長。桃李迎春嬌雨露。狐松擺雪聳空蒼。陶靖節于時自鬻太平策。僭作諸言枉費神。講學未精容何議。當時亦幸有斯人。王通</text>
<title>梅</title>,<text>傅說貧傭版築時。孤根岩谷老瓊枝。無端忽覺商王夢。兩遇調成鼎味宜。</text>
<title>朴參奉 東立 挽 二首</title>,<text>病翁生世百何樂。每寫哀詞送故人。今日詞中不盡意。泉臺期與細重陳。遐年享有八十一。葬又從先受祉多。孝友盡誠天錫報。從今留與世傳家。</text>
<title>閒居</title>,<text>家貧亦足餘年樂。雨雪重寒一布衫。靜愛碧山開戶坐。北風松檜戰巉巖。</text>
<title>示用汝</title>,<text>朝飢暮粥仍甘寢。早起茅簷對碧山。山本無情還有意。雲藏半腹露蒼顔。</text>
<title>甲申作 四首○聞南京已陷。</title>,<text>荒淫奢侈從心樂。自促身亡宗社傾。不辟元來同一轍。興衰何必一崇禎。高皇創業仁爲本。節義綱常植厚根。國破君亡天地易。何無死義一忠臣。此一首。見丙子倡義錄。自南遷北大宗帝。夷族忠貞問幾家。節義綱常壞絶盡。終呼醜胡亂中華。竆荒逆虜穴神京。三人頑雛假爲名。日晦塵腥長夜暗。秋來螢火幾處明。</text>
<title>慨然題 七首</title>,<text>麻浦東邊十丈碑。誇功頌德問阿誰。天官玉署淸臣奭。事業千秋石不移。撰辭立石雖胡手。難滌山河萬古羞。頌德忘讎癃疾困。蒼天無語白鷗愁。春秋大義嚴夷夏。遽進明衰識者非。天上大明方午爀。特書承統忍毫揮。中書右相新豐伯。人物文章世所稀。筆下懼唐濤裂壑。浪花沾潤獸心微。老母凍飢江上死。妹連子婦賊中俘。君讎國辱雖無念。隻字褒尊可忍模。言由心出宣於外。華是文章世上傳。善惡褒誅良性發。張君一筆問何緣。漢時楊子號名儒。白首終爲芥丈夫。失節摠緣文字累。綱常倒地更誰扶。芥本作莽</text>
<title>可憐</title>,<text>可憐時事如嘗蔗。漸入相同佳境非。百丈高樓瓴建快。問誰專味弄樞機。</text>
<title>病卧口占 乙酉</title>,<text>一病天時三換節。憂家憂國盡茫然。老翁新舊疾如此。憂亦無爲忘可焉。</text>
<title>春日雜咏</title>,<text>流水涓涓木向榮。飢羸憔悴獨殘民。可憐時事終何似。萬里長江東倒傾。</text>
<title>春祝 二首</title>,<text>春廻震野烟花煖。雲盡長空日月明。東海倭王臣獻貢。中華天子詔銷兵。村童巷老歌新起。箕子檀君化復行。莘涓更無耕釣隱。人人喧道泰階平。慈萱遐壽崇華久。萊舞春風白日長。娶婦鄕稱宜室慶。夢熊人賀嗣先祥。奴耕婢織千災滅。雨順風調百穀穰。孝悌爲家天錫類。世連簪笏滿牙床。</text>
<title>聞姜弘立降虜</title>,<text>席世分茅荷國光。筍班齊望晉山姜。耳孫弘立文兼武。鼻祖民瞻業更昌。漢築高壇推信轂。陵投堅甲拜胡王。優忠二百餘年澤。剩得猿蟲數萬強。</text>
<title>胡退後慨然題 二首</title>,<text>龍灣從古國西門。壤接中華文物繫。胡馬北來江失險。鑾輿西幸閫無坦。長驅十日平山府。痛哭千村黔首魂。社稷安危誰復念。銅盤盟血尙鮮痕。策馬宵征遡北風。縈紆石路草林中。星光亂繞穿溪步。秋響寒生踏葉踪。豺虎瞰人當嶺阨。鼠鼯乘夜鬪巖縫。輸來景物詩多少。更問長途何處竆。</text>
<title>盧君 亨遇 挽</title>,<text>玉溪文穆兩贒孫。天賦聰明更出羣。源羡方期流遠大。蘭摧遽作壁沉淪。泉臺想得從先樂。塵世長哀未死身。遐壽元來惟在善。千年不朽孰如君。</text>
<title>金察訪 永纘 挽</title>,<text>雙親旅食湖中地。孤宦縻身嶺外天。定省心憑魂夢遠。庭幃身替信書傳。去來一疾仍長逝。阻別重懷隔九泉。素翣秋風錦水北。死生遺痛億千年。</text>
<title>沙溪先生挽</title>,<text>天降先生非偶爾。期將一世轉雍煕。遭逢繫命民無祿。出處關時道未施。斂退邱園加靜養。闡明功用勝平治。山頹痛哭斯文喪。長夜漫漫昧所之。</text>
<title>午午懷屈三閭</title>,<text>把酒招魂歌楚些。君臣渾醉獨醒何。離騷二十罄丹血。長舌三千妬翠蛾。彩鳳高翔違濁世。冥鴻色擧遠虞羅。可憐抱器殷微子。孔聖稱仁人亦嗟。</text>
<title>示辛上舍 希淳</title>,<text>喧喧亂響何時靜。木葉西風吹不休。冬嶺孤松寧避雪。古田嘉穀自成秋。馳名莫道無雙士。斂跡當爲第一籌。男子百年眞樂在。死生都付別人愁。</text>
<title>三印臺。憶金冲菴，朴訥齋。</title>,<text>古寺巖名三印臺。昔贒遺蹟長蒼苔。攀登不耐悲生肚。想憶那堪淚滿腮。己卯羣邪天喪道。耽羅孤魂海連哀。靑松尙帶當年憤。長殷虬枝白日雷。</text>
<title>次張谿谷 維 壽親宴詩 三首</title>,<text>三朝視膳盡宸情。興孝心如草發榮。勝日初筵回春運。昌辰餘慶舞贒卿。排寒天樂韶光煖。却老宮壺曙靄明。宴罷齊聲呼萬歲。輝輝星月照丹誠。遭亂人違欲孝情。今開盛宴荷殊榮。滿筵黃髮兼鮐背。有子靑驄又月卿。法曲鳳韶聲遍煖。恩壺仙掌露凝明。東韓壽域登三五。忠孝家家世盡誠。欲人皆孝出宸情。壽席需雲數外榮。春動虞韶天上曲。衣班萊舞座中卿。猶惶鶴髮專城養。况受宮繭耀雪明。跡阻稱觴山祝列。仰瞻天日貢丹誠。</text>
<title>楊正郞 受大 挽</title>,<text>謹厚淳眞眞古人。塵世如今那更有。流落風塵偶然逢。一見開心傾肺腑。相將恥作桃李顔。笑指靑松霜雪後。德村龜尾隔一川。川上石路穿花柳。</text>
<title>贈柳兄 應運</title>,<text>同降人間戊己年。初逢相許亦前緣。多男君痛沉珪海。無子吾甘得罪天。宦達參軍郵吏賤。淸貧原憲仲由贒。一生萬事皆隨分。不耐秋風別思纏。</text>
<title>種梅子</title>,<text>白髮移根且道遲。况今將子斲庭蒔。枝橫夜月非要見。袖拂歸鞭已有期。宰物若知栽植意。調塩應及鼎登時。寒郵空谷寧論地。好待商王夢寐思。</text>
<title>病中獨吟</title>,<text>空齋病臥觀天象。雲密風寒更亢陽。五月山田枯麥黍。一年民事失耕桑。聖心孝切遷陵卜。元帥兵摧赴塞防。鶯燕不知塵世苦。雙雙飛舞占晴光。</text>
<title>無題 三首</title>,<text>今古靑山帝王陵。未聞傷雨一宵崩。滂沱只自莎沾潤。膏澤元無鏟削能。半夜震雷雖暗昧。玄宮精魄尙驚兢。非雷謂雨災尤慘。相奏後先何處憑。仁愛天心自古然。今於我后眷于偏。欲其驚懼加修省。將以治安綿歷年。屢示異常遙莫戒。終災至切近求悛。九重深邃那能識。掩蔽聰明相國贒。上下同眠西日傾。夢酣誰復喚回醒。天憂亡國無時至。變示乖常式月生。相奏臣疏邪正倒。雨傷雷破是非橫。齋郞在理亦何罪。只有蒼蒼監照明。</text>
<title>草堂</title>,<text>回文東麓小柴門。盡日無人閉白雲。多病藥爐時點火。厭眠秋菊晩蒔園。茅簷靜與幽禽伴。晴晝閒隨野鹿羣。昔日朋知那入念。囂喧不到亦桃源。</text>
<title>次飯牛堂韻</title>,<text>斗屋年來斂老身。小園佳趣日生新。林間鳥送淸晨語。窓外山含太古淳。扶杖和風烟裏路。放牛芳草水邊春。長吟撲鬢桃花亂。爲問衰翁何代人。</text>
<title>哭宋節度 子眞</title>,<text>相離無日不相思。苦待降仙臺上期。巡節未南星遽落。病眸回北哭哀悲。讀書早有雄豪氣。挾日終扶社稷危。驥範長途馳騁始。霜蹄顚蹶奈公私。</text>
<title>梁君 汝恭 挽</title>,<text>眉目依然笑語琅。如聞如見幾時忘。相期移卜同鄰社。何遽乘雲入帝鄕。山下茅廬今換主。溪邊沙路舊蹤荒。世間跖惡皆遐壽。天報仁人理昧茫。</text>
<title>立春日</title>,<text>欲壽如彭頭已雪。欲富如崇飮有泉。官高鄕相祿萬鍾。此乃有命難求旃。家家春符書滿門。莫不如願祈蒼天。老夫無言何所祝。萬念於世皆悠然。只有憂國寸心丹。把筆涕淚垂雙泫。傴僂西向百拜祝。聖心上與天廻旋。陰消陽長法時令。勉勉修德加恭虔。澄淸方寸鏡明明。進退盈庭贒不贒。乾綱振肅仁政新。化挾春風吹八埏。陰崖竆谷煖已遍。溝壑疲癃陷舞蹁。於是恢張大義氣。掃淸塞北羣腥氊。快雪廟社深深羞。復覩明旭中天懸。此身擊壤歌康衢。長祝岡陵堯聖年。</text>
<title>洪縣監 子亨 挽</title>,<text>彭殤畢竟同歸盡。天下元無不死人。今日傷心非爲死。憐君心事孝而仁。天宜遐壽兼遐福。北堂萊舞長留春。如何不壽又不福。福善一理終埋堙。此下逸</text>
