<title>廣陵口占 乙卯春。送鄭花山澤雷謫南海。而來廣陵別業。</title>,<text>十里秋山裏。深深有酒杯。衣巾藏古篋。恐或襲塵埃。</text>
<title>次李天章 明漢 韻戱贈 時天章。點馬關西云。</title>,<text>隴西公子好風流。馹騎遙臨浮碧樓。樓中女伴如相問。須報潘郞未白頭。</text>
<title>秋夜有懷。寄友人。</title>,<text>參橫月落夜堂寒。意緖悲凉苦未閒。三十五年容易過。世間無復識秋山。</text>
<title>謝李生惠牟邊紙。仍求水墨於茅山道友。</title>,<text>吾衰久與管城疎。得紙還同僧得梳。持向茅山求水墨。卧看彭蠡洞庭湖。</text>
<title>謝李生見寄西果</title>,<text>相如病渴卧三旬。苦口誰憐索蜜頻。偏荷故人情味重。爲分瓊液潤焦唇。</text>
<title>次水色 許𥡦 韻 三首</title>,<text>南溪秋氣曉凄凄。睡罷虗堂意轉迷。三十六年容易過。那堪身世又東西。露下天高風更凄。亂山千疊客魂迷。無端苦憶巴陵子。吟到三更月欲西。仲秋風氣故凄凄。倚杖荒扉曉望迷。惆悵歸期成晼晩。儂家元在鳳城西。</text>
<title>又次水色韻</title>,<text>年光荏苒競流川。秋後覊懷倍黯然。洛下故人多不賤。早時須着祖生鞭。</text>
<title>步韻謝海峯 時宰光山</title>,<text>禁苑沉沉噪暮鴉。東風開遍滿城花。可憐春色渾無賴。不到秋山寒士家。</text>
<title>將往秋山。呈李月沙 廷龜 相公。</title>,<text>戶外東風故作寒。錦城春色未全闌。朝來暗記前宵夢。半在西湖半北山。</text>
<title>兪監司 省曾 座上。詠盆梅。二首。</title>,<text>裊裊靑枝皎皎花。春光澹泊出寒楂。休嫌冷蘂無蜂蝶。也有淸香入夜多。憐渠深鎖曲屛中。長日無言伴此翁。莫遣暗香容易出。悤前還有五更風。</text>
<title>黃江途中口占 鳴烏在淸風。卽公別業。</title>,<text>落木蕭蕭風浪生。亂雲收盡夕陽明。鳴烏村裏歸客去。盡日孤舟沙際橫。</text>
<title>寄李石門 景稷</title>,<text>知君偏愛老夫書。曾展氷絹乞我題。拙筆殘年苦無健。笑攔藤面寄幽居。</text>
<title>贈澤堂 李植</title>,<text>聞說朝家不乏賢。君今毛髮已皤然。江湖有約歸須早。好在烟波一葉船。</text>
<title>春宵</title>,<text>江雲漠漠月微明。客意中宵慘不平。古樹無花春欲盡。子規何事哭三更。</text>
<title>挽李都事 得養 夫人趙氏 趙氏。通書史。善爲文。</title>,<text>名閥曾聞出漢陽。才華仍配隴西郞。庭前玉樹纔成列。半百光陰何太忙。琴瑟無聲寶鏡塵。佳城寂寞掩殘春。始知天上才難甚。輸與修文屬婦人。</text>
<title>寄李蒲谷 崇義</title>,<text>儂家住在亂峰前。昨夜楓林紅欲燃。仙侶不來秋已晩。可憐終日倚悤眠。</text>
<title>次李子瞻 𡽀 詠假山韻</title>,<text>聞說君家藏小峯。朝朝相對翠嵐濃。扁舟古寺依俙是。只欠寒山夜半鍾。</text>
<title>白洲有相訪之約。更以一絶催之。</title>,<text>曾向山南能後期。眼穿蘿逕客來遅。草堂春盡花猶在。花遍空庭知待誰。</text>
<title>邀羅上舍</title>,<text>悲凉孤影伴殘形。窮谷人無問死生。惟有野禽知我意。隔林終日盡情鳴。</text>
<title>悼舊</title>,<text>一代才華儘絶倫。憶曾追逐太平春。卽今零落知誰在。摠是山陽笛裏人。</text>
<title>次蒲谷韻</title>,<text>蕭蕭落葉下階前。拾得殘紅向夕燃。白酒家家秋興足。誰憐病客夜無眠。道書居後藥爐前。一炷淸香細細燃。康健如君仙可做。不妨高枕作朝眠。</text>
<title>卽事 在湖西作</title>,<text>夢入秋山山下村。慈顔喜氣正溫溫。覺後去家三百里。滿天風雨掩重門。落木蕭蕭海上村。杪秋風日未全溫。家人此夕應多夢。摘盡黃花愁掩門。</text>
<title>述懷</title>,<text>殘燈無焰布衾寒。一片腔中思萬端。蹔閱百年浮世事。覺來高枕是邯鄲。</text>
<title>次韻。寄李子瞻。</title>,<text>小雨初晴不起塵。黃鸝牕外數聲新。怊悵一年花事盡。可憐人對可憐春。</text>
<title>月松亭。與曺守而 漢英 拈韻。</title>,<text>明沙十里界蒼溟。眼底扶桑一點靑。今日客懷差自慰。與君同上月松亭。</text>
<title>次林判書載叔 墰 韻</title>,<text>江天雨後夕陽微。置酒高樓送客歸。此夜此時猶惜別。明朝回首轉依依。</text>
<title>有所思</title>,<text>我有三尺琴。獨抱上江臺。一彈復一彈。窈湸暫徘徊。推琴不能彈。所思一何哀。所思在遠道。靑山正崔嵬。崔嵬靑山裏。香蘭昔誰栽。就之願言採。我懷空悠哉。</text>
<title>古歌行。呈李白沙 恒福 相公。</title>,<text>關關雙翡翠。共棲蘭沼中。一朝兩失所。萬里分雌雄。雄飛赤霄外。雌弄淸江曲。羣雀乘時集。翺翔哭孤獨。好惡初不爭。無爲苦相啄。</text>
<title>次鶴谷洪 瑞鳳 韻。奉呈李白沙北遷。</title>,<text>爲君發悲歌。送君北出關。別意慘蕭索。况復時歲闌。玄陰閉合沓。宇宙隘不廣。蛟龍藏以蟄。志士思長𨓏。強顔泥土中。愚智苦相懸。從今承光難。關北與湖堧。天寒蘭芷變。努力保馨香。魂夢倘往來。何論隔異鄕。</text>
<title>寄呈徐藥峰 渻 丈</title>,<text>漢水西北流。一瀉三千里。故人江上居。不寄書一字。云胡成阻𤄃。邈若秦與越。聞道昔者疾。沉綿今數月。窮鬼又揶揄。酸寒事難說。去歲田不穫。今年失僮僕。子美但一褐。長卿徒四壁。有友各窮悴。有親不得力。悄然巷陌空。門無車馬客。豈獨賦命薄。良由吾黨厄。玄陰閉六合。北風撼坤軸。鵂鶹鳴白日。孤鳳將安托。舊遊日星散。各在天一方。我亦別王城。携家歸故鄕。歸來更多事。苦覺光陰忙。非無巨卿駕。正有陳蕃榻。奔波無寸暇。不得一會合。思君秋峽裏。望君蘇來北。思君復望君。歎息復歎息。人生一世間。忽如驚風度。去日苦已多。來者知無幾。安能抱欝欝。奔走塵埃裏。爭名與爭利。到今心已死。歸去來山中。山中多樂事。時觀古人書。亦足求其志。貧賤士之常。揣分斯亦泰。所冀家國寧。三邊靜帖妥。秋來五糓登。寒士亦把酒。耿耿一心在。此外知何有。勉旃各努力。守愚更守拙。題詩遙相贈。不覺涕雙出。</text>
<title>次松臯金丈韻。贈別松臯。</title>,<text>少也氣跌宕。悲歌城市裏。軒冕謂俯拾。功名指掌示。壯士忽晼晩。無人知姓名。去遊湖海間。誰憐憔悴形。魚目混隋珠。無塩笑西施。欝欝意不適。吾將誰與歸。幸蒙夫子知。不以寒素遺。水國冷雲夜。山村風雪時。燈前淺深酌。筆下長短詩。浮沉本無計。聚散元有期。川原分浩漫。別離當若爲。况今吾道衰。太平更何時。谷風春轉急。眯目黃塵迷。停駿且不發。惜別還少稽。人生苦無定。有合斯有離。越鳥向南翔。代馬臨風嘶。去矣莫盤桓。無爲泣路岐。一請長寄書。再請將相思。</text>
<title>送崔皥如作縣谷城。兼示南原守。</title>,<text>吾黨崔生文靖孫。復見秀氣眉宇間。讀書不曾破萬卷。往往綺語喧人寰。相者擧肥失之瘦。驊騮跼蹐塩車下。歷職春宮仍父任。滿庭諸公多許可。今年出宰湖嶺間。邑居雖偏民物夥。吾聞愷悌神所佑。疇有不格君之化。况復阿翁惠澤存。南民思之如父兄。谷城西北是潭陽。知君定不墜家聲。高㫌大馬擁前後。僮僕欣欣顔色喜。致身州縣亦榮矣。勝作靑衿老胄子。秋山寒士誰比數。三十五年窮不死。年年送人作太守。長安陌上相識稀。始覺貧賤別更苦。臨岐涕淚空霑衣。君歸應見帶方守。因君爲問平安否。丈夫交道貴急難。寄語窮途莫相負。</text>
<title>山中儒生歌</title>,<text>山中儒生年四十。身着褐衣頭着笠。讀書千卷不曉事。強欲離羣長獨立。村南幸有數頃田。日日荷鍤田中歸。蒿菜沒膝夕露重。黃雀啄粟隨我飛。入門童穉進草具。碗有麥飯盤有漿。撐腸拄腹飽喫罷。歸卧黎床鼾睡壯。世間萬事於吾何。身外無人知此樂。君不見上蔡黃犬華亭鶴。人生富貴還非福。</text>
<title>次張 維 谿谷韻</title>,<text>宇宙何寥濶。浮生寄此中。流傳誰事業。堙沒幾英雄。畢竟同歸盡。升沈摠是空。步兵元放達。胡乃哭途窮。[附元韻]歷落秋山子。靑衫滯洛中。才名翻自誤。意氣爲誰雄。朱墨官曹劇。棋樽客座空。傳筒足佳句。渾欲作詩窮。元韻</text>
<title>送鄭休吉 澤雷 謫南海 甲寅。公以西宮事製疏。使鄭公入啓。乙卯被謫。</title>,<text>此夜足可惜。明朝天一涯。臨分須滿酌。收淚強高歌。月落客初散。風生江欲波。東方看漸白。奈此別離何。</text>
<title>乙卯秋。訪鄭休吉謫所。路經錦江有吟。又一首見排律。</title>,<text>霜落荊門夜。天寒錦水流。日邊雲擁樹。江瀨鴈辭秋。歲月人間促。川原客路脩。迷津何處問。波上有輕鷗。</text>
<title>次谿谷韻</title>,<text>忽忽意不適。夜深當若何。夢中鄕路遠。窓外雨聲多。久客一身病。微官雙鬢皤。陳登豪氣在。猶足慰蹉跎。</text>
<title>黃江會次崔 地緯 殿中韻 黃江在淸風。卽公別業。</title>,<text>此日吾儕樂。何如赤壁遊。江山開勝界。時序屬深秋。紅葉千尋岸。明沙十里洲。興酣歸未晩。扶醉小蒼頭。</text>
<title>漫興次崔 鳴吉 遅川韻</title>,<text>斗屋黃江北。孤村月嶽西。林風吹葉盡。山鳥向人啼。世亂憐穉子。家貧愧老妻。居然與俗絶。覔句對誰題。</text>
<title>次李直夫 敬輿 江亭韻 亭在扶餘白馬扶江下</title>,<text>巖開壺裏界。樓壓鏡中天。京洛非無夢。江湖自有仙。長洲風乍響。危嶂月孤懸。出處間心跡。誰知所以然。</text>
<title>秋日有懷 癸丑秋</title>,<text>忽忽歲云暮。蕭蕭風正寒。潦收呈萬壑。木落瘦千山。壯志空看鏡。窮愁長閉關。滿城歌吹發。何事獨無歡。</text>
<title>記行</title>,<text>宇宙何寥𤄃。山川極杳茫。冷雲歸大漠。初日出扶桑。路遠征驂倦。江洄危棧長。客行當歲暮。風景况他鄕。</text>
<title>早行</title>,<text>凌晨策羸馬。復出主人門。月黑可憐夜。雞鳴何處村。風塵道路長。豺虎伴乾坤。慽慽傷心事。蹉跎誰與論。</text>
<title>明水亭 在載寧</title>,<text>處士昔高蹈。誅茅玆磵邊。那無象外趣。別有壺中天。所幸古基在。誰令他姓傳。千金君莫惜。須復舊靑氊。</text>
<title>臨行邀白洲</title>,<text>歲晩行客遠。天寒霜雪多。歸期杳難定。別意復何如。白水暮流急。蒼崖秋日斜。明朝欲解纜。今夕幸相過。</text>
<title>漫興二首。寄趙浦渚 翼。</title>,<text>欝欝此幽蟄。寥寥誰與羣。凉風尋閉戶。新月透疎雲。響澁歌難放。醪酸醉不醺。巖花春欲歇。竟夕落紛紛。朗吟不成律。獨酌顔更紅。芳辰看欲暮。春色好誰同。兵革浮生老。田園舊業空。京華淚眼裏。蕭瑟大王風。</text>
<title>寄崔殿中。兼示朴 敞 槐山。</title>,<text>聞說槐山丈。臨江卜宅新。天涯同老境。世外多芳隣。杖策無虗日。開樽有好人。終知傾盖處。應似舊相親。</text>
<title>次東陽尉 申翊聖</title>,<text>峽口秋聲晩。無人問索居。那期貴公子。忽憶病相如。地僻孤村靜。家貧四壁虗。年來衰轉甚。猶對養生書。</text>
<title>夏夜有懷。錄寄畿伯尹君玉 墀。</title>,<text>一疾苦沉劇。呻吟今幾年。熱雲三伏雨。殘燭五更天。世事經千變。朋知盡九泉。如何春後夢。長繞洛城邊。</text>
<title>甲子春。自黃江歸廣陵。</title>,<text>避世非秦老。休官異漢疏。窮途詩轉妙。衰境病難蘇。白石滄江濶。靑山小店孤。莫言歸去樂。歸去計還迂。</text>
<title>禹會村</title>,<text>萬國來朝處。千年尙有村。謳歌今寂寞。佳氣久沉昏。舊跡流傳遠。遺黎習俗敦。稽山望不極。汪罔骨應存。</text>
<title>秋山草舍成有懷。寄贈大瓠學士。</title>,<text>秋山還舊業。洛社阻芳隣。地僻無佳客。堂成有主人。村醪時獨酌。野鳥日相親。萬事堪惆悵。今生休問津。</text>
<title>仁川草堂有懷</title>,<text>水國秋風早。虗齋生夜凉。殘燈四璧靜。旅鴈一聲長。聖世身將隱。窮途鬢已荒。書空緣底事。明發獨彷徨。</text>
<title>寄羅上舍及雀殿中 三首</title>,<text>白日去不返。靑山空暮春。殘花小雨歇。幽鳥一聲新。落筆有佳句。開樽無好人。芳辰催晼晩。來往莫辭頻。腸斷夕陽盡。江村春望迷。新醪隨意酌。佳句對誰題。山靜月初出。樹深鳥欲棲。眉稜看漸重。未覺葛巾低。寄語博陵子。春來來往疎。風期初不隔。豪氣豈全除。波浪滄江𤄃。琴書丈室虗。年華看欲暮。愁殺病相如。</text>
<title>次楸灘韻。贈玄洲 李昭漢。</title>,<text>論交休說白頭新。懷抱憑君幸一申。甚矣吾衰將閉戶。俄然相對遽盈旬。窮途已作傷弓鳥。末路多逢按劒人。賴有瓊琚來滿篋。旅遊計活不全貧。</text>
<title>秋夜</title>,<text>苦覺光陰競逝川。黃花佳節又今年。虫因暮夜鳴秋氣。鴈與孤雲度遠天。此夕襟懷頗寂寞。老夫身世亦迍邅。姮娥獨慰愁人意。故放淸輝到枕邊。</text>
<title>冬至日。看曆有懷。投贈海嵩尉。尹新之。</title>,<text>灰飛葭管一陽新。光景俄然到壬申。忽覺行年過半百。從知餘歲未三旬。猶希對策淄川子。錯擬垂綸渭上人。那得浮生差少病。老夫元不厭長貧。</text>
<title>寄崔殿中</title>,<text>鳴烏村北木皮家。門掩秋風客不過。頹案古書看漸懶。小樽新釀酌須多。干戈滿地身安適。節序驚心病欲加。寄語故人相念否。可憐雞黍負黃花。</text>
<title>重九有懷寄崔殿中</title>,<text>今年佳節又重陽。底事停盃暗斷腸。擧目山川非故國。傷心風景是他鄕。歸期欝欝滯三載。殺氣森森昏八荒。欲向何方尋福地。前頭身世轉悲凉。</text>
<title>和崔殿中</title>,<text>華嶽之南是漢陽。四年西望九回腸。那期禮樂朝鮮地。忽作腥膻靺羯鄕。爭引興亡歸運數。誰覃聲敎被要荒。孤臣一掬傷時淚。灑却秋原夕吹凉。</text>
<title>次和崔殿中</title>,<text>平生意氣自豪雄。浪作萍蓬一老翁。弟妹誰存離亂後。親朋空見夢魂中。荒村漠漠三更雨。破屋蕭蕭十月風。從此入山猶恐淺。去留渾欲與君同。前頭生死委天公。玄理茫茫計亦窮。搖落空村九秋後。蕭條破屋萬山中。托交衰境襟懷密。逃亂他鄕去就同。安得淸時還按堵。紋楸長對兩閒翁。</text>
<title>邀羅上舍</title>,<text>空庭落木下紛紛。懷我伊人坐夜分。三十年前曾托契。一千里外更逢君。窮愁到處同消遣。斗酒臨塲輒醉醺。亂世開眼能幾日。莫敎對戶掩朝曛。</text>
<title>李上舍 攔 酒席口占</title>,<text>華堂佳節綺筵開。慚愧龍鍾最後來。卽見坐中多好客。足知湖外盛人才。嶺阨南奔深歲月。園丘西望漲煙埃。他鄕此會誠難再。留到黃昏歸莫催。</text>
<title>丙辰九月。宿靑坡。夜次李月沙贈別。公被謫潭州時。</title>,<text>策馬蒼忙暮出城。高秋景物摠關情。河無舟楫功難濟。木失準繩材不平。自笑謀身惟淡泊。還憐養氣更淸明。一千里外風烟暗。世事辛酸足此生。</text>
<title>寄呈灌圃 公從兄參判公</title>,<text>雞林舊業不衰亡。天挺吾兄復立揚。瘴海北歸趍玉陛。仙區東去佩銀章。時危何幸宦遊遠。歲暮那堪離恨長。鳥洞烟花春寂寞。可憐虗老白眉郞。</text>
<title>贈尹進士 烇 後村</title>,<text>別君不覺歲時長。豈意相逢魑魅鄕。迎送太忙雲聚散。悲歡交集月蒼荒。海濱詩句多愁恨。嶺外人情愛炎凉。借問漢津風少定。滚滚流波必不揚。</text>
<title>寄呈姜 碩期 月塘</title>,<text>做事無慙意自如。霜威摧折九秋餘。渭濱謾詑有千釣。盤谷端宜膏小車。世路炎凉惟險阨。生涯淡泊更淸疎。山川夐濶孤雲邈。但願從今寄尺書。[附原韻]高義吾君我未如。書來情短溢言餘。本知卞玉能成刖。未必羊腸可覆車。浮海宦情今已苦。買山歸計應未疎。江梅開落誰相問。千里空傳尺素書。原韻</text>
<title>甲子二月。來秋山口占。</title>,<text>嶺海三年氣久呑。回頭忍說曩昔寃。重圓穴蟻一塲夢。免作江魚千古魂。靜裏工夫書在篋。春來趣味酒盈樽。自嗟苟祿終無補。更訪城南杏樹村。</text>
<title>次水色韻</title>,<text>春陰漠漠雨依微。十里秋山半掩扉。靜味政堪黃卷對。囂塵肯向碧林飛。淸凉松響鳴琴瑟。窈窕桃花繞幛幃。不復思量勞役役。歸來只可製荷衣。[附元韻]寂寞荒村隱少微。蕭條石逕接柴扉。身同流水世間出。夢起白鷗江上飛。山擁客窓雲入座。雨浸書榻葉投幃。飄然又作抽簪計。塵土無由染素衣。元韻</text>
<title>聞西報有作</title>,<text>遼陽冠盖漫紛繽。鶴駕西遊閱幾春。客子去留渾未定。亂離消息苦難眞。山窮太白還迷路。地盡滄溟休問津。自斷此生餘日少。何由重作太平民。</text>
<title>丙子春揷籬後。有感。寄呈洪海峰。</title>,<text>朝入陰崖夕未還。役丁辛苦也歡顔。雷驚峻壁千章落。月暈長圍一壑寬。密葉穩藏新白屋。低枝浮出舊靑山。從今犬吠高吾枕。無復彈弓坐夜闌。</text>
<title>寄謝金淸陰 尙憲金公。以斥和疏陳大義。故云。</title>,<text>痛哭如今火及薪。上書惟有一孤臣。言言摠是危衷激。字字仍將大義陳。尊主百年扶宇宙。折衝千里運精神。江南誰鋟胡銓疏。爲作新詩踵後塵。</text>
<title>病中。次谿谷韻。</title>,<text>年光偏向病中催。世事茫茫一念灰。板屋疎蘺孤店暮。秋風落葉小牕開。江流北蹴樓巖去。山勢南從月嶽來。白髮數莖搔更短。呼兒扶上望鄕臺。無邊光景客邊催。葭管初飛十月灰。棋局病餘渾不掃。蓬門秋後爲誰開。孤雲獨鶴江天遠。紅葉蒼崖暮雨來。西望故園何日去。可憐蕪沒好池臺。</text>
<title>月夜有懷</title>,<text>中天明月倚樓時。底事闌干涕泗垂。逃亂四年身萬死。望鄕千里鬢雙危。山連主屹秋陰接。水落黃江灘響悲。兵革未休光景促。餘生何日是歸期。</text>
<title>亂離後。宿護法村。在陰竹。</title>,<text>離亂歸來尋洞門。十家纔有數家存。蕭蕭匹馬可憐客。漠漠荒林何處村。寡婦秋砧貧菽粟。老翁蓬戶少兒孫。中宵散步看星斗。天宇微茫殺氣昏。</text>
<title>寄海嵩尉 時還到仁川舊庄</title>,<text>四年漂泊尙爲人。扶病重歸鬚髮新。身到故國還是客。節過殘臘卽非春。陰風積雪孤村暮。破壁頹垣斗屋貧。蹔欲解鞍淹半日。北來消息亂心神。</text>
<title>挽沈 暾 殿中</title>,<text>白晳豐眉好丈夫。襟懷秋月照氷壺。功名憲府前監察。身世高陽舊酒徒。一夕風流長寂寞。六旬光景亦須臾。鵂巖勝會還如夢。從此靑藜誰爲扶。</text>
<title>次崔殿中</title>,<text>偸得浮生半日安。客邊悰怳有何歡。春深斗屋炊烟斷。樹老孤村暝色寒。昭代卽今忘舊物。早年相識摠高官。溪山到處堪吟詠。心事還須付筆端。瘦骨稜稜寢不安。覊懷惻惻苦無歡。三更亂雪偏侵戶。二月狂風故作寒。白首如今成底事。靑衫疇昔忝微官。支頤坐度漫漫夜。一片腔中思萬端。投身窮峽久懷安。晩與博陵公子懽。高義豈曾看冷熱。素心元不厭貧寒。會將衰病隨微分。欲向何門媚達官。世路卽今尤險巇。一𩪍交慙更多端。豺狼叢中萬死身。南來何幸與君親。時危愧乏平戎策。主辱慙非報國人。沙塞幾年歸漢節。廟堂今日笑吳薪。餘生政合棲巖竇。辛苦寧嫌計活貧。</text>
<title>早春有懷寄遅川</title>,<text>衰年心事苦多違。長日窮村獨掩扉。杜曲桑麻春欲暮。薊門消息鴈來稀。朝端寂寞人誰在。天運回還歲亦饑。家國興亡元有數。腐儒何必淚霑衣。</text>
<title>用牛溪先生早春韻。示權察訪 霔。</title>,<text>歎息今生計已違。六年窮峽掩荊扉。風淳俗朴居民少。地僻山深好客稀。春盡老夫詩轉妙。日長穉子色恒饑。幾時京國風塵靜。一棹西江去拂衣。</text>
<title>寄權直長 聖源 浩然</title>,<text>福州才傑古來多。汗血君今産渥洼。文雅豈慙秦學士。功曹復出漢蕭何。靑衫幾日風塵裏。紫綬無期歲月過。爭似碧山高枕處。一溪流水汎桃花。</text>
<title>寄閔士尙 聖徽 令公 時。閔公觀察關西罷歸。</title>,<text>衰年心事足悲凉。此夕相思更斷腸。惶恐灘邊人卧病。玉門關外客還鄕。升沉異路江上𤄃。會合無期歲月忙。安得幼形成羽翼。隨風西去到君傍。惶恐灘在黃江。</text>
<title>寄楸灘 吳允謙</title>,<text>光陰遒盡亂離中。世事蹉跎鬢已蓬。海內親朋渾鬼錄。人間知己獨明公。風塵尙接遼河北。江漢空連木覔東。衰病何由重會面。春風懷思正冲冲。</text>
<title>寄鄭 經世 愚伏</title>,<text>駑才曾未脫凡庸。知己人間獨有公。消息誰傳亂離後。音容長接夢魂中。年光忽忽三春暮。世事茫茫一念空。辛苦何須浪嗟惜。男兒終不哭途窮。[附元韻]謂君才局大登庸。天道如何獨不公。鵬翮未摶千里外。漁竿謾把一江中。茫茫芳草連長渚。淡淡閒雲接遠空。人事卽今堪下淚。夕陽回首意無窮。忍說蒼黃丁丑春。西轅行色慘蒙塵。神龍在野三年泣。尺蠖盤腰幾日伸。故國歸來惟影隻。交朋零落更誰親。東風芳草王孫恨。何處棲棲問迷津。元韻</text>
<title>次趙參議 國賓 韻</title>,<text>遍踏江湖路已窮。追從溪友與園翁。他鄕盃酒悲歌裏。故國池臺淚眼中。杜宇夜深空有語。巖花春晩爲誰紅。餘生報主終無計。日日歸魂繞漢宮。</text>
<title>寄崔殿中</title>,<text>月嶽之西東澗濱。溪山開豁少風塵。峽中勝會無虗夕。世外相從有主人。長日紋楸携更懶。佳辰村釀酌須頻。誰憐病渴文園令。寂寞荊扉掩暮春。</text>
<title>次韻。寄李子長。得養除臨陂。卽被劾罷。</title>,<text>開天洞裏是誰居。終歲門無長者車。五日功名衰病後。百年丘壑亂離餘。村醪酌罷三盃足。世事忘來一念虗。吾道應須甘寂寞。更從何處曳長裾。</text>
<title>壬午元日有懷。寄李潛窩 命俊 學士。</title>,<text>生年壬午六旬回。新疾仍兼舊疾催。落落人情看漸冷。茫茫世事念還灰。孤村此夕柴門掩。佳節誰家綺席開。跬步可憐成楚越。白頭吟罷獨徘徊。</text>
<title>以四橘。寄贈李蒼谷 顯英。</title>,<text>西方金粟是前身。萬里來投病渴人。霜葉剩霑湘浦雨。風枝猶帶洞庭春。開軒郁郁香初動。破殼淋淋齒已津。政合往充君子腹。老夫安敢獨嘗新。</text>
<title>次吳進士 允諴 還投 號月谷</title>,<text>世事年來傷寸心。謾敎雙鬢霜雪侵。窮村豈有跫然喜。委巷還驚長者臨。憐我蹔甦漳水疾。爲君重奏伯牙琴。不緣兩老源源會。那得頻開欝欝襟。</text>
<title>步金士常韻。留別士常。</title>,<text>烏棲山下客初歸。馬首春雲濕不飛。黯黯離魂迷遠樹。遅遅別語向斜暉。同磨十載雙龍劒。猶作三韓一布衣。此去閉門南郭裏。長安陌上舊遊稀。</text>
<title>步士常韻。戱士常作陽坡會。</title>,<text>十月南遊春未歸。雪花飛盡柳花飛。還憐作客逢佳節。更耐登樓送落暉。何處陽坡煑新綠。誰家美酒典春衣。故人情義終深淺。休說他鄕相識稀。</text>
<title>投贈趙子長催歸</title>,<text>海上孤村臨絶原。仲春風日未全溫。烏巒積雪終冬暗。蟹浦屯陰向夕昏。百濟江山淹歲月。半年消息阻鄕園。飛書竹北催歸去。底事空招楚客魂。</text>
<title>用前韻。呈趙東萊。</title>,<text>明公嘉績在忠原。憶昨經過顔色溫。密席開懷談欵欵。寒齋被酒眼昏昏。苦恨經旬違接武。直緣多病罷窺園。良辰荏苒佳期晩。惆悵梅花已返魂。</text>
<title>題趙施仲壁上。仍悼李德餘。</title>,<text>溪上誰家傍小丘。碧桐蒼竹擁山樓。荊扉扣罷還靑眼。往事談來共白頭。月嶽東瞻人已去。蘿橋南下水空流。莫須掩抑傷疇曩。更喚松醪酌不休。</text>
<title>與鄭正郞 弘溟 諸人。作白馬之遊。仍賦一律。</title>,<text>諸公携我過臯蘭。是日霜風凍石灘。半月城空王氣歇。釣龍臺古水聲寒。瞑烟籠樹客初散。黃葉下山僧獨還。怊悵勝遊何倐忽。若爲輸取畫圖看。</text>
<title>謝松臯 金丈寄惠河東牋紙。兼贈五言古詩。仍乞我七言律。作草書以進。</title>,<text>河東牋紙直千金。副以松臯五字吟。苦覺溪翁工解玉。偏憐詞伯太勞心。房櫳日射看虗白。齒頰風生聽雅音。戱畫秋蛇還寄答。路幽愁被鬼神侵。</text>
<title>醉贈洪進士 茂績</title>,<text>西嬙嫫母渾媸姸。不有吾兄孰我憐。末路交情看漸密。危途心事困彌堅。詩篇喚夢吟肩聳。新釀盈樽醉興圓。寄語南人須記憶。他年呼作酒中仙。</text>
