<title>次成之正 時夏</title>,<text>投之以木果。豈朢瓊琚報。感子意殷勤。吟詩敦世好。</text>
<title>挽宗丈 澩</title>,<text>才藝憐豪逸。英聲獨妙年。常珍違養地。偏厄欲尤天。始泰元非偶。終蹇孰使然。無從慰潛痛。回首涕偏漣。</text>
<title>挽金察訪 夏鈗</title>,<text>驛騎來深峽。模楷願識餘。周旋妙少穩。溫雅老成如。迂拙無人問。高明不我踈。相期歲晩意。誰與共歸歟。</text>
<title>挽內兄金 啓昌○二首</title>,<text>儒雅如天性。傳家歲月遐。谷蘭元馥郁。崑玉少疵瑕。神澹胷襟靜。心平氣像和。粗踈鍼砭地。寂寞故山阿。夏往緣思苦。悲兄病已深。雖知衰白面。不省笑歡心。喪禍驚前日。凶音痛秖今。從容那更得。永秘謦欬音。</text>
<title>挽金 𡐔</title>,<text>幼少同游學。參商三十春。偏憐心事苦。多憶寓居貧。基水寒風急。花山雨雪頻。魂歸招不得。存沒兩沾巾。</text>
<title>挽全 爾隆○二首</title>,<text>儒雅家先範。淸眞古貌心。聚書架揷萬。藏拙徑開三。操潔鄕閭敬。精專內養深。虛舟失夜壑。回首一沾襟。江西儒範失斯賢。禮學存亡欲問天。不向明時司敎典。應培蘭玉大家傳。</text>
<title>挽金</title>,<text>淸修憐雅操。儒素古心胷。欲越關河去。披襟雪月中。差池十年約。孤負一江風。雲樹長回首。溪山失此翁。</text>
<title>挽羅僉知 壽宗</title>,<text>眞率論心事。紛紛有幾人。虛舟遊濁世。實地立醇身。才混泥塗久。恩由孝理新。鄕邦失舊德。回首一悲辛。</text>
<title>挽金進士 邦烈</title>,<text>旅舘傳鄕信。兄歸葬古川。悲深能促命。長逝豈由天。執紼違今日。承顔憶去年。溫溫舊侍範。終隔幾重泉。</text>
<title>挽柳 世相</title>,<text>小學同師友。交遊世分深。移家晩住近。隨事易相尋。古寺先遊寂。秋山玉彩沉。人間餘白首。何處更論襟。</text>
<title>挽朴參判 廷薛</title>,<text>濁流渾千丈。淸德照氷壺。每見公身健。聊寬世道虞。皇天不遺老。時事獨長吁。餘韻誰能繼。鄕邦道轉孤。</text>
<title>挽金修撰 汝鍵</title>,<text>才藝當朝傑。名門妙歲英。纔來佐嶺幕。旋入鳳池翔。逸駕承餘慶。亨途合永昌。那堪埋玉日。鶴髮未全蒼。</text>
<title>挽金護軍 如萬</title>,<text>思君喪亂後。衰白眼難靑。影滯江湖遠。心懸日月明。春回寒谷晩。秋折桂枝輕。爲灑悲風淚。聊憑南鴈征。</text>
<title>挽李孤山 惟樟○二首</title>,<text>憐君有志士。冲澹古胷襟。魯學心專靜。傳經得自深。簞瓢顔氏樂。淸介伯夷心。百世廉頑鄙。名高洛水潯。自愧庸愚甚。惟君見許深。少年相警語。知子愛人心。老隔山川遠。勤蒙惠好音。秋山埋玉樹。白首過誰箴。</text>
<title>挽金護軍 泰基</title>,<text>藉甚鴒原藝。雛皆鳳穴奇。聯翩侍講幄。褒寵異恩私。忠孝家傳遠。雲仍福履宜。終天不盡慕。回首痛無涯。</text>
<title>挽徐 琡</title>,<text>南州一高士。儒林妙歲英。中堂多採細。空谷棄王香。昔越河關去。憂時感慨長。云亡豈天意。庠序日凄凉。</text>
<title>挽李珍山 坽</title>,<text>介潔氷霜凜。森然秀骨淸。精神水月瑩。襟袍玉壺明。聖代輕儒術。絃歌老武城。云亡未盡淚。更灑送文星。</text>
<title>挽鄭進士 文輔</title>,<text>文章連棣萼。楓岳舊名家。丹穴餘毛質。靑春富藻華。鄕邦古爾雅。耆耋老絃歌。寂寞風流盡。凄凉谷口窩。</text>
<title>挽李察訪 龜命</title>,<text>世事驚心久。皇天豈不仁。胡寧忍此日。又復喪斯人。豪逸思文雅。淸夷愛性眞。凄凉身後事。白首更悲辛。</text>
<title>挽李進士 之煜</title>,<text>賢邦固多士。儒雅獨懷君。妙藝元超衆。貞操更出羣。移家晩愛靜。懷道欲逃喧。回首山阿寂。凄凉日暮雲。</text>
<title>挽金 宗濟</title>,<text>妙歲才豪逸。名門秀骨淸。連城懷寶重。餘事運毫精。庠序交遊地。愆違警敎情。春山報埋玉。牢落感平生。</text>
<title>挽羅 壽一</title>,<text>少壯何牢落。軒然欲出羣。塵途老逸士。天豈厄斯文。近就河汾敎。要令晉鄙薰。方深樂育喜。忽爾報芝焚。</text>
<title>挽趙進士 頍</title>,<text>靑春太學士。白首老雲山。几案羲農近。林園日月閒。囂紛超世累。恬靜養神觀。擬復同君宿。聞君厭世間。</text>
<title>挽朴 增</title>,<text>憶在陶山裏。相思入院頻。衰翁戀故義。努力見情親。江月幾彎夜。山花又一春。無由更對酌。回首一沾巾。</text>
<title>挽李同知 榮震</title>,<text>耆德播芬地。汾陽舊宅中。天猶遺一老。世復有仙翁。亭月留淸槩。巷閭自古風。長歸欲何處。回首一悲恫。</text>
<title>挽金進士 夏鎭</title>,<text>諸老凋零後。淳風在若人。家庭孝友日。鄕序敬恭辰。人事宜遐福。皇天偏喪仁。君歸無反面。何以慰雙親。</text>
<title>挽金進士 堣</title>,<text>憶少交遊好。今存幾箇人。詞鋒互磨地。才藝獨超倫。伏枕違離久。懷君夢寐頻。秋山報埋玉。回首更酸辛。</text>
<title>挽李進士 渫</title>,<text>皇天不遺老。小子倍傷時。社席耆英少。鄕閭禮法衰。後生多自棄。世道漸看卑。不復覩淳舊。端居憂聖治。</text>
<title>和柳兄聖沃韻</title>,<text>淸幽倂在君園裏。繞屋成陰滿室香。富貴天然要不惡。淤泥直立更芬芳。風霜勁節黃交白。雪月貞姿翠合蒼。萬事不求山外足。四時佳興此中央。</text>
<title>寄柳都事爾能 世鳴</title>,<text>仙山今古說蓬萊。萬二千峯玉雪堆。海日曉飜紅壁動。天河夜掛赤城迴。瓊花玉樹幾開落。雪月風雷相轉回。君去直須登絶頂。男兒一世亦奇哉。</text>
<title>挽李 景白○二首</title>,<text>晩愛山前數畒園。閉門高卧小溪喧。雲霞滿壑誰爭子。風月無藏不戒孫。烟足土床釜有粥。採山茹美室盈樽。優游七十斯無憾。衰謝酸辛病獨存。憶隨諸老會山南。寥落人間白首心。不盡春風感舊淚。寄君歸灑九原深。</text>
<title>挽朴 施後</title>,<text>君面初知翰墨林。晩從相識識君心。門闌孝悌終無間。朋友論交久轉深。流水十年要共和。春堂一紙索哀吟。人間却賀留餘慶。天意栽培寶樹陰。</text>
<title>挽權護軍 䵱</title>,<text>落拓人間老詞伯。烟霞一室小溪邊。泥塗甲子天無眼。文雅家聲代有賢。一朶芙蓉榮具慶。九重恩渥寵高年。身嬰五福公何憾。耆舊凋零一愴然。</text>
<title>挽權判校 尙任○二首</title>,<text>氷壺瑩澈月涵潭。鶴立人間隼華尖。誰識澹臺終蘊玉。空敎宓子老鳴琴。賢遺盛世非天意。耄遜于荒豈聖心。忽見蘭摧空谷裏。白頭時事感歎深。手書頻寫寄誠心。歲暮惟君故意深。忍抱龍門更發響。高山流水少知音。</text>
<title>挽李承旨 東標○二首</title>,<text>君懷牢落自髫年。收斂身心學聖賢。孝友家庭忠有本。糾繩文陛道無偏。幾微不昧時艱際。妙契重尋靜退專。墳種未陰齎志沒。蒼黃一病欲尤天。自愧非才荷愛深。每懷隨事惠規箴。蒼茫遠靷才難致。容易承盤力不任。離索幾年憂獨立。招呼晩約感君心。歲寒失此金蘭友。茅屋誰憑結華陰。</text>
<title>挽琴司藝 聖奎</title>,<text>雲霄早擊鵬摶翼。林壑歸看舊讀書。學海翻瀾時出恠。墨池涓滴欲飛魚。難推孝友施爲政。樂育英才聚比閭。寂寞千秋身後事。白頭懷緖更凄凄。</text>
<title>挽全 ○二首</title>,<text>洛江西曲小叢林。林下高人雪月襟。舊德宜沾周世祿。孤調未和舜庭音。軒連雲水千秋色。架揷詩書萬古心。歲晏天南回白首。鳳歸商嶺暮雲沉。秋風老淚灑盈襟。牢落高標夙所欽。哭姊埋兄違伏枕。書䆫强寫苦悲吟。</text>
<title>挽權 鈗</title>,<text>湖外論交憶妙齡。春山影裏暫時程。風流㝡愛踈豪甚。意氣當年菀爾傾。襟韻擬從深處叩。龍門終負細和鳴。高歌宇宙餘頭白。人日題詩送遠行。</text>
<title>挽金參奉 鍵</title>,<text>靑春邂逅許知心。白首相思歲月侵。洛社猶存舊爾雅。商山重見採芝音。紛然喪亂天何意。一命微官德復潛。南極星沉天晦色。云亡一痛九原深。</text>
<title>挽朴丈 景曾</title>,<text>寒天老鶴歸華表。寂寞雲烟江上廬。野老村夫抱耒歎。鄰舂巷歌出林踈。蕭蕭急雨鴒原夜。慘慘悲風日暮閭。近報溪西修小築。獨無鳩杖倍漣如。</text>
<title>挽金進士 景河</title>,<text>風摧秀林木。霜折欲茂蘭。君膏萬里車。長驅路曼曼。將登南極遠。欲涉太行艱。玆遊未易極。永懷長途難。長途雖云遠。竭力期躋攀。云胡天不假。齎志歸崇巒。嗟哉世日下。鮮矣追遐觀。聞子有古志。白首涕汍瀾。</text>
<title>挽詞[權斗寅]</title>,<text>有斐斯文老。堂堂器業優。官纔知縣邑。迹久卧園丘。龜鶴長年盡。東南灝氣收。儒林日沉悴。吾道付悠悠。</text>
<title>挽詞[權斗經]</title>,<text>篤行儒林表。高名鄕黨宗。白衣登鶚薦。黃髮屈雷封。八袠徵仁壽。三尊秉禮容。門屛今寂寞。型範閟雲松。</text>
<title>挽詞[李棟完]</title>,<text>景仰高風久。吾南有達尊。卧龍初起壑。倦鳥更歸樊。惠澤留山郡。馨香發洞門。今誰大老在。吟些淚成痕。</text>
<title>挽詞[李時善]</title>,<text>夫子工程多切磋。先賢口氣腹中羅。目前赫業言難旣。身後英名著不磨。</text>
<title>挽詞[柳敬時]</title>,<text>先師同志獨公存。德與爲鄰契㝡敦。東海昔年推二老。南州今日孰三尊。斯文長夜終歸否。末學迷途莫牖昏。回首孤山荒草沒。更揮餘淚錦江濆。</text>
<title>挽詞[金世欽]</title>,<text>從知異骨降松喬。夫子元非俗士曹。早向名塲辭紱冕。晩於窮巷樂簞瓢。百年宇宙羣龍遠。萬里雲霄一羽高。獨立暮塗誰可仗。不堪吾道日蕭條。</text>
<title>挽詞[李先龍]</title>,<text>前秋吾弟自仙居。歸道韶顔尙燁如。錦水波環淸似德。晴䆫日靜老耽書。百原永失淸宵訪。五柳今空處士廬。惆悵吾南更牢落。秖敎衰淚滿衣裾。</text>
<title>挽詞[鄭鍹]</title>,<text>蘭室薰香早。從遊六十春。祥鸞耀寶彩。華聞動朝紳。稽古眞工積。臨民德業新。山庵舊日會。回首倍傷神。</text>
<title>挽詞[李適意]</title>,<text>此老淵源學。由來一脉存。處非忘世路。出爲感君恩。邑小才何展。家貧道益尊。德星今晦彩。承誨更無門。</text>
<title>挽詞[李琬]</title>,<text>欲模公盛德。難把管窺稱。早脫俗儒陋。遠期古道弘。爲仁本孝弟。主敬謹淵氷。和氣多弛彀。正趨一蹈繩。學優才可仕。朢重位堪登。小試牛刀割。寧容驥足騰。靈龜甘縮甲。威鳳自違矰。滿目雲山樂。盈襟水月澄。工夫溫舊得。文字富新增。理順精猶旺。年高疾易乘。誰令雞夢發。遽見鶴驂升。夙忝登門鯉。慚非附尾蠅。有疑質無地。餘恨洩何仍。拙語輸衷曲。罷吟淚滿膺。</text>
<title>挽詞[南九明]</title>,<text>寒旅門庭忽已荒。陶山正脉久茫茫。先生獨得尋衰緖。後學猶能覩末光。靜裏探文如酷吏。病中觀化見生薑。遺風尙有分留處。鶴峀崔嵬錦水長。</text>
<title>挽詞[金昌錫]</title>,<text>先兄爲我語先生。及見先生實過名。穩步儒關開大鑰。高臨函席牖羣盲。一官五馬展蹄跼。八十三年驗壽贏。錦里春風如昨日。水光山色揔傷情。</text>
<title>挽詞[金楷]</title>,<text>與君生世間三年。常仰吾南亦有賢。誠正修身爲學本。慈仁愛物得治先。東西地隔過從斷。故舊情深夢寐懸。我亦人間朝暮客。更將交誼指重泉。</text>
<title>挽詞[李光庭]</title>,<text>先生一身江海士。孝友平生惟燕喜。齋居劬學驗六有。靜裏求仁明利義。漁陽桑歌一二年。錦里茅屋三數間。秖今難回遼鶴駕。從古淸風在富山。憶昔芝眉過小軒。蓬門尙有淸風存。爲憐癡獃故人子。且幸從遊太史孫。手墨常欽書帶藥。雪庭虛負面承言。那堪一夜春消息。便逐薤歌到九原。</text>
<title>挽詞[羅學川]</title>,<text>養名林下久。曾被聖明嘉。學力窮時見。心工敬上多。高冠驚俗眼。初服返山阿。邑蹟桃千樹。江間草一簑。內恬無物競。外累莫吾加。小子私尤切。先君齒乍差。天公終不憗。大耋遽興嗟。郊謚宜云曜。范銘豈謂華。百年龍劒會。三疊虎巖峩。餘慶應歸後。兒賢克稱家。</text>
<title>挽詞[金始鑌]</title>,<text>鳥馴階上栗收園。錦里先生學避喧。家世只傳詩禮業。居平惟誦聖賢言。三尊俱達官差屈。百行均修孝㝡敦。從此千年無笑語。靑山何處掩溫溫。洛口遙違座上春。錦江消息片藤因。丁寧靜几收心訣。屬託塵樊走肉人。言中膏肓眞藥石。書留糟粕更精神。深慙孤陋都依舊。圭復如今淚滿巾。</text>
<title>挽詞[門人金世平]</title>,<text>霽月光風庭草新。春深陋巷樂顔貧。工專愼獨衾無愧。學進明誠道彌眞。南極昌星今夜晦。北邙寒日錦江濱。門生老淚空盈睫。手澤披來倍愴神。</text>
<title>挽詞[張之杰]</title>,<text>學博姿醇行義敦。明時束帛賁丘園。文翁出守風謠遠。處士歸來松菊存。鶴峀春風生座上。錦江雪月照心源。樑摧一夕將安仰。泣誦前秋屢贈言。</text>
<title>挽詞[李好意]</title>,<text>先生門下早知歸。瞻仰胷襟霽月輝。性理深源窮意索。經綸素蘊與時違。武城梅雨聞絃誦。雲谷烟霞謝是非。可惜斯文天又喪。儒林考德更無依。</text>
<title>挽詞[李載基]</title>,<text>魯邦多君子。承襲斯爲美。流風日以舛。俗儒資口耳。先生超獨立。早識學爲己。外若渾沙樸。內實篤踐履。文詞與字畫。餘事笑專技。先聖有遺訓。學而優則仕。枳棘鳳暫棲。春風在百里。歸來抱黃卷。默探洙泗旨。迨其德彌卲。神用渾妙理。朢實愜士林。華衮付良史。王父昔邁征。彊輔惟公是。磨礱道義塲。優游禮樂地。長書及短札。戢戢盈箱几。小子不吊天。公又至於此。痛哭失所依。重悲道將否。分誼同文擧。漬綿愧高士。空將相紼詞。遙唱錦江涘。</text>
