<title>龍頭夕望</title>,<text>磯影危沙際。波痕露石洲。夕陽無限景。漁笛一聲幽。</text>
<title>書陳簡齋詩藁有感</title>,<text>平生絶愛簡齋詩。亂代飄零句更奇。最是黃花重九作。至今忠憤使人悲。</text>
<title>次趙時述，金南老過行留贈。三首○時述字學而。進士同榜。</title>,<text>草閣風暄楊柳烟。晩來欹枕懶成眠。雀羅門外無人到。兩首詩從何處傳。江南佳麗好風烟。花欲燃山柳似眠。折盡瓊潭芳草絲。海鄕千里若爲傳。短籬圍盡亂晴烟。夢要相逢強做眠。魂到浴川君不識。覺來回首意難傳。</text>
<title>聞東殿反駕不易。有歎。</title>,<text>茫茫鶴野幾長亭。望斷孤臣鬂欲星。芳草不知今日恨。年年春到自靑靑。</text>
<title>聞隣友病渴。走草送寄。</title>,<text>夜來山雨漲秋塘。窓外梧桐一半黃。病渴茂陵門獨閉。亂蟬深樹欲斜陽。</text>
<title>立春集句</title>,<text>靑海黃河卷塞雲。杜甫。 今春喜氣滿乾坤。上仝。 小臣拜獻南山壽。李自。 萬歲千秋奉聖君。賈至。</text>
<title>次趙上舍韻 慶男號山西</title>,<text>幾重雲樹秘淸幽。羡子林泉任嘯謳。春到仙源期一訪。桃花莫惜放溪流。</text>
<title>洛城</title>,<text>旅舘春深晝日長。客心寥寂掩空床。歸期不及尋巢鷰。孤夢猶能識故鄕。</text>
<title>聞乞笛</title>,<text>乞笛無端困睡餘。一園林樹曉霏微。休將吹向愁人耳。塞外王孫歸不歸。</text>
<title>寄贈趙上舍 來陽。字長吉。浦渚翼子。</title>,<text>秋來離思倍銷魂。亂後親知幾箇存。黃葉滿山門獨閉。不將竆達問乾坤。</text>
<title>錫兒文藝大造。忻幸成句。錫卽長男俶龜乳名</title>,<text>設令乃父揚雲路。子不承家奈辱先。數載得閑成爾學。聖恩隨處大如天。</text>
<title>趙學士重卿。來覲山陰。折簡邀之。以病不赴。名重呂。號休川。修撰。</title>,<text>秋雨蕭蕭掩小堂。馬卿貧病轉凄凉。可憐夜夜龍湖夢。雲樹重重嶺路長。龍湖卽朴啓晦亭號。期以此地。故云。</text>
<title>過尹長步 衢 宅</title>,<text>荒山斷處見孤村。籬落蕭條柳掩門。却憶淸狂舊詞客。東風回首暗銷魂。</text>
<title>與浩師打話。浩也仍誦趙素翁，鄭畸翁，梁子漸詩。次以贈之。</title>,<text>知吾厚意遠尋師。爲誦諸公見贈詩。江上靑山秋雨後。樹梢新月夜凉時。</text>
<title>次蔡府伯 時益 韻 二首</title>,<text>譙樓畫角暮烟生。芳草長橋極望平。十二玉欄如夢過。獨看銀漢夜深傾。分外江湖任此生。佇看公等致昇平。淸都會面知無日。莫恠頻頻勸酒傾。</text>
<title>鳴陽甑巖卽事。仰呈畸窩鄭先生。</title>,<text>數疊層巖百頃潭。一區形勝縣城南。穩陪杖屨消長夏。座上淸風吹滿衫。</text>
<title>題許國賓新庄</title>,<text>草屋依山晝掩扉。小松踈竹帶嵐霏。始知少弟生涯足。新雨初晴蕨欲肥。</text>
<title>次尹上舍汝玉韻 六首</title>,<text>魂夢時時到鳳池。玉驄閶闔聽驕嘶。憂時白髮那能禁。戀闕丹心秖自知。最愛詞源倒墨池。會看天驥向風嘶。長楊賦就誰能薦。祇愧平生獨我知。踈才已渴似枯池。老馬逢春強自嘶。莫把瓊詞誇富麗。但將心曲許相知。難將垂翅奮澠池。陣馬含金詎敢嘶。老筆縱橫森列戟。似君強敵始今知。引水初開一畒池。小齋風日謝喧嘶。碧林新月如相待。睡起寒窓獨自知。竹掩柴門柳掩池。三騶肯向此中嘶。碁無巧拙宜消日。眞趣元來各自知。</text>
<title>淸溪途中</title>,<text>江口秋深葉盡紅。水光山影畫圖中。黃花欲折無人寄。星斗迢迢路幾重。</text>
<title>曉發烏院</title>,<text>孤店寒雞凄不鳴。行人上馬欲天明。一溪十渡甄城到。已隔鄕山兩日程。</text>
<title>到參禮。波翁不至。留一日苦待。</title>,<text>極野蒼茫遠樹迷。夕陽低掛驛樓西。行人欲斷棲鴉亂。望盡寒烟十里堤。</text>
<title>春懷</title>,<text>冉冉年光夢裏催。却嫌春色 或作信 病中廻。秖憐窓外夜來雨。一樹寒梅盡意開。</text>
<title>次金萬頃擬龍頭會韻。寄呈閔府伯。三首○閔府伯光勳。戊辰庭魁。金萬頃灦。丁卯式魁。余亦戊寅庭魁。府西有亭號龍頭。期於亭上。作一奇會。而約未就。府伯除校理故云。</title>,<text>風流府伯家聲舊。騷雅隣翁麗藻新。亭號龍頭非偶爾。座中吾亦壯元人。荒居蕭瑟占芳隣。一半溪山面面新。投老相從情更好。莫嗟終作兩閑人。漉盡松醪用葛巾。飮中眞味老來新。黃花已近重陽節。知有西隣待我人。</text>
<title>次恁麽崔丈 蘊 韻</title>,<text>早謝浮名久閉門。世間榮辱更何論。林泉已固終年計。聖主無勞費夢魂。</text>
<title>豐田驛途中</title>,<text>萬山環合晝陰霏。驛路寒風透客衣。回首洛城心更苦。美人消息北來稀。</text>
<title>到金化。主倅張靜之自洛不來。名善澂。文判書。谿谷維子。</title>,<text>人間會合本難期。到此心情秖益悲。晩雨蕭蕭秋色裏。不堪回首過山時。</text>
<title>安邊客舍</title>,<text>山近高樓樓近水。小牕淸簟夢魂凉。人間一樣新秋夜。客到邊城最更長。</text>
<title>咸興。次夢中所記獨石詩韻。芝川之子赫。號獨石。</title>,<text>夢中儀範尙依然。相感如今未百年。覺後怳如心有失。可憐窓外月孤懸。</text>
<title>甲山。留別謫客鄭姓人。二首</title>,<text>相逢此地本無期。白首依然夢裏姿。人事卽今猶未定。浮生何處更論詩。台州何似甲山遠。前後蹇竆並坐詩。却喜赦行知在邇。歸期應及鴈南時。</text>
<title>馬上有感</title>,<text>晩喜心經與近思。燒香靜坐對先師。自漸十載工夫地。今日驅馳盡失之。</text>
<title>宿黃土歧堡 端川地</title>,<text>片城如斗着山腰。數戶殘兵守險要。孤客不能成遠夢。月明寒柝警中宵。</text>
<title>吉州。伏次先祖翼成公韻。</title>,<text>先祖來廵歲幾周。天涯感舊謾回頭。至今盛德兒童誦。不獨傳家慶澤流。</text>
<title>朱村舘。次李尙書 景曾 韻有感。</title>,<text>霜落邊城草色黃。可憐驄馬迹荒凉。風流文采今誰似。念及公私倍斷腸。</text>
<title>訪見老妓應哥奚。不勝悲感。用吉州韻。留贈一絶。妓。卽先君所眄也。</title>,<text>先君昔日此防秋。四十三年似轉頭。白首尙存能說舊。悄然相對涕雙流。</text>
<title>慶源途中 自穩城向慶源。途中見訓戎僉使所報。虜騎六十。特馬二十匹。過江去云。</title>,<text>將軍羽檄疾如飛。虜騎前山曉獵歸。自笑書生增膽氣。那將輕銳渡江圍。</text>
<title>慶源有感。用吉州韻。</title>,<text>荒凉落照塞城秋。極目平原匝隴頭。千里客行驚歲晩。歸心日夜逐西流。</text>
<title>歷安原堡有感 祖父兵使公。以居山察訪。討時錢有功。拜此堡權管。</title>,<text>孤城一片斗江邊。遺跡無憑故老傳。衰草滿原秋色裏。可堪經過夕陽天。</text>
<title>登望德城樓 在慶興</title>,<text>數里高城三面水。天涯物色自生愁。塞鴻一陣低飛過。欲寄鄕書不肯留。</text>
<title>德明馬上 穩城</title>,<text>野菊巖楓滿眼新。可憐鞍馬送佳辰。始知新化沾遐外。隨處竆荒暖似春。</text>
<title>偶吟</title>,<text>晩鴻皆已向南飛。遠客胡爲出塞遲。踏盡窮荒無所事。往來空和壁間詩。</text>
<title>九月二十日。端川客館。行望哭禮。</title>,<text>塞外竆秋大海頭。孤臣痛哭淚難收。蒼梧落日雲何處。嶺路重重水更悠。</text>
<title>觸目 利城</title>,<text>十里長松擁海程。隔林鳧鴈亂秋聲。長洲遠近炊烟起。入浦漁舟箇箇輕。</text>
<title>靑海伯墓 墓在北靑。靑海伯李之蘭。佐太祖開國。托迹禪門。其意甚高。人擬之留侯云。</title>,<text>天挺䧺豪佐聖君。手將神箭著奇勳。赤松無跡留侯死。靑海千秋有此墳。</text>
<title>鰲城書院 白沙李相國。昏朝被謫。卒于北靑。人爲之立祠。</title>,<text>萬丈高峯百尺松。雪中猶保歲寒容。可憐鐵嶺歸雲曲。志士千秋恨豈終。</text>
<title>無題</title>,<text>照窓新月欲三更。誰遣佳姬試客情。鐵脚肯同鉛繞指。釰眸休說玉傾城。</text>
<title>贈別通判金縠還洛</title>,<text>計我歸期在泮冰。客中燒盡照愁燈。古今幾箇眞男子。千載悠悠說季鷹。</text>
<title>次兪學士武仲 棨 前過南山韻 丁丑敗軍之地</title>,<text>荒郊亂樹起邊城。落日寒雲匝隴平。何處獨無征戰地。客行經此倍傷情。</text>
<title>文川倅李養吉 頤賢。以考官馳到高原。又索拙句。醉中走草。</title>,<text>陰陰官柳挾行塵。回首咸山隔幾津。又是今朝添別恨。可憐南國獨歸人。</text>
<title>次金正郞韻 二首</title>,<text>忝荷君恩亦已深。不才端合退山林。早知廊廟無遺策。自笑憂時有寸心。世上交情深不深。掉頭吾已老楓 或作松 林。明朝君有相過約。細酌當論白首心。</text>
<title>次金禮部韻</title>,<text>柴扉長掩土花生。時有山僧使我迎。誰識此翁忘世味。欲將蔬筍換浮名。</text>
<title>簡金禮部求見東岳詩集。以爲長夏禦眠之資。</title>,<text>離離簷影近繩床。園樹輕風引睡長。岳老遺篇如見借。有時和夢閱詩章。</text>
<title>呈金禮部</title>,<text>夏日如年四壁虛。枯腸雷吼度朝晡。可憐兩老魁名帖。不直隣翁數斛租。</text>
<title>府伯送燒酒一壺。分送金禮部。</title>,<text>一壺秋露自仙宮。分送西隣病渴翁。翁號坐忘忘便好。醉來尤覺渾成空。</text>
<title>共金禮部。夜飮張友家。</title>,<text>新秋霽月十分明。深夜笙歌響更淸。徙倚曲欄無限意。碧天如夢曉星生。</text>
<title>過楊上舍 時勉 江亭。有感。</title>,<text>靑山不改舊時容。笑我風塵作老翁。江上寂寥楊子宅。絲槐陰合水聲中。</text>
<title>聞唐船漂到濟州。感歎有題。</title>,<text>中原消息若爲眞。始識今年永曆春。大義人間終不眛。天公有意故通津。</text>
<title>次李生韻</title>,<text>竹林高處掩精廬。獨守靑氊閱五車。最愛風流餘宅相。病中時借鄴侯書。</text>
<title>十月初四日。發行。時新除箕城尹。作肅謝行。</title>,<text>蓼溪風景久能專。鷗鷺爲羣十五年。聖主恩深重起廢。浿江烟月亦寅緣。</text>
<title>末峙遇尹時敏</title>,<text>秋風匹馬客行遲。嶺路寒霜曉色微。惆悵離家才一夜。臨分已是羡君歸。</text>
<title>歷拜愼獨齋</title>,<text>淸溪一派抱山阿。松匝沙堤竹掩家。霽月光風如畫裏。胷襟斗覺自無邪。</text>
<title>公山</title>,<text>蕭蕭寒雨錦江船。落木踈烟欲暮天。千里西關猶未半。故園南望更茫然。</text>
<title>別姓族 敏德</title>,<text>江舟欲上思依然。關樹重重路幾千。吾已白頭君且病。可堪相別動經年。</text>
<title>箕城。次方伯韻。五首</title>,<text>豪悰直欲撥衰年。快上芙蓉最絶巓。挽得練光樓下水。斯須洗盡大明天。西塞兵戈有歲年。大功誰復勒山巓。微臣忠憤無時已。便欲乘槎上訴天。萬事悠悠半百年。孰如閑臥故山巓。林泉舊識應相笑。到老棲遑塞上天。豪氣由來似少年。有時乘興露華巓。快哉亭上三更月。大醉高歌倚碧天。客到關西欲暮年。故鄕歸路阻涯巓。蓼溪南畔寒梅樹。踈影依依雪裏天。</text>
<title>次唐詩韻。別吳仲輔。挺垣。號壺仙。文監司。</title>,<text>雪外郊原暮色寒。塞雲關路別離難。臨分強飮徑成醉。孤舘酒醒思更漫。</text>
<title>送酒亞使沈重叔 世鼎。號剛泉。監司。</title>,<text>三月箕城客意闌。滿江垂柳掩危欄。自憐官冗無由撥。未把深盃共盡歡。</text>
<title>渡烏院江</title>,<text>野渡苔荒宿雨收。沙汀樹古亂蟬啁。篙工催棹覺船重。知是扁舟載客愁。</text>
<title>次金伯珍韻 掌令</title>,<text>靑坡病客幾時歸。秋晩江南未有期。遙想香閨明月夜。枕邊紅淚寄相思。</text>
<title>憶伯父</title>,<text>塞草凄凄塞日寒。西風冷雨戍衣單。平胡奏凱知何日。烽火年年照玉關。</text>
<title>雨中。次晉子觀韻。</title>,<text>輕烟漠漠雨蕭蕭。芳草池塘景物饒。病裏孤懷誰共語。佳期還隔一墻遙。</text>
<title>溪村幽事</title>,<text>昨夜平原乍雨過。柳含嬌意弄春多。幽人還自嫌無事。故向西疇學種瓜。</text>
<title>有所思</title>,<text>瑤池靑鳥隔蓬萊。海上仙桃幾度開。錦瑟數聲猶在耳。廣寒高殿夢中回。</text>
<title>病中有吟</title>,<text>櫻桃開盡刺桐開。小苑風光夢裏催。惆悵長卿多病後。一春花事斷琴臺。</text>
<title>共陸行之。夜登廣寒樓。</title>,<text>天涯邂逅故人情。烏鵲橋頭片月明。一曲瑤琴離思苦。滿天風露欲三更。</text>
<title>秋城夜懷</title>,<text>旅舘寥寥夜已深。虫聲咽咽引秋音。多情窓外三更月。應照江南一片心。</text>
<title>登高望江南</title>,<text>玉女峯頭一片雲。飛來飛去帶斜曛。陽臺夢斷無尋處。弱水蓬山萬里分。</text>
<title>村居卽事</title>,<text>桃花初落野棠香。四月江村事事忙。聞道西隣新釀熟。更鋤南圃藥苗荒。</text>
<title>戱次權俅韻 三首</title>,<text>名花本自倚墻開。肯效辛勤雪裏梅。隨處托根無定態。豈宜偏向別人栽。十二重欄曲曲開。一輪寒月照寒梅。枝成連理終難得。根斷芙蓉未易栽。短短柴門逐水開。竹林東畔有雙梅。迢迢關塞歸期阻。孤負辛勤手自栽。</text>
<title>贈金禮部 二首</title>,<text>每惜才如子。淸朝跡已孤。荊山誰辨玉。滄海久藏珠。夢覺風敲竹。軒凉雨洗蕪。郊居眞味在。出處亦同吾。託契年差少。連居興免孤。倘逢時掘劒。何用暗投珠。細路通園竹。虛簷接野蕪。淸秋烟月夕。佳約肯忘吾。</text>
<title>西林途中</title>,<text>峽口行人少。飢烏下黍田。山開仍大野。石坼卽平川。赤葉粧蒼壁。丹霞映碧天。危橋驢影倒。落日在西巓。</text>
<title>宿弓院夜懷 時。拜南宮員外。作肅謝行。</title>,<text>客路經三百。始到崔氏庄。夜深人語絶。天濶鴈聲長。懶夢知鄕遠。孤蹤處世妨。明朝車嶺上。南國更茫茫。</text>
<title>集杜工部詩句 二首</title>,<text>俗態猶猜忌。于今出處妨。本無軒冕志。已老尙書郞。用拙存吾道。安貧亦士常。時危關百慮。看釰引盃長。諫官非不達。報主爾何遲。敢料安危體。慚紆德澤私。是非何處定。得失寸心知。多少殘生事。梳頭滿面絲。</text>
<title>田家卽事</title>,<text>昨夜南陂雨。農功近麥秋。杏花初結子。栗葉已藏鳩。俗變刀成犢。村貧女代牛。隔林人語急。太守有徵求。</text>
<title>與李正字 濟伯，辛秀才 德就。共登龍頭亭。辛吾門外裔。李吾榜下。皆洛中人。天涯邂逅。相對有感。</title>,<text>木落孤亭暮。相逢此一時。溪山千古勝。樽酒百年期。歲月胡關遠。風塵世路危。廟謀方雪恥。休作楚囚悲。</text>
<title>贈黃正郞 德柔○德柔話舊柳村構亭於秋風嶺下。名以送鴈。舊基尙存云。仍念柳村文章筆藝。冠於一時。而跌宕不羈。爲世所忤。竟坐非罪。抱材而終。感成一律。</title>,<text>吾門昔全盛。家世擅箕東。緖業今如此。奇才竟未終。亭虛空送鴈。嶺古自秋風。相對仍多感。涕流到夜中。</text>
<title>中秋大雨。漁梁盡壞。偶吟贈尹汝玉。</title>,<text>可笑塘翁事。其如上帝憎。夏風園柿折。秋雨石梁崩。竆鬼誰能送。詩痾老轉增。此生知己矣。那得似雲僧。</text>
<title>用前韻。贈尹汝玉。</title>,<text>舊約吾差負。先行子可憎。藤垂攀棧險。槎擁渡橋崩。蠟屐探幽慣。詩囊逐興增。倘尋甘露寺。應有說儂僧。</text>
<title>蘭溪寺</title>,<text>暮入蘭溪寺。路竆苔磵潯。孤雲生屋脊。叢竹當庭心。殘衲纔三四。遺基幾古今。寒淙夜窓外。令我爽塵襟。</text>
<title>立春</title>,<text>晦明元有定。時序自相因。細雨送殘臘。寒梅催早春。干戈今日事。宇宙百年身。一一傷時恨。霜莖故故新。</text>
<title>呈房察訪晩悟 三首</title>,<text>休廢成閑適。還嫌客到門。學農春有事。留衲夜聽言。冰解水新漲。鳥棲林亂喧。無端發長嘯。獨立任乾坤。寥落寒塘畔。張羅絶叩門。極知今日趣。難與俗人言。春到雪猶在。夜深村不喧。殘梅更辛苦。作意任乾坤。掩耳人間事。深居重閉門。鄒賢非好辯。孔聖欲無言。經雪松篁老。滿林鳥雀喧。行莊元有道。一一信乾坤。</text>
<title>雨中書感</title>,<text>荒居草樹稠。門掩小塘幽。水色先知雨。山光易得秋。潘郞空有賦。王粲苦登樓。釰在心猶壯。時危已白頭。</text>
<title>三月二十五日。途中。</title>,<text>一年春欲暮。千里客行忙。獒驛烟花遠。烏原峽路長。征鞍憑夢寐。詩律藉風光。此老平生事。從看兩鬂蒼。</text>
<title>途中作</title>,<text>擾擾催行色。風埃擁後先。壠平墳作路。溪斷岸爲田。獨樹分孤店。羣峯際遠天。長安今已半。落日望雲邊。</text>
<title>三月二十九日。途中遇雪。</title>,<text>天意高難問。蒼生亦可哀。南方三月雪。東國一年災。兵草無時定。遼河幾日開。回瞻西塞遠。頭白恨悠哉。</text>
<title>次房晦卿 明燁 韻 二首</title>,<text>用拙存吾道。艱難已飽更。一官頭盡變。萬事夢還驚。每愛詩名早。能令海內傾。自憐山谷老。天地寄餘生。白竹扉長掩。無人破碧苔。不緣投傑句。何以遣幽懷。簷爲看山豁。窓因納月開。溪堂近殘臘。作意有寒梅。</text>
<title>次李聖求韻 縣監</title>,<text>萬事猶關慮。何由得破除。滯留非太史。消渴臥相如。衰鬂甘終老。愁眉不自舒。時危限南北。無計摻塵裾。</text>
<title>溪行</title>,<text>扶杖浴沙岸。秋懷更渺然。石梁斜闘水。草路細侵田。野色蒼烟暮。蟬聲碧樹連。漁人忽橫笛。雙鷺過余前。</text>
<title>寄慰獒樹督陲金德而 震遠 未得歸覲</title>,<text>雨歇前溪樹。蟬聲小驛樓。鄕心看落日。客意㥘新秋。路遠迷歸夢。官微厭薄遊。何如乘少暇。相對洗牢愁。</text>
<title>房昌平 元亮 爲繡衣所傷。有拿命。余亦上洛。馬上口占。</title>,<text>我生何太苦。底事又西京。白日孤村曉。蒼山故國城。一鞭天外客。千里雪中行。明日長堤路。相逢不耐情。</text>
<title>弓院途中</title>,<text>不作紅塵夢。寧爲白首悲。功名今已矣。吾道至於斯。雨氣侵江冷。秋聲入夜知。朝登車嶺望。鄕國是天涯。</text>
<title>題桐裏山太安寺 谷城南有廢縣舊武州。神僧惠哲。天寶元年。自中原出來。刱開此寺。寺在谷城南六十里。翰林崔賀撰其碑。至今宛然。</title>,<text>武州何代縣。桐裏此山根。細路穿雲入。寒鍾隔水聞。分明天寶事。琬琰翰林文。撫古仍多感。懸燈坐夜分。</text>
<title>德院途中</title>,<text>踰嶺多殊異。驚心秖益傷。密雲仍作雨。寒露易成霜。入海江濤壯。依山店舍荒。官程常有限。斜日客行忙。</text>
<title>北靑濟人舘。次呂方伯 爾徵 韻。</title>,<text>疾置流如水。崎嶇峽路長。霜鴻千里影。錦葉萬林粧。祇益君親念。那容夢寐忘。雲間與日下。杳杳隔遐鄕。</text>
<title>三水</title>,<text>郡名何揭水。千嶂匝孤城。土俗惟知獵。書生喜屬兵。石田霜已早。山館月猶明。輾轉難成夢。中宵畫角鳴。</text>
<title>朱村館。次李東岳 安訥 韻。</title>,<text>壯遊天所借。吾豈浪消魂。地勢初分界。人居不作村。茫茫山入海。杳杳草連原。遠憶開邊事。如今類棘門。</text>
<title>鏡城雨中</title>,<text>冒雨永康路。驅馳向雉城。無邊荒野逈。不盡大江橫。形勝關防地。藩維節度營。一牕驚客夢。皷角五更聲。</text>
<title>豐山舘。次宋東萊 象賢 韻。宋公。通判鏡城時作。</title>,<text>卽今長役役。從古亦棲棲。可惜公何困。其如運不齊。大才終未識。當世果皆迷。遺什令人感。沉吟日欲西。</text>
<title>行營途中</title>,<text>夷夏相分界。三千里外程。向南人意快。背北馬蹄輕。野菊爲誰發。塞鴻空自鳴。一鞭歸思急。紅葉夕陽明。</text>
<title>行營遇大風</title>,<text>始從何處起。更向底中喧。勢捲乾坤縮。聲驅海嶽飜。昆陽愁虎象。睢水助陰昏。誰使三邊卒。皆如挾纊溫。</text>
<title>德源。次朴上舍士秀 惟儁 韻。二首</title>,<text>不道天涯裏。相逢慰客遊。三秋雙鬂老。一宦百年羞。落日思親淚。歸雲戀闕愁。夢驚孤館夜。窓外鴈聲流。白首那空老。靑雲盡舊遊。吹噓吾有愧。貧賤子忘羞。半夜燈前話。孤臣嶺外愁。每憐憂國淚。賈傅獨爲 或作何 流。</text>
