<title>陳田吟 己亥</title>,<text>可惜十年陳。一牛誠難起。吾心亦甚焉。幾沒淸明地。</text>
<title>送別南廣文 夢龜</title>,<text>先生江海士。軒豁不覊情。志豈三年糓。時逢四目明。騷壇戔蜀帛。灉濋倒齊兵。明日春風路。何堪散曉星。</text>
<title>寄謝徐樂齋行甫 己亥</title>,<text>一作歸來賦。身閒業始專。安貧竆亦樂。愛友誨多鐫。自愧行迷遠。常嗟觸事愆。誠如扶醉漢。救這倒那邊。</text>
<title>新歲吟 辛丑</title>,<text>迎新除舊歲。天道日乾乾。更合修新德。端宜改舊愆。微陽須靜養。善思豈因遷。莫恨年華晩。作詩九十年。</text>
<title>夢拜先考妣有感</title>,<text>夜夢纔甘枕。幽明混一途。趍庭春府下。問寢北堂隅。敎誨伸情責。悲哀拭淚呼。應知止慈念。生死不遺孤。</text>
<title>南山早春。與徐行甫，崔康侯溪行。</title>,<text>澗古林全茂。山高雲半腰。風穿枯荻岸。人過夕陽橋。日暖蕭堪採。春陰雪未消。隨吟隨處酌。不覺路將遙。</text>
<title>踰嶺記所見。且有迷途之感。吟示愼汝鄰。國弼</title>,<text>來登西嶺上。衆嶽列崢嶸。日欲雲邊沒。天猶漏處明。曾聞迷七聖。今見失長程。不學竆途哭。檉椐恨未平。</text>
<title>初春雨</title>,<text>霡霂初春雨。廉纖小澤邊。疎疎漏夕日。密密暗長天。遠峀橫殘霧。前村濕晩烟。庭梅明日後。消息報新年。</text>
<title>幽居吟 壬寅</title>,<text>有山纔掩屋。有沼可潛魚。蕭條眞陋巷。竆僻是橫渠。密邇松楸蔭。從容簡策書。休言風景鮮。明月夜牎虛。</text>
<title>與樂旅兩兄及六七冠童。泛仙査。泊三派津。投宿浮江亭。甲辰</title>,<text>一葉隨流水。風傳短棹輕。斷岸高千尺。驚灘咽數聲。淡烟將雨去。晴日漏雲明。晩泊三派畔。歸帆此可停。</text>
<title>自伊川乘昏登浮江亭</title>,<text>沙頭明落日。江上夜開門。遠樹迷千嶂。炊烟抹一痕。步窘知驢蹇。林深覺路昏。披襟松下坐。怳若溯仙源。</text>
<title>聞樂翁謝李巡相折贈盆梅之韻。追次奉寄。</title>,<text>盈尺圓盆岸。孤根僅數枝。何嫌占地小。能發先春輝。最愛高人伴。還愁俗客知。隆寒病未賞。周蝶帶香歸。</text>
<title>遊安興寺。臨別贈同遊。</title>,<text>雨晴濃翠滴。山色更幽幽。信宿餘情密。辭歸別意稠。澗流醒俗韻。鶯語勸人留。虎溪從此隔。重約指殘秋。</text>
<title>奉次姑夫鄭湖叟 世雅 贈張德晦圍城之韻。因寄旅翁。爲聞韶守解而歸。邑人爲之圍城。</title>,<text>卧轍聞名久。圍城此一時。笑他萇楚詠。幾處泰山悲。仁里遺名李。離亭惜別巵。更吟歸去賦。爲謝解章詩。</text>
<title>金察訪晦仲與希魯。次后山韻來示。因次其韻以贈晦仲。</title>,<text>春風溪上路。醉客岸巾斜。話舊添新恨。尋芳有古査。詩壇登李杜。平陸起龍蛇。餘慶如君小。知渠不食家。</text>
<title>鄰寓皆流散。而餘存者病夫。各佩一壺酒。爲成八日之會。適得李士綏之來。喜誌一律。</title>,<text>鄰寓皆流散。餘存多病夫。爲憐寂寞客。各佩松醪壺。佳會溪間友。盤羞雨後蔬。陶然成一醉。不覺日西晡。</text>
<title>遊動鶴山。吟贈崔康侯諸君。甲辰</title>,<text>偶然成一會。禪榻暮雲晴。剪燭三更夜。斟杯十載情。佳話古今雜。淸遊雪月幷。題詩何所思。請結歲寒盟。</text>
<title>別友人</title>,<text>細雨伊川路。悽然斷我膓。聯床論未已。分手別何忙。綠草重茵設。靑山一帶長。回瞻天際碧。雲樹兩茫茫。</text>
<title>詠蓴</title>,<text>江客分江菜。孤根半畒遷。細莖交綠線。新葉疊靑錢。氷雪凝芽滑。臙脂繞萼娟。生涯添一味。莫使宦遊傳。</text>
<title>李可和使其子行儉來見。因問風騷詩。余愛其年少志篤。敢書一律寄賀可和。且勉以回頭之勇云。</title>,<text>吾友可和子。慇懃問我過。何期李亞子。已賦高軒過。史集看千遍。詩書誦百過。兩程聞道日。只恨一年過。</text>
<title>奉和聞灘從叔季進 遴。次寒岡先生大谷早春韻。</title>,<text>溪上春光早。南牎梅欲姸。山根留駁雪。村巷藹浮烟。剩次陶詩韻。難賖蜀酒錢。陰崖日漸永。傍毋野鳧眠。</text>
<title>宜樂堂。次曺芝山 好益 韻。</title>,<text>堂名與佳什。能豁俗儒襟。山靜春意動。溪虛野日況。有花兼有酒。無笏亦無簪。若得聯床話。綢繆說此心。</text>
<title>在硏院。使人邀郭益甫。再謙號槐軒。是日小雨。又寄書希魯。</title>,<text>生化乾坤意。潛隨細雨催。梅全玉貌笑。柳亦碧眉開。寄弟裁書問。思人待使迴。山腰一線路。頻望起徘徊。</text>
<title>奉別尹通判 昫</title>,<text>風雨城西夕。歸程問幾重。腰慙五斗米。身逐片帆風。盃盡情無盡。詩竆意不竆。揚庭今有日。應活我疲癃。</text>
<title>客來吟</title>,<text>有客有時來。相逢舊意新。只勤談笑戲。寧雜是非陳。雨過園蔬長。時豐山酒醇。陶然醉卽去。子識我何人。</text>
<title>客不來吟</title>,<text>莫嫌客不來。虛堂喜夷猶。開卷聖賢友。出門麋鹿遊。迎風瀉浩思。呼酒破閒愁。此外吾何待。林深事事幽。</text>
<title>追步李巡相養久 時發號碧梧 賞蓮韻</title>,<text>芙蓉池上會。翠幄雜紅衣。濯色銀河水。成章織女機。淸陰隨日轉。淑氣惹風吹。勝賞嗟無及。孤吟夢裏歸。</text>
<title>奉次李巡相養久留別韻</title>,<text>靑油喜讀易。每仰卷中師。四字常書日。三符屢檢時。歸情連棣萼。遺愛耀棠詩。此去方成賦。盟堅雲水期。奉呈慕翁座下 碧梧南國多佳士。淵源自友師。弦歌愧未暇。句讀正何時。惜別爭持酒。含情各賦詩。相思在千里。崇德以爲期。</text>
<title>追送碧梧相公於琴湖舟次。更呈奉別。</title>,<text>追登江上舟。江水何悠悠。吟扣淵明枻。興饒張翰秋。宦情蟬翼薄。別意春雲稠。他年後穎上。毋忘今日遊。</text>
<title>登鶴巖精舍。奉贈主人。朴廷璠</title>,<text>劚雲架精舍。奇絶久聞名。巖竹䕺䕺直。溪流曲曲淸。鶴孤千古意。松老四時情。端合吾君信。幽居究聖經。</text>
<title>謝蘆灘釣叟，郭吉甫 三吉 委設行厨。乙巳</title>,<text>故人多故意。十里設行厨。信帖雙魚幷。芳尊兩味俱。還憐江樹暮。獨聽渚禽呼。回棹思多少。題詩寄一吁。</text>
<title>遊馬淵。奉次安府伯 憙 韻。庚戌</title>,<text>坐到夕陽邊。自然意灑然。勝遊誰繼後。此會亦無前。亂酌建康酒。孤吟籬落烟。臨流多少興。收拾走新篇。</text>
<title>辛亥陽月。與聞灘從叔有事于凝川先祖墓。同宿于省峴。翌日留話。醉而吟呈。從叔時作其郵</title>,<text>永夕淹留客。霜風十月時。谷深天欲小。景短日催移。情飮酸猶好。詩遲韻亦奇。雲門知有約。事後莫相違。敬次 處約客到郵亭夕。蒼茫歲暮時。鳥鳴山意古。風靜樹陰移。階竹疎還密。巖松老亦奇。更約雲門屐。休言好事違。</text>
<title>暮途得林字</title>,<text>渡水復渡水。經林且經林。暮雲天外亂。霜葉澗邊沉。何恨行人斷。惟憐捿鳥吟。只慚老驥力。不及寘郵駸。敬次 處約草峽崎嶇裏。長溪又長林。風生飢虎嘯。寒 缺 暮雲沈。路遠驢猶倦。山空葉自吟。黃昏歸興富。何恨日駸駸。</text>
<title>入湧泉寺。感舊有吟。壬子</title>,<text>寺憶曾遊日。星霜二十年。依俙喬木外。髣髴法堂前。話舊無圓照。論詩有惠連。重開全盛會。不覺淚潸然。</text>
<title>自湧泉齊向省峴。一宿而別。</title>,<text>郵亭春正早。遠客動歸程。詩說親親意。杯傳款款情。輕風階竹韻。淸籟澗松聲。我醉君先去。參差遠近行。</text>
<title>謝李翰林茂伯 潤雨號石潭 寄新曆</title>,<text>故人遊洛下。貺我迓新書。可推時節候。能察月盈虛。只恨流光促。多憐華髮疎。應知三百日。一瞥鳥過如。</text>
<title>次韻謝趙大而 亨道號東溪</title>,<text>一書兼兩律。離索喜何堪。子乃夫之一。吾非益者三。爲詩徐子惡。以德繆公慚。只祈梅月下。觴詠一塲湛。</text>
<title>淸和晦。與希魯及柳景諴，郭興伯。同尋巴溪寺。蔡汝榦以故止。渠子之海從。</title>,<text>重尋舊遊處。殘日倒峰西。谷口人稀店。山腰路轉迷。巖花春後發。澗草雨餘齊。誰道虹橋斷。吾能渡虎溪。</text>
<title>感舊吟。贈同遊。頃在庚午。陪溪東先生讀書于此。</title>,<text>巴寺偶來宿。依然往事悠。當時陪杖屨。今日恨孤遊。感歎情何極。徘徊淚自流。東林歸去後。回首暗生愁。</text>
<title>次彌樂齋落梅韻</title>,<text>半夜廉纖雨。雙仙倐忽飛。糝階晩雪積。戀樹殘紅悲。餘馥嗅猶聞。離魂招未歸。尋春愁遠客。惜別懶吟詩。庾嶺違佳節。羅浮失好期。一開應一落。觀物且隨時。</text>
<title>陪金通判而靜 允安號東籬 遊八公山。歷訪徐立之 時立號全歸堂 山居。共次溪亭韻以贈。甲寅</title>,<text>今過徐孺子。幽居擁南山。排闥天光入。涵溪雲影斑。世紛消得失。時事任循環。彩舞萱堂後。時時玩小灣。</text>
<title>又吟敦字奉贈主人</title>,<text>地主傾遊盖。知君孝思敦。跨空開水道。鑿石架溪軒。境僻塵凡隔。山深麋鹿羣。此間多少意。欲卞已忘言。</text>
<title>挽全同知 繼信○丙辰</title>,<text>行伍曾從役。犂鋤是起身。乘時爲始祖。靖國作元臣。貴享中樞府。名芳外島人。男兒似子少。百歲厭風塵。</text>
<title>有感 時有兄弟訟田者</title>,<text>此令是常事。云何不令兄。只知天與水。寧念體分形。土地千金重。彝倫一髮輕。阿誰敦敎化。人道日星明。</text>
<title>贈李樑厦</title>,<text>已負三餘業。虛過九十春。盛年知幾日。歲月每欺人。不窺園中草。能爲席上珍。題詩勤一祝。莫向老夫嗔。</text>
<title>次徐精甫 思選號東皐 草堂韻</title>,<text>每憶曾遊處。今來卯日南。功名雖命簿。風裁是奇男。水匝宮商樂。山圍朝暮嵐。過從有二仲。蔣逕已開三。</text>
<title>挽郭稚靜 赾號省齋</title>,<text>相見嗟何晩。相將蘭臭芳。陪遊江浦院。函丈泗濱庄。平生恨離合。此日慟存亡。病未東榮奠。哀歌淚自滂。</text>
<title>夢拜溪東先生。有感而作。</title>,<text>夢拜溪東丈。儀刑宛舊時。洋洋耳訓戒。款款口文辭。急掃淸風宇。還憑明月池。覺來牎欲曙。庭樹悵依依。</text>
<title>謝趙府伯 國賓 持酒來訪 丁卯</title>,<text>騑騑五馬騰。設席又明燈。日落江陰合。秋深野氣凝。政寬多惠澤。人老少風稜。只幸時天雨。歸程未可登。</text>
<title>約禹彦輔 舜弼，柳粹夫 思溫，柳衛仲 時藩。遊葛寺。己巳</title>,<text>渡江尋葛寺。石級接雲端。粉壁連天直。霜楓暎水斑。山深如太古。境靜隔塵寰。一字天開峽。武夷在此間。</text>
<title>崔康侯生辰。吟以奉贈。</title>,<text>慰子劬勞日。賓嘉物亦多。餘年能幾日。不樂復爲何。時雨疎還密。桐花晩更華。休言樽酒盡。重聽莫愁歌。</text>
<title>訪應湖禪。不遇留韻。</title>,<text>訪爾雲無迹。惺惺法未聞。獨別點頭石。留題入定門。陰崖馴白鶴。淸晝有靑猿。歸去重回首。山西日欲曛。</text>
<title>挽徐建甫 思建</title>,<text>雙璧我門遊。元方與季方。情深多分義。契密照心膓。謂享千鍾養。寧知一夢忙。哀哀薤露曲。涕淚在衣裳。</text>
<title>遊巴溪。次趙上舍挺夫 咸英 韻。</title>,<text>久絶丹靑義。阿誰故意長。多情趙上舍。佩酒慰流光。織錦兼金韻。編苫縞帶章。終宵成亂酌。雲卧冷衣裳。</text>
<title>次李府伯而實 穧 留題寺壁韻 庚午</title>,<text>寺憶曾遊日。俄經六七年。今來除亂想。豈欲慕飛仙。菊哂重陽近。官閒皁盖先。霜繁秋欲老。楓葉耀山前。</text>
<title>自解長句 壬午</title>,<text>天賦余胡貧且賤。生年三十無可取一善。棲棲遑遑。一歲十二月三百六十日。倀倀憧憧。無相瞽然。貴有李斯。貧有顔淵。如其不義貴。曷若安素履。從吾所好。亦足自怡神。力田奉親。且盡人子事。况今具在無故。滿堂室宜家人。人生一世。此外何足數。天賦余貧且賤。非禍余且福。余聊用自解。且告君子友。</text>
<title>贈別陪疏諸友 辛亥五月。以晦退卞誣事。會安東治疏。將發作此以贈之。</title>,<text>去年起朴賊。而立 霜風九月商山程。寒岡被而立誣告。爲設疏會于尙州。 今年鄭 仁弘 又繼。火流。時節花山行。皇天必欲喪斯文。毒正之奸連歲生。鳳凰孰不知祥禎。日月孰不知淸明。彼獨胡爲禀異質。指正爲邪恣詆評。老術妄恃侂胄功。自謂所欲無不成。於令縱未盡售志。欲貽後世要同聲。欺天蔽日入左腹。一紙可能回宸情。時之否泰揔是天。書雖萬言難力爭。只幸吾王繼明照。庶幾萬一期反經。我願吾黨賢君子。行行字字輸忠精。士生斯世貴明善。寧恤畢竟遭人刑。</text>
<title>題徐四佳 居正 達城十詠後</title>,<text>達城䧺盤百仞若端拱。勢非其漸斗起阜。攫土摶沙誰此弄。一一造化手。登臨試達觀。好水佳山環左右。其間奇絶不可一二名品題。自然之數暗合圖書一含九。阿誰鳴琴載酒遊。不啻知章鑑湖享恩厚。桐江千載繼高風。巖畔年年閒眠。獨釣叟。春雲捲雨露列峀。元龜背上如有負。寒蟾滿䂓。玉宇琤。遼鶴樓中。吟正久。南池時詠愛蓮說。北壁長對香林藪。偸閒何處可尋眞。最晩桐華迷谷口。陽關唱盡楊柳春。惜別離亭一罇酒。頑雲旣凍天地寒。雪積公巒驗年有。砧山橫枕大野頭。暮景蒼茫斜日後。何人取次畫有聲。徐子十詠名不朽。詩鳴一代擅騷壇。自擬文章亞韓柳。宦成名立晝錦還。某水某丘兮魚鳥遊。麋鹿友。每逢佳處吟。錦囊詩千首。如今讀罷三歎息。嗟我欲說安得鏗鏘淸韻如瓊玖。</text>
<title>遊符仁寺。分韻各賦。戊申</title>,<text>邵子見約往崇前。晦翁唱酬登南嶽。風流千載屬吾儕。蕭寺此日欣一握。近自巴谷香林村。遠從伊川倻水曲。吟風弄月興自饒。智水仁山趣亦足。林疎路豁遠高低。葉盡山呈眞面目。莫恨勝地俱未到。欲追仙蹤㥘老脚。時當天地冬之孟。萬化靈根氣當復。願言諸公靜以養。絶彼柔道修荒屋。屋字 樂齋喚我東南友。集此雲中屋。時屬戊申冬。密雪灑松竹。頹我上上峯。圍爐酌更僕。隴西起良朋。惠然及要束。如何慕翁遲。終日愁心目。授簡迭吟哦。瓊珮爛盈掬。老病愧不才。倚壁還縮恧。泰山邈難攀。衡嶽追高躅。慇懃此日意。諸君宜佩服。時字 聞灘我來訪公山。政値十月時。少者兼長者。新知又舊知。佳會人間勝。淸遊衆外奇。對月談雲水。開罇話心期。暮雪添醉興。春雲動新詩。明朝往三省。從我又是誰。</text>
<title>得失 癸酉</title>,<text>由來得失莫之爲。得豈欣欣失豈悲。自古劉蕡亦下第。始知時命必相隨。</text>
<title>讀書有感 乙亥</title>,<text>博學應要習坎亨。更須潛玩一於誠。入深看去方知得。莫向皮膚讀聖經。</text>
<title>望最頂山 丙子</title>,<text>最頂崢嶸不可攀。人人仰止下盤桓。若登望海巖頭石。無極乾坤地界寬。</text>
<title>雨後</title>,<text>天地仁心下一雨。柳眉梅臉一時新。此身還有乾坤一。修德修心亦一新。</text>
<title>讀太極圖說 二首</title>,<text>天地由來幾會元。中間作者我無聞。圖成幸有濂溪老。太極從知無極存。曾向乾坤遡一元。無聲無臭又無聞。圖成指掌分奇偶。物物無非太極存。</text>
<title>聞溪東先生通判寧邊。傷別有感。壬午</title>,<text>一自先生入漢州。春山秋水共誰遊。如今又作西鄕吏。千里重懷千里愁。</text>
<title>讀小學 甲申</title>,<text>日用人倫道在微。須知下學聖同歸。分明指掌修身法。見在從今悟昨非。</text>
<title>擊壤歌</title>,<text>帝德淵宏配上天。民生煕皡莫知然。只將擊壤無餘事。黃髮歌聲七十年。</text>
<title>落梅</title>,<text>落盡殘香擁一庭。冰容無復粲瓊英。惟將疎影空階月。留照枝間滿意明。</text>
<title>布糓</title>,<text>羽族雖微萬物中。飛鳴上下願年豐。由來苦勸春田事。似解詩人雨我公。</text>
<title>細雨</title>,<text>山南溪北勢飛飛。不覺隨風暗濕衣。端合暮江垂釣睡。還妨草路荷鋤歸。</text>
<title>詠花王</title>,<text>江南梅落久無香。最晩姚黃檻外長。衆卉如今當北面。天然富貴可封王。</text>
<title>詠永慕堂新成 二首○庚子</title>,<text>灔澦風波難着脚。崢嶸歲月已衰顔。經營不是要觀美。擬作菟裘百歲安。晴牎曉日齋余志。淨几遺編整我顔。願謝人間千萬緖。只要收拾此身安。次永慕堂韻 樂齋小屋新開寒鏡面。爐薰淸晝影蒼顔。從今坦坦幽人履。不獨身安心亦安。惟精心法欽堯舜。約禮工程學孔顔。萬事知君心下豁。躋攀分寸莫求安。</text>
<title>次樂翁顔字韻</title>,<text>阿衡事業耕雲尹。克己工夫復禮顔。以此終身勤養力。一瓢眞樂萬民安。更步前韻贈慕翁 樂齋躳耕古道追革摯。志學今功抗巷顔。右挈左提同勠力。存吾順事歿吾安。</text>
<title>聞張德晦，徐行甫幷作宰。果皆不赴</title>,<text>琴鳴梅閣賢賢樂。春入山村物物幽。不忮不求寧有慍。林居端合保天休。</text>
<title>奉次金府伯 九鼎 留別韻</title>,<text>三載樊籠白雪鷴。高飛逸想與雲閒。梅柳故園正春早。北牎罇酒一開顔。</text>
<title>次李上舍靜老 壽岡 拜先墓韻 樂益亭主人</title>,<text>歲久封塋頹魯馬。兵餘山色濯齊牛。來攀宿草勤三匝。恨入前溪咽不流。</text>
<title>過孫興彦 起業 新居有感 溪東先生別業遺㠊</title>,<text>墻頹栢老只餘基。擧酒追思挾冊時。山雨溪風依舊態。忘歸三歎强題詩。</text>
<title>過八莒柳公 應立 舊居有感</title>,<text>寥落荒墟有幾人。新村處處是新人。墻頹路廢埋荊棘。誰記當年歌舞人。</text>
<title>立春日詠雪</title>,<text>聞道東君初御極。乾坤處處物皆和。無端做出千林萼。不是韓湘頃刻花。</text>
<title>傷田家</title>,<text>蕭條籬落四無鄰。輸盡官租只食貧。日暮天寒何所事。每驚風雪夜歸人。</text>
<title>省掃外氏墓有感 墓在仁同</title>,<text>宿草封塋霜露摧。誰將香火獻三杯。可憐惟一袁公額。此日那堪樂半哀。</text>
<title>與徐行甫。陪裴府伯晦夫 應褧 遊白鷺洲。</title>,<text>一船聯袂謫仙儔。泛泛中流作勝遊。斜日晩風歸去後。淡烟疎雨暗萍洲。</text>
<title>醉中戲贈徐行甫</title>,<text>曾聞出谷遷于木。君亦胡爲反入幽。不是閒情閑不得。及時重作少時遊。</text>
<title>又贈徐行甫</title>,<text>瑤鳴一帶喧溪石。玉立千竿擁草廬。中有山翁閒獨詠。無人來問此幽居。</text>
<title>晩步</title>,<text>春雨初晴麗景遲。門前稚柳欲垂絲。晩來扶杖山前步。山下溶溶水滿池。</text>
<title>浮世</title>,<text>滿池春水沒舊痕。暖日輕風巧作紋。浮世至今心事隔。一竿垂處思不群。</text>
<title>山前</title>,<text>山前山後一驢過。斜日山村山氣多。爲問山翁何所樂。近來山色欲春和。</text>
<title>松籬</title>,<text>刈得松枝面面籬。旁風破屋有攸依。從今始覺修治力。收拾身心日補遺。</text>
<title>雨中</title>,<text>門巷蕭然野客稀。雨中終夕掩柴扉。食來眠去無餘事。時對南山詠古詩。</text>
<title>待希魯不至</title>,<text>步出柴門問幾回。澤邊山下少人來。旬餘尙阻怡怡樂。斜日寒風獨上臺。</text>
<title>陽月上旬有感</title>,<text>孝子餘情只此時。終身哀慕遠于追。霜寒宿草頹塋畔。送往迎來豈耐悲。</text>
<title>泊舟竹谷屛巖下。飮徐行甫別盃。又被郭敦夫 大德號竹塢 携酒相別。醉題一絶。</title>,<text>來往江湖五日遊。數篇奇語瀉閒愁。臨分又被敦夫酒。初旭巖屛繫小舟。</text>
<title>偶吟</title>,<text>君子修身法兩天。法之何事日乾乾。自然四德爲終始。隨感隨生體用全。</text>
<title>時雨</title>,<text>乾坤納納動條風。滋養羣生一雨中。誰識如愚參也唯。莫非夫子化生功。</text>
<title>春水滿四澤</title>,<text>春水溶溶四澤中。何勞杜子願年豐。從今若得調元手。百室皆盈奏歲功。</text>
<title>春日幽居</title>,<text>不是幽居帝畫看。自知今日獨盤桓。晴牎春暖梅香動。卧聽枝間鳥語閒。</text>
<title>謝全上舍和瑞 春年 送人治田</title>,<text>故人情意無毛恤。爲送雙星助不周。治得石田開十畒。病妻稚子望成秋。</text>
<title>晩秋吟</title>,<text>秋滿山中霜意重。松楸寒葉轉分明。分明記得枝枝恨。入眼徒增怵惕情。</text>
<title>贈書堂諸學者 二首○癸卯</title>,<text>爲學工夫不在他。身修而後及齊家。要須識得治心法。一敬能令勝百邪。須知內外貴交修。愼勿神明處下流。涵養操存斯有術。盍於言行寡其尤。</text>
<title>歲暮吟</title>,<text>歲暮竆山寒氣驕。白垂衰鬢更蕭蕭。可憐此身虛生死。大道之聞願及朝。</text>
<title>寄贈李學可 宗文號洛浦</title>,<text>深嗟一別經三載。誰謂丹靑信久要。肴將矧今消息斷。邇來三月似聞韶。</text>
<title>次書齋學者春寒絶句</title>,<text>莫辭今朝把一杯。東風料峭送寒來。庭前獨立梅花樹。雪萼瓊葩開未開。</text>
<title>閒居吟</title>,<text>年來竆巷絶車塵。閉戶俄經九十春。鋤罷石田歸獨晩。北牎還對卷中人。</text>
<title>過琴湖有感</title>,<text>料峭東風入面寒。微茫野色暗江干。陵遷已失前時路。惟有靑山是舊顔。</text>
<title>次彌樂齋盆梅韻</title>,<text>西湖千載幽人趣。輸入林塘滿一車。根結小盆生意足。孤芳占地不須多。</text>
<title>傷具丈溪巖舊居</title>,<text>人間榮悴理無常。生死何殊夢一塲。可惜溪翁仙去後。一巖惟帶一春光。</text>
<title>落梅歎</title>,<text>風前數點過前墻。爲愛詩翁送晩香。可惜東君歸去後。滿園春事孰張皇。</text>
<title>過全和瑞舊居</title>,<text>茫茫往事渺難尋。人去基空感淚淫。庭栢不知時事改。年年堅守歲寒心。</text>
<title>聞張旅軒德晦赴闕。喜吟。</title>,<text>一年三聘承天寵。君盍幡然答聖吁。若得風雲時際會。阿衡事業庶幾圖。次慕翁聞旅翁赴闕韻 樂齋景仰平生子張子。幡然不必望都吁。賦歸趁逐梅花節。丘壑風流請改圖。聞張兄月初還松亭故云。</text>
<title>憶彌樂齋梅。奉寄主人。</title>,<text>春晴暖氣已浮空。疎影侵塘問幾䕺。想得巡簷三嗅處。玉人馨德兩相同。</text>
<title>詠永慕堂梅 李仁仲舊基有老梅枯槁。今移入堂前。</title>,<text>獨立荒墟寂寞隈。瘦容憔悴有誰哀。如今移入幽軒畔。點點寒英滿樹開。謹次 樂齋聞說逢仙古澗隈。慇懃迎入破荒哀。想應永慕春岑寂。勵志同心戶不開。</text>
<title>群鴻來集池中。感吟問答二絶。</title>,<text>淸風海𡵫宜遵渚。明月江干任漸磐。何事暮山涔寂裏。羣飛小澤喜盤桓。問靑霄萬里碧雲中。逸翮飄飄駕遠風。却怕江干矰繳子。春晴池畔伴山翁。答</text>
<title>聞徐行甫來訪之音。喜吟以待。</title>,<text>聞道徐君七日來。東遊春興浩難裁。靑山片石今無恙。預拂心情待子開。</text>
<title>春日讀書偶吟</title>,<text>何嫌僻陋無人問。自喜疎慵隔世居。閒客不來春日永。梅牎只合讀前書。</text>
<title>去年移梅。一點先開。喜吟一絶。甲辰</title>,<text>點點枝間一點開。應知次第與時開。明朝便向枝頭訪。又得瓊葩幾點開。</text>
<title>次李巡相養久贈松雲師之日本韻</title>,<text>雙屩孤筇趁早秋。蓬萊方丈及瀛洲。將探海外殊方勝。壯志應輕萬戶侯。</text>
<title>次宣慰使和倭人玄蘇韻</title>,<text>蕩滌妖氛淨四封。蓬山春日日華重。滇王奉慰憑專對。恩洽包荒海外濃。天限東南海以封。郵籤報水幾重重。吾王聖澤添遐邇。坐見來庭禮意濃。</text>
<title>三月上弦日。白髮會于枝巖。徐行甫，郭益甫先爲玉山之頹。吟一絶以戲之。</title>,<text>山外江風爽似秋。一亭佳會屬風流。華髮醉翁先枕藉。傍人爭指老仙遊。</text>
