<title>淸明呼韻</title>,<text>一雨淸明過。三山物色新。偶從江上路。尋得洞中春。</text>
<title>李將軍歌</title>,<text>古稱燕趙多感慨。易水寒風吹萬祀。殺身報主復何人。前有楊公後有李。官同事同地亦同。五十年間人見二。雲中往事且莫論。說着今春堪白首。將軍有箇好身手。山東亦出山西才。東征西討功第一。下視天驕如小孩。小黑山前烽火照。邊鋒夜警胡窺營。將軍聞之若不聞。見賊愈多身始輕。搴旗斬將在一擲。眼前不復論全牛。兵不滿五千。轉戰三百里。虎子須從虎穴求。藏身馬革固非夫。天下靑山亦安用。平生素蓄在溝壑。力盡沙塲賈餘勇。馮河莫道不好謀。郊壘元來臣子羞。車右猶能坐鳴轂。况又身當方鎭守。小太尉大梁公。門十朱輪恩亦厚。公從結髮已許國。七尺之軀非我有。生爲烈士謚爲忠。血洒千秋照汗竹。長虹百尺繞沙磧。知是威靈射天赤。食人之食死人事。此道今人棄如土。紛紛藉藉全軀保妻子。莫把談鋒議其後。獨驅數千古亦云。單騎見虜今始有。落雕都尉稱數奇。成敗論英無乃窄。朅來廣寧爲悲歌。欲和當時出塞曲。</text>
<title>高平道中</title>,<text>高平驛之東。三叉河以北。大野靑未了。山川杳無極。百里行人稀。草窃時出沒。牛庄尙云遠。立馬商量久。雲邊露孤堞。忽有西寧堡。昭代費經營。關防無罅隙。信乎太宗業。樹立甚宏博。</text>
<title>望千山寺</title>,<text>見說千山寺。禪房勝法泉。磬音雲木杪。僧梵雨花前。一入曹溪洞。渾忘苦海緣。何方可栖息。隨意送殘年。</text>
<title>鞍山驛堡次韻</title>,<text>玉立東西對兩山。天開一路跨中巒。因形設險鞍爲號。馬伏波宜據此間。</text>
<title>遼陽道中次韻</title>,<text>臘月離京過正陽。夢中消息苦難詳。遼城莫問程多少。落日歸心一倍忙。</text>
<title>首山嶺</title>,<text>晩登首山嶺。一望遼之陽。衝天白塔古。出地靑山長。人煙雜棗柳。田畒饒秫𥣋。我從東邊來。入境問其俗。好馳馬試劒。多語難瞋目。北方之強歟。詩書或不足。緬惟勾麗初。實屬東蒙主。天運有代謝。地道隨合離。叉河水東流。何處問安市。往事雲悠悠。長空一鳥沒。今逢聖天子。握符御宸極。四海奄爲家。一視而同仁。雲開北闕曉。日出東方春。天戈掃妖孽。蒼生樂耕鑿。我亦不自知。鳶飛復魚躍。</text>
<title>懷遠舘書懷</title>,<text>百憂如百草。日日雨中生。恠無靑色相。嬴得鬂根明。</text>
<title>次使相韻</title>,<text>忽得龍灣信。多情鯉一雙。諸公移駐節。高會想臨江。最喜塵淸壘。應須酒凸缸。誰憐遠遊子。愁倚夜深窓。</text>
<title>過夷齊廟</title>,<text>爲尋孤竹國。徑涉大灤河。象設知何代。風流凜不磨。道從尼父顯。功媲太公多。墨祀長隣近。周墟有暮鴉。又克讓公餘事。求仁道在玆。襟期周泰伯。華衮魯宣尼。獨立二儀表。長爲百世師。英風吹上界。却怕帽簷欹。又肅穆平灤界。粤惟夫子宮。精神萬物表。風氣二儀中。北海流無盡。西山曲一終。箕封亦孤竹。文不在吾東。</text>
<title>次栢谷韻</title>,<text>夢裡騎黃鶴。飄然向九天。春風吹上界。瑤草綠芊芊。</text>
<title>見新瓜並櫻桃</title>,<text>燕山四月見新瓜。綠映紅櫻兩可誇。節物攪人生感慨。白頭吟望海東涯。珊瑚碧𡬾絡金瓜。夜入侯門各自誇。誰識遠人無長物。閉關愁絶玉川涯。來趁椒花去及瓜。遠遊堪恨亦堪誇。長城碣石秦皇島。東海茫茫不見涯。</text>
<title>又次山海關韻</title>,<text>幽薊山川歷險夷。經營此地亦勤斯。直將遼碣爲樞轄。玉塞金甌永不。</text>
<title>主人翁因節日置酒。是重午也。</title>,<text>朔雪漫山始過關。芳華消歇道途間。筭來萬事渾無興。且向樽前一破顔。</text>
<title>次海洋城韻</title>,<text>端陽今日是。歸計更茫洋。心逐東流去。身猶滯異鄕。右含情欲借寰瀛葉。長風縱大洋。天遊眞一快。不夕到桑鄕。右撥悶</text>
<title>望海亭</title>,<text>望海亭何在。六鰲負而行。我欲觴于上。仍之朝太淸。</text>
<title>秦皇島</title>,<text>白帝登封地。煙濤極渺漫。童男去不返。何處問神山。</text>
<title>後車因霖雨中滯。三日始至關。車上衣服盡濕。書冊幸免。戱吟一絶。以呈使相。</title>,<text>三日淫霖濕滿車。關門咫尺尙邅如。新書萬卷還無恙。造物憐公好讀書。</text>
<title>無題</title>,<text>信可行蠻貊。仁惟仗玉皇。浩然天壤內。隨分好還鄕。</text>
<title>次韻戱贈</title>,<text>情鍾我輩言非妄。想見箕城把別時。方信玉籠鸚鵡語。忽驚風雨槿花枝。細論班史知無日。携到湖村奈誤期。報道精靈今夕降。病夫何用苦低垂。</text>
<title>戱題</title>,<text>爲報主人翁。深杯無我侑。我乃四明狂。其狂也是酒。又南國嬋姸兒。新詞歌以侑。客去又能來。君家常有酒。</text>
<title>寄謝邊帥</title>,<text>菲才未忝先堂詠。高義還驚信使交。一水橫分雲鳥陣。三韓曾識虎龍鞱。雪山從古須公重。杞榟如今可爾拋。跨海斬鯨知有日。星文夜掣匣中刀。朝天錄終</text>
<title>贈友</title>,<text>曾向中書對紫薇。今從南郭掩荊扉。平生氣槩消難盡。留客苔軒醉夕暉。</text>
<title>送韓益之按關北</title>,<text>鐵峽咸關是舊邦。岐豊民俗自淳厖。前朝事業先春嶺。昭代提封豆滿江。推轂政須韓有一。登壇共喜信無雙。雪山今得公來重。佇見天驕欵塞降。</text>
<title>宣祖大王輓詞</title>,<text>恭惟精一聖相傳。宵旰憂勤四十秊。文致太平明禮樂。武勘多難靜戈鋋。彜倫揭日宗祊正。大義經天帝賚偏。玉几誓言何遽爾。金縢穆卜竟茫然。周宣德業徽稱大。漢祖園陵元氣全。未死孤臣思褥蟻。鼎湖瞻望淚如泉。</text>
<title>哭朴台賢</title>,<text>落生天地共庚申。三十秊前托比隣。塵裡竊名雖自別。雪邊危鬂約相均。聞君已作今秋鬼。嗟我能爲幾日人。好去碧空寥濶處。俯看黃壤足酸辛。</text>
<title>挽</title>,<text>妙歲登黃閣。英聲四海知。心中存信順。身上係安危。國値多艱日。言無不盡時。世人皆欲殺。聖主獨深思。</text>
<title>挽</title>,<text>落地同秊甲。宗門再從親。功名差末路。風韻繼前人。酒戶沉痾久。星墟卜兆新。先靈無所托。獨立倍傷神。</text>
<title>挽</title>,<text>山西鞱畧出山東。自有恂恂郤糓風。製錦初收黃召績。登壇俄奏白韓功。重臨關塞狼煙熄。一鎭炎荒虎穴空。萬里長城今寂寞。不知何策可平戎。</text>
<title>挽</title>,<text>八斗文章四品官。有才無命閉泉關。寥寥六十年中事。只有詩名滿世間。</text>
<title>次舍弟留別韻</title>,<text>朅來寅火島。風雨鎭江城。一別頭俱白。相看眼各靑。如何湖外路。愁殺客中情。努力千金重。秋江更上亭。</text>
<title>成川別舍弟</title>,<text>灘氷幽咽樹陰昏。氣象蕭森巫峽村。相對白頭如夢寐。百年長枕未宜分。元韻雪後巫山日欲昏。萬重煙樹鎖江村。仙娥莫唱荊花曲。明日離亭骨肉分。</text>
<title>次劉天使鴨綠江韻 以下儐接錄</title>,<text>銀漢星槎涉遠陲。猩袍絢日彩瓌奇。爭瞻寶典䟽封重。共喜藩邦受命宜。玄兎山河深雨露。皇華原隰好驅馳。哀榮前後俱天寵。浩蕩恩波溢海涯。</text>
<title>次宿林畔舘韻</title>,<text>東韓輿地盡堯封。隨處亭臺麗景濃。萬里星槎儀瑞鳳。九重泥詔燦金龍。濤聲殷壑松含籟。霽色通霄 疑霞 日上峯。選勝更添詩警策。未容哇響敵黃鐘。元韻晴窓盡遣綠陰封。四壁蕭森望外濃。芳樹翳微藏翠羽。高巖盤欝鎖蒼龍。赤城霞擧侵群嶂。碧海雲生削遠峯。一曲憑欄嵐氣合。深林隱隱逗歌鐘。</text>
<title>次詠對山古松</title>,<text>松間蘺落是誰家。蒼翠浮空影亂斜。千歲茯苓如可採。不須辛苦餌金花。元韻亂山深處有人家。萬樹靑松一徑斜。水暖沙晴溪上月。綠蘿低暎小桃花。</text>
<title>次過孝女墓</title>,<text>原草莽蕭蕭。雜樹羅丰茸。孝閭官道左。短碣詔無窮。母癠醫以指。至誠格蒼空。州家表淑行。㫌命出王宮。千秋埋玉地。寂寞荒田中。天仙作詩吊。駐軾獜袍紅。我願獻天子。因之編國風。</text>
<title>次納淸亭壁上韻</title>,<text>紅亭映水漾悠悠。玉鏡新開靜不流。誰謂喧闐車馬地。便逢蕭洒樹林幽。瑤簧度曲鶯遷木。彩筆飛牋鶻下鞲。從此名區添勝槩。珠璣賸得壁間留。</text>
<title>次義順舘韻</title>,<text>錦節熒煌映碧江。前驅鐃吹自成腔。東民拭目迎恩詔。夾道香烟繞彩幢。</text>
<title>次良策舘韻</title>,<text>舘爲王人築。名因華扁傳。策收千一得。謀叶十三篇。鳳字頒泥重。鴻圖奠石堅。東民戴聖德。長是祝堯年。</text>
<title>次咏蟠松</title>,<text>乕倒龍顚骨已磨。枯槎無復着藤蘿。誰知地底雄心在。曾被詩仙賞咏多。</text>
<title>次定州新安舘</title>,<text>封冊䟽恩降玉墀。漢官儀彩動城陴。郤從華舘停龍節。雲外蓬萊費夢思。</text>
<title>次新安午日佳節之作</title>,<text>天降恩綸奠我東。使槎隨日次危中。佳辰汎酒菖華艶。高舘留賓獸錦紅。桃印辟兵聞漢制。帖詩陳諫憶文忠。皇明不寶江心鏡。誰托湘流吊飯筩。元韻奉命驅車到海東。流光荏苒忽天中。庭閑槐色垂階綠。簾靜榴花照眼紅。黍角包金追往事。蒲香切玉吊先忠。含杯今日新安舘。何必當年醉碧筩。</text>
<title>次嘉山齊山亭</title>,<text>頫壓千峰壯。遙臨萬象窮。開櫳迎翠靄。抗檻逼靑空。大野孤村外。平林落照中。賞心殊未已。直欲駕輕鴻。</text>
<title>次安興舘大定江</title>,<text>風微長路軟紅飛。波撼前江綠未肥。一雨隨車霑聖澤。天香猶襲漢宮緋。</text>
<title>次渡淸川韻</title>,<text>連蜷彩蜺卧平川。橋上人行鏡裡天。日射錦袍明水府。香風吹送五雲旙。</text>
<title>次淸川江百祥樓晩眺</title>,<text>嶽色來丹檻。波光灧綠尊。斜陽半山雨。芳草隔江村。攬勝寧辭懶。探詩直到昏。臨風一長嘯。不必上天門。</text>
<title>次菡萏亭</title>,<text>小池栽碧藕。晴漲漾紅亭。出水新莖短。牽風疊葉輕。淸香宜入室。凈友可忘形。更誦濂溪說。煩襟覺自醒。</text>
<title>次快哉亭</title>,<text>選勝暈層搆。憑高豁遠心。江明通極浦。郊逈帶平林。過雨藏斜照。歸雲弄薄陰。蘭臺風轉駛。聊復快開襟。元韻絶壁孤亭逈。快哉萬里心。鳥聲在平地。人語落空林。草映晴波綠。松盤海色陰。靑天開浩蕩。長嘯一披襟。</text>
<title>次練光亭韻</title>,<text>綺榭凌風逈。霞窓待月開。波光抱檻動。山翠撲簾來。詔逐端陽至。人從上界回。機心已全息。沙鳥不驚猜。</text>
<title>次謁箕子廟</title>,<text>夫子之仁聖所欽。明夷在易遇羣陰。錫疇陳範應天意。被髮佯狂豈本心。亳社遺墟悲麥秀。商丘舊澤愴桑林。八條化洽三韓地。鱗介衣裳賴至今。</text>
<title>題猉獜穴</title>,<text>獜馬今無跡。空餘舊穴名。仁心爲物長。靈德應時生。獲野祥先著。遊郊政已平。天孫杳千載。何處躡雲行。</text>
<title>次渡大同江</title>,<text>晴波濯練夕烟籠。彩舫徐牽罨小篷。背指層城雲縹緲。碧樓丹閣有無中。</text>
<title>次題太虗樓</title>,<text>飛棟回梯切紫虗。彩雲長擁列仙居。箕王疆域周封建。海甸山川禹䟽。濃靄滴林當檻重。小風吹雨入簾踈。殊方物色歸吟賞。嬴得新詩客恨紓。</text>
<title>次題葱秀玉溜泉</title>,<text>共說溪山特地雄。卧波橋影漾晴虹。瓊潭疊壁神仙府。石榻窪樽造化功。泉脉玲瓏連玉井。溜音幽咽奏絲桐。叢鈴碎珮和烟雨。疑是湘君駐寶𩣭。</text>
<title>次題吾助川回瀾石</title>,<text>匯流漾碧深幾尺。溪上蒼崖成削立。倒影霮䨴根虗無。垠堮屹截橫波急。龍門呂梁稱巨防。莫道玆巖難比量。層巓會巢靑田鶴。亂石莫是金華羊。我來感此倚長劒。聊伴天仙記所見。高詞妙語安可和。自笑蟾蜍逐飛電。</text>
<title>次宿開城舘</title>,<text>參差樓閣入雲霄。表裡山河物色饒。形勝古稱同雒邑。神嵩蒼翠似崧高。</text>
<title>次題開城高麗故宮</title>,<text>襟帶壯神區。當時說上都。猪亡金箭失。龍去玉潭枯。赫業興王際。雄謨絶代無。平夷收統合。締搆剗崎嶇。滿月臺廉峻。瞻星觀角孤。賓門開肅穆。賢路闢榛蕪。跂喙涵春澤。臣民罄嶽呼。創垂遺後嗣。安佚屈良圖。土木巍前殿。帆檣隘後湖。蓮宮崇塔廟。龜碣劃巖隅。繢象窮毫素。拈香禮獸鑪。內訌危累卵。外侮劇鳴桴。昧戒天方怒。扶顚力未麄。忠言徒激烈。寃血竟糢糊。赤社神何在。靑松葉已踈。寒苔緣廢砌。荒葛骨窮塗。石老餘馴虎。池堙想弋鳧。山河今禹奠。謠頌卽堯衢。訪古仙車駐。題詩客恨紆。凄凉千載事。斜日謾躊躇。元韻雄秀結名區。山川走大都。長烟春嶂合。落月夜潮枯。遠樹深如沐。空沙暎若無。谷風吹䆗窱。山路折崎嶇。水抱林扉廠。雲奔石壁孤。前王犂墓道。覇氣死江蕪。蒼莽誰堪問。精靈不可呼。縱橫論往事。寂寞想雄圖。龍子腥滄海。魚膓壓鉅湖。樓船浮澤國。㙜榭枕山隅。神女朝看鏡。妖蛟夜捧鑪。城烏驚振柝。水恠避揚桴。宮裡蛾眉細。尊前烈士麄。弓開光黯淡。劒冷血糢糊。一旦丘樊掩。千年野草踈。廢園風摵摵。荒逕路塗塗。白日銷金虎。蒼苔綉玉鳧。英雄悲逝水。歌舞委長衢。吊古心悽惻。登高氣欝紆。凭闌聊酌醴。吟嘯獨躊躇。</text>
<title>次題山雨樓</title>,<text>逈出千林表。平臨萬井中。簾踈宜捲雨。軒敞爲迎風。靜對雲歸峀。閑看鳥沒空。高吟興不盡。坐待夕陽紅。</text>
<title>次冊封禮成韻</title>,<text>蕩蕩皇恩大。新頒寶冊榮。要荒歸一視。涵育及羣生。共賀龍池慶。方看鰈海淸。寵光優屛翰。休運屬煕平。錦節從天降。華棚匝地迎。峩冠環百寀。擁箒走千氓。瑞色開周道。歡聲溢禁城。從知恤小澤。端自格天誠。監國曾紆勅。儲宮幾勵精。貽謀承玉几。殊眷荷瑤京。幸際亨嘉會。欣瞻縟禮成。應須王事了。歸奏弊邦情。終始將何報。葵忱向日明。</text>
<title>次劉天使鴻訓遊漢江韻</title>,<text>東海鯫生。陪從船上。蒙示仙什。不揆蕪拙。謹依韻和奉。伏希斤正。蘸江紅日絢明沙。山店漁家辨兩涯。繡節翳雲蘋浦暗。牙旗拂岸柳絲斜。休將蓮燭催星駕。且住蘭橈待月華。得御龍門眞不分。更從深酌醉瓊霞。</text>
<title>次船上舞童韻</title>,<text>彩袖飄颻拂玉舟。微風桂棹漾中流。未知王子山陰興。何似坡仙赤壁秋。</text>
<title>次荷笋韻</title>,<text>風味眞堪酒後甞。海神擎出水雲鄕。登盤偶被詞仙賞。剩得珠璣溢錦囊。</text>
<title>次諸公懇留韻</title>,<text>寫憂聊復辦淸遊。會把風雲入壯籌。自是吾王誠愛客。不妨行盖且遲留。</text>
<title>次副使楊道寅漢江韻</title>,<text>伏覩出示遊漢江之韻。一唱三歎。欽賞無已。輒效蕪拙。仰希斤正。玉節臨江岸。層臺眺遠空。舟移明鏡裡。鳥度錦屛中。天濶渾收翳。波恬不起風。氷盤供鯉鯽。鼉鼓殷船篷。野日迎袍紫。汀花入座紅。壯懷橫塞北。佳句溢天東。別袂愁難挽。芳尊幸暫同。却嗟歡會罷。無地可重逢。</text>
<title>龍灣酒席。示許趙兩學士。</title>,<text>僊槎儐相際休明。更見灣河積氣淸。此日高遊還是夢。當時勝集未宜輕。竹陰學士非新面。蓬島先生卽舊情。獨少一人今海角。也應回首憶吾行。</text>
<title>劒</title>,<text>故人贈我雙芙蓉。一隻化爲波底龍。早晩雄雌應會合。莫言吳水楚山重。</text>
<title>關西伯李養久喪小姬。以詩吊之。</title>,<text>曾是玉皇香案史。謫來人代幾多時。調成寶瑟雲和曲。寫得寒梅月露枝。三峽未闌行雨夢。九天催趁散花期。可憐塵界餘緣在。夜靜秋堂淚暗垂。儐相錄終</text>
<title>次舍弟而栗思歸韻</title>,<text>雨後靑靑五柳新。一秊歸思病中身。怜君不作潘郞賦。來往門前獨賞春。纔見開花又落花。亂鸎飛處柳枝斜。東蘺秀色秋堪賞。莫使重陽更獨過。</text>
<title>江都。次舍弟而栗韻。</title>,<text>百戰山河惟故城。一天風雨洗分明。可憐麗代操鷄業。終約讐胡作弟兄。四面長江萬里城。摩尼山色鏡中明。菊花佳節臨吹帽。怊悵西風隔弟兄。</text>
<title>次題舍弟而栗江都草堂</title>,<text>黃牛峽裏隱君廬。溪路仍敎鹿駕車。聞說近來新得道。雀羅門巷翟公書。</text>
<title>次五峯韻 並小序</title>,<text>看盡茶仙滿架薇。仍敲詩老郭南扉。陶然夢入華胥國。不覺栖鴉趁落暉。日者中酒醉睡無何有之鄕。倒載還家。茫然不記爲誰氏子宅也。有驪珠卄八顆。從懷袖中落。始知其所遊處。卽工部郊居。謹依韻效拙博粲云。</text>
<title>題石樓帖</title>,<text>看君此畫便愁余。白首林泉未退居。半世風塵兼寵辱。一江烟月幾盈虗。斗津東畔新開地。龍岳西偏舊結廬。短棹輕橈來往好。白鷗從此莫相踈。</text>
<title>題靑楓溪軸後 二首</title>,<text>曾與溪翁醉石臺。弼雲秋色近㘅盃。芰荷風晩香初散。楓樹霜酣錦作堆。地秘林泉留勝跡。天敎我輩此重來。巋然太古亭空在。獨向東原首屢回。落花流水洞門幽。三月名園作勝遊。鏡裡不須悲白髮。人間還自有丹丘。笑看前嶺雲容變。醉愛深盃露氣浮。好事如今猶在耳。隔溪纖唱度瓊樓。</text>
<title>次韻醻任叔英</title>,<text>已將身世入無何。窮巷苔深斷客過。落盡小桃春寂寂。滿城風雨掩門多。</text>
<title>謝李樞密尙吉惠蓴</title>,<text>芰荷衣染軟塵紅。誰送銀蓴到此中。近口忽生江海興。歸帆不必待秋風。</text>
<title>咏枯竹</title>,<text>伯夷雖死仁猶得。魯仲輕生義不秦。莫把此君同腐草。可憐氷玉壓陽春。</text>
<title>送月沙朝天</title>,<text>東藩事大勤侯度。北鄙流言嫁禍媒。敷奏正須華國手。沉冥還起濟川才。一生苦節均夷險。萬里長途幾往來。何以假爲眞可卽。日邊黃閣待君開。</text>
<title>送拙齋申公出按關東</title>,<text>故人曾是玉皇史。今領蓬萊萬二千。重踏海棠沙上路。鏡湖魚鳥亦因緣。</text>
<title>送冬至使權侍郞曗航海朝天</title>,<text>聖主勤侯度。詞臣泛海艘。平生已許國。夷險敢辭勞。爍晝昏炎瘴。兼天吼怒濤。遙知賀陽日。爭指海東豪。又縹緲蓬山舘。曾於枕上遊。滄溟萬里濶。宇宙一帆浮。忠信馴蛟鰻。風濤任蓐收。憐吾衰又病。愁絶暮江頭。生方病卧龍山江上。冬至使令公遠來相問。求一言爲別。仍出袖中華牋以扣之。顧余垂死病中。無意於筆硯間久矣。何能仰塞勤請。惟有古人言可用。不忍負子聊云云。</text>
<title>留淳昌弟</title>,<text>天憐吾輩隔湖山。許借鴒原一日歡。佳節玉京留不惡。九衢燈火照金鞍。</text>
<title>寄寒泉</title>,<text>昨送黃騮馬。先頹白玉山。聞過秋部宅。倘扣少陵關。又蒼苔深巷許來過。剪拂羸驂迓玉珂。忽報酒星欺墨客。也將身世入無何。</text>
<title>挽安處士</title>,<text>隱者當年數土亭。此翁元自解逃名。身爲斗下豊城劒。象動江南處士星。月冷烏山吟夢斷。波殘鯨海釣船橫。秪應種得藍田玉。槐樹秋陰擁戶庭。</text>
<title>挽辛參判慶晉</title>,<text>潦倒人間獨此心。聞公卧病爲相尋。那知半日從容話。遂作平生永訣音。瑞世淸標還寂寞。薄雲高義入銷沉。燕山贐筆今留篋。朗月寒宵不忍吟。</text>
<title>挽韓相</title>,<text>齒德雙全古所難。况公家世自三韓。香山結社耆英會。潞國還朝道路嘆。櫪馬忽驚天象動。匣龍初化斗光寒。先人敬執今誰在。泣向秋原涕似瀾。</text>
<title>挽</title>,<text>汝直先歸公又歸。碧空寥濶去何之。一生氷蘗今誰似。獨立風塵古所稀。仕不前人名不後。心難諧俗病難醫。可憐嶺外吾張仲。哭望春原眼未晞。</text>
<title>挽</title>,<text>七旬除二猶云壽。共識名家婦德純。封爵累封陞一秩。將門生將又三人。玉郞敦匠仙儀備。烏客論山宅兆新。烟雨廣陵春草綠。想應神劒會延津。</text>
<title>南雪簑酒席。醉吟贈二妓。</title>,<text>記得仙曹二妙娥。靑春甲第慣相過。蓮從太華香初遠。玉出藍田價更多。忽報飛瓊來洞府。誰敎織女阻銀河。悲歡卅載吾衰甚。無復樽前醉後歌。</text>
<title>哭金將軍應河</title>,<text>天敎國士生東海。要把彜倫揭萬邦。卄四郡中還有一。二千年後更無雙。弧威壓塞旄頭蝕。劒氣衝霄虜膽𢥠。若使賀蘭能助勢。應知曳落自來降。楊興力盡身盈鏃。雷萬圖窮血滿腔。欲作將軍傳後叙。誰家老筆大如杠。西坰評。老於文學。蒼然其色。有氣力神骨。</text>
<title>次舍弟贈別韻 以下辛亥朝天錄</title>,<text>入奏皇朝自海東。客鞭遙拂薊門風。玉河館裡相思夢。却到貞陵夜雨中。綸音啣出鳳池東。征旆翩翩向北風。想得帝庭稽首後。天書遙降五雲中。</text>
<title>槐院吏來傳月沙別章。仍以爲戱。</title>,<text>咨文點馬下來時。得見親朋二律詩。上國十年今再赴。遠遊無乃太支離。</text>
<title>過江日。府伯來別船上。曺都事，朴點馬皆在席。酒酣。拂衣而起。醉卧轎上。旣過三江。酒醒有詩。</title>,<text>滿船歌吹送秋聲。風日凄凄動客情。醉過三江如夢裡。不知身在九連城。</text>
<title>柳田舊主人已死云</title>,<text>憶同行役鄭西川。戊戌春初過柳田。今日又經曾宿處。數枝踈冷夕陽邊。</text>
<title>鳳凰山</title>,<text>鳳凰山色已深秋。鳳去山空客自愁。好事何人傳樂府。秪今遺響滿西州。本朝人許綘。陪其父赴京。過此山作歌淸怨。至今傳唱。西路歌者。無不歌此曲者故云。</text>
<title>追念聚勝亭舊遊。有感而賦。</title>,<text>十日淹留聚勝亭。纖歌促柱夜淸泠。春來更會知何處。醉把深盃仔細聽。</text>
<title>宿草河李姓人家</title>,<text>長林蕭瑟草河濱。忽有華堂結搆新。四海一家無內外。與君俱是隴西人。</text>
<title>白楊村。用副使韻。</title>,<text>寒林葉脫薄秋雲。客到荒村日又曛。半夜霜風吹不盡。塞鴻聲斷更堪聞。</text>
<title>宿丁姓人家</title>,<text>迢迢寒水月華微。疑爾前身是令威。五十一年塵土夢。却從今夜始知非。</text>
<title>斗嶺</title>,<text>斗嶺羊膓路。盤回勢欝紆。一夫門似劒。九折坂過蒲。若比於斯世。誰知是坦途。驅馳王事了。歸與釣漁徒。</text>
<title>龍鳳臺</title>,<text>高臺矗矗白雲隈。勢入層霄俯九垓。願借丹梯千萬丈。一看鄕國却飛來。</text>
<title>宿碧洞村店</title>,<text>山葉聲乾霜氣驕。滿川星月冷迢迢。天邊欲作還家夢。睡睫通宵自不交。</text>
<title>高嶺</title>,<text>山立秋空勢益高。躋攀雲路幾多勞。閱看宇宙英雄過。屹作關防氣象豪。龍鳳眞人曾未到。延陀老將豈能鏖。如今盡入堯封裏。萬歲呼嵩拜赭袍。</text>
<title>頭關站道中</title>,<text>八渡河經盡。三流客到初。雲容秋冷淡。樹影晩蕭踈。故故鷗來近。悠悠馬去徐。偶逢眞境界。隨意獨躊躇。</text>
<title>夢見舍弟湖山淸隱 幷序</title>,<text>行到遼陽懷遠館。夢見亡弟。窃想精靈不昧。念我行役。來見萬里道上。幽明一理。顯微無間。而病勢危重。終不得接一話。吾以手抱持而別。旣覺。悲不自勝。感歎成詩。舍弟云亡今二載。夢魂那得更追隨。無端昨夜來相會。正是當年病苦時。還把至情凝睇久。應憐行役出關遅。寒虫催曉忽驚起。月入秋窓淚濕頤。</text>
<title>遣憫</title>,<text>遠遊忽不樂。長嘯獨憑樓。地濶荒城晩。天高白塔秋。仙禽去不返。海客跡空留。扣劒風霜裡。夕陽無限愁。</text>
<title>遼東</title>,<text>朅來商略前朝事。柱笏斜陽古意長。一片山河餘割據。千秋海客尙留芳。鶴歸華表雲空斷。鴈過浮屠月自凉。聖代卽今耕地。好輸風物入奚囊。</text>
