<title>答太白山僧 少時携季氏進士公。讀書太白山中。有僧呈一絶曰世上雙才子。山中一老吾。誰知儒與釋。今日反吾徒云云。</title>,<text>虛無寂滅汝。明德新民吾。今日雖同席。吾徒豈汝徒。</text>
<title>偶吟 二首</title>,<text>有山有水不㱕去。無德無才尙滯留。一年東洛成何事。剩得浮生兩鬢秋。莊周爲蝶蝶爲周。萬事塵寰一夢悠。若使世人能解此。浮生應得暫時休。</text>
<title>浮石寺僧雲霽來傳家鄕消息</title>,<text>冷雨初收午夢醒。僧言來日過雲扃。靑山綠水渾依舊。鶴怨猿驚不忍聽。</text>
<title>偶吟 藏頭體</title>,<text>月白寒窓客夢淸。靑山流水隔川城。成何事業遲歸計。十載紅塵鬢雪明。</text>
<title>偶吟 織錦體</title>,<text>燈殘照枕冷。月落倚窓寒。鵬大困池小。鷃微知野寬。興歎感觸物。發嘯壯遐觀。肱折已辛苦。思歸有冷官。</text>
<title>患手瘡偶吟 二首</title>,<text>我手生瘡已月餘。苦聲先發握毫初。靜中默會天翁意。嫌我時裁入洛書。潦倒東華又一年。邇來痾痒苦相纏。養生處世迷方甚。隨事生瘡理則然。</text>
<title>十月二十九日朝。自大殿賜帽掩一件香醞一鐥蜜果兩色。自念微臣奔走效力。乃是職分當然。而有此格外異數。感隕無地。吟得近體一首。</title>,<text>效力惟臣職。軫勞荷聖恩。輕溫分尙院。瀲灧酌螭尊。斗覺乾坤大。偏驚雨露繁。啣盃仍戴帽。感淚自成痕。</text>
<title>寄贈孫員外敵萬 萬雄</title>,<text>我有山林約。君懷經濟心。何時靑眼喜。久作白頭吟。東洛風霜重。南州歲月深。莫辭頻寄信。一字直千金。</text>
<title>思鄕</title>,<text>千里辭家客。悠悠歲暮情。酒仍多病廢。詩爲遣懷成。憂國丹心在。思親白髮明。蘧然前夜夢。尋向故園征。</text>
<title>思鄕</title>,<text>家鄕千里絶音塵。歲暮鄕心倍損神。賴有兩鄕能慰客。睡鄕還與醉鄕隣。</text>
<title>述懷</title>,<text>世事悠悠鬢欲斑。小窓終日對靑山。雲含雨意歸三角。溪帶氷聲入廣灣。百代光陰駒隙裏。一秋烟月馬蹄間。故園猿鶴多驚怨。投紱明朝决意還。</text>
<title>山陵開塋日書感</title>,<text>痛哭遺弓釰。今朝已啓塋。山含梧野色。江送鼎湖聲。典禮壞還正。彝倫絶復明。誰當秉筆者。睿旨動羣情。以邦禮釐正事。自上再三下敎。使之明白載錄於行狀誌文中。而撰進官嫌避不肯故及之。</text>
<title>遣懷 四首</title>,<text>歲暮幽吟卧漢濆。鏡中衰鬢欲紛紛。歸心遠逐東流水。世事都輸北去雲。月白寒窓梅欲動。雪晴江舘酒微醺。無端夜夜魂飛越。不在于親定在君。倚樓何處計行藏。荏苒年光又一陽。冬暖似春官獨冷。夜長如歲睡還忙。金章紫綬非吾願。流水靑山是故鄕。莫道世間公道在。邇來雙鬢欲蒼蒼。乾坤隨處此生浮。潦倒東華歲月悠。璞出荊山多卞泣。釰埋豐獄有雷愁。行藏在我惟當去。得喪由天不可謀。世事如雲何足道。百年憂樂付西流。牢落乾坤志。飄零歲月流。孤燈京國夢。三逕故園秋。得失徵隍鹿。存亡付邑牛。淸宵歸思切。火急酌忘憂。</text>
<title>文生尙周佩酒來訪。厚意良勤。吟贈一律。</title>,<text>境僻無人問。山空獨掩門。孤懷驚歲月。壯志信乾坤。南嶠雲千里。東湖酒一尊。多君今日意。稍慰病中魂。</text>
<title>冬暖</title>,<text>四序推遷可歲功。今年冬盡尙春瀜。無衣千里南州客。深荷三公燮理工。</text>
<title>咏雪</title>,<text>歲暮羈心獨掩關。小窓無語對孱顔。誰道遠客生涯淡。月滿前溪雪滿山。</text>
<title>送金咸平 千鎰○二首</title>,<text>數年東洛鬢絲明。此日離亭倍愴情。人世悲懽眞一夢。哭咸平又賀咸平。閔汝能以咸平倅作故。金丈代之。禁城殘雪夕陽明。客裏難堪送客情。珍重邑名須記憶。賦征詞訟務咸平。</text>
<title>有感 差孝敬殿祭官。以殿庭緩步。被責於領台。</title>,<text>久識塵寰行路艱。是何濡滯損朱顔。却將難進紅塵脚。誤着王庭駿走間。</text>
<title>挽張用卿 龍變</title>,<text>藥老遺風久未湮。我公文彩尙超倫。傳家孝友人無間。滿壁圖書自不貧。壽過稀頤仁果驗。庭多蘭玉慶宜新。東華潦倒違攀紼。回首南天攬涕頻。</text>
<title>挽金豊基 啓光</title>,<text>東國無雙士。南州第一人。襟懷元拔俗。文雅更超倫。吐鳳雄詞在。騰蛟健筆新。肥家敦孝悌。臨政務寬仁。得喪寧欣戚。行藏任屈伸。林泉十載興。詩酒百年身。空抱希文志。能安原憲貧。軒裳非所樂。魂夢斷紅塵。近屬朝中望。方期席上珍。忽聞㱕厚夜。直欲問蒼旻。豊賦年還嗇。多才命則屯。去留分昔日。存歿隔今辰。潦倒違攀紼。悲凉漫濕巾。原堂一片月。千古是精神。</text>
<title>挩金茂長 以載○二首</title>,<text>藍金崑玉是天姿。養拙江湖咏五噫。十載浮名蓮又桂。百年家業禮兼詩。安貧原憲終非病。棄世君平不願知。萬事人間眞一夢。竹巖風月卽前時。追憶拚瓊已去年。一區煙月坐超然。閑中遊泳寧無地。浮世窮通信有天。寶樹滿庭傳舊業。隋珠盈篋揔新篇。夜臺冥漠文星晦。江漢秋風泣涕漣。</text>
<title>戊午正月上日。戱吟示弟姪。仍令和之。四首</title>,<text>少年曾抱壯懷奇。誰道無聞四十垂。楊子家貧猶愛酒。杜陵多病尙耽詩。春回嶺嶠梅心動。雪滿溪山柳意遲。勳業不須頻看鏡。任他雙鬢剩成絲。平生自許謝離奇。堪笑龍鐘鬢髮垂。孟曰不如荑有熟。孔云何莫學夫詩。箇中芻豢惟當悅。分外功名勿患遲。寄語諸君無我忽。曾聞百練始成絲。世路從來險且奇。千金愼勿坐堂垂。持身賴有朱文訓。戒酒須看衛武詩。多病始知幽事悅。不才何恨省郞遲。行藏隨處君恩重。報效無毫亦蔑絲。春入林園淑景奇。太平今日衮衣垂。佇聞耕鑿康衢樂。誰道明良舜殿詩。漢帝方宣議賑詔。齊民何恨發棠遲。寄言三百分憂者。撫字須毋急繭絲。</text>
<title>新屋成戱吟</title>,<text>林泉吾計宿。卜築此寬閒。北戶宜瞻極。南窓可對山。溪深魚自樂。谷邃鳥知還。寂寂春將半。荊扉盡日關。</text>
<title>次朴上舍 施雨 韻。呈姊兄春軒案下。二首</title>,<text>蕭灑錦水邊。小軒春揭號。鐘鼎非素志。稼穡惟吾寶。謝絶塵寰事。惟稱隱者號。聖明今在上。何必長懷寶。</text>
<title>除夜</title>,<text>入耳鼕鼕儺鼓鳴。一年將盡曉雞聲。年來减却紅塵念。世味酸辛已飽更。</text>
<title>送金宗伯 海一 奉使之燕 幷小序</title>,<text>金君宗伯將奉使之燕。踵門而告余曰啓轄有日矣。君其無一言乎。予應之曰噫。余何言。欲言山河之美乎則山河帶羞矣。欲言文物之盛乎則文物掃地矣。將言原濕之勞耶。不避夷險。臣子之分。將言惜別之情耶。君無幾微出於言面。噫余何言。抑余因君之行而有所感焉矣。嘗聞南楚有鄭詹尹。成都有嚴君平。世之治亂。人之吉㐫。事之成敗。無不前知。今世必有傳其術者。君其爲我握粟而問之。浮世之是非紛紛。不知何時而可了耶。金君囅然而笑。余亦一笑。遂書之以爲贈行詩序。弧矢當年志大觀。莫言今日別離難。只緣原濕賢勞役。暫輟庭闈舞彩歡。萬里客程遼海濶。五更歸夢薊門寒。滿天明月相思處。應把詩篇仔細看。</text>
<title>次洪內翰宗之 萬朝 瑞雪韻</title>,<text>癡雲釀雪落虛簷。禁苑今朝瑞色添。浩蕩乾坤初撒玉。紛糅庭院已堆鹽。騎驢客去堪乘興。閉戶人寒也不嫌。欲向明時齊獻賀。定知盈尺有年占。附原韻瓊花琪樹繞宮簷。點綴須臾景色添。撲地渾疑頒漢絮。漫空正訝撒吳鹽。詞臣授簡榮堪詑。學士煎茶冷不嫌。聞說靈壇纔有事。明年豊熟可先占。</text>
<title>以詩替札寄靈光守孫敵萬 知居昌時</title>,<text>虐雪飄零朔風吼。未諳兄履今何如。憧憧一念結夢想。此懷何殊兄與余。由來吏役不須言。觸事皺眉難可舒。上司何譴急星火。朋知訶責還盈車。建節別星多氣勢。着枷鄕色增欷歔。開窻有山且有水。對案無肉兼無魚。預差監試太促廹。錄名計偕其虛徐。兵符紙牌何纍纍。黃冠野服空居居。倥傯半載顧何事。坐使黧元困侵漁。邇來三月隔音塵。多病今知故人踈。栗里田園是僊庄。范野風煙吾所廬。衡門泌泉可棲遲。勝水佳山宜遂初。五斗功名解誤人。歲晏湖山未歸歟。寄語靈光今太守。北魚南鴈無相䟽。萬萬離懷姑不宣。遠惟情照德休書。附次韻珍重一札千里至。客裏煩懷頓豁如。半幅銀鉤驚拭眼。滿紙瓊屑摠起余。還念君我生同世。用舍行藏任卷舒。由來奔走緣底事。七八年間不停車。戀闕此日增憂惱。思親長夜獨欷歔。靑霞奇意尙未摧。偏苦賢勞坐銅魚。同推預差何數數。明査牒報其徐徐。譴責關文無虛日。和緩意義果何居。過客毁譽隨所待。上司題品孰言踈。前擁後呵縱云樂。不如田園樂樵漁。佳山美水結舊夢。栗里虎坪有弊廬。南湖雪落梅綻後。東洛霜寒鴈回初。天涯歲晏鄕思切。余今不㱕復奚歟。鵝林太守知心舊。脉脉離懷和書䟽。自餘縷縷唯神會。丙至初旬敵萬書。</text>
<title>李逸士大方 榘 墨竹八幀詩 幷序</title>,<text>昔年嘗進謁于嗒窩公軒屛。出示八幅墨竹曰。此乃故友李上舍榘大方之所揮灑而贈吾者。藏之篋笥。時時展閱。則不禁物是人非之歎。杜工部之悲高蜀州人日詩。蘇東坡之感文與可墨竹。良以此也。子其爲我作數句語書諸其上。以爲暮年披玩之資。鯫生不能詩。不敢着穢於琅玕之傍。而重違尊老之勤敎。拜受而歸。因循不得承命亦五六年。今年夏又進謁則更尋前敎以促之。辭不獲已。不計陋拙。謹書五言絶句如其幅數。以謝逋慢之罪。抑吾於此而有所感焉。噫李丈以文鳴於世。而不事科業。終身沈屈。不得有爲於時。可謂坎壈矣。然不以世間榮枯得喪。有所欣戚。孝廟庚寅年間。因浮議將有文廟濫祔之擧。而李丈力排之。屹然有抑邪扶正之功。觀於龍洲趙公挽詞而知之。其平生勁氣。直與此君之凜凜凌寒不受撓屈者相符。水陸草木之可愛者甚蕃。而李丈之必畫此者。可見氣味之同。而又以此相贈於同心人。更相勉勵。則其意可謂勤矣。今公又能不虛故人之賜。托其心期而愛玩之。愛玩之不足。必欲歌咏而張大之。使八幅中新枯笋老之狀。煙雨風雪之態。常在几案間。共結歲寒之盟。則公之於李丈。可謂同其襟韻矣。詩云瞻彼淇澳。綠竹猗猗。有斐君子。終不可諼兮。詩人之興其德於竹。而咨嗟咏歎者。有由然矣。遂書所感於心者而奉還焉。至於畫品之高下。覽者當自知之。且鯫生不識畫不敢評。新竹初篁帶粉籜。活葉自蕭森。無人重高節。徒抱歲寒心。枯竹古有孤竹子。餓死首陽山。君今與之同。苦節可廉頑。筍竹籜龍已出墻。亭亭傲雪莖。伶倫去不返。誰制紫鸞笙。老竹偃蹇丈夫身。猗猗老益神。依俙釣璜翁。獨立渭川濱。煙竹前村夕烟生。羃䍥蒼蒼玉。隱見須臾變。相看愈不俗。雨竹帝駕南廵遠。斑斑啼血痕。至今猶帶淚。欲吊二妃魂。風竹凉飈日夕起。此君最先知。時作鳳笙響。蕭蕭中夜吹。雪竹皎潔雪精神。淸寒君性情。相逢奇絶處。詩畫兩難成。</text>
<title>康津聽潮樓。侯風戱吟。己未南遷時</title>,<text>自許平生不偶然。那知忠孝兩無全。昔聞中使臨門日。今見喉司請對年。萬德寺前山幾疊。聽潮樓外水如天。男兒事業由辛苦。海上何妨一放船。</text>
<title>留康津偶吟</title>,<text>許身夔卨計何愚。敢向明時怨向隅。長孺拾遺前後一。靈均紉佩古今殊。螳螂黃雀宜存戒。乘鴈雙鳧豈足虞。極目滄波迷去路。括囊方信是良圖。</text>
<title>留康津偶吟</title>,<text>孤臣放逐聖明時。出沒驚舟瘴海湄。瀧吏一篇模寫盡。我行都是退之詩。</text>
<title>㫌義客舘。次壁上韻。</title>,<text>孤嶼彈丸地。茫茫大海中。人多耽國語。俗帶乙那風。天賦無今古。民彝豈嗇豊。惟將恩譴意。撫字慰殘癃。</text>
<title>次林錦湖韵</title>,<text>瀛洲稱別域。形勢擅吾東。異跡三山最。民風一軌同。秋深楓葉亂。霜落海天空。頭白江南客。悠然坐嘯中。</text>
<title>又次壁上韻</title>,<text>蠻鄕禦魅客。曾惹御爐香。韓子藍關馬。坡翁海外檣。憂時忘毁譽。處世昧圓方。極目滄溟濶。歸心萬里長。</text>
<title>次李鳴瑞 鳳徵 韻 四首</title>,<text>西山蒼翠入危欄。詞客南遊已一年。半夜殘潮孤夢裏。數聲征鴈暮雲邊。龎公只合山中去。賀監偏工水底眠。若使居今行古道。何如轅越欲歸燕。鰲戴神山紫府連。投荒猶幸訪羣仙。迢迢歸夢滄溟濶。耿耿孤忱白日懸。賈傅不須愁野鵩。靈均何事問蒼天。壺中日醉流霞酌。太勝人間錦瑟筵。淪落天涯客影單。荒城秋角曉聲殘。悠悠世事三盃足。冉冉年光兩鬢寒。南極壽星欹枕見。北辰佳氣倚樓看。諸公衮衮多新貴。誰記徽之一馬官。秋風江海一高歌。竹塢梅軒費日哦。投紱子應焚帶玉。遂初吾欲製衣荷。綴金橙橘家家是。披錦驊騮處處多。奇壯一觀知有數。不妨終夕飮無何。附原韻客子悲秋倚曲欄。蟲聲在壁夜如年。迢迢骨肉關山外。落落朋知嶺海邊。强引淸樽陶老酒。難成白日杜陵眠。官僮忽報新消息。大尹兄今又赴燕。人說東溟上界連。五雲今下玉京仙。驚波震盪魚龍怒。異樹森羅橘柚懸。夢踏花山千里路。首回銀闕九重天。何年弱水重逢處。共酌流霞醉錦筵。月夜飛鳴鴈影單。風塘傾潟藕香殘。也知湖海秋光晩。斗覺髭鬚雪色寒。身似萍蓬隨處寄。夢尋梅鶴與誰看。可憐萬里滄波外。學士蹉跎老一官。海內誰吟白雪歌。紛紛俗客謾相哦。舟驚韓子春風浪。衣綴靈均澤畔荷。半世朋知驅去盡。此生天地別離多。丹心欲訴君門遠。佇待陽和奈老何。</text>
<title>次權春卿 斗寅 韵。呈李御史成大 增。</title>,<text>長掩公門雀可羅。彈丸孤嶼卽天涯。人心不似吾心事。滄海爭如宦海波。歲暮離懷君自遣。故山歸夢我偏多。相逢此日能開笑。其奈他時作別何。</text>
<title>呈李御史</title>,<text>三陽回泰日。絶域未㱕臣。遣興題詩急。消憂把酒頻。靈源塵似舊。衰鬢雪添新。志業嗟吾晩。行年已四旬。</text>
<title>次李御史次鄭廣文韻索和</title>,<text>歲換天涯客未還。蠻鄕何處可開顔。年來多病渾忘病。老去偸閒只暫閑。戀闕三更瞻北極。思家千里隔南關。深杯無賴衝愁陣。誰道奇兵在酒間。右南門樓翠壁扁舟任往還。更留歌管慰衰顔。雲收海國風濤靜。雪盡仙區白日閒。男子要探寰宇勝。丈夫須透利名關。謫來猶作瀛洲客。知我前緣在此間。右龍湫泛舟</text>
<title>自濟卅歸。道中遇雪。次韓文公韻。幷序</title>,<text>文公從孫湘。能開頃刻花。以金字題花葉曰雲橫秦嶺家何在。雪擁藍關馬不前。文公初不解其意。後貶潮州到藍關。則有人冒雪來迎。乃湘也。文公始感悟。足成一篇曰一封朝奏九重天。夕貶潮州路八千。只爲聖朝除弊事。肯將衰朽惜殘年。雲橫秦嶺家何在。雪擁藍關馬不前。知汝遠來應有意。好收吾骨瘴江邊。萬曆己丑。東岡先生謫會寧。次其韻曰十年經幄九重天。豈識鰲山路數千。錯擬野芹堪獻御。不知秋菊可延年。雲橫鐵嶺家何在。雪擁咸關馬不前。孤臣魂魄何須喚。自有丹心向日邊。余於戊午冬。宦遊洛中。三兒汝鏜年甫十二。方學詩。送書於余曰邶風北風章爲父誦之。盖欲其退㱕也。心竊笑之。而不以爲意。前年以言事有海外之竄。兒穉偶爾之言。雖非有意而發。到今思之。有足警省者。雪中忽憶前事。不勝悵然。仍次韻。杞人癡絶浪憂天。瀛海茫茫路幾千。北闕靑袍如昨日。南荒白首卽今年。雲橫八嶺家何在。雪擁耽關馬不前。豈獨韓湘先見眹。邶風幾諫在吟邊。</text>
<title>咏懷呈李御史</title>,<text>萬里離家客。三危放逐臣。鯨濤攪枕急。蜑雨打窓頻。戀闕丹心苦。思親白髮新。南來多歲月。朔易未盈旬。</text>
<title>又呈李御史 二首</title>,<text>遠客歸心折大刀。朝來臨鏡怯霜毛。題詩敢擬今詩伯。牧馬還同舊馬曹。南嶠雪殘猶臘色。北溟風動已春濤。浮雲世事何須說。榮辱人間等一毫。萍水蠻鄕覩鳳儀。偶然爲別已多時。方嬰楚國河魚痛。虛負陰山大獵期。浮世是非何處定。僊區風月此邦奇。相逢莫道相離事。語到相離意轉悲。約同獵而有病未果</text>
<title>登漢拏山絶頂</title>,<text>縹緲神山壓八垓。龍蟠鰲戴勢雄哉。南臨楚粤雲千里。北望中原海一盃。萬古興亡如過鳥。百年哀樂等浮埃。若非聖世蒙恩譴。爭得仙區恣意來。</text>
<title>白鹿潭</title>,<text>頂上寒潭自在淸。洧盤難濯俗人纓。仙翁且莫回吾駕。曾是前身玉界行。</text>
<title>奉別李御史 二首</title>,<text>我獨留天末。君今向日邊。升沉元有數。離合豈無緣。故國春將盡。殊方月幾圓。驪駒愼莫唱。罇酒尙如泉。莫怪罇前淚滿衫。天涯去住恨難堪。思親戀闕無窮意。添載龍驤到海南。</text>
<title>次鄭敎授 維卨 韻</title>,<text>吏散庭空午夢回。官名太守亦堪咍。南墻最愛千竿竹。北砌偏憐一樹梅。郭外靑山春意動。鏡中霜鬢壯心摧。破除萬事無如酒。對榻何時更把盃。</text>
<title>偶吟</title>,<text>昨夜無端一陣風。滿城花柳揔成空。紛紛世事何須說。君欲無言我欲聾。</text>
<title>送歲貢馬有感</title>,<text>送爾今朝入帝城。嘶風何日謁承明。臨行別有丁寧語。立仗應須戒一鳴。</text>
<title>次愚伏先生韻</title>,<text>一卧蠻鄕歲月深。白雲長惹故園心。明時雨露均添足。瘴海孤臣獨越音。時李懷德鼎基移配巨濟</text>
<title>六月十四日。乃去年除授本職蒼黃去國之日也。感吟一律。</title>,<text>追憶前年事。蒼黃去國辰。循環瞻日月。幽縶度昏晨。危鬂朝朝換。羈懷夜夜新。扁舟能解意。長載夢中身。</text>
<title>排悶</title>,<text>蠻煙蜒雨劇紛紛。朝晝晨昏不可分。避暑强爲河朔飮。思歸長望嶺南雲。拏岑紫翠排窻入。大海波濤攪枕聞。耿耿丹忱猶未悔。天門擬獻野人芹。</text>
<title>書懷</title>,<text>中宵塊坐似齋僧。病客危魂日九昇。最是箇中愁絶處。海濤聲裏對殘燈。</text>
<title>前日所吟。不無憂愁之意。聊書一律以自解。</title>,<text>蕉葉當年夢覆麀。已將身世付虛舟。溪神自是能招柳。嶺海由來不死鄒。雲護蛟龍歸洞裏。山拏河漢掛岑頭。瀛洲從古稱仙窟。何恨蠻荒作楚囚。</text>
<title>遣懷</title>,<text>人言世路似羊膓。我說人心險太行。萬事乾坤堪白首。百年簪笏等黃粱。東西南北無非命。倚伏盈虛不可常。聞道安心爲上藥。坡翁千載已先甞。</text>
<title>偶吟</title>,<text>古國千年地。蠻方六月天。炎蒸雲似墨。湫隘室如船。世事殘潮裏。鄕愁暮角邊。平生忠孝志。今日兩無全。</text>
<title>咏懷</title>,<text>霏微蜑雨灑窓欞。苔滿前階水滿庭。醉裏不知瀛海濶。醒來便覺漢山靑。悲烏夜半空啼血。病鶴何年更刷翎。渺渺鄕關音信斷。任敎霜鬢自星星。</text>
<title>述懷</title>,<text>去國三千里。方知四十非。急流宜勇退。塵世昧危機。補衮心徒切。衣斑計亦違。何時蒙聖渥。寸草報春暉。</text>
<title>夜坐</title>,<text>北來魚鴈盡。西望海山橫。永夜思家意。殘年戀闕情。孤雲知客恨。落月爲誰明。幸近神仙宅。瓊瑤可掇英。</text>
<title>戱效玉聯環體</title>,<text>一年寥落坐蠻煙。因病身輕太减眠。民語侏離憑譯舌。古城隳圮枕窮堧。大癡小黠眞堪笑。天怒人非只自憐。牛角哀歌無解聽。心潛默禱聖恩宣。</text>
<title>遣懷</title>,<text>有嶽瞻南極。無樓望北辰。酒從今歲减。詩較去年新。心似傷弓鴈。身如處涸鱗。西風吹客袂。難蔽庾公塵。</text>
<title>七月初一日。乃慈親壽辰。而前年過於康津。今年又在絶海。情緖難聊。</title>,<text>此日年年獻壽辰。樽前彩舞有三人。如今佩玦滄溟外。反哺微誠我未伸。</text>
<title>送問安人</title>,<text>送爾今朝去。何時到我鄕。倚閭應望遠。織錦不成行。瀛海波濤濶。湖山道路長。丁寧贈一語。莫報鬢毛霜。</text>
<title>自遣</title>,<text>已將身世任乾坤。榮悴悲懽摠不論。氣泰身淸無一事。此心何處不羲軒。</text>
<title>新秋</title>,<text>客邊時序又新秋。默數平生一笑休。負郭旣無田一頃。中洲寧有橘千頭。十年東洛思家夢。萬里南荒去國愁。世事悠悠吾已老。是身天地一蜉蝣。</text>
<title>效晦庵先生十二辰體</title>,<text>某氏家鼠被燻滅。齊王釁牛免觳觫。虎在檻中誰解憐。得兎忘蹄世情一。伏蒲當年批龍鱗。珮玦如今儷蛇蝮。塞翁喪馬焉知福。臧穀亡羊均是失。故山猿鶴應驚怨。鄕隣雞黍違宿約。黃大難通萬里信。獻豕遼東猶自責。</text>
<title>七夕</title>,<text>天上雙星會。人間獨客情。井梧纔墜葉。邊鴈已秋聲。壯志乾坤晩。孤忱日月明。無人問愁寂。坐見玉繩橫。</text>
<title>待問安人回</title>,<text>有燈聊夜卜。無鵲可朝占。北鴈頻驚夢。東窻幾捲簾。伊威棲短壁。星漢落虛簷。期逝多爲恤。何時六日詹。</text>
<title>秋夜</title>,<text>忽忽年光又一秋。故園歸思政悠悠。滿庭蟾影三更後。獨撫瑤琴萬古愁。</text>
<title>缺月皎然明甚。自六月以後初見。</title>,<text>瘴雨昏昏浹數蓂。氷輪今夜最多情。鎔銀萬頃蛟宮冷。掛鏡千尋桂殿淸。濕霧遙鬟何處倚。望雲雙鬢此時明。中庭步屧膓堪斷。忠孝俱虧愧此生。</text>
<title>夜坐</title>,<text>去國飄然一葉身。釰鋩山割客膓頻。方言只可通名姓。氓俗惟知說鬼神。舂杵哀歌星主曲。卉皮殊服乙那民。投荒海外猶寬典。其奈離違白髮親。</text>
<title>苦雨</title>,<text>兩月淫霖三日晴。今朝又聽雨泠泠。小窻寥落無人問。一陣西風午夢醒。</text>
<title>遣悶</title>,<text>世事固如許。吾生行且休。蜀天恒少日。越瘴本無秋。誰問文園病。空登王粲樓。一聲荒戍角。吹起朢鄕愁。</text>
<title>孤懷</title>,<text>三月蠻方雨。新秋遠客情。黑風吹海立。腥霧繞山橫。世道曾多難。孤懷苦未平。一身惟兩膝。誰復說卿卿。</text>
<title>七月旣望夜。追思去年今日。自海南舘頭發船。吟得一律。</title>,<text>一點孤帆海外天。悲凉行色指蠻煙。漁歌沽酒淮南楫。明月淸風赤壁船。補袞未能酬聖主。括囊惟可送殘年。安危不必長垂淚。濟濟巖廊揔俊賢。</text>
<title>卧病無聊中。用白香山枕有思鄕淚門無問疾人爲韻。</title>,<text>卧病又高秋。遠客愁難禁。人生足別離。薄俗多譏讒。括囊羲象晣。三緘孔訓凜。狂言觸駭機。萬事邯鄲枕。世情我備嘗。雲雨飜覆手。落井猶下石。索瘢仍洗垢。金多若甘醴。利盡如棄箒。人間難托些。去入無何有。絶域逢秋日。湖山欲暮時。一身惟許國。雙鬢已添絲。咄咄成何事。悠悠坐似癡。哀歌鄰杵急。惹起白雲思。節序堂堂去。蛩吟夜夜忙。魂迷瀛海濶。秋入鴈聲長。罇酒無銀渚。尖山有釰鋩。淸宵歸思切。何日好還鄕。處世若方輪。豨膏安可施。一言批龍鱗。千里隣鬼魅。去國同王粲。哀時類賈誼。君親俱未報。不禁斜陽淚。敬通宜却掃。阮子可無言。宿霧埋前嶽。歸雲失後村。觸蠻均勝負。凡楚孰亡存。萬事渾如夢。秋風獨掩門。西風吹碧樹。落日照襟孤。臣罪宜膏斧。君恩許剖符。傾陽憐野藿。反哺羡林烏。好事時憑夢。如今夢亦無。用舍便行藏。洋洋有古訓。龐公不入城。閔子將歸汶。獨昧坎流機。遠投炎海郡。旣知由自作。何必蒼天問。佩玦已逾年。賜環知幾日。消憂賴竹葉。扶病惟參朮。兩部蛙鳴閣。三更虫語喞。支頤消永夜。頭上光陰疾。聖朝方側席。昭代起沉淪。廊廟皆時彦。飄零只此身。透簾山海色。擁座柚柑新。芹𣌑無由獻。微忱愧野人。</text>
<title>遣興</title>,<text>香霧霏微擁橘林。西山蒼翠送輕陰。陶然醉後油然卧。一榻淸風抵萬金。</text>
<title>卽事</title>,<text>脩竹千竿碧。名花百日紅。可憐花竹裏。那箇着衰翁。</text>
<title>戱題</title>,<text>碧簪高揷聳雲間。滄海周回作玉環。莫道使君貧且儉。連天銀屋列煙鬟。</text>
<title>憎蚊</title>,<text>形如巢睫觜如針。嘬我肌膚攪我心。只賦蒼蠅於汝闕。歐翁猶失重輕斟。</text>
<title>蚊答</title>,<text>萬物洪纖各有天。賦天形性孰能遷。吾無點玉營營事。若譬蒼蠅不亦賢。</text>
