<title>書釼柄</title>,<text>离宮抽太白。霜拍廣寒流。牛斗恢恢地。神游刃不游。</text>
<title>咏靑鶴洞瀑布 在頭流山</title>,<text>勍敵層崖當。舂撞闘未休。却嫌堯抵璧。茹吐不曾休。</text>
<title>涵碧樓在陜川</title>,<text>喪非南郭子。江水渺無知。欲學浮雲事。高風猶破之。</text>
<title>贈太容金天宇字</title>,<text>脈脈如相見。春山猶獨居。分來南史筆。敎寫種稻書。</text>
<title>寄子修姪</title>,<text>飢寒母弟在。求仕定非他。却立楊朱路。遲回奈爾何。</text>
<title>孤舟晩泊</title>,<text>風濤驚萬里。柁櫓倚蒿工。晩泊蓬萊下。家山第一峯。</text>
<title>三足堂送麥。不受。姓金。名大有。字天祐。</title>,<text>於光亦不受。此人劉道源。所以胡康候。至死貧不言。</text>
<title>奉和健叔。因問金太容。健叔。成大谷字。名運。</title>,<text>此心無別離。顔面不須思。欲語還無語。後期能有時。欲尋俗離。秋以爲期故云。</text>
<title>寄健叔</title>,<text>水友兄弟者。三山金太容。燖盟寒不可。猶恐去年同。						又						之子五鳳樓手。堯時不直一飯。明月或藏老蚌。山龍烏可騫楦。</text>
<title>乙丑仲秋旣望。余夢見李大諫仲望於樹下。情話未畢。李君起去。余攬其袖。卽吟短絶以贈別。覺來益苦追感。今幸見河公。昨之夢遇李君。乃今見河公之兆也。尤用泣嘆精靈之未泯也。河公。卽大諫之外孫。而余之姪女夫也。愛我。常自來訪。余亦以李君之故。又重姻恩之義。心事頗極繾綣。因述夢中所辭。識與之。又示夢贈之詩。仲望。李霖字。以名士。乙巳被禍。河公名天瑞。</title>,<text>樹下與君別。此懷誰似之。燬心猶未死。只有半邊皮。</text>
<title>無題</title>,<text>雨洗山嵐盡。尖峯畵裡看。歸雲低薄暮。意態自閑閑。</text>
<title>無題</title>,<text>魯野麟空老。岐山鳳不來。文章今已矣。吾道竟誰依。</text>
<title>蝴蝶樓丹城江樓名</title>,<text>多少行人。栩栩飛飛。瞥眼皆非。唯有長程。臨水送將歸。</text>
<title>贈行脚僧</title>,<text>先生在山海亭。有僧來謁。問其所自。曰。自三角山來。留坐終日。辭去。明早又來。如此三日。早辭曰。小僧還向故山。進詩軸。請一絶。先生早年。遊三角山。聞僧言。感舊。作此絶句。												渠在漢陽西。朅來三角山。丁寧還寄語。立脚尙今安。</text>
<title>贈鄭判書惟吉</title>,<text>君能還兾北。山鷓鴣吾南。名亭曰山海。海鶴來庭參。</text>
<title>題姜郊多檜淵茅亭窓 姜郊。人姓名。</title>,<text>旋馬高堂在。長江古樹墟。前身東野是。淸瘦恐難如。</text>
<title>贈崔明遠追送蛇山別</title>,<text>令子蛇山腹。若翁鷄曉頭。請看楊子水。宿浪未曾休。</text>
<title>無題 疑贈吳學錄</title>,<text>草龍三十珠。心口淸相適。沈痾繁午睡。不用須針石。</text>
<title>偶吟</title>,<text>人之愛正士。好虎皮相似。生則欲殺之。死後方稱美。</text>
<title>贈山人惟政</title>,<text>花落槽淵石。春深古寺臺。別時勤記取。靑子政堂梅。</text>
<title>偶吟</title>,<text>朱點小梅下。高聲讀帝堯。窓明星斗近。江闊水雲遙。</text>
<title>山寺偶吟</title>,<text>林下千年寺。人隨獨鶴尋。僧飢朝竈冷。殿古夜雲深。燈點峯頭月。舂聲水底砧。佛前香火死。唯見已灰心。</text>
<title>咏獨樹</title>,<text>離群猶是獨。風雨自難禁。老去無頭頂。傷來燬腹心。穡夫朝耦飯。瘦馬午依陰。幾死査寧學。升天只浮沈。</text>
<title>贈崔賢佐崔興霖字</title>,<text>金積烟雲洞。逢君雙涕流。憐君貧到骨。恨我雪渾頭。碧樹初經雨。黃花正得秋。還山抱白月。魂夢付悠悠。</text>
<title>奉三山卓爾丈金泰岩字</title>,<text>鹿門龐老見。忘我又忘年。閱士蓋多矣。耽愚如惄焉。好懷開野外。歸馬缷江邊。爲問三山水。於今更幾川。</text>
<title>寄大谷</title>,<text>會別王來野。當時秋正悲。碧雲先我去。玄燕與君歸。結念空霄漢。殘腸近女兒。老懷應第一。何事更如之。</text>
<title>書李黃江亭楣</title>,<text>子䂓誰與叫。孤夢不能裁。身世隍中鹿。行藏沙畔能。草邊多露去。江上少人來。複複芭蕉葉。外開心未開。</text>
<title>和健叔。呈崔賢佐于金積山齋。</title>,<text>踏破金華積。源頭第一流。地高群下衆。神遠片魂愁。鄭鄭君家子。招招我友舟。此懷摸不得。來日正悠悠。</text>
<title>贈三足堂</title>,<text>槎上牛津日。應嫌洗耳看。我非雙角扣。渠豈五羔干。細草三年綠。醒心百鍊丹。爲憐雲伴宿。山月更生彎。</text>
<title>挽貞夫人崔氏</title>,<text>崔盧唐世久。樞密又伸之。合璧吾家子。連塋幼婦碑。榱看當谷虎。螽聚羽林兒。南極星初動。江東夜不知。</text>
<title>挽河希瑞字龜老</title>,<text>八十年非乏。相知一夢如。頭承章甫道。口喫漢江魚。若考塗丹雘。諸孫好禮書。未將携手手。摻執子之裾。						又						我友專重席。朝來渡十洲。儀刑喬木在。聲息暮雲收。孤子三良意。挽朋五馬留。君歸何以贈。蛟客一盤珠。</text>
<title>寄子修姪</title>,<text>百憂明未喪。萬事寸無關。姊姪一千里。星霜十二還。窮霪三月晦。孤夢五更寒。方丈如毋負。音書亦復難。</text>
<title>姜參奉挽詞 名翼。字仲輔</title>,<text>儀禮三千錄。尋究五十年。棘薪看燬重。萱草又霜顚。夜盡啼啇鳥。春深叫杜鵑。上天呼不得。君子果何愆。</text>
<title>挽詞</title>,<text>世系黃承相。夫家許史來。百年留鶴髮。雙女見蚌胎。故宅溪邊蛻。新塋雪裡開。山陽樵有道。飜作孟嘗哀。</text>
<title>贈成仲慮成遠字</title>,<text>村花自開落。郊女謠靑菜。竟夕坐且起。此意春不解。今朝燕子來。故人金陵在。</text>
<title>寄聽松姓成。名守璖。字仲玉。</title>,<text>坡之江水。織兒之濯。馬之島海。老人之角。之子之遠。而道之憂。曷之覯乎。要之夢遊。</text>
<title>贈石川子林億齡號</title>,<text>今有石川子。其人古遺節。芙蓉儘聳豪。何言大小別。昔年要我乎。山海之蝸穴。看來豆子熟。琬琰東西列。石川千木奴。破甘香滿舌。歸來花判事。其行不改轍。雖飢不食言。人益紅爐雪。尙君明逸戒。有懸非解紲。</text>
<title>題三足堂</title>,<text>天上雲門曲。人間鹿門客。傍觀百具足。自得三爲畫。蒼生無福故。此人黃梨色。遊子不言歸。十日吉祥宅。人歸西伐路。江注南河伯。窓葉少於媐。破我房內白。春事已非宜。河西獨蜀魄。</text>
<title>醉贈叔安</title>,<text>虛受人。其中也水。塵或汨之。無主何守。</text>
<title>斷俗寺政堂梅 在晉州</title>,<text>寺破僧羸山不古。前王自是未堪家。化工正誤寒梅事。昨日開花今日花。</text>
<title>送寅叔</title>,<text>寺名東向君西向。一年携貳一生同。春深智異南冥遠。漢水西流魚不通。</text>
<title>題五臺寺柱 在晉州</title>,<text>名字曾羞題月脇。笑把蚊觜下蟬宮。人緣舊是三生累。半日歸來擬赤松。</text>
<title>山中卽事</title>,<text>從前六十天曾假。此後雲山地借之。猶是窮途還有路。却尋幽逕採薇歸。						又						日暮山童荷鍤長。耘時不問種時忘。五更鶴唳驚殘夢。始覺身兼蟻國王。</text>
<title>鄭監司宗榮見過</title>,<text>丹鳳高飛不待風。金章還與布衣同。莫嫌餉客無長物。盤面雲山一萬重。</text>
<title>聞李愚翁還鄕</title>,<text>山海亭中夢幾回。黃江老叟雪盈腮。半生金馬門三到。不見君王面目來。</text>
<title>庭梨</title>,<text>半庭梨樹兩三株。遮爲東陽擬木奴。無子一生全類我。世人應道學楊朱。</text>
<title>靑鶴洞</title>,<text>獨鶴穿雲歸上界。一溪流玉走人間。從知無累飜爲累。心地山河語不看。</text>
<title>贈別姊兄寅叔李公亮字。先生姊夫。</title>,<text>積憂如草雨中新。太半生來此最辛。倚馬臨歧渾不語。天涯消道又成春。						又						燭火只因心子在。谷風旋作地雷喧。殘星分暝寒墜月。欲別秋聲不可聞。</text>
<title>江亭偶吟</title>,<text>臥疾高齋晝夢煩。幾重雲樹隔桃源。新水凈於靑玉面。爲憎飛燕蹴生痕。</text>
<title>有感</title>,<text>忍飢獨有忘飢事。摠爲生靈無處休。舍主眠來百不救。碧山蒼倒暮溪流。</text>
<title>春日卽事</title>,<text>朱朱白白皆春事。物色郊原得意新。自是東皇花有契。髯君於汝豈無恩。</text>
<title>遊安陰玉山洞</title>,<text>碧峯高揷水如藍。多取多藏不是貪。捫虱何須談世事。談山談水亦多談。						又						春風三月武陵還。霽色中流水面寬。不是一遊非分事。一遊人世亦應難。</text>
<title>送李慶胤李喜生字</title>,<text>客懷如水又如絲。况是登山子去時。君到漢濱思老我。渚烟秋意定難裁。</text>
<title>漫成</title>,<text>水蒸飛粉雨渾山。朱點書床又考盤。向夜候蟲灘下急。海南身似劒南間。</text>
<title>次友人韻</title>,<text>泛泛楊舟檣木蘭。美人何處隔雲間。蓴鱸裏面猶多意。只會江東一帆看。</text>
<title>贈君浩李源字</title>,<text>每承嘉貺未能酬。爲是家空似磬垂。唯有老懷呈欲破。又無車僕坐如囚。</text>
<title>明鏡臺在闍窟山</title>,<text>斧下雲根山北立。袖飜天窟鳳南移。冷然我欲經旬返。爲報同行自岸歸。鳳。古朋字。先生自言。</text>
<title>菊花</title>,<text>三月開花錦作城。如何秋盡菊生英。化工不許霜彫落。應爲殘年未盡情。</text>
<title>訪村老</title>,<text>黃流波上輕烟細。白日窺中銀箭斜。谷口小溪開小室。蹇驢時有野人過。</text>
<title>黃溪瀑布在陜川</title>,<text>投璧還爲壑所羞。石傳糜玉不曾留。溪神謾事龍王欲。朝作明珠許盡輸。						又						懸河一束瀉牛津。走石飜成萬斛珉。物議明朝無已迫。貪於水石又於人。</text>
<title>德山偶吟</title>,<text>偶然居住絲綸洞。今日方知造物紿。故遣空緘充隱去。爲成麻到七番來。</text>
<title>詠蓮</title>,<text>華蓋亭亭翠滿塘。德音誰與比生香。請看點點淤泥在。不啻葵花向日光。						又						只愛芙蕖柳下風。援而還止于潢中。應嫌孤竹方爲隘。還播淸香到老翁。</text>
<title>鳳鳴樓在晉州</title>,<text>岐下遺音屬有樓。親賢樂利迄悠悠。自從矗石新開宇。六六鳴隨上下流。</text>
<title>讀項羽傳</title>,<text>英雄死去知無數。讀到騅歌咽不成。拔木晝冥天意在。如何重作兩瞳生。</text>
<title>和健叔</title>,<text>頭欲童時雪已飛。想君行到十層危。祗今未受如蘭餉。生喫長貧太腹飢。</text>
<title>詠橘 上二聯。魚上舍應辰作。下二聯。先生作。</title>,<text>玉枝疑凍全身裹。金子要看一面開。味諫猶嫌 一作由來芒刺在。投荒不似上林梅。</text>
<title>寄柳繼先，魚士拱明月寺讀書。</title>,<text>聚散方知固有魔。公車無此信堪嗟。二更唇罷三冬夜。一揷何如决 一作缺 一叉。</text>
<title>和寄宋相 名贊</title>,<text>泰嶽雲藏天柱峯。相公來到爲開容。山翁忝麥醺無類。對與高明未有窮。</text>
<title>漫成</title>,<text>平生事可噓噓已。浮世功將矻矻何。知子貴無如我意。那須身上太華誇。</text>
<title>贈朴君思恭</title>,<text>海棠花謝又飜霜。之子多情欲嗅香。都識妙畵渾不活。飛來蝴蝶去應忙。</text>
<title>答贈張都事儀仲</title>,<text>福星方作綵眞遊。行邁兟兟屬暮秋。深恨故人家道遜。相逢無以對風流。</text>
<title>贈熙鑑師</title>,<text>上房岑寂鎖黃昏。竹影松聲道自存。斷盡機心詩癖在。強將佳句扣人門。</text>
<title>淸香堂八詠 李源堂號</title>,<text>竹風						三益蕭蕭一逕通。最憐寒族愛難功。猶嫌未與髯君便。隨勢低昻任却風。						松月													寒聲浙瀝頻蕭颯。天桂交加凈復森。何處獨無繁好樹。不常其德二三心。						琴韻						三聖幽微在一琴。寂然收處是眞音。慚君勉我峩洋韻。薄劣如何會得吟。						雪梅						歲晩見渠難獨立。雪侵殘夜到天明。儒家久是孤寒甚。更爾歸來更得淸。						霜菊						薄露凝寒菊萬鈴。活香多處最中庭。高堂綵舞重陽節。人面橫斜酒面淸。						盆蓮						上園休許小桃誇。淤裏誰知君子花。留得小盆涵養意。暗香將月夜深和。						經傳						廣文頗似子雲家。稽古由來得力多。活法會須堂下斵。五車書在一無邪。						八[碑砌]						請入主人刋李源。直今碑砌已荒原。仍雲更有如君者。遼鶴重來石可存。</text>
<title>漫成</title>,<text>半目雲中是赤城。一生難許入承明。方知巢許無全節。自是箕山做得成。</text>
<title>讀書神凝寺在頭流山</title>,<text>瑤草春山綠滿 一作萬 圍。爲憐溪玉坐來遲。生世不能無世累。水雲還付水雲歸。</text>
<title>遊白雲洞在白雲山</title>,<text>天下英雄所可羞。一生筋力在封留。靑山無限春風面。西伐東征定未收。</text>
<title>無名花 寄健叔</title>,<text>一年消息管多時。名與香埋世不知。摠是名香爲己累。洛陽曾得幾人歸。</text>
<title>贐別李學士增榮</title>,<text>送君江月千尋恨。畫筆何能畫得深。此面由今長別面。此心長是未離心。</text>
<title>山海亭苦雨</title>,<text>山居長在晦冥間。見日無期見地難。上帝還應成戍會。未曾開了半邊顔。</text>
<title>謾成</title>,<text>取舍人情不足誅。寧知雲亦獻深䛕。先乘霽日爭南下。却向陰時竸北趨。</text>
<title>浴川己酉八月初。偶遊於紺岳山下。咸陽文士林希茂，朴承元。聞而馳到。侍與之。同浴焉。</title>,<text>全身四十年前累。千斛淸淵洗盡休。塵土倘能生五內。直今刳腹付歸流。</text>
<title>德山卜居</title>,<text>春山底處無芳草。只愛天王近帝居。白手歸來何物食。銀河十里喫猶餘。</text>
<title>喪子</title>,<text>靡室靡兒僧似我。無根無蔕我如雲。送了一生無可柰。餘年回首雪紛紛。</text>
<title>寄西舍翁</title>,<text>萬疊靑山萬市嵐。一身全愛一天函。區區諸葛終何事。膝就孫郞僅得三。</text>
<title>和風月軒韻 進士河麟瑞堂號。有子洛，沆二人。先生自言詩意指此云云。</title>,<text>畫閣東邊鎭一頭。浩風飜了桂宮秋。請看老蛤藏明月。爭似高堂有莫愁。</text>
<title>題黃江亭舍</title>,<text>江燕差池雨欲昏。麥黃黃犢不能分。向來客意無詮次。旋作孤鴻又作雲。</text>
<title>贈可遠成近字</title>,<text>可遠氏尊平安否。春懷多爲子成吟。乾封百複芭蕉葉。得雨何時細展心。</text>
<title>次梁山雙碧樓韻</title>,<text>綠水靑簹銀箭流。落來寒葉桂殘秋。無人酹去良州干。滿目歸雲不滿愁。</text>
<title>題子修畫屛襄陽城 與上古屛同題</title>,<text>峴山西照綠差池。襄鄧微茫古堞危。當日君臣籌畫盡。如逢叔子我有辭。</text>
<title>鮑石亭在慶州</title>,<text>楓葉鷄林已改柯。甄萱不是滅新羅。鮑亭自召宮兵伐。到此君臣無計何。</text>
<title>贈成仲慮</title>,<text>三行信字三年面。細細看來細斷神。生活死休俱可已。兩家寒餒兩何人。						又						千疊皮嶓嶓非子故。一生投度幾三山。雲栖母岳荊分樹。此外羈窮摠不關。</text>
<title>和淸香堂詩</title>,<text>四同應不在新知。擬我曾於鍾子期。七字五言金直萬。傍人看作一篇詩。</text>
<title>贈五臺僧</title>,<text>山下孤村草掩門。上人來訪日初昏。愁懷說罷仍無寐。月滿前溪夜欲分。</text>
<title>詠梨</title>,<text>支離梨樹立門前。子實辛酸齒未穿。渠與主人同棄物。猶將樗櫟保天年。</text>
<title>題聞見寺松亭</title>,<text>袖裏行裝書一卷。靑鞋竹杖上方西。遊人未釋無名恨。盡日山禽盡意啼。						又													雲袖霞冠尊兩老。常瞻長日數竿西。石壇風露少塵事。松老巖邊鳥不啼。</text>
<title>無題</title>,<text>神武城西氷欲泮。鈴風初叫看儀竅。羹艾湯餠渾閑事。太半遺忘太半知。湯一云煮</text>
<title>永慕堂</title>,<text>遺墟寥落樹號風。挹碧前頭肯構同。欲識箇中追慕意。高山無極水無窮。						又						蓼蓼莪蒿歎昊天。依依桑榟舊風烟。從知此感非由我。到此人人覺愴然。</text>
<title>兼贈太溫健叔</title>,<text>三要三山曾有約。食言多矣我能肥。更敎老婦裁春服。只恐君從角虎歸。</text>
<title>次景游韻。題僧軸。</title>,<text>白雲山衲神凝見。篇面開來獻納詩。朝日更從川出谷。宿雲何處宿歸師。</text>
<title>野翁亭在丹城</title>,<text>雷龍溪下野翁潭。無處春山不好嵐。只負主人留扁意。老星元是在天南。合浦將軍按鹿萍。春來五馬邀君迎。遙知掖後松千樹。吾眼如今一樣靑。右一絶贈尹大連</text>
<title>畫竹</title>,<text>生香莫作死香看。生死路頭知者難。先哲雖亡模樣在。要須模樣裏深看。</text>
<title>贈宜春倅</title>,<text>雨過桃源百卉腓。泛花流與鼎湖歸。之君底事形長瘦。不食言來不得肥。</text>
<title>在盆城。聞打麥聲。</title>,<text>過午陽和醉似濃。萬條楊柳一邊風。幽人解讀全陽子。打麥猶聞聲在空。</text>
<title>頭流作</title>,<text>高懷千尺掛之難。方丈于頭上上竿。玉局三生須有籍。他年名字也身看。</text>
<title>寄河君礪</title>,<text>剩得闍山骨子來。却於冥處看潮廻。勞君蹔許靑藜問。鰲上河關爲子開。</text>
<title>題永陽採蓮堂</title>,<text>樑木蘭江王沙。綠野蒼烟渾亦何。欲把天香聞帝室。茫茫下土塵霞。</text>
<title>無題</title>,<text>強半行藏辦自家。也徒醫濟十年艾。雲山只欲從渠老。世事其如每作魔。</text>
<title>在山海亭。書大學八條歌後。贈鄭君仁弘。</title>,<text>丙寅秋。先生在山海亭。仁弘往侍。留半箇月。仁弘北還。先生手書格致誠正歌。又書此一絶於其後以與之。												一生憂樂兩煩寃。賴有前賢爲竪幡。慙却著書無學術。強將襟抱寓長言。</text>
<title>挽陳克仁陳本天嶺人。娶居金海。</title>,<text>天嶺迷迷首露墟。不曾生識有神魚。浮雲無繫蒼蒼面。誰道君今還不如。</text>
<title>和上賢佐</title>,<text>之子相逢已白頭。草堂聞說在深幽。遊人觧佩慙無分。祗倚歸雲送送眸。						又						若水看來豆子新。已君忘我我忘身。草堂生契山千疊。不是明時薄福人。</text>
<title>寄黃江</title>,<text>冥冥積雨窮深巷。門外桑麻沒得人。果腹噎懷緣底事。不緣名利不緣貧。</text>
<title>遊黃溪。贈金敬夫。金宇宏字</title>,<text>老夫頭面已霜乾。木葉黃時上得山。雙栢有枝柯幹好。莫言庭際秀芝蘭。						又						莫恨秋容淡更踈。一春留意未全除。天香滿地薰生鼻。十月黃花錦不如。</text>
<title>題竹淵亭在高靈</title>,<text>長江流恨政沈沈。若可消憂盡可斟。沙鷗定應霜下宿。野烟無以認渠心。						又													王謝風流數嶺南。多君諸子出於藍。獨憐幽竹亭爲號。其德元來不二三。</text>
<title>無題</title>,<text>秋山何處不黃葉。江石雖昏猶白身。						又						紅葉滿山春有思。碧天流玉野升雲。</text>
<title>挽詞</title>,<text>中夜叫呼徐節孝。鬼神聞此亦應悲。欲負米來千里遠。曉風高樹已摧枝。						又													面前墻道不曾開。毛骨誰知汙血來。無等荒村君不見。東歸垂淚首空回。</text>
<title>挽河希瑞</title>,<text>詩書家業上庠生。筐篚朱陽織不成。皓首黃冠推長座。紫花蒼樹認高荊。嗟嗟大耋驚三復。叫叫孤兒夢兩楹。馬鬛封深抔土在。雍門淚洒到天明。						又						半生明蠟鬼曾魔。九福如今壽獨遐。當谷於菟非一小。秀庭蘭茁是三多。囷囷釜庾兼僮指。友友常華又蓼莪。回首故人將稅駕。老懷秋盡已萋苴。</text>
<title>涵虛亭在金海</title>,<text>蜃騰蛟屋燕無樑。虛箇涵來見直方。傑閣專南謾好大。老虬分北剩風霜。棠華館裏笙歌咽。王母池邊河漢凉 殘落生涯寒落水。欲將埋恨引杯長。</text>
<title>挽貞夫人崔氏</title>,<text>高明家世鬼神窺。朱紱方來又去之。文伯弟兄摧白骨。子皐頭面朽黃梨。塋臨大鳥看賓會。兆啓眠牛降福遲。吾父吾兒應上謁。敬傳消息涕交垂。</text>
<title>竹淵亭。贈尹進士奎。字文老</title>,<text>文老才名第一流。從前卜築更深幽。性耽泉石堪棲隱。身厭簪紳不䆠遊。魂夢欲尋迷半路。書筒難遆隔三秋。名場宿債今抛盡。老境光陰亦不留。						又						倻水遙從百里流。洛神還與女深幽。參差亂羽銀魚羂。高下飛絲野馬遊。鶴寺苔深多歲月。荊花香發少春秋。老來泉石廉於利。未作騷荒十日留。</text>
<title>江樓</title>,<text>烟火當年化未銷。歸來方丈更南圖。澄江靜夜宣城謝。孤鶴橫舟赤壁蘇。十里官楊靑倒水。萬傳雷皷碧連霄。浮生世事渾如夢。明日柴門政寂寥。</text>
<title>題宋氏林亭</title>,<text>草堂前面分麻杖。高樹荊花幹五連。紺岳東蒼迷北望。黃梅西黑隱南天。溪聞犬吠沿開戶。山帶魚鱗灌作田。賓主婚姻兼少長。外人時道武陵川。麻杖。山名。</text>
<title>題鄭思玄客廳</title>,<text>綠羅池面雨生痕。遠岫烟沈近岫昏。松老萬年低壓水。樹經三世倚侵門。伽倻故國山連冢。月器荒村亡且存。小草班班春帶色。一年銷却一寸魂。</text>
<title>題房應賢茅亭 房南原人</title>,<text>房老家聲擅海東。來孫元自大唐中。弱齡佳子雙無玉。多黨強宗十里松。雲掃一天靑靄靄。風搖千樹碧瓏瓏。莫嫌衣白長咬菜。盤面頭流食不窮。</text>
<title>贈別大谷丙寅同被召命時作</title>,<text>出自北門同渡漢。三同猶有姓非同。九皐鶴和曾心願。千里星分已道窮。野水東流歸不返。塞雲南下去無從。丁寧白日相思意。魂夢慇懃他夜通。</text>
<title>贈黃江</title>,<text>思君霜月正離離。新雁時兼旅燕歸。紅葉滿山全有色。靑松留壑半無枝。侵陵白髮愁爲橫。嗚咽蒼生稔益飢。果腹噎懷書不得。黃芚老子爾能知。</text>
<title>寄大谷</title>,<text>萬疊窮山草合門。地蜂當道遍生孫。我諴忽急驚何定。老淚相看久始言。兄弟棄捐無處去。友朋零落有誰存。獨孤寄食三冬事。當日都忘未與論。</text>
<title>次湖陰題四美亭韻</title>,<text>垂老辛醎口失宜。縱然忘世未忘機。百穿深壑身猶客。半睡高堂夢已奇。竝木殘春人舊謝。舍那微雨水新肥。將軍肯小封留計。一介書生亦在斯。竝木，舍那。並地名。</text>
<title>無題 疑與上同</title>,<text>斯干日日樂靡違。舍此談天未是奇。智異三藏居彷彿。武夷九曲水依俙。鏝墻瓦老風飄去。石路歧深馬自知。皓首重來非舊主。一年春盡詠無衣。</text>
<title>次方伯韻 鄭宗榮</title>,<text>驚聽瑤音五十六。依依紫府感庭秋。鼎臣高節方靡盬。草露餘魂久未收。星斗九天微沫記。風霜百變一身留。認渠已汗心頭馬。說道丁寧退上流。</text>
<title>次默齋吟 李文健號</title>,<text>枯榮渾與大鈞諧。放逐曾何有怨乖。湘瑟月娟孤影照。楚江雲帶九疑佳。雷龍舍遠莫之見。休叟吟來多也懷。詩料長空無以酒。大常方我未爲齋。</text>
<title>次休叟吟 李文健字</title>,<text>認君身事拙於謀。自是吾家好地頭。當日絲綸天上降。如今桂玉草中求。交遊遍作宜王屬。嫠婦猶多柒室憂。十載牂牁丘墓遠。思經霜露不能休。</text>
<title>明鏡臺</title>,<text>高臺誰使聳浮空。螯柱當年折壑中。不許穹蒼聊自下。肯敎暘谷始能窮。門嫌俗到雲猶鎖。岩怕魔猜樹亦籠。欲乞上皇堪作主。人間不奈妬恩隆。</text>
<title>次湖陰題四美亭韻同題</title>,<text>遼鶴重來歲月遲。古亭西畔立多時。南冥世業兒三月。呂尙功名竹一磯。芳草幾消遊子恨。高山長憶季女詞。頭流十破黃牛脇。定是前緣未許歸。</text>
<title>狐白裘詩</title>,<text>莫赤非狐莫赤狐。白裘之白胡爲白。寸積毫積始爲裘。千狐萬狐之一腋。田家公子謾自良。備寒赤白何所擇。欲得天下所無寶。殺盡天下狐爲索。宮中女子尙知之。秦王悅之心未釋。擬以趙璧欲收之。顧以好士名爲射。稷下諸君食三千。智不慮此堪可惜。函關一鎖海於深。槖中有裘秦藏籍。畢竟貪得止於得。文也已爲筌蹄擲。不然區區一竪子。我欲殺之爭何益。若爲隣賢是我讎。未應一裘便相易。可笑狗吠之說亦甚誤。狗竇可入宮安適。秦王之暴過驪龍。藏裘等是頷下璧。九重深淵蟻莫近。晉鄙之符偷何隙。只慮田家又有之。狙獪百端如鬼蜮。旣試其無又與之。聊假夜半狗偷客。前段後段着手狡。秦王智詐庸無迹。不但當時公子愚。後人過眼皆不繹。天下之寶莫於善。所寶在物還辛螫。從來好色擧爲誤。白裘之白何爲劇。</text>
<title>蘇子卿詩</title>,<text>胡烏未白羝不乳。漢庭行人歸未期。烏頭未白行人白。誰令換白烏頭爲。四月寒沙雪一尺。有雪可嚙身無衣。日暮黃雲烏夜啼。胡人解吹文樺皮。孤身未死節在手。求仁得仁天地知。白登在眼乃祖皇。區區使臣無亦卑。內修外攘周道在。梯山航海則有之。雁足無書常惠否。子卿身上胡草腓。茂陵知死不知生。松楸一拜知何辭。</text>
<title>六國平來兩鬢霜詩</title>,<text>六國平來兩鬢霜。將軍到此魂應驚。靑銅非復舊時人。生平悔作勾陳星。彭彭車馬老鶉首。蒙戎繡裘猶晨征。萬里酸棗遼欲秋。易水歸來鶬鶊鳴。朝入邯鄲暮臨淄。上黨愁雲風飄旌。崤關初返馬亦黃。頭霜此日應更成。豕涉波月罹畢。不遑朝矣而今平。匪風匪風周道西。嗚呼將軍之晩生。</text>
