<title>次景淳韻 尹㵓</title>,<text>石巒秋霜厚。紅葉爲誰粧。有約人來晩。前郊已夕陽。</text>
<title>贈上人信泂</title>,<text>若能歸去豈無山。空使頭鬚箇箇斑。客路逢僧交軟語。一生塵念汗衰顔。</text>
<title>偶成</title>,<text>誰致陶盆菊一枝。小窓終日慰鄕思。淸香寂寞堪相吊。誤到先生止酒時。</text>
<title>東萊客舍詠梅</title>,<text>臘梅欺雪玉團團。非厭陽和好歲寒。只恐春來桃李盛。無人分別渾然看。</text>
<title>利城歸路作</title>,<text>幽懷無限助長歌。行出靑松踏白沙。花自知時開滿樹。人猶遭亂去無家。</text>
<title>訪友不遇</title>,<text>仙侶淸遊晩未還。櫓聲遙在水雲間。長波十里不知處。暝色蒼茫生遠山。</text>
<title>題壁</title>,<text>蒼烟一陣倒江流。養得經年六月秋。遠客終宵魂耿耿。水禽聲裡郤覊愁。</text>
<title>戱席僚思歸</title>,<text>欲歸當去去何難。無限山川處處間。只恐銀㙜方寸地。使人難去作重關。</text>
<title>自吟</title>,<text>絲綸懶草徐吟咏。論議無能困答譍。偃卧後廳耽睡味。聽驚亭午鼓登登。</text>
<title>示孫判官</title>,<text>竹岑微月滿池㙜。短夢如何亦不來。寂寞空庭春已老。江梅花落牡丹開。</text>
<title>書山人詩軸</title>,<text>老寄塵埃百念空。一生丹鼎未收功。春風偏動還鄕計。西浦烟霞入夢中。</text>
<title>和壁上韻遣懷 鏡城</title>,<text>北來頭鬢雪蕭騷。形貌摧頹意氣豪。自信事君能有驗。每行邊塞不言勞。又界河東走傍城頭。朔雪驚飛吐亂洲。誰遣秋鴻歸去盡。此時無路寄鄕愁。又無窮沙磧遆深秋。瀚海驚濤蹴野浮。歷歷胡山分遠近。夕陽猶在瘴烟收。</text>
<title>銀㙜庭竹</title>,<text>石庭枯竹半無枝。曾是何人手自移。春意已深生意少。托根非所竟何爲。</text>
<title>病中遣懷。示同幕金判官可紀。北評事時</title>,<text>尺釰行裝象病身。關河歲暮困兵塵。殷勤昨夜江南夢。歸賞梅花雪裡春。</text>
<title>漫成遣寂 北兵使時</title>,<text>殘雪初消日氣和。磧中風弱不驚沙。城陰已晩烟光靜。應爲將軍唱雅歌。又小野春風入面和。獵騎行處起輕沙。碧油幢裡軍書少。高據胡床聽妓歌。</text>
<title>病中不能參諸幕僚踏靑</title>,<text>淸遊隨意坐城隅。滿眼春風漲綠蕪。一客獨留岑寂裡。起行無力半形枯。</text>
<title>紀行。書淮陽客舍壁上。</title>,<text>嶺路千盤又萬盤。下臨無底上雲端。畏途窘步人誰似。六度經過齒已酸。</text>
<title>在海城咏</title>,<text>海面烟收露遠山。一亭瀟洒水雲間。潮侵岸葦聲聲迅。𩿨竝汀沙影影閑。</text>
<title>翻辭</title>,<text>雖戀君家無所爲。不能歸去却躕踟。平生一寸心中事。不管郞君知未知。又心中所抱欲煩君。棄妾何心進妬言。昔日若能無彼此。豈敎家事被爭分。又少無恩寵老宜休。君不知心莫自愁。此別不曾緣間說。命途窮薄更誰尤。</text>
<title>自遣</title>,<text>沙汀𩿨鷺舊盟寒。霜雪緣愁滿鬢端。夢裡鄕山秋又近。客情無限䆠情闌。</text>
<title>戱答</title>,<text>花衰鶴怨眼長寒。離恨千端又萬端。牢約歸期今已晩。對燈惆悵夜應闌。</text>
<title>復意</title>,<text>笑君歸意捴虗籌。休憶秋山處處稠。金馬玉堂多事業。定無餘力借淸遊。</text>
<title>思歸</title>,<text>還鄕行李執牙籌。回首雲山傍海稠。何事俗緣猶未盡。欲歸空作夢中遊。</text>
<title>和淸隱令公韻</title>,<text>數畝荒田舊業殘。歸心空爲愛秋山。去年手種東籬菊。應笑今猶未得閑。又院裡幽軒當小樓。古屛詩句爲君留。相思難續瑤㙜夢。缺月踈桐已戒秋。</text>
<title>步呈凝川令案 朴承宗</title>,<text>愛君溫雅匪常調。許我論懷輒見譍。衰老備甞浮世態。龍門偏喜得頻登。又鄕山歸計成長筭。世路高談絶不譍。習氣只應除未盡。戰酣詩壘每先登。又常牽世累還常悔。自問鄕心每自譍。嘯傲向來無處着。一東臯地可常登。</text>
<title>亂後任忠州寄人</title>,<text>兵火餘墟雪嶂稠。舊遊偏憶故巖秋。江湖滿地無消息。斷鴈空嘶缺月流。</text>
<title>政院曉吟。呈沈右相 喜壽。</title>,<text>臨老孤蹤事可知。欲歸成病竟難醫。功名無味田園薄。城郭山林兩不宜。又坐想鄕園了了知。妾無冬服子啼飢。銀㙜不是浮沉地。長使思歸怨別離。</text>
<title>呈退憂令公 李廷馣</title>,<text>松聲散地雜溪聲。露氣侵人骨亦淸。江月不曾嫌寂寞。滿簷流照向人明。</text>
<title>出鎭穩城。寄別退憂。</title>,<text>江湖未得早相迎。世事蒼茫百念生。此去關山千萬里。戍樓明月繞離情。</text>
<title>妬花風</title>,<text>料峭春威不肯和。滿園桃杏怯開花。東風亦學人間事。終日顚狂妬物華。</text>
<title>湖亭偶吟</title>,<text>巖畔春波緩緩流。杜鵑花暎綠蘋洲。煙霞欲卷沙𩿨叫。潮打漁磯有客舟。</text>
<title>漫興</title>,<text>柳嚲晴烟翳四鄰。小園岑寂送殘春。溪頭畧約蒼苔合。門巷何曾有俗人。</text>
<title>遣興 三首</title>,<text>財産三分冊二分。玉㙜香焰滿房熏。山亭寂寂江聲急。鷄上茅簷鶴門。又身沉窮乏廢梳粧。朝夕羹湯必自甞。議事時時娛老耳。取琴高彈詠詩章。又子息侁侁日與看。偶能耕種免飢寒。每逢佳節嫌喧閙。爲是諸家送酒餐。</text>
<title>在京思家</title>,<text>潮浸蒹葭宿鴈鳴。曉霜如雪滿空庭。起嗔簷外南林鵲。不喚良人喚夢驚。又遠客逢秋倍憶家。故園西望隔烟霞。遙知少婦愁多夢。起傍空階看菊花。</text>
<title>端陽後二日。登萬景樓。次皇華集。二首</title>,<text>一番微雨濕行塵。千里郵亭草似茵。無限樵歌相互答。聲聲同是太平春。</text>
<title>渡大同江</title>,<text>早潮纔退晩烟生。柳岸沙堤一望平。無數靑山佳氣在。欝䓗猶帶古今情。</text>
<title>和尹都承韻 昉</title>,<text>窓前踈冷一株松。冬葉逢春綠欲濃。只恨植根猶淺土。不能成長已龍鍾。</text>
<title>挽詞</title>,<text>靑坡舊里昔靑年。相伴嬉遊上藥田。豈料分携仍喪亂。存亡悲歎屬霜顚。又離絶茫茫隔幾年。此身衰朽未歸田。悲吟屈指當時事。九尺猶存雪滿顚。</text>
<title>挽李判官 守基</title>,<text>晩歲移居傍海村。守窮寥寂掩柴門。百年已盡新阡定。後事猶能寄子孫。</text>
<title>次東臯先生韻</title>,<text>小庭岑寂掩柴扉。誰遣新詩動所思。昨夜秋風驚客夢。起臨階菊定歸期。</text>
<title>對菊思鄕</title>,<text>窓前霜菊兩三枝。誰種陶盆助客思。月下寒風吹亂葉。此時鄕念共離披。</text>
<title>聞回答使發行</title>,<text>使名回答向何之。此日交鄰我未知。試渡漢江江上望。二陵松栢不生枝。</text>
<title>送奇長水 蘭</title>,<text>分套皮穿難着曳。鞍籠紙破未持行。願天默誘奇長水。到縣之初卽表情。又靑坡舊里少年生。從政圖中意不平。每與汝昇爭勝負。三勳三德喜高聲。又想君山縣得春遅。官閣梅花未吐腮。吏少民稀無一事。此時應記老夫詩。</text>
<title>擬古。出遊弘濟院川上。</title>,<text>白髮將軍捉虎去。二奴佩劒爲前驅。晩出城門或流憇。馬鞍側掛春醪壺。</text>
<title>和滄海虛舟韻謝橘</title>,<text>誰封霜橘致床前。屬意良勤信所憐。不用月團三百片。玉川從此去昇仙。又黃庭終日讀窓前。虗老無成衆亦憐。畢竟人間丹竈冷。不談功業只談仙。</text>
<title>寫意塞禪師求</title>,<text>紅顔早失世間塵。白髮未試囊中藥。湖田數頃可爲生。眼前待足何時足。</text>
<title>在京作</title>,<text>廟堂籌策極神奇。一語猶能制亂離。昨日文書行帥府。春和防備不輕爲。</text>
<title>成一絶。呈李知事吟案。時彦</title>,<text>驢轎前後各相牽。泥淖將顚敢望全。酷似人家厭犬子。取之箕上棄前川。</text>
<title>挽詞</title>,<text>半百光陰逐逝波。芬華於世苦無多。傳家素業應長遠。餘慶看他永不磨。</text>
<title>中興法性偶見過。聊爾題一絶後面。</title>,<text>終朝無客閉柴門。庭畔松梢日正暄。延入山僧如舊識。嗒然相對却忘言。</text>
<title>謾成。書與釋均山人。</title>,<text>三載乖違亦樂堂。歸心湖水與之長。西門定趁新秋日。楓帶嬌紅葉帶霜。</text>
<title>次湖上居士韻 李尙信</title>,<text>半畝方塘翳短墻。菊叢葵朶擁分行。稚松隱約無顔色。應待枝間白日長。又淺根無土極形疲。靑紫從他盛一時。直待風霜搖落後。挺然生意也應知。</text>
<title>聊爾書予妙煕</title>,<text>一區茅屋築江湄。城市徘佪本不期。偶値山人談此事。有何滋味又遅遅。</text>
<title>書予志軒</title>,<text>居家眞味勝居官。睡到斜暉只數竿。何處高僧來剝啄。語中山水亦淸寒。</text>
<title>題天敏軸</title>,<text>幽澗新泉一孤長。曉來知是雨翻漿。滌煩且復逢雲衲。山水襟期一倍凉。</text>
<title>題天默軸</title>,<text>誰寫幽蘭耀墨光。葉延烟雨滿叢長。嗒然酷愛天然想。近置床頭欲喚香。</text>
<title>述懷。書贈若虗。</title>,<text>野人從俗迹難侔。何事遅留又一秋。瑤草丹崖幽絶處。夢中歸去坐溪頭。</text>
<title>贈戒安山人</title>,<text>人間無伴欲無言。逢爾欣然面却溫。黃葉漫山凉月白。我將歸去叩柴門。又家在靑山洞壑寒。屢携藜杖陟松壇。僧來却喜開懷抱。強寫新詩字半漫。</text>
<title>偶吟</title>,<text>都監橫得全船米。萬戶來爭肅拜名。若使此聲傳塞外。南蠻北狄自然平。</text>
<title>婦人挽詞</title>,<text>柔嘉淑德宜親族。貞靜賢名在比隣。昨夜凄凉孤鳳叫。天心畢竟更誰陳。</text>
<title>韓正母氏挽章 彦忱</title>,<text>餘生常痛下從遲。遺範依然倚所慈。人世百年流水逝。九原今得對光儀。</text>
<title>贈人</title>,<text>傳柑及我掛冠前。正色淸香儘可憐。嚼罷天風生兩腋。欲從蓬島問羣仙。又塵埃潦倒此生前。白髮蒼顔祗自憐。賴有天仙分異物。丹砂何用枉求仙。</text>
<title>韓判官 瀁 叔父挽</title>,<text>神能福善年雖耈。世不觀人位卽卑。畢竟幽明乖道路。箕裘素業付遺兒。</text>
<title>摠府庭中有松。吟呈湖上居士。乃其所栽也</title>,<text>空庭寥落倚寒松。春色依然雪裡濃。蒼翠任他凡草木。百年心事證嚴冬。</text>
<title>直摠府偶成</title>,<text>功名所在興常殘。何事紅塵沒又乾。衰老轉多歸去計。海西峯色卷簾看。又窮陰催盡歲時殘。簷雪成冰滴滴乾。寥寂省中無一事。聯珠詩格詠而看。</text>
<title>醉贈平海倅 任碩齡</title>,<text>手將秋菊泛深巵。衰興淸歡屬此時。意洽自然忘世態。笑談猶復改艱危。</text>
<title>次朴江陵韻 承業</title>,<text>鄕井情歡屬數盃。醉談和氣動莓苔。故園手植當歸草。春到如今恠不來。</text>
<title>偶吟</title>,<text>妻子隔湖海。無由知死生。若能免溝壑。應共泣孤惸。隴上天垂地。河邊雪滿城。尋常長夜半。鄕夢自南征。</text>
<title>洛山殿。獨坐吟懷。</title>,<text>一澗淸如拭。羣巒翠欲濃。地皆便隱遁。身獨役踈慵。形可如枯木。名難上景鐘。浮休猶未定。終日倚溪松。</text>
<title>書贈靈雲禪師寄懷</title>,<text>略有尋山韻。全無適俗心。自憐身已老。仍被病相尋。布襪靑鞋棄。蒼顔白髮侵。今朝偶然至。隨意踏雲林。</text>
<title>晏坐觀音殿。述懷書全上人軸。</title>,<text>黃海江陰縣。長身尹季初。量寬能飮酒。才鈍不知書。衰老乖時用。貧寒好野居。今來踏山水。尤欲永歸歟。</text>
<title>坐洛山殿。書與軒禪師。</title>,<text>澗水鳴橋路。禪房欲午鐘。松雲靑滿洞。山雪白粧峯。借榻眠初破。呼僧語政濃。明朝有歸計。自愧抗塵容。</text>
<title>奉寄平安使相藥峯案下 徐渻</title>,<text>強笑徐方伯。心勞簿領堆。愛山吟獨苦。臨澗語誰開。緣事猶難至。終身定不來。相思春意早。何處折寒梅。</text>
<title>贈性雄</title>,<text>略約臨溪設。伽藍入洞安。亂峯交日影。深壑秘春寒。僧話欣相接。塵心詎得干。明朝出山去。魂夢隔雲端。</text>
<title>伯氏禫日寄思</title>,<text>兄曰嗟予季。兒時失母慈。提携常至愛。離散卽深悲。此地身終日。他鄕夢見時。鶺鴒無限淚。長洒紫荊枝。</text>
<title>贈安處士。用崔同知韻。崔岦</title>,<text>去住皆無定。身心兩未安。今朝誰解務。何處可投閑。古陌箕疇廢。荒城浿水寒。傷時倚楓樹。丹葉照衰顔。</text>
<title>和前韻</title>,<text>菊是先時種。身方向此安。只應耽晩賞。非爲有餘閑。桐日全簷晦。庭霜近榻寒。無嫌香信少。長憶對花顔。</text>
<title>與僧期不至</title>,<text>賓館初逢着。塵心便洗然。方期重邂逅。何事斷夤緣。壑月乖同賞。窓燈警獨眠。雲蹤一分路。惆悵隔山川。</text>
<title>送南別坐 以傑</title>,<text>群公寫別離。三歎整冠裾。妙句徒能讀。高名敢並居。客心憐日月。春草滿階除。歸興梅花說。江南夢亦踈。</text>
<title>贈上人</title>,<text>俗情元不熟。世事欲長辭。心有愁常宅。身無策可資。客筵猶止酒。僧舍輒題詩。執此思量得。山棲莫誤期。</text>
<title>挽柳楊根 楯</title>,<text>舊宅隣常接。深交世再經。笑談留夢寐。魂魄掩泉扃。斂襲仍衰絰。家庭鮮弟兄。看君生與死。悲慘倍恒情。</text>
<title>挽鄭西川 鵾壽</title>,<text>長者時皆仰。仁人壽自增。登崇緣素德。臨歷驗多能。休致風難及。淸閑福共稱。哀榮今已矣。餘慶在來仍。</text>
<title>挽李正 瑩 聘母</title>,<text>貞靜眞常性。柔嘉亦秉彜。蘋蘩將祭敬。機杼裕家資。旋失光儀侍。長含涕淚悲。門楣終有繼。餘慶未全衰。</text>
<title>贈山人</title>,<text>緬憶山中事。無非靜者宜。泉聲淸近戶。竹影綠盈池。睡足依禪榻。香銷颺鬂絲。人間吾累少。與爾得相隨。老矣吾何用。人間跡不宜。旣難魚有水。何用鳳蹲池。世路紛成病。鄕心亂若絲。山中他日去。看汝策仍隨。</text>
<title>贈戒安</title>,<text>性本耽山水。人皆笑老夫。無能空在世。不去固其愚。勳業宜看衆。顚狂自信吾。何方遇仙侶。學種石菖蒲。亂世身無補。平時位亦卑。爲人何所長。應俗只全癡。素有淸眞習。常耽水石奇。餘生歸計定。與爾作牢期。</text>
<title>挽沈忠義 應麒</title>,<text>靜養行藏合。深仁齒德尊。平生多積善。餘慶自盈門。緱嶺鸞迎霧。楸丘鶴吊雲。欒欒啼血淚。中夜鬼神聞。</text>
<title>挽李文學 溟 內子</title>,<text>脩短眞常數。悲傷屬此家。本能持淑愼。難得見柔嘉。諸子欒欒幼。孤旌去去遐。浹旬猶忍死。遺恨免無涯。</text>
<title>挽尹知事 暾 大夫人</title>,<text>未遂升堂拜。常欽得壽尊。秉心追古範。多福敞高門。慶旣盈閨闥。榮方在子孫。張林碑上字。一一載嘉言。</text>
<title>挽韓僉知 潔</title>,<text>兄有情兼事。天何苦嗇之。親庭終失孝。官序竟云卑。謹愼眞天性。仁慈亦衆知。從今泉路隔。無復見容儀。</text>
<title>聞捷音。恭呈尹仲淸瀣。</title>,<text>地僻無聞說。書來認勝兵。回旋天悔悟。悲喜涕縱橫。諸將蘇心力。孤臣慰聖情。從今祈未死。得見再昇平。與賊相持者。如今七載盈。聖君頻罪己。驕將不交兵。賊壘雖云固。王師自致平。因書聞捷報。悲喜怳難情。</text>
<title>曉倚病枕。思君畧構。鍾城府使鄭曄</title>,<text>序齒雖多少。論交結始終。同來千里外。相近二年中。衰病醫無術。鄕山夢有功。行藏元是數。非是坐途窮。野僻春猶早。城高日易終。羗兒緣壠上。蘆管在雲中。覽物偏多感。爲官有底功。臨溪歸意動。流水與無窮。</text>
<title>試院詠庭杏呼韻</title>,<text>紫陌收微雨。晴光媚艶陽。衆芳皆舊茁。殘杏獨新粧。嫩萼輕沾露。長條半入廊。佳人惜顔色。終日倚寒塘。</text>
<title>挽宋判府事 贊</title>,<text>夙業才華勝。通衢步武亨。身名榮父母。家世耀簪纓。精幹䟽人意。恬和稱物情。玉堂金馬貴。鵷序鷺班淸。按察羅邦節。淹留水部卿。風波難染迹。言語任推誠。近百年耆舊。遭千歲聖明。異恩眞間代。浮世不長生。淸素艱衰事。悲哀忍奠楹。茝蘭香滿室。詩禮孰過庭。被進聯台座。崇銜記粉旌。楊州州北里。何日鶴來鳴。</text>
<title>漫成。贐湖南崔方伯 瓘。</title>,<text>湖服曾經冦。民生未息肩。列城無戰士。隨地有荒田。睿念常留外。名卿出按邊。物情元有屬。僉擧孰居先。和氣薰河柳。威風襲海天。機宜權獨制。文武業俱全。察俗驅原隰。投壺踏綺筵。聲容皆立變。雞犬亦安眠。餘事觀謠頌。覊懷惜歲年。思家驚過鴈。戀主聽啼鵑。官道梅爭發。郵窓月欲弦。烟霞千里遠。書札若爲傳。</text>
<title>入平壤 次皇華集韻</title>,<text>行行過古堠。粉字名箕壤。雲邊楊柳多。城畔郊原敞。地勢近江海。沙鳥飛蒼莽。農夫稅晩牛。野婦來相餉。玉節照道路。行人自景仰。連天供帳白。喧路簫笳響。舊俗知禮讓。塡街皆稽顙。仁人去已遠。萬古增遐想。一片餘舊都。人文寓宣朗。</text>
<title>挽柳持平 時行</title>,<text>交游貴義氣。先子傾等倫。存亡已悠悠。餘慶鍾麒麟。末契託年少。相知情意親。種德爲天報。人看廊廟珍。那知乖所期。玉樹還沉淪。原頭哭鶺鴒。堂上呼窮旻。憶昨對金尊。尊酒同良辰。此是永訣時。追憶重沾巾。</text>
<title>泰來軒</title>,<text>沛地羣山勢北來。擇基端合小軒開。遙知勝集斟溫酒。嬴取殷憂付冷灰。四載干戈悲失所。一官萍梗任多灾。南雲不閉思歸眼。長屬簷前月滿㙜。又衰病乘時鼎鼎來。客襟空復向風開。孤蹤戀國行吟澤。萬事關心坐撥灰。雖有田園違自逸。固知簪紱是身灾。得歸何日登華構。細詠新詩步石臺。</text>
<title>戱成</title>,<text>萬事如今失素期。山林城市兩難之。槐台地位聲名阻。獄訟科程歲月馳。墓道何題榮後聞。沙𩿨末契負前知。一官今又三年近。千里滄洲覺夢思。</text>
<title>寄北靑李通判 成吉</title>,<text>官况因書已細知。此中覊客熟於斯。備甞憂患形容槁。寄寓關河歲月馳。浮世榮名行且已。晩途萍水散而之。只應相對論心處。行次長橋折柳枝。又才華少日我先知。幾度逢人說項斯。萍梗自憐中道散。米塩誰惜妙譽馳。欲圖富貴眞踈矣。每見溪山輒擇之。此志益堅遭亂後。只須棲託一林枝。</text>
<title>除夜獨坐</title>,<text>倦客窮途問雪顚。那堪明日又新年。昂藏形貌全衰矣。冷淡懽悰卽索然。壁鼠烟薰頻自出。紙燈風撼不能懸。遙知諸子家中會。先酌屠蘇勸阿瀍。末子名故及之。後改名渫。</text>
<title>步韻夜懷</title>,<text>自恨相從欠太顚。託交方外與忘年。盛名憎殺荀文若。窮相偏同孟浩然。滄海妖氛南斗蝕。戍樓歸夢北辰懸。廟謨一向輕光宅。宮室何時復澗瀍。</text>
<title>書贈香默禪師。師殊可愛也。</title>,<text>妙香山勢玉崢嶸。浪卷烟堆繞福庭。月與禪心明石塔。雲猜塵迹翳岩扃。沙連崖逕金珠燦。潭近溪橋寶鑑淸。今日從師團晩計。一筇相伴送餘生。</text>
<title>紀行贈源禪師</title>,<text>行近名山促馬來。石峯千朶紫烟開。架巖連岸排金殿。刳木通泉繞玉臺。禪子衣巾雲爛熳。俗人頭鬢雪崔嵬。明朝一出靑林去。滿眼蒼巒首幾回。</text>
<title>奉和</title>,<text>溪蔬野菜亦能肥。寓興山川喜欲飛。峽裡揩眸皆凈界。世間隨步盡危機。淸遊到此行藏决。薄宦從前計慮非。朝日滿窓僧語息。鬢絲禪榻坐相依。</text>
<title>漫成贈峻長老</title>,<text>薄晩春雲撥不開。檜林微雨濕庭苔。芙蓉當戶山形出。環珮鳴橋水勢來。僧計自能棲洞壑。客衣何事染塵埃。階前古井淸如鏡。衰鬢羞看雪兩堆。</text>
<title>述懷與雙運。遆寄靜和尙法案。</title>,<text>未歸歟則更何爲。衰病人間不可支。鐘鼎已難鐫事業。溪山終欲付襟期。高僧道氣欣相襲。遠客塵蹤愧自知。猶且遅回迷去住。此生嬴得鬢成絲。</text>
<title>奉和高韻。專述已事。情實悲凉。且及善謔之語。比呈藥峯節下。遆示同行葵塢令契。要發一粲。</title>,<text>紫荊零落客重遊。山色溪聲捴結愁。晩景殘春空載路。雜花凡草豈開眸。栽培習氣詩猶好。韜晦豪情酒已休。當日風流何處去。邑人爭笑雪渾頭。</text>
<title>石峯見訪 韓濩</title>,<text>感君相訪夙心親。和氣先回雪裡春。紅帶白髯雖惡主。破鞍疲馬是嘉賓。茅簷接地深宜坐。書卷移床促設茵。軟語不知郊日仄。隔山吹笛下樵人。</text>
<title>書齋次韻</title>,<text>茅簷垂地葦籬踈。舊業荒田一畝餘。小野霜深新雪裡。古江聲急早潮初。沉痾忌酒從人飮。宿習吟詩信筆書。世上勳名看亦足。晩將生事寄山蔬。</text>
<title>箕城懷古</title>,<text>白髮重遊迹已陳。地經兵火化荊榛。村形盡出醮樓毁。城勢空長粉堞新。沙岸自崩漫戰骨。井田將廢散遺民。秋風蕭索山河異。江草何時更見春。</text>
<title>呈藥峯道契 徐渻</title>,<text>鶴髮期潛寂寞濱。方知芋栗未全貧。郞官遇事長書咄。丞相逢顔每見嗔。已矣身從時卽晩。嗟乎名是實之賓。黃冠半岸迎門立。爲有柴扉問訊人。又去路迷津問水濱。生涯蕭散任長貧。榮身非望川增福。涉世頻逢屋大嗔。三夜夢魂勞子美。一封書札當元賓。寒烟寂寞茅簷短。回首江天不見人。</text>
<title>次李別坐大成韻</title>,<text>丘壑淸貧莫厭之。石田茅屋在於斯。封侯骨相非吾也。當國功名有彼其。愛主心情常炳若。傷時歌詠只哀而。欲將行止追先輩。命乃丁寧敢不惟。又樂遊何處望昭陵。舒嘯東臯爲一登。淮峀微明雲雜雪。野橋荒廢水成冰。時危世慮常無限。醉極豪情直幾層。植杖黃昏山路去。古齋燈下對殘僧。又黃冠野服賁霜鬚。鄰里唯稱舊大夫。山外小齋來作主。雪邊荒岸步成途。聲名已背麒麟閣。蹤迹長留水石區。明月閑雲邀伴侶。短歌高嘯雜烏烏。又吟詩撚斷幾莖鬚。主意全然去矣夫。農事有方殊可學。世人能步豈同途。栽培松菊成三逕。圍抱溪巒自一區。種豆南山箕亦可。醉中何足唱烏烏。又功名手段自生踈。巧性全無拙有餘。直己不疑行事際。畏人先愧接言初。倦遊京國添衰老。病卧林泉絶簡書。妻子負暄時起懶。陽阿挑取滿筐蔬。</text>
<title>思鄕挑寂</title>,<text>覊思栽培白髮生。起看何路是歸程。風飄野雪穿窓入。月傍家山向枕明。御酒不能寬客意。吟詩猶自瀉鄕情。裁書欲寄平安說。南國春無信使行。又河橋春意雪中生。官柳依依傍驛程。異土光陰魂冷落。故山煙月夢分明。黃金白璧拋初計。綠水滄波有舊情。無補淸時宜自去。不關浮世漸難行。</text>
<title>戱語自嘲</title>,<text>官資通政階三品。比較當身極顯榮。鉅府雄藩甞出守。能聲遺愛不曾生。如今使事偏閑慢。到處官人蔑接迎。旅幌蕭條如乞客。竟知承旨假稱名。</text>
<title>寄西坰令案 柳根</title>,<text>相逢之處極追思。去歲君方卧病時。憂國固應期盡瘁。惜賢常自恐難醫。南鄕消息何能達。西路平安晩始知。今在定州馳想苦。與誰公暇坐論詩。又於時無用處身難。亂際生涯任一寒。霜髮蕭騷空滿鏡。鄕書勤苦願加飧。酒能中聖宜多酌。詩卽窮人不足觀。千里倦遊稀舊識。憶君傳語問平安。又西來相近轉相思。此地逢君復幾時。從宦無功空自苦。懷鄕成病不能醫。如今鴨塞頻傳信。平昔龍門忝受知。白髮蒼顔多意氣。起予端爲得新詩。又老寄塵埃事事難。白𩿨應恠舊盟寒。勳名不至元無望。蔬菜多生亦可餐。頭上雪霜驚自照。世間榮辱任傍觀。江湖春動歸心切。倚席思歸坐未安。</text>
