<title>春景 庚辰○十六歲時</title>,<text>春風散驟雨。城外百花樹。松窻一回首。煙捲斜陽暮。</text>
<title>春酒</title>,<text>新醱葡萄綠醑香。春光浮面播芬芳。故人今夜應相訪。瑤瑟彈餘可一嘗。</text>
<title>春飮</title>,<text>竟日攜朋醉北軒。春華上鬢露新痕。醒來人散松關靜。明月當天夜已分。</text>
<title>春夢</title>,<text>濯足淸泉卧草堂。松茵石枕睡初長。風輕日暖鸎聲軟。夢裏聊遊太昊鄕。</text>
<title>春覺</title>,<text>茫然覺後自成愁。底事無端漫遠遊。記得霎時孤夢裏。泰山頂上盡周流。</text>
<title>有販書僧持花影集。題二絶句。大明夕川居士陶復所著</title>,<text>夕川好事陶居士。八十年來著此書。辛苦一生無處用。謾傳愚俗助淸虛。文章初爲生民設。千載諸家自不知。謾造妖談欺末俗。可憐無益費心思。</text>
<title>秋月照寒水</title>,<text>霜淸雲脫一秋深。寒月生天照水心。晩我來觀無語久。靜中聊和古人吟。</text>
<title>銅柱</title>,<text>商帝威靈火上銅。周王旗色已飜紅。炮民未畢還炮己。禾黍離離故國空。</text>
<title>次覺齋韻 庚寅春</title>,<text>琴自無聲劒自鳴。東西千里隔精誠。兩日幸承函丈話。龍門重續古人情。孶孶夙願在雞鳴。爲學要當立一誠。此日慇懃承面命。明朝準擬察心情。</text>
<title>次宋進士嶪韻</title>,<text>天外浮雲歸洞壑。高樓夜半夢仙翁。人間萬里塵如雨。何事顚冥老此中。</text>
<title>次仲容韻</title>,<text>周孔顔曾在後前。三王損益儘詳傳。此中更有難形像。須會元來度與權。夜來霜月出雲前。千里東天皓色傳。獨自徘徊人不見。此時懷抱掃機權。</text>
<title>孟春在龜舍</title>,<text>萬竿脩竹萬株松。日晏柴扉喚睡慵。窻外落梅憐不掃。慇懃如見故人容。</text>
<title>奉呈柳花嵓</title>,<text>演漾春塘泥土渾。半抽荷葉設錢文。待得漣漪冰淨後。試君來此看眞源。</text>
<title>伽倻琴。次柳花嵓韻。</title>,<text>十二節爲十二絃。天機宜洩自崔仙。當時音曲無人繼。千載人間器獨傳。</text>
<title>次韻呈趙金溝丈 宗道號大笑軒</title>,<text>晩酌湖亭天色霽。新蒲風漾水生紋。玆後佳遊何日再。會須秋月叩荊門。三月湖亭逢故人。十年懷抱此時陳。春風送別知多小。今日離筵恨獨新。</text>
<title>次許丈韻</title>,<text>十年溫暖世間情。門掩風塵獨養精。賴有窻前梅一樹。春來香信滿空庭。</text>
<title>次新軒詠梅</title>,<text>春到長安百萬家。滿園桃李儘矜誇。梅兄不識何心事。歲暮蕭蕭獨自花。衆芳則春。梅獨天寒。羣芳隨處摠成家。說向梅梢莫自誇。玉色冰容霜月夜。滿林桃杏不開花。雖不解語。獨無厚顔。千載西湖處士家。暗香踈影更相誇。東君只管春風節。那識山中雪後花。人梅俱馨。不識何關。</text>
<title>次鄭進士舟臣韻</title>,<text>故人茅舍在溪隈。春日吟詩門不開。新蒲芽白綠楊好。白鷺飛飛時去來。門叩伊誰驚晝睡。村翁肩得一壺來。山蔌溪毛靑竹箸。醉餘聊復起徘徊。寒梅一樹種庭隈。歲暮花開春不開。蜂蝶不知香信早。晩天風日謾飛來。崆峒問道奇男子。風雨乾坤底事來。手把玄珠將遠去。人間回首更遲徊。</text>
<title>金景進送孫子一篇。口占一絶。</title>,<text>艱危須藉濟時才。自古英䧺在草萊。堪笑故人何許者。數篇孫子送山來。</text>
<title>德山滯雨見懷</title>,<text>晴雪冷風遲別日。密雲沉雨倦遊時。佳人消息憑誰問。春到梅花夢獨知。</text>
<title>謝恩赴京。次仲容韻。</title>,<text>謝恩千里赴王京。慈母劬勞鶴髮生。此日遲遲心與事。故人應信不矯情。</text>
<title>烏原溪小坐</title>,<text>半山斜日半淸溪。老木陰陰岸欲低。小坐巖頭人不見。水禽山鳥亂飛啼。</text>
<title>宿城內村舍有感</title>,<text>蕪沒平原白菊多。小村籬落半矮斜。隔窻終夜舂聲苦。報道平明有急科。</text>
<title>次呂義城聖遇韻。奉別張報恩德晦。分手天安。勸酒以別。</title>,<text>野外無人草色荒。送君斜日我心傷。湖山百里非無酒。明日何人勸一觴。余與德晦。志同業同跡同交遊同。同在嶺南。同孤無兄弟。同不第。同不熟於世路。今又同日同被誤恩。同拜謝同赴任之路。古人以三同猶以爲難。若僕與德晦。奚但百同乎。然已然之同。可謂同矣。將來者。尙相勉焉。於其別也。聊贈一語。乙未秋日次 旅軒賤分當年職理荒。臨民却愧視如傷。離懷欲說言難盡。更向秋風勸一觴。</text>
<title>又</title>,<text>秋半荒村暮色凄。小桃垂實與簷齊。誰信一杯情似海。六年相遇又東西。更步高韻。用報情吟。旅軒臨分何用各懷凄。強欲齊時物不齊。獨有一言相贈戒。古來天地不東西。</text>
<title>礪山村舍。贈吳孟長卿。</title>,<text>一氣而分卽一身。見君何用舊相親。壺山半夜燈前話。莫謂於今是路人。山縣羈愁似楚囚。滿林黃葉已深秋。半年奔走風塵路。贏得今宵與子謀。</text>
<title>過寒暄，一蠧所遊溪石。</title>,<text>金鄭曾聞此地遊。松聲水色共悠悠。後來經過人無數。爲問何人坐水頭。溪在居昌山際峴下。有盤石松林之勝。去寒暄所曾卜居陜川崇山之地不遠。人傳寒暄自崇山來遊。一蠧自咸陽相就。徜徉笑語。人莫知其意。庚子秋。余與文順甫過經于此。順甫爲余說之甚詳。仍久坐盤石上。松聲水色。宛然昔日風光。到此地想此人。悄然有隔千載相感之懷也。書以爲記。詠一絶。</text>
<title>次權達甫韻</title>,<text>獨坐晴陰山水亭。冥蘿瑤草望中靑。一杯春酒情無盡。非是吾生學楚醒。</text>
<title>次韓君韻</title>,<text>山外淸江江外亭。亭中風月卧中楹。依然夢罷高舂後。時有沙鷗會我情。</text>
<title>訪權遠甫次韻</title>,<text>細草郊頭春日斜。遊人衣暎杜鵑花。竹林深處茶煙起。知是丹丘處士家。</text>
<title>無題</title>,<text>風擺長江水勢高。一環晴浪湧亭𦤎。呑花卧酒遊三月。無限閒情醉後豪。</text>
<title>偶題</title>,<text>新居草草小溪隈。一片柴門晩不開。阿兒怕却催科吏。曉汲寒泉戒往來。</text>
<title>謝鄭君持酒來訪</title>,<text>漏雲殘月照平波。江樹微茫暈白沙。倒盡深杯猶未已。感君來訪意偏多。</text>
<title>次克承韻</title>,<text>花影重重倒碧湖。綠楊濃處亂鸎呼。蹇驢歸去不知晩。沒得全身入畫圖。</text>
<title>謝太守來遊溪亭</title>,<text>桃花飛盡李花飛。春事堂堂漸已稀。一盞松醪情未了。夜深江路莫須歸。</text>
<title>曺得而 敬德 呼韻</title>,<text>江上閒遊夜欲深。篴聲寥亮透雲心。何時更卜今宵會。象外溪山得細吟。</text>
<title>暮春遊江上</title>,<text>芳草和煙織似圖。扁舟載酒下前湖。東風也識詩人意。吹送梨花著酒壚。小雨霏霏曉作圖。兩涯新綠暎平湖。移舟共餞東君去。無數飛花過酒壚。</text>
<title>江上</title>,<text>碧是長江白是沙。風恬萬頃泂澄波。鴈聲橫掠秋空去。千疊丹崖鎖暮霞。</text>
<title>川遊贈友</title>,<text>水作玻瓈釀夕陽。棠花挾路發幽香。叉魚鼎坐無餘事。野老農談正短長。</text>
<title>贈曺得而</title>,<text>廿年前事夢悠悠。相對江湖兩白頭。世事如今君莫問。雨餘天際有雲浮。</text>
<title>偶吟 甲寅</title>,<text>竆陰凝塞入山中。芳草佳華盡朔風。獨立歲寒無一物。但看寒嶺不移松。</text>
<title>無題</title>,<text>數家紅葉落滿庭。綠竹黃花帶晩晴。日夕蕭條人不見。隔江漁笛歲寒情。</text>
<title>寄桐溪海島謫行 二首</title>,<text>滄溟萬里渺無津。一葉孤舟載逐臣。寄語波神須善護。綱常全付此翁身。有瞳厭見不如矇。有耳苦聞只欲聾。南望海天心更隕。風波何事棄孤忠。</text>
<title>和故人韻</title>,<text>一帶長江萬疊山。客遊非是又偸閒。秋天漠漠斜陽盡。三角遙瞻舊日顔。</text>
<title>柳澤持酒來迎</title>,<text>三四人同披草坐。村醪酌處雨霏微。此行非是虛來往。割取蓼灘秋色歸。</text>
<title>鄭別座丙辰八月念三來訪。留六日將歸。送于李君草亭。醉中口占。</title>,<text>渺渺長程與水流。人來人去幾時休。浮雲靉靆秋陰重。挽得歸鞭問再遊。</text>
<title>偶吟 在兎山時</title>,<text>萬里誰尋病客捿。雲連芳草海天低。微禽也似曾相識。飛過樓前啼又啼。</text>
<title>沐西溪</title>,<text>當午西溪步。除衣綠水投。銀波一百丈。塵骨十千愁。滌盡歸滄海。身輕泛上流。盤銘新有戒。夙願始今酬。</text>
<title>坐溪上盤石</title>,<text>唾出澄江面。人遊空地頭。杯開千丈石。醉遣萬端愁。朋達論成趣。吟高意轉優。誰知今日樂。勝上廣寒樓。</text>
<title>到先人卜地有感</title>,<text>先考名聲赫。終年厭世塵。歸尋會稽趣。卜此剡溪濱。流水知何處。年華已十春。煙霞今日在。還自淚沾巾。</text>
<title>月夜吟</title>,<text>數日吟詩不。江山爲我愁。玉成天影碧。冰冷月光瘦。萬里涵虛夜。淸空一鴈秋。坐來懷抱濶。怳惚在丹丘。</text>
<title>挽堂叔守吾堂</title>,<text>玉樹霜風急。蒼天遠莫知。淸溪寒石質。古椀白冰姿。眞實由天性。沉潛匪外爲。斯人今遠去。此別再難期。又山齋操几日。虛室展書秋。明月來無盡。光風散不收。吟成千古趣。說罷萬端愁。已矣今難繼。凄然空涕流。</text>
<title>薛川道中</title>,<text>秋雲留不去。陰雨未全晴。夜宿看星斗。晨行問堠亭。荒田虫有語。山逕鳥無聲。晩飯平林外。孤村煙已生。又未霽前朝雨。猶祈後日晴。雲低峯出䯻。溪急壑生聲。歷歷東南界。悠悠雲水程。良朋偕轡去。不必太瘦生。</text>
<title>次黃彥明題金將軍庾信墓</title>,<text>壯烈訏謀裏。威稜指顧中。三韓能再造。千載有餘功。古國風塵老。空山草木同。精神猶髣髴。霜日半天紅。</text>
<title>與柳花嵓，金汝吉會話池亭。翌日寄呈求和。</title>,<text>良友相逢日。淸樽共酌時。煙花迷節序。風月滿襟期。鱗雪升盤見。薇香送箸知。醉來君已去。醒後更相思。</text>
<title>奉呈花嵓</title>,<text>吾愛柳夫子。淸踈與我同。風塵磨一劒。湖海趁孤鴻。齟齬求名晩。沉冥得意通。春來多種秫。歲暮獨看松。</text>
<title>用岳武穆韻。奉呈松庵金先生 沔 討賊。</title>,<text>隻手扶天紀。長戈奮海陬。氣凌河嶽壯。忠動鬼神幽。聖主方嘗膽。群臣正碎頭。何時恢復畢。白日返楊州。</text>
<title>與文順甫遊烏石溪石書贈一絶</title>,<text>千里相期地。干戈此日逢。池隍流血肉。城闕半蒿蓬。探勝非寬眼。斟杯爲豁胷。西山留白日。却望淚盈瞳。</text>
<title>酬金進士景進見寄</title>,<text>宇宙皆吾分。雲山非我家。風塵義可許。今古勢相遮。浩浩川原隔。凄凄霜雪加。佳人歸日晩。飮泣望天涯。</text>
<title>次趙君悲志士韻</title>,<text>海鶴往來倦。溪雲舒卷遲。泥途四縶驥。蓬室六藏龜。命負屠龍手。功成作聖基。當年雖不做。猶可後人師。</text>
<title>元朝有感。示座中諸君。</title>,<text>昨日靑羊盡。今朝又丙申。流光隨水去。壯志逐年新。白首猶童習。靑衫愧世塵。西疇將有事。可矣及三春。</text>
<title>贈別姜渭明 景靜</title>,<text>己卯傾君蓋。於今二十春。浮沉皆有數。離合共傷神。客舘梅經雪。殘燈影伴身。不緣嘉客過。何以慰愁人。</text>
<title>因姜君之過。寄安陰倅郭養靜。䞭號存齋</title>,<text>君過安陰縣。應尋太守居。風塵三載別。珍重一封書。殘縣吾多病。明時子亦疎。憑傳一語問。何日定歸歟。又海月圓還缺。山雲卷又舒。往來都不管。消息摠歸虛。雪逕梅兼竹。朱門肉更魚。口心難並養。歸去復吾初。</text>
<title>智谷寺呼韻</title>,<text>客愁不可遣。秋夜一何悠。雲捲天容靜。風凉海氣收。懷人阻漢水。多難歎神州。耿耿我之思。粮裘非所求。</text>
<title>次李汝實韻。別李使君。</title>,<text>人事有來往。江聲無古今。憑誰更開抱。從此獨沾襟。樓宴分宵永。船遊竟月沈。悠悠前日事。脈脈此時心。</text>
<title>涵虛亭遺址有感</title>,<text>此閣何年火。頹垣菊自香。朝霞生水面。落葉下巖樑。臺壓頭流色。溪涵獨女光。坐來多感慨。人世幾興亡。</text>
<title>登望翠臺</title>,<text>山深雲入帽。逕狹露沾鞋。嚥液擎丹果。攀危度石梯。波紋搖日出。嶽色亘天齊。晩入龍游洞。楓林幽鳥啼。</text>
<title>龍游洞</title>,<text>古有龍游跡。人傳智異門。千尋穿壑竇。萬狀幻巖根。闔闢乾坤判。升沉日月分。見聞今始了。眞假定誰論。</text>
<title>送高員外用厚赴京</title>,<text>風義欽先契。聲光屬遠瞻。感君辭已款。慚我贈還廉。海月生晴瑞。遼雲掩晩纖。男兒當遠路。叱馭愼無淹。</text>
<title>挽朴參判夫人</title>,<text>儉約承君子。蘋蘩禮不差。榮光五鼎享。流慶二蘭芽。尊是夫人號。淸非宰相家。門庭徵實德。引美匪爲華。</text>
<title>次舟中韻</title>,<text>舟放滄江濶。輕風十里來。晴陰長短柳。豪興淺深杯。春盡猶堪惜。鷗親不必猜。勝遊殊未洽。須趁夜深迴。</text>
<title>謝李汝賚來訪</title>,<text>閒居常夢見。別席問重來。浩蕩三春夕。風流一百杯。煙花俱有意。鷗鷺自無猜。未便辭歸遽。離腸已九迴。</text>
<title>送李茂伯 潤雨 赴鏡城任所 號石潭</title>,<text>昭代無遺物。邊城送遠人。官銜盈半刺。家食僅三旬。茂伯爲輸城察訪。罷歸星州故鄕。纔二十餘日。又爲鏡城判官。 雪虐磨雲夕。冰堅鐵嶺晨。玆行無用悔。吾道未應淪。余於癸丑六月。以正言避嫌。爲時論所排。八月除鏡城。將行有重病。卧席月餘。遞差李君。代余除授。余遂爲別章。</text>
<title>送鄭克承之京。醉中口呼。</title>,<text>京洛多門戶。君行更歲寒。踏地難著足。開口強爲顔。峭雪當脩路。頹陽正晩山。斟杯辭未就。兀兀更相看。</text>
<title>更步前韻</title>,<text>慘裂時人意。嚴霜未道寒。虫魚安足數。儕輩恐無顔。鳥雀歸荒塢。煙霞鎖故山。慇懃五言贈。要作洛中看。</text>
<title>次人韻書懷</title>,<text>未報三年愛。終爲一罪人。他生難遂願。此夜獨傷神。阡樹經風動。灘音喚歲新。慈烏更何事。窻外苦啼頻。</text>
<title>留別鄭秀甫昆季 赴謫時</title>,<text>手有相分日。情無可別時。君行皆有樂。我去未爲期。梅岸香初動。春江舟自移。男兒毋用老。百杯莫留辭。</text>
<title>更步前韻。贈洪楫夫示情。</title>,<text>中途計程夕。情友滿堂時。斜日明丹悃。江雲問後期。浮生知有命。壯志未應移。欲話吹葱事。杯深已沒辭。</text>
<title>次崔平山韻。奉金參軍。</title>,<text>參商千里外。面目十年來。雅調尋瑤瑟。淸姿憶雪梅。寧知湖海路。復擧死生杯。愼却三緘口。今宵也自開。</text>
<title>登南山</title>,<text>絶頂身如翰。遐瞻意益綿。乾坤纔一片。今古自千年。三角長天外。孤雲落照邊。閒愁無用著。且可此便旋。</text>
<title>呈無何有主人 李庭英。楊州人。</title>,<text>自進良非進。求爲在不爲。方知君子靜。能得古人師。江海風霜重。乾坤歲月移。披書洗心處。默會絶吾伊。</text>
<title>淨水寺吟 壬午</title>,<text>男子微身任覺民。如何十八尙凡人。吟邊天地都無管。筆後風雲謾有神。北極欲爲將奮羽。南冥豈作竟沉鱗。閒吟獨立年將晩。綠意紅情又是春。</text>
<title>登楡山</title>,<text>踄盡千層萬層峯。登臨眼界八方通。東南海水溝渠似。西北神山土塊同。已覺浮空天下小。却欣飛步羽仙逢。從今認得圓融趣。氣吐胷中浩不竆。</text>
<title>校齋偶吟。贈李朴兩君求和。</title>,<text>西窻間掛竹林頭。穿望孤峯爽氣收。密葉雨聲微碎碎。小塘雲影蕩悠悠。松滋碧色簷前擁。荷送淸香盞上留。朋友兩三資講習。齋居竟日少閒愁。</text>
<title>次照上人韻。因以贈別。</title>,<text>久閟䧺談唇欲腐。相逢剩得一塲閒。山陰學士淸霜舌。方丈禪僧白雪顔。直說心周天地內。休言道在有無間。纔論懷處行難挽。濃樹溪頭送爾還。</text>
<title>在淨水庵。書贈朴君秀。</title>,<text>空山中夜警吾心。賢聖微言次第尋。千古孔顔眞志趣。百年周邵好胷襟。月生寒水天來襯。霜透淸牀夢未侵。要識此中無盡意。圖書玩罷抱瑤琴。</text>
<title>登孤山</title>,<text>聳出雲間一點峯。千年黛色老蒼松。山頭近引孤輪月。天際遙回一陣風。短岸長橋觀望裏。輕煙碧草笑談中。從前此景吟猶未。今日登臨興不竆。</text>
<title>次韻</title>,<text>蓬瀛誰道海中浮。此地風光足上遊。潮去斷岸生晩篴。風恬遠浦有歸舟。平生夢想懷曾鬱。此日登臨意轉悠。留待酒醺天有月。不須孤棹問滄洲。</text>
<title>次許丈韻</title>,<text>簞食千年有此翁。孤吟半世坐詩竆。春山花色高低裏。秋水煙光濃淡中。幾許扁舟叉錦鬣。有時斜日撫孤松。薔薇花露今宵重。手摘香珠啓竹筒。</text>
<title>次贊畫使袁黃韻</title>,<text>撑眉居士出三韓。襟暎淸冰皓月寒。王伯機關曾掩卷。虎龍旗纛獨憑欄。見聞才溢儒家小。談笑威行虜氣殘。只恐玄虛非實地。眞源更向六經看。附元韻蕭蕭征馬出三韓。門掩疎桐五月寒。我僕旣痡姑進酒。君恩未報獨憑欄。靑山不逐流年去。玄思空隨短鬢殘。爲問黃粱曾熟否。如今不作夢中看。</text>
<title>又次其韻。仰呈元師。</title>,<text>天兵壓卵下辰韓。醜虜驚惶肝膽寒。士卒未窺金海堞。將軍高倚廣寒欄。皇恩未較東溟淺。軍勢危看曉露殘。恢復只憑中國力。諸公於此忍相看。</text>
<title>錦江樓。次金景進韻。</title>,<text>秋半鄕關夢幾回。竹園無主長莓苔。此行應似籠禽苦。閒笑時憑好友開。千里暮雲偕遠望。景進慈親。亦在南州。 一樽斜日倒幽懷。欲題佳句江山勝。行色悤悤已見催。</text>
<title>贈都一源 敬孝號病隱</title>,<text>羅村 在咸陽。一源先大夫所居。 德里 在山陰。余先親所居。 事茫然。伯仲之情 先世情分如此 子已詮。此日須敎如昔日。勿忘前好 百年那得更三年。自道情事 草經春雨新顔潤。自勉 松帶霜濤晩色全。勉一源 多小此中相勉意。君來我去莫遷延。欲得源源相見先親爲外孫於都門。與一源先大夫往來如一家。故余與一源亦有兄弟之義。時余新經先妣三年。一源亦以病閉門。握手相視。情不能勝。遂書此以相勉焉。萬曆甲辰二月晦。吳長書于明農亭。</text>
<title>智谷寺。和朴君秀韻。</title>,<text>渺渺平湖空有船。懷人不見意茫然。豈是煩痾偏戲事。定應霪雨阻揮鞭。數聲啼鳥遷深磵。千樹幽花帶晩煙。堪笑朴君情自苦。日斜空復展新筵。</text>
<title>智谷寺。次鄭克承。</title>,<text>長恨愁懷不自寬。浪遊淸謔未全慳。丈人時復拖桃竹。童子還令咳碧瀾。一岸江聲秋氣早。半邊山色暮雲閒。高舂睡起思千里。身在樓頭日未竿。</text>
<title>呼韻</title>,<text>一葉飄來天地秋。年光如水去悠悠。寒蛩閙夜聲偏恣。新月遮雲影半收。誰信上書開漢主。未堪投刺謁荊州。筭來三十年前事。歲晏山中何所求。</text>
<title>養老宴。奉呈主倅求和。</title>,<text>圃老軒騰事獨傳。使君千載更鳴絃。欲將仁術扶衰世。便許高年展勝筵。壽域江山長日月。醉鄕笙管舞神仙。要知後代看前事。從此恒留太守賢。右賀養老盛事十年零落舊鄕閭。誰料皤皤尙有餘。短帽破衫多亂後。揷花扶杖太平初。春回綺席秋無力。酒住韶顔老已除。太史夜來驚報事。分明壽曜入鶉墟。右喜鄕多老人八袠無緣御板軒。坐驚光彩動荒村。仙醪潤肺疑丹藥。鳩杖扶身勝弱孫。盛宴縱違鄕老會。歡心均荷使君恩。公庭不可陳私謝。大德難將小惠論。右謝使送酒杖</text>
<title>謝克承來訪智谷寺。用金宗偉呼韻。</title>,<text>千里東溟水未淸。一年京國鴈稀聲。月孤寒榻吟偏苦。霜入秋帷夢幾成。此日幸蒙尋古寺。明朝叵耐計長程。爲君聊贈千金劒。割却塵愁與世情。</text>
<title>六月廿三。沈豐德訪余江舍。有題次韻。</title>,<text>江居何事不寬幽。爲世於吾未有求。穩在引風當暑裕。懶宜邀睡掩門收。乾坤數月連陰雨。時序三庚已素秋。珍重客來無以餉。可將雲水侑淸遊。</text>
<title>和寄登樓有懷 二首</title>,<text>欄干新壓碧江幽。空外塵埃分莫求。隔竹淡煙霏欲散。浥蓮疎雨細初收。窻華繚白三更晝。水氣生凉六月秋。堪笑夏畦流汗者。不知人世有樓遊。說著仙區事便幽。樓居聊向此中求。扶桑海氣來窻漾。方丈山光入檻收。羽客定應今一夕。道經須莫昔千秋。淸都更有榶花否。添入諸家譜勝遊。</text>
<title>梅逕香寒蜂未知</title>,<text>瀟灑西湖外。蒼茫歲暮時。英英瓊萬樹。皎皎玉千枝。雪裏開春國。花中立將旗。霜凝疎蘂冷。風拂素香吹。凜冽穿林麓。飄搖繞水湄。縈橋彌淡泊。越逕轉淸奇。馨德雖如此。寒心奈莫窺。東君元未識。細物固難知。課蜜無粘萼。媒香絶抱髭。何傷春物棄。方見歲寒姿。杳杳雲山畔。悠悠湖海涯。淸冰空自保。皓月秖相隨。沈玩多幽感。長吟結晩思。由來和鼎實。世上摠相遺。</text>
