<title>與權皆玉 瑎 講心經。曉起書贈。</title>,<text>歲暮終南下。端居晝揜門。欲將冲靜趣。相對共忘言。</text>
<title>次洪百源 汝河 韻。寄李翼文 徽逸 昆季。</title>,<text>漳濱孤臥病相尋。引領仙棲遠起欽。兩地音容憑夢接。一天明月盡情臨。從知人獸分操舍。誰辨熊魚味淺深。卻恨山樊阻麗澤。爐邊可笑覓零金。</text>
<title>雲溪草堂八絶 幷序</title>,<text>臨河縣之北數里許。有雲谷焉。或曰山形嶙峋。望若層雲。故謂之雲谷。或曰谷中多雲。名之以其實也。昔我曾王考始卜居于此。仍自號曰雲溪。今已八十餘年矣。爲山不甚高大。洞壑亦不深邃。而兩麓谽谺。一溪中流。幽閒窈窕。允宜藏修之所。水在東曰雨溪。在南曰洛川。溪循山北。周流四五里。至山之前而與雲溪合。同入于川。川自落淵而西趨。至傅巖下則演漾泓渟。深可以舟。白沙澄潭。連亘五里許。上而有峨洋樓白雲亭。下而爲寒松亭鏡浦臺。皆吾先世之所盤旋。而景致之殊絶者也。余自少長養于此。而零丁寒素。無以爲家。遷移棲棲。不常厥居者久矣。今年春。始就故家之上。溪之傍谷之中而得隙地焉。縛屋三間。以爲藏書養拙之所。西二間曰拙修齋。取東坡下士晩聞道。聊以拙自修之語也。東一間曰自怡軒。取唐詩北山白雲裏。隱者自怡悅之語也。合而扁之曰雲溪草堂。蓋志曾王考之遺意。而不敢以不肖之私號加之。以示吾不忘其本之意也。自此北轉十餘步許有洌井。冬溫夏冷。大旱不渴。仍名曰瑞泉。蓋朱子雲谷有瑞泉。故亦欲效嚬而名之耳。堂前鑿半畞成塘。左導雲溪而灌之。右注瑞泉而瀉之。活水源源。光影婆娑曰一鑑塘。塘之中絫石成島。塘之岸築土爲壇。植其上梅竹松菊曰四友壇。壇之外繚以柴圍。至東偏而揜以一扉曰常關門。嗚呼。余之不佞。僻處竆巷。其於一切世味。固嘗淡泊。而中歲以來。妄出世路。風埃顚倒。逆旅推遷。幾至狂惑喪心而不知止也。今始脫身樊籠。復尋遂初。將欲收召精神。料理書冊。而貧病爲祟。遊息無所。雖欲靜几明牕。對越聖賢。勢不可得矣。今此之堂。初不過爲容膝之計。而意與境値。興與趣寓。乃敢室之軒之鑿之築之。寵以名號。侈以文詞。揄揚誇美。雖非寒士之所宜。而感發興起。亦是閒中一事業也。於是逐處各以五言小詩一首紀其事。凡得八篇。或曰子之所。窈而深。子之宮。幽而靜。子將隱矣乎。曰否。余非長往者。亦非乾沒者。得之則抱關擊柝。我所不辭。不得則破屋數間。爰得我所。何嘗有固必之志哉。如是而述先志。如是而終吾生。其亦可乎哉。或人唯而退。上之十年己酉日南至。洞主。雲溪草堂雲從石竇生。溪繞山間出。中有一畞宮。淸風與明月。拙修齋性拙安愚分。學拙憂暮境。雲間一小齋。制拙亦可省。自怡軒白雲在空谷。無心天際翔。誰知卷舒裏。可以占行藏。瑞泉暗竇溢靈泉。釀雲漫山谷。渫治已多時。自在寧心惻。一鑑塘活水淸如鏡。左右自有原。誰知半畞裏。終日玩心源。四友壇淸芬雪月中。苦節風霜裏。築壇拜四君。倂作歲寒契。石島石島一卷小。宛在水中央。不堪擬砥柱。只要暎寒塘。常關門長對床頭籍。誰敲月下門。秖喜車馬少。還憎鳥雀喧。</text>
<title>用東巖言志韻</title>,<text>半畞荒原碧澗頭。林深谷邃最淸幽。雲生石竇晴猶濕。雨洗山容滑欲流。至樂正隨尋處得。浮榮那向競中求。曾前失腳還堪笑。吾道從今合退休。</text>
<title>李伯脩 梴 涉漲來訪。止宿溪堂。臨別口呼。</title>,<text>半世經營一小齋。今朝頓荷玉人來。聯床正好幽襟討。對面還欣病眼開。白首竆廬嗟我老。靑春脩道勉君才。趨庭他日如承問。爲報相思意莫裁。</text>
<title>次題李翼文玉川新居</title>,<text>茅屋依巖小。松風徹几淸。源泉恒潑潑。庭草自生生。地僻心逾遠。園深趣已成。身名何用泰。吾道遯猶亨。</text>
<title>率病兒世鉞。移寓縣村。</title>,<text>愁眉數月未曾開。一寸肝腸半已灰。不識胷中何許大。能容萬斛卻恢恢。</text>
<title>兒病日重。泣書一絶于壁上。</title>,<text>殘燈挑罷滅還明。誰識人間父子情。解事天公應憫我。神功一夜儻回生。</text>
<title>溪堂盆竹。一朝盡枯。仍念亡兒。感泣賦之。</title>,<text>物中有爾竹。人中有吾兒。竹性貞且固。兒姿淸而奇。慇懃爲撫培。共託歲寒期。將冀枝葉茂。幾望雨露滋。一朝兒遽逝。又見竹更腓。憔悴堪可惜。痛哭將何之。竹兮復兒兮。爾生俱不時。竹生淇水澳。靑靑復猗猗。兒生徐卿家。福祿厚如茨。胡然在我側。芳質同時萎。嗟哉兒與竹。由我而至斯。我爲兒竹主。不能庇其私。兒兮復竹兮。爾死眞可悲。相對寂無語。感涕遂成詩。</text>
<title>出城門。次權皆玉韻。</title>,<text>半世浮休客。三旬滯洛城。蕭疎愧雙鬢。牢落笑平生。遠峀雲煙鎖。長河氷雪淸。此行非二子。誰與話心情。</text>
<title>路中掬雪飮氷。吟得一絶。示權皆玉。</title>,<text>不是山陰乘興客。灞橋寧慕聳肩人。平生只學程夫子。願洗人間萬斛塵。</text>
<title>族姪昌文作三詩來示。詩中頗有轉腳之意。病中不能盡次。只以一首道意云。</title>,<text>人間無限好光陰。頭上分明白日臨。須從實地勤操執。莫向冥途枉索尋。河洛千年洙泗派。陶山百歲考亭心。感君年少能回腳。一語醒然便直金。</text>
<title>前詩未盡所懷。更以一詩勉文姪。</title>,<text>道非身外豈難知。事業要當及壯時。腳下不應無實地。人間方見有男兒。高才自是追前軌。蕪語何能發遠思。病我極知嗟歲月。煩君年少百千之。余前有一二勸勉之語。昌文來謝其言。故第二聯及之。</text>
<title>輓瓢隱先生</title>,<text>百鍊精金耀月中。斯文南國望逾隆。堂名瓢隱顔回樂。地號陶淵處士風。喬嶽方期千歲仰。儒林誰道一朝空。霜霄獨鶴飛鳴過。如奉先生玉雪容。</text>
<title>族弟文彥 呂重 送盆梅。乃瓢隱先生家藏愛護者也。憔悴幾死。感吟二絶。</title>,<text>病榦槎牙鶴膝枯。可憐猶帶舊淸臞。慇懃移我溪堂畔。爲問眞元已損無。問爾氷魂底處依。老仙當日託心期。秖今猶有瓊瑰綴。依舊精神雪後姿。</text>
<title>送金子長 德遠 出牧晉陽</title>,<text>晉陽巨鎭也。牧使名官也。以名官刺巨鎭。何嘗有不豫色。而友朋相愛之情。不得不深於風土之憂。子長遠遊之意。又不能自已於庭闈之念。此實人情之所必至也。然怡然就道者。子長之志也。臨歧出涕者。友朋之私也。朱夫子所謂季通不挫之志。友朋相愛之情。可謂兩得之者。非此之謂耶。願子長勉之愼之。若於此不能釋然。則其與長戚戚者。奚以異哉。詩雖拙意可觀。幸勿外焉。惜別休歌行路難。人情從古似波瀾。蒸池未可留芸叟。嶺海安能死志完。暫倚星辰懷北闕。行看鎖鑰壯南關。應知彩服趨庭日。勝昔髭鬚驗改觀。</text>
<title>送兪士謙 夏益 赴北幕</title>,<text>關河幕客啓行旌。授簡求詩愧未成。半世風塵驚短髮。暮年霜雪愼長程。東郊一夜燈前話。北塞三秋夢裏情。聞道聖經新繡梓。願將心學闡文明。</text>
<title>夜半起坐。閱朱書節要。</title>,<text>禁漏聲傳午夜風。寒燈挑罷影曈曈。此中趣味無人識。獨整危襟對晦翁。</text>
<title>朱子文錄衣面書唐詩。仍次其韻。</title>,<text>獨把陽春和者稀。城南終日閉柴扉。鄕山昨夜歸心促。肯許緇塵汙雪衣。</text>
<title>洛中上元。挑燈獨坐。謹次朱先生崇壽客舍二絶韻。</title>,<text>上元初夜禁鍾鳴。喚得心神十分淸。新月滿庭人寂寂。隔牕溪水已春聲。上元中夜蚤雞啼。叵耐霜風透客衣。佳節已從愁裏過。故鄕千里幾時歸。</text>
<title>次南仲遵 夢賚 韻</title>,<text>遊子思親望白雲。况逢佳節氣氤氳。蟻浮臘色仍春見。溪帶寒澌已夜聞。客裏光陰悲志士。鏡中霜雪泣將軍。乾愁苦恨深如許。樽酒何時更討文。</text>
<title>以儀註色郞。到相門外入依幕。客室蕭灑。庭有三槐一桃。堂有盆梅盆梔。壁間懸一大簇。展之則乃天下地圖。奇巧無比。雖在城市。而絶無喧囂之聲。沈吟坐臥。不覺日斜。夕小雨。仍口占四韻以志之。</title>,<text>鎭日奔忙百念枯。忽尋委巷小堂虛。滿庭蕭灑三槐影。半壁分明四海圖。啼鳥一聲人寂寂。落梅千片雨踈疎。誰知九陌紅塵裏。別有三淸白玉都。</text>
<title>往仙庵。以詩招權皆玉。</title>,<text>仙庵眞別界。山水淸而姸。明沙與白石。淨鋪疑瓊筵。念昔我先祖。素稱物外仙。巖頭起飛閣。丹雘暎山巓。嗟我本疎拙。蚤爲世所捐。獨專泉石趣。付與寧非天。歸來爲養病。高臥煙霞邊。淸賞愜素懷。沈痾頓覺痊。君持使者節。風采爛雲煙。驅馳遍原濕。不暇探山川。胡不屛騎從。暫借僧榻眠。官途未五里。來往亦所便。山醪又滿樽。不須問聖賢。壁間有淸唱。一讀洗煩悁。請君速迂駕。毋使望眼穿。懸知一夜話。絶勝讀十年。</text>
<title>余自癸未。從瓢隱先生來棲仙庵。今已三十年矣。庵去瓢庄只若干步。而余之往來受業。歲不知其幾焉。中間妄出世路。顚倒風埃。而歸輒拜候。雖未敢自謂之講學。而其往來質疑之樂。則實無異於朱夫子之西林矣。今年冬。駄疾重到。風月依舊。人事變換。撫念身世。已迫遲暮。而疾病如許。舊學茫然。其必終累師門而後止耳。感涕之極。仍次西林壁上韻。示族弟台重。</title>,<text>舊學漸荒新病深。茫茫墜緖已難尋。誰知積雪空山裏。獨臥禪牕此夜心。</text>
<title>新卜錦陽。吟成一律。求和同志。</title>,<text>新居擬築小溪湄。縹緲煙霞接翠微。唐嶺雲深松子落。錦江秋晩鱖魚肥。門前香稻堪炊飯。屋後輕綿可授衣。生理此間無不足。浮名何必帝鄕希。</text>
<title>次李子愼丈 廷機 鳶魚亭韻</title>,<text>半世風塵悟役形。歸來松柏翠亭亭。任他雙鬂千莖白。閒愛孤燈一點靑。已遣靈襟渾洗滌。肯敎身世入沈冥。蹇驢蚤晩尋眞境。月戶雲牕且莫扃。白首歸來境益淸。重營舊舘喜初成。天機定在閒中活。妙用元從樂處生。月露形容非得意。鳶魚飛躍最關情。知公家學淵源在。妙訣千秋聖訓明。</text>
<title>訪養眞庵。次淡上人壁上韻。</title>,<text>蒼茫誰與話愁端。偶得禪牕半日閒。松影滿庭人寂寂。一簾疎雨對靑山。</text>
<title>次謝山澤齋 洪百源齋號</title>,<text>梅萼新春惱客情。誰敎詩律到山庭。開緘宛對臞仙面。悵望江雲獨倚亭。</text>
<title>又次再呈</title>,<text>病裏偏驚歲月忙。愁邊誰報換年光。杜門丈室春陰轉。倚枕山牕客夢涼。因疾得閒殊有味。安心是藥更無方。何時快脫沈痾去。飛上蓬萊第一岡。</text>
<title>過族兄濟萬 學達 舊宅</title>,<text>故宅荒涼草滿庭。停驂回首不勝情。那知書社終宵話。永隔容音此一生。</text>
<title>遺誡兒輩 觀化前數日</title>,<text>平生學道竟迷津。此日追思恨轉新。珍重兒孫須繼述。謹勤二字可持身。</text>
<title>高祖雲巖先生言行錄</title>,<text>公諱明一字彥純。姓金氏。義城人。高麗太子詹事諱龍庇公。其始祖也。高祖諱漢啓通訓大夫副知承文院事。曾祖諱萬謹成均進士贈通訓大夫通禮院左通禮。祖諱禮範秉節校尉贈通政大夫承政院左承旨兼經筵參贊官。考諱璡成均生員。屢贈資憲大夫吏曹判書兼知義禁府事。妣驪興閔氏。左政承文度公諱霽五代孫世卿之女。生五男子。公居第三。以嘉靖甲午八月壬寅。生于臨河縣之川前里第。稟性和懿。志行純明。自幼穎悟出人。讀書不怠。判書公敎誨且嚴。以故文詞日就。聲聞藹然。時伯氏藥峯公已出仕路。歷典郡邑。公嘗從學焉。弱冠讀書于紹修書院。錦溪黃公俊良一見重之。結爲道義之交。及其還也。遂作贈行長篇以與之。其期許之意。溢於言表。時退溪李先生方倡敎於陶山。公慨然登門。款承謦欬。先生爲書箴銘與之。居齋質問。或至數月。又入淸凉山。劬書刻勵。閱歲乃還。皆判書公命也。甲子與亞弟鶴峯公誠一季弟南嶽公復一。俱中司馬。三棣聯芳。一時稱榮。公素多疾病。欲停擧業。而重違親命。將游泮宮。乃作感懷詩六篇。稟質于退溪先生。先生以兩絶和之。其一絶云雅志誠能不在文。道非身外豈難聞。秖今敎養皆聲利。莫向芹宮誤染薰。其勸勉如此。當在泮也。言辭動止。一遵師訓。不與流俗苟同。己巳與仲兄季弟俱捷東堂。赴解京城。不幸疾劇。仲兄公謂季曰弟病如此。不可使客死。我將將護下鄕。汝須勉應講。以副親望可也。遂扶掖發程。到金亮驛不淑。寔庚午三月十六日也。哭殮備事。乃克歸殯于家。以是年十月某日。葬于亞尼山坤坐之原。享年三十七。時曾王父年纔十二。喪敗之餘。遺文蕩失。所餘者只若干詩篇。而厥後又失於灰燼。搜閱故篋。只存一二。嗚呼痛哉。公平生酷愛山水。仙遊亭乃判書公晩歲寫眞之所而付之公者也。前有落淵。後峙藥峀。層巖絶壁。別一世界。公計將終老於此。故乃搆書齋於亭之東偏。擬爲晩年藏修之地。又於所居秋月里上流。有一巖。俗名雲褰巖。公乃築臺其上。仍自號曰雲巖。將欲搆屋而未及就。性度和粹。與人諄諄善誘。嘗出行過一村。有士夫家兒子出遊街上。放浪無度。公招之使前。責之曰汝父母衣汝食汝者。豈爲如是浪遊耶。汝若改過。可受楚於我也。其兒聞命惶謝。願受楚撻。公警責而遣之。自此勵志讀書。遂至成名云。公歿之後。鶴峯公在判書公憂中。以賻布之餘。爲公伐石。以爲表墓之地。而世故遷延。未得竪立。殆將百年矣。顧念先世。皆已不幸蚤世。而不肖孱孫。又生於代遠之後。雖欲搜集遺蹟而無從考詰。謹就其日記中所載者。而參以家庭之聞。質之故老之言。略叙其梗槩如右。配英陽南氏。考諱斗。妣寧海朴氏。宜人生于嘉靖癸巳十一月辛丑。歿于萬曆戊申十二月辛亥。享年七十六。翌年二月庚午。祔于公之墓前。爲先後封焉。姿皃端恭。志行貞明。痛所天蚤歲。違背哭泣柴毁。而能執喪以禮。饋奠必親。終始不懈。撫育孤幼。慈愛雖至。而敎誨甚嚴。未嘗一假辭色。少有所失則必峻辭責之曰。古人云寡家子不娶。爲其無所學識也。汝輩今日。雖百倍他人。人尙不取。况敢如是乎。以故門庭肅然。奉祭祀謹而以時。御婢僕嚴而有法。躳蠶勸耕。家政甚修。鄕黨稱之。有一男曰瀹。一女適權旭長興庫奉事。瀹娶縣監金箕報之女。生三男。長是㯳次是枰次是榘。二女長適權尙達生員。次適裴益謙。是㯳生二男一女。男長黯次。女適金裕後。是枰生一男一女。男默。女適金如翼。是榘無子。以再從弟是榲之子邦贊爲後。權尙達有一男曰鏐。裴益謙有四男三女。男聖祐，聖裕，聖祚，聖補。女適李楶，金梪，李爾白。黯生三男。長學逵次學堯次學培。癸卯文科。權知承文正字。生二男二女。男學遠蚤夭。次學重。女適金瑋。一女幼。默生一男二女。男學增蚤夭。二女適權瑞，趙廷獻。邦贊有一子幼。內外曾玄若干人。</text>
