<title>曉思</title>,<text>眞工須下學。惕若日乾乾。人事修能盡。自然上達天。</text>
<title>次孫龍五 振九 枕潄亭韻</title>,<text>仙庄花石勝平泉。天餉名區自養便。聖代承恩旋解紱。晩年言志復成篇。淵月影涵澄鑑裏。茶煙香歇暮山前。貽厥嘉謨知有受。鰲亭咫尺遹追先。</text>
<title>悼亡室 四首</title>,<text>琴瑟情深卄四春。此生無計更相親。短麓佳城留右穴。千秋他日好爲隣。柹栗來傳奠後籩。稺兒啼母淚涓涓。無端滴滴梧桐雨。攪卻愁人半夜眠。庚頭山上我思悠。不向庚頭有所求。心似庚頭山下水。千迴百折不知休。和淚成書謾費神。百榴花下誌玄窀。冠兒未醮何須說。只恨當時不起人。</text>
<title>題李煕汝 裕寅 石泉室</title>,<text>石泉泉上屋。讀易自怡神。縱謂簞瓢樂。良非遯世人。</text>
<title>次安丈 璜遠 追慕齋韻</title>,<text>知公經始已多年。壠畔杉松繞屋連。乳虎不驚深壑裏。哺烏爰止暮林邊。靜砌草生眞箇理。澄潭月上本然天。滿床書帙貽謨遠。秖願來仍勿替傳。</text>
<title>心齋有感 二首○齋先人所居之室</title>,<text>心安居自廣。廣廈何須期。牆垣宜固築。門戶亦無欹。誰知鬼瞰室。要免慢藏嗤。兢兢戒無忝。仰瞻屋漏時。</text>
<title>登雲門山</title>,<text>生在雲門下。雲門天與齊。步步登登盡。雲門腳下低。</text>
<title>過東萊 三首</title>,<text>西風立馬海南樓。大觀今來地盡頭。忍說龍蛇當日事。千秋不死宋知州。鯨海波濤劒氣流。山河猶帶百年羞。聖渥偏多今太守。昇平笳鼓日遨遊。悵望蓬萊上上巓。白頭人下卻疑仙。可笑秦皇求海外。蓬萊山亦帶人煙。</text>
<title>登燕子樓</title>,<text>金陵佳麗古王州。遠客登臨燕子樓。宮殿化爲編戶口。史文無證大航頭。龜峯樹老千年劫。鯨海波寒萬里秋。伊昔關娘今不見。曲欄斜日使人愁。</text>
<title>上長遊菴 長遊和尙。許后之兄。</title>,<text>行行直上最高峯。異石奇巖各自容。滄海渡頭歸遠舶。白雲深處出疎鍾。塵緣解脫吾無計。靜界觀空佛不慵。紫纓茜帆今安在。猶記長遊手植松。</text>
<title>佛母窟 佛母許后之母。自天竺乘石舟同來云。</title>,<text>駕洛千秋往事空。龍蹄山色古今同。扶桑路出茫茫外。天竺魂歸渺渺中。行輈時見三江月。鎭㙮猶吹百劫風。至今佛窟留眞蹟。石舶當年子母東。</text>
<title>海津舟中</title>,<text>大海無風舟自安。親人鷗鷺競飛還。三千里外皆滄海。十二會前是碧山。魯連蹈義知何處。徐福求仙卽此間。故國繁華如說夢。天涯惟見白雲閒。</text>
<title>朝發馬浦津。夜泊統制營。</title>,<text>萬里滄溟一葉船。此身浮去若登天。風聲淅瀝多於雨。夜色稀微半是煙。商舲酒重人皆醉。漁戶燈明客不眠。忽有舷歌歌有和。飄飄如遇十洲仙。</text>
<title>忠烈祠</title>,<text>劒雨戈風歲月深。忠臣遺廟碧山陰。凱歌方奏身先死。誰識當年未了心。</text>
<title>觀閔統相 敬鎬 水嬉</title>,<text>介冑元戎曉上船。軍中終日樂流連。洋洋凱唱今猶古。海晏天晴三百年。</text>
<title>月影臺</title>,<text>千古儒仙去。臺空碧海邊。年年七月朢。異事至今傳。</text>
<title>贈石泉居士</title>,<text>石泉居士返山廬。耕鑿今來樂有餘。半世周流知己少。碧牕深處臥看書。</text>
<title>留大庇山亭</title>,<text>世路多參差。入山亦恨遲。先子此中味。今來始得知。</text>
<title>題梅花簡板</title>,<text>只可相思不可親。江雲渭樹夢魂頻。最愛寒梅花有信。臨風分送一枝春。</text>
<title>戲題石泉主人壁</title>,<text>一脈源泉石四環。長時渟滀不潺潺。可惜寒山前夜雨。謾添流瀑出人間。</text>
<title>九月登聾山亭</title>,<text>庭松空落落。籬菊自遲遲。憑軒惆悵久。人事異前時。</text>
<title>寄圓光窟留客</title>,<text>聞說圓光窟。山高谷又深。此間無二路。莫向別歧尋。</text>
<title>寄題金小雲谷 夢魯 亭子</title>,<text>一生康濟自家身。雲谷深深有若人。從玆卜築知何意。采藥歸來理釣綸。</text>
<title>輓金侯 明洙</title>,<text>奕葉光山閥閱家。君侯又是發英華。昌朝選遣循良吏。爲念南民疾苦多。吾州民事亂如絲。劃斷諸方理一時。試聽輿人歌誦美。穩眠邨狗足生氂。民無依怙士無歸。單父琴歌忽斷徽。市哭巷啼聲共咽。孰令吾哺孰吾衣。千里霜飈嶺外程。來時皁蓋去丹旌。欒欒哀胤號天哭。水咽雲愁此日情。</text>
<title>踰綿嶺</title>,<text>彳亍乒乓步步艱。危巖矗矗白雲間。躋攀努力何須說。知有前期到上關。</text>
<title>蕭寺除夜</title>,<text>今宵謾作未歸人。寄宿禪菴意轉新。木魚曉動年華改。虛負塵間五十春。</text>
<title>題佛稧案</title>,<text>慈悲佛說太空空。謾惑愚民顚倒中。若使人人能富貴。緇徒盍免一生竆。</text>
<title>次長興宗人子善軸中韻</title>,<text>辭氣溫溫不染塵。重菴門下玉成人。暮年始講銀山世。湖嶺迢迢意愈新。</text>
<title>贈南正猷 翊朝</title>,<text>踡跼騏才瘦鶴姿。相看鬢髮已成絲。狂疎病骨爲時棄。磊落高標是我師。淸風溪榭評書帙。白雪山菴戲局棋。離合人間難可免。雞林他日幸相思。</text>
<title>鄕飮酒禮</title>,<text>吾州文物際明時。永日黌堂禮數遲。喜看棠伯宣新化。時嶺伯李𨯶永捐金列邑。俾行講學鄕飮禮等事。 盛說屛翁有古規。尹屛溪鳳九嘗爲邑宰。設鄕飮禮。規式見郡誌。 賓主威儀終不失。先王酒誡可推知。非徒肅敬和爲貴。纔掇豆登復采詩。</text>
<title>次華山山水亭韻</title>,<text>落雁峯回霧市邊。希夷觀外鎖雲煙。慳秘千年惟地勝。登臨半日亦仙緣。有客倘聞毛女語。無人叱起石羊眠。韓公痛哭曾何處。險絶幽陘誡尙傳。</text>
<title>輓族祖琴溪 龍友</title>,<text>誰識琴溪老。琴亡竟秘聲。天理今如許。無辭誘後生。</text>
<title>萬和亭避暑</title>,<text>天付先君水石佳。人間淸福更無加。一榻淸風一榻月。半庭垂柳半庭花。廚乏鮮鱗烹野蔌。邨無美酒煎山茶。忽覺秋風吹到鬢。不妨幽獨送年華。</text>
<title>潭上</title>,<text>盈盈千斛水。到底淨無痕。最惡雙飛鷰。蹴生一面痕。</text>
<title>暮春者。講學於黌堂。仍與同志六七人。從申侯 㮋 會山水亭共賦。</title>,<text>緩步登登帶日蒼。藍輿隨後不奔。里閈寠艱多鵠面。羣生姸豔體春光。香社聯名同白傳。滁亭知樂醉歐陽。叱羊道士歸何處。𨓏跡無憑目渺茫。</text>
<title>留通度寺 二首</title>,<text>紅顔如夢昔年遊。華髮重來滿目愁。絶陘創見依巖屋。沿港頻驚渡海舟。當時攜手人 李上舍寅善 何去。此日傷心水自流。照佛淸熒殘燭耿。隔牕風雪夜悠悠。西望雲門思有餘。煙霞深處是吾居。寒來病廢陶潛酒。老去耽看抱朴書。邂逅故人掀白髮。婆娑枯釋嚼靑蔬。世亂愧無經濟術。且全軀命寄山廬。</text>
<title>同芮華國 東薰，崔楨汝 翰周 登雲門寺。</title>,<text>高峯直上近天齊。步步雲生白石溪。無端雛鹿驚風走。底意子規不夜啼。訝同靈隱高堂會。眞有人家水半堤。武平古宅知何處。法殿鍾鳴日已西。</text>
<title>歸宿萬和亭共賦</title>,<text>皓月盈盈上樹頭。參差疎影轉淸幽。諸君何故緣詩瘦。嫠婦無端爲國愁。齊連蹈海可同調。魯叟乘桴誰共浮。波聲淅瀝頻侵戶。怳惚身如一葉舟。</text>
<title>與沈侯 賢澤，芮華國，崔楨汝。留山水亭。</title>,<text>山水蕭條秋氣涼。亭空人 崔上舍翼周 去意偏傷。柰顆半黃添雨重。稻花未落引風長。暮年詩賦懷開府。衰世悲歌類楚狂。流星閃忽飛雲走。惟有蒼松秀小岡。</text>
<title>題竹林寺</title>,<text>靈境非天上。世人自不登。無限淸風竹。付諸白衲僧。</text>
<title>題磧川寺</title>,<text>記得形形到磧川。眼前光景浩無邊。老佛𡾓崚巖出地。高人磊落檜干天。簷端滴滴雞林雨。海外依依馬島煙。此行便覺今時晩。孤負名區六十年。</text>
<title>趙侯 秉吉 歷訪。留萬和亭共賦。</title>,<text>襜帷暇日上高岡。陰雨初晴天氣涼。憂分北極三星捧。化洽南方百里鄕。飛鳥有歸林茂密。游魚知聚水滄茫。先人杖屨逍遙處。依舊亭前一鑑塘。先人集中有一鑑記。</text>
<title>上大雲菴</title>,<text>地得鳧師始有名。會看飛錫半空橫。北瞰雞林羅氏域。南臨蟒澤洛王城。參禪未必成眞佛。願力何能濟衆生。石勢𡾓崚西日暮。耳寒生粟厭風聲。</text>
<title>次芮聖集 大畿 鶴陰齋韻 幷小序</title>,<text>昔韓昌黎送董邵南曰董生連不得志於有司。懷抱利器。鬱鬱適燕趙。又曰嗟哉董生。孝且慈人不識。惟有天翁知。余於芮友聖集。深有感於斯言也。聖集以穎悟拔萃之資。涉獵六經。優游百家。吐爲詞章。獨步一世。其所以拾靑紫步金門。指日可期。而命與仇謀。竟落魄嶺外。因深藏不市。構數架墳菴於舞鶴山陰。每時展拜墓所。庋書千卷。藏琴一疊。以之凭懷著書。雜以琴調。以寓風樹之感。語極悲壯。令人可涕。聖集其慷慨之士歟。親沒而追慕旣如許。妻子又各安其職事。勤織紝篤學業。忘其勞而得歡心。聖集其孝慈之人歟。噫聖集抱利器而不得志。孝且慈而聖主不聞其名聲。其亦董生之儔歟。孺慕恨深不返年。築斯非是愛林泉。哺烏誰識琴中調。食蠧惟餘案上篇。細通墳路昭昭記。密邇松風瑟瑟傳。春雨秋霜隨處感。惕然心事復悽然。</text>
<title>送客</title>,<text>斜日江干送子遲。隱侯詩意也應知。此去仙庄曾不遠。莫言非復別離時。</text>
<title>題族祖 秀榦 日強齋</title>,<text>碧澗恒多雨。高峯不盡雲。中有淸癯士。常看戴禮文。</text>
<title>丙申夏。避癘寓雲泉亭。三首</title>,<text>大野寬平眼力寬。高樓夏月定生寒。雲歸萬里霖初霽。月皛三宵客未還。庭栽異草播新馥。簾揭高峯戴翠鬟。往昔龍蛇揚武地。百家諸裔護門欄。魚鳥心期水石濱。任情端合往還頻。好月淸風來此夜。明花芳草負前春。琴書素志山中客。道德玄談柱下人。數三朋友時資益。吾黨從今亦有隣。泉舍寥寥日似年。看書未了抱書眠。淸風北牖休蒸氣。返照前邨起炊煙。藥裹尋常行處備。榴園咫尺夢魂牽。祠宇已墟亭獨在。古今懷思兩茫然。</text>
<title>蟬</title>,<text>嘒聲斷復續。宜向上林傳。盡日疎篁裏。爲誰如有言。</text>
<title>竹田齋</title>,<text>嘯長摩詰舘。音邈軒轅筩。主翁非俗士。趁日坐淸風。</text>
<title>蚊</title>,<text>中宵眠不得。陣陣來侵牀。堪憐無幬子。何以趁秋涼。</text>
<title>悶旱</title>,<text>倬天胡降喪。滌滌四山秋。踏旱知車戽。誰繼南康賙。</text>
