<title>春吟</title>,<text>春來百鳥鳴。曉窓聲相至。幽人夢江南。未盡三湘水。</text>
<title>閑閑亭八詠。爲朴益卿賦之 槐山。</title>,<text>山龍濟物心。今年旱焦土。朝看一抺嵐。知作三農雨。右松嶽晴嵐下有團團葉。上有團團月。月明葉有香。獨臥輸心曲。右荷塘夜月有村小如局。朝暮煙生白。知君飯粥時。太平同鼓腹。右孤村暮烟有璧列似屛。苔花相映碧。俄然帶紅紫。牧笛聲聲急。右蒼璧落照回磴轉山腰。行人如鳥逬。行行幾人歸。一一波心影。右石磴行人江心㸃㸃帆。豈皆商人舶。秋風日夕起。莫是尋鱸客。右江浦商舶今朝風日好。林園試杖屨。忽憶遠上人。徐徐度紅樹。右佛寺尋僧灘上釣魚翁。水寒魚不出。魚不出莫嘆。知有磻溪玉。右槐灘釣魚</text>
<title>聽流堂八詠</title>,<text>天末碧玉鬟。須臾瀉金紫。所思又不來。歎息潭影裏。右龍山返照翠眉忽拖素。知有狂蛟雨。我友去尋僧。荷衣沾不惡。右道峯行雨黃昏坐幽獨。瑞色峯頭映。初疑嶽寺燈。竟是山河影。右食藏朗月靑山死瓦黑。一夜瓊瑤白。僧烟尙認氣。巢鶴全無色。右雲南霽雪鐘聲在半天。逸韻招靈仙。下有知音客。靜聽心悠然。右高寺疏鐘豐草際淸川。馬牛鳴相逐。日暮自歸家。背上人橫笛。右平蕪散牧萬柳蔭淸瀨。聞聲不見水。最冝病渇翁。還妨宿客耳。右柳灘淸瀨鑿泉得小塘。荷花矗萬房。梅徑秋蕭索。卽此聞淸香。右荷塘晚香</text>
<title>題浮碧樓</title>,<text>漠漠雨連江。蕭蕭風打窓。樓中有狂客。長嘯倚雲矼。</text>
<title>草堂小酌。商山諸生來辭。</title>,<text>短燭不成燄。短日不成歡。有客謝我去。我懐何漫漫。</text>
<title>題郭山畫屛。示李使君綏之。西坰已有七絶各一首。要余繼之云。故臨行走草。</title>,<text>山居懶出入。不知溪橋毀。策驢莫輕渡。夜雨添新水。北固山前客。扁舟載酒來。童子促驢起。賀老首應回。老翁讀何書。萬古閑中趣。蕭蕭脩竹響。始覺前山雨。明月出霧高。細細飛泉瀉。幽人有何思。獨立靑山夜。溪翁罷釣歸。不知魚多少。家人待君炊。見君應相笑。丈人踞蒼石。童子隱松竹。蹇驢過山去。知我在空谷。䈴葭隱小艇。裊裊長絲風。細雨不知歸。知君是龜蒙。春雪滿空來。靑帘亦換白。蓑衣抱琴人。莫是五峯客。</text>
<title>沙河鋪人家壁上。有昭君按琵圖。</title>,<text>琵琶畫中女。知是漢昭君。所幸畫無聲。有聲那忍聞。</text>
<title>落日</title>,<text>落日低遼樹。西村入畫圖。炊烟慳物象。故起作糢糊。</text>
<title>東君不公道問答 二絶</title>,<text>東君最公道。蔀屋亦花枝。如何客窓底。蕭瑟似秋悲。作客皆窮相。東君不是私。方秋對菊處。憔悴似春飢。</text>
<title>記夢</title>,<text>二月初七日。僕與漢陰偶出東郭。遇黃指揮于道上。相與雪裏尋梅。是日。指揮將西歸。以白摺扇一把求詩。立書一絶以送。筆秃書不端楷。爲可恨也。東風芳草路。歸去夕陽人。雪裏看梅處。年年獨自春。</text>
<title>次正使朱蘭嵎韻 館伴時</title>,<text>今年不見花。梅老空槎牙。淸詩仍健筆。勝到西湖家。</text>
<title>望山火。戲而賦之。</title>,<text>山外應秦土。阿房烈火飛。玄雲俄四合。却導沛龍歸。</text>
<title>題龍灣許府尹公愼扇 六言</title>,<text>金石山前駐馬。遼河水畔停舟。千里思君不見。夢隨明月登樓。</text>
<title>夢中作</title>,<text>黃鶴樓前月色澄。洞庭春盡水如凝。上界眞人吹玉笛。數聲飛入碧雲層。</text>
<title>寓直校正廳。乘月上簡儀臺。</title>,<text>明月層城十二欄。靑鸞無路海漫漫。夢中不覺身千里。飛入瓊樓曙氣寒。</text>
<title>無題</title>,<text>郎是牙君妾是期。郎心有恨妾先知。高山流水無終極。限到山崩水渇時。</text>
<title>藍浦蓮堂呼韻</title>,<text>休遣佳兒聽我歌。綠荷風露意如何。思君萬里無窮恨。一夜梧桐凉雨多。</text>
<title>題兪忠伯南溪亭</title>,<text>君家亭子俯淸流。駐馬看魚宿麥抽。恨負今年春社會。莫教鷄黍更違秋。</text>
<title>寒食日松溪途中</title>,<text>寒食東風剗地號。平郊燕雀羽毛高。千秋老鶴霜衣潔。獨立巖嶅夢海濤。</text>
<title>讀金庾信傳有感</title>,<text>征西大將一時豪。半夜登壇星月高。擐甲焚香拜上帝。腰間雄劍自騰挑。</text>
<title>寒食日</title>,<text>城郭東風颭酒旗。東街西陌柳依依。銅鞮日暮人聲閙。士女衢樽盡醉歸。</text>
<title>亂後弼雲春望</title>,<text>荒城無樹可開花。惟有東風落暮鴉。薺苨靑靑故宮路。春來耕叟得金釵。</text>
<title>雨中獨坐</title>,<text>春城小雨濕梨花。暗入疏簾落岸紗。白首袛今無好况。空齋咄咄度年華。</text>
<title>題鐵山李家莊 二絶</title>,<text>李氏園林夏景淸。行人六月始聞鶯。忙間不慣登臨興。瓦枕匡床午睡成。薜荔藤梢咫尺垂。山梨未熟燕兒癡。風流恰似桃花洞。曾見松黃滿石池。</text>
<title>題博川東軒 壬辰六月。僕以巡察從事。持浿江失守報。進及博川。大駕卽發向嘉山。日已晚矣。</title>,<text>憶昨壬辰陪聖日。浿江書至事蒼皇。孤臣未死重來地。依舊平林繞小塘。</text>
<title>龍灣贈柳晦夫</title>,<text>君在銓曹我翰林。道家天祿日追尋。相逢塞下俱衰換。尙保蒼松歲暮心。</text>
<title>題閔家莊</title>,<text>君家亭子見何遲。登眺如今鬢雪絲。菊塢秋深花爛熳。月明虫語在南池。</text>
<title>題畫</title>,<text>舟泊巖隈棹自斜。穿魚求酒向誰家。惟憐老木淸陰在。留與溪翁巧護遮。</text>
<title>題百祥樓</title>,<text>雲壓長江雨欲來。樓中燈燭夜窓開。三年五到身差老。臥聽寒潮寂寞回。</text>
<title>西湖泛舟</title>,<text>三月西湖湖水平。桃花枝下錦浪生。扁舟過客多情思。臥聽黃鸝一兩聲。</text>
<title>謝沈漣川 宗敏 惠蓴</title>,<text>五月澄潭錦縷均。寄來京口尙如新。蓴宜遠寄鱸難寄。擬作秋風就食人。</text>
<title>次芝峯卷中韻</title>,<text>病臥蓬門出候遲。詩中物色想東籬。當時大雪非常惱。天借騷翁覔句時。</text>
<title>龍灣寓居。次䨥松詩韻。贈雲師。二絶。李公德馨。</title>,<text>聞師曾是嶺南人。流落西來却捨身。我亦炎州有舊業。鑑湖晴雪夢歸頻。歲暮音書塞上城。逢人說着故園情。江湖滿地無歸日。鏡裏空憐白髮生。</text>
<title>次趙月川見寄詩韻</title>,<text>前年詩札到秦京。屬我從喪雨淚傾。追謝高情時屢換。尙延頑喘荷先生。</text>
<title>端午日。乞菊于鄭判書 景眞。</title>,<text>端陽移菊待重陽。陽道方知自此長。願把佳叢和雨寄。秋來三嗅故人香。</text>
<title>贈樂師盧末終</title>,<text>關西相見李龜年。自說吾衰今絶絃。假使龜年能再健。王城好事已蕭然。</text>
<title>靈煕詩卷。次酒隱相公韻。二絶</title>,<text>有來誰得獨無歸。不用臨歸苦挽衣。眼看親知在世少。未應泉下似生稀。菊邊孤坐細傾銀。萬事知難見故人。邂逅麻衣休笑我。眞空元不要逃身。</text>
<title>題印雲軸。次鵝溪韻。二絶</title>,<text>江上招提春雨霏。竹籬茅屋暯參差。僧歸但怕長橋滑。畫裏天機不自知。東溟僧去有何情。行及棠花春水生。每歲懷歸歸不得。送君江上與班荆。時師欲往洛山。故及之。</text>
<title>題海天軸。次鵝溪韻。</title>,<text>東湖春水已無氷。魂夢依依過二陵。欲問梅花開㡬日。門前報立奉恩僧。</text>
<title>西湖訪李公造 基卨○二絶</title>,<text>曾賦西湖處士詩。竹籬梅影兩三枝。如今雪裏來相訪。梅未開花月政眉。雪與江渾一樣平。鷺絲飛過只麼輕。區區羽馬何容辨。有箇緇塵見却明。</text>
<title>寄安敎官 景淵</title>,<text>聞君今又客江鄕。却憶前年夜對床。客路已看桑葚紫。天時知復近端陽。</text>
<title>寄南窓乞書 二絶</title>,<text>我友玉峯能晉法。當時兒輩賤家鷄。如今片紙收殘墨。妙處尋看近會稽。松雪傳神孰似公。家家屛障出南窓。吾衰近有山居志。揮洒盈編慰老龎。</text>
<title>雙淳軸。次月汀韻。二絶</title>,<text>向來儒墨我何分。只好相携臥白雲。昨夜夢尋東磵寺。松花四月落紛紛。行役纔回四月初。天恩饒病假閑居。僧來起我西窓夢。一塢榴花對看書。</text>
<title>題義正詩軸</title>,<text>汝識香山本來面。橫看成嶺側成峯。秋聲今夜梧桐上。日夕歸心引虎東。</text>
<title>寄舍弟孝思戍北。兼附寒衣。</title>,<text>塞上征人父母兒。老兄心事入春悲。憑將手線煩題寄。約到沙塲定幾時。</text>
<title>題能仁方丈 方丈在天磨山大興寺後。有高僧自圓居之。僕。癸酉夏。與圓同居一朔。癸未。來尋則圓已死矣。</title>,<text>圓去空山方丈在。暎階松竹自參差。床前爐火依然是。不似平生誦偈時。</text>
<title>次東岳來訪韻 二絶</title>,<text>看君佩酒月中回。老我能教御史來。莫道南樓無好興。三更竝馬上東臺。聞君新自薊門回。收拾風烟滿袖來。我亦龍灣朝暮去。關西今有好樓臺。</text>
<title>書水澄軸</title>,<text>澄水淵淵古井寒。夜深星月露華漙。知君表德非無意。過盡平生不起瀾。</text>
<title>題惠洽軸</title>,<text>屢入塵中不覺疲。世間剛癖在求詩。將詩爲介從當去。細話山窓夜雨時。</text>
<title>鄕思寄呈海平高提督卿老 二絶</title>,<text>秋盡江南橘柚垂。百憂雙鬢未歸時。寒燈照我床前竹。影上東窓葉葉疑。覊夢偏勞亦太顚。江南無夜不歸田。江南政隔三千里。來往殘宵合六千。</text>
<title>題僧軸</title>,<text>題詩排睡墨翻鴉。靜見薑芽始出沙。時有山人來問字。閑抽亂帙點訛衺。</text>
<title>城中聞嚇雀</title>,<text>陂澤原陵過半城。公侯第宅入春耕。秋來禾黍離離熟。處處唯聞嚇雀聲。</text>
<title>悼花山妓</title>,<text>花能消歇玉能虧。萼綠人間十四遲。惟有映湖樓上月。百年秋色照漣漪。</text>
<title>無題 三絶</title>,<text>薩水佳人玉雪花。碧樓風景夜如何。楓橋客過鍾聲到。淸曉褰簾看綠波。羅韈盈盈不起塵。荷花微動粉紅均。漢臯應有曾捐珮。星轉秋波是洛神。初見文蕭別有情。鍾陵寒月夜深明。綵鸞不是無心者。時送秦樓玉珮聲。</text>
<title>次熙正軸中韻</title>,<text>客舍龜州見法師。天涯新樂是新知。滿林風雪燈明席。却展溪藤穩寫詩。</text>
<title>次曇胤軸中韻</title>,<text>山人來自何山寺。山雪嬌盈白衲衣。遙想山中殘臘盡。春禽幾日遶花飛。</text>
<title>次月沙人日見寄詩韻</title>,<text>詩到知君亦獨吁。豈無良友怨燈孤。湖邊灣上俱明月。惟恨樽前少舊徒。</text>
<title>題監察褉軸 二絶</title>,<text>少年曾賦霜臺曲。唱向霜臺樂事多。白首如今重賦此。霜臺樂事較前何。景福街西麥浪堆。行人猶辨舊霜臺。勸君早種庭前栢。臺到成時栢可材。</text>
<title>輪上人軸次韻</title>,<text>莫道龍灣是塞邊。五年玆地寄厨烟。今春又罷池塘夢。芳草新生憶惠連。</text>
<title>聞權汝章除職</title>,<text>聞君新拜齋郞職。剛喜天駒始受覊。好履平生千里道。此心明處是男兒。</text>
<title>詠宋 士誨 家盆竹。用高苔軒韻。</title>,<text>君家小竹解生寒。不信塵中度暑難。凝對相忘誰物我。淸陰嫋嫋在心間。</text>
<title>書寶明軸</title>,<text>秋風今夜生庭樹。錯認秋聲在樹間。吹破江鄕魚稻夢。起來無語對靑山。</text>
<title>送睦學士 禹卿 出宰高城 幷序</title>,<text>僕偶閱益齋集。得一絶。云兩點文星會德星。三韓望重泰山輕。坐中更着雲遊子。莫怪江都地勢傾。其序云。樂軒李侍中在通津山齋。金白鎰李松縉兩學士。偕卓然師往謁。路人見者曰。江都地勢。一日東傾。自註云。然師自號雲遊子。筆迹爲當時之魁。所謂樂軒。未詳何侍中。意亦當時名宰相。金，李。亦未詳爲何人。而意亦當時名學士。而同會于通津。此路人有地勢傾之說。其見慕於一世者可想。萬曆癸卯歲。崔簡易作扞城。韓石峯作歙谷。禹卿又作高城。僕亦有關東地勢傾之嘆。且僕與禹卿同年秋。校司馬試于芹宮。時以正草次下。有榜後之閙。故兩絶及之。石峯海碣雲生筆。簡易山碑玉有聲。五馬又煩名學士。金剛地勢助東傾。淸秋校試鎖芹宮。曉夢多驚竹塢風。正草如今餘一笑。雪中鳬舄海天東。</text>
<title>關北十絶。送徐觀察玄紀。伯兄曾按本道。僕未弱冠。奉魚軒從征。轉眄光陰。倐已三十三年矣。感舊興懷。因行賦之。止于咸興者。以所見止此耳。</title>,<text>鐵嶺淮陽久說東方脊。上黨層霄鐵嶺崇。此是關防南北限。征人過此泣無窮。龍興館大門翼翼翬簷左右蓮。池邊垂柳碧如烟。柳窮松抱雲帿出。失道盈盈拂柳顚。龍興江一帶澄澄勝小航。龍興其號客彷徨。爲此仙源初發處。綿綿慶祚與靈長。城川江有水來從葭薍渡。樂民亭下漲平郊。明沙如雪無深淺。三月叉魚錦浪交。萬歲橋長橋隱隱跨城川。廣可竝車高十尺。人說風流洪按廉。架此時時邀白鶴。宜月亭宜月久爲迎送地。勞勞萬古幾人經。爲是前臨百里野。行塵看起鶴仙亭。聞韶樓豐沛名樓特地高。樓成賜樂是聞韶。烹蛟炰鼈渾閑事。肉味忘來九十朝。梨雪堂東軒南畔小堂開。春曉梨花雪萬堆。昔我少年曾住此。月明淸夢壓瓊瑰。擊毬場山似遊龍飮海來。人稱聖祖擊毬回。少年遊賞今如夢。九月濤聲撼翠臺。東門柳東門舊有嬋娟柳。折盡行人餘幾枝。今日送君惆悵意。春歸那得似當時。</text>
<title>題僧軸 二絶</title>,<text>人言居水勝居山。優劣休分兩說間。有去何容擇山水。自憐塵土漫相關。久約山僧叩石扉。扉鳴僧出客還非。年年却怪吾無信。僧自多情來又歸。</text>
<title>次志仁軸中韻 二絶○其師法日。構大同門樓。未訖。日死。仁繼之。</title>,<text>爾師未了大同樓。爾繼前功不蹔遊。惆悵樓成我不見。夢中明月滿江秋。蘭舟日昨過西京。兩岸棠花照水明。仍憶當時別離意。一江風雨晩潮生。</text>
<title>雨中昏睡。喜圓玄上人來索詩。援筆賦之。二絶</title>,<text>久雨空堂睡不開。僧來新渡鷺梁回。禪家是識多方便。何處洪流泛木盃。五月蛙鳴竹下池。空庭惟有柳絲垂。僧來喚起尋山夢。夢爲尋山故見師。</text>
<title>題法洪詩卷 二絶</title>,<text>碑殿巖頭舊鶴栖。因巖認寺意猶迷。多情賴有麻衣釋。夢裏相携過虎溪。曾陟三山最上巓。至今幽夢入閑眠。秋來赤葉應依舊。露積峯前月正圓。</text>
<title>次敬熙軸中韻 二絶</title>,<text>三月煙花繞梵宮。僧來衫袖襯餘紅。靑山歲歲還春色。慙愧人今白首翁。問說匡廬讀書地。秪今松蓋幾枝垂。世間識面眞奇事。雖不重逢或入詩。</text>
<title>廣牧李先生 綏之 曾要網橋新亭八詠詩。而塵中多事。常以不卽副爲恨。甲辰秋。來浴廣之椒井。調息有暇。潦草奉敎。所愧久辱期待。卒不能工耳。</title>,<text>舟行曾宿烏城下。烽在其顚點點紅。誰識茅堂與相對。當時漁火隱江楓。右烏城夕烽黃昏収網尋家去。入夜篝燈處處明。四十戶中誰得儁。老夫心飫數魚聲。右漁村夜燈漫郊一夜知何物。似練參差似雪饛。十里風來爭亂舞。叢叢皆是白頭翁。右龍塘秋荻以金名浦緣何事。莫是錢塘灌口同。潮落潮生花㶑灔。巖嶅時見襯餘紅。右金浦春潮亭前三樹當三角。一樹能迎一角靑。有物如煙驀山去。不須摩詰漫揮屛。右三角晴嵐通津輕綺勝桃花。岸爛能敎色倍加。始信爲文須美質。古今人說赤城霞。右赤岸明霞縈堤垂柳巧藏波。客度長橋隱處多。絲和春愁誰得織。黃鸝三月擲如梭。右長堤楊柳道人無事涉園頻。桑葚垂垂栗穗新。春得供蚕秋得實。向來家業不全貧。右滿園桑栗</text>
<title>浿江古意</title>,<text>江上亭臺對落霞。行人駐馬看春花。名區物色全消歇。隔水猶聞浣碧紗。</text>
<title>題孤山院 落職歸覲藍浦</title>,<text>湖海聲名御史狂。久含鷄舌侍虛皇。春眠一罷孤山院。馬齕殘芻雀噪梁。</text>
<title>書與李公造</title>,<text>經年來訪李徵君。爐几春深聽麝熏。起傍梅花花下立。箇中人物有誰分。</text>
<title>次三月三日劍水途中口號韻 以下。遠接時作。</title>,<text>上巳風光驀遠堤。垂楊嫋娜巧藏溪。漢城漸近宜差樂。十步如何九顧西。</text>
<title>百祥樓感懷</title>,<text>平郊如掌草萋萋。燕子樓空春日低。依舊緗簾臨綠水。更無人倚玉欄西。</text>
<title>次東嶽道中韻</title>,<text>樓高天闊易斜陽。江上靑山空復長。今夜歡娛須秉燭。明朝離別剩銷腸。</text>
<title>題尹晴詩卷</title>,<text>迎春堂上中宵月。驚怪荷花落枕邊。此是新晴好消息。秋波㶑灔玉屛前。丁酉冬間儐繡衣。朔風雖苦敢來遲。東門月下重相見。悲喜參差上翠眉。可憐戊戌中秋夕。獨夜江城月滿臺。驚起三更笙鶴韻。花顔如夢洞房來。燕山庚子憶回程。晴自瀛來逆我行。怊悵龍淵舟上見。䨥垂玉筯不言情。十一年中夢不明。幾回相別幾回迎。到得銀河淸淺日。人間涕淚始應晴。</text>
<title>送河東縣監權 渫</title>,<text>滿天凉雨響梧桐。秋夜聞雷起病翁。此日送君關海別。不堪愁思滿河東。</text>
<title>謝萊山使君見問</title>,<text>苦憶孤雲臺上客。淸秋風月問何如。秪今海水明於鏡。中夜懸燈讀古書。</text>
<title>途中贈別</title>,<text>別路風光骨欲消。馬蹄從此不須驕。生憎嗚咽牙山水。啼送離愁達海潮。</text>
<title>蕩春臺</title>,<text>一水灣回碧繞臺。楓林缺處小山開。笻鳴石逕僧尋寺。日暮鍾聲出洞來。</text>
<title>訪安景容不遇</title>,<text>再到君家不見君。閉門黃葉自紛紛。終南山色渾依舊。靑白中間總是雲。</text>
<title>白雲亭八景。爲金醴泉涌賦之。</title>,<text>白雲亭裏思親夢。半夜騷騷有物搖。知是長林一霎雨。却和親淚送蕭蕭。右長林微雨平江霽月一般寒。月上江低接得難。誰識平江自淸淨。能留明月印團團。右平江霽月昔定高堂笑語遲。每逢烽火照如期。祇今烽至親何在。獨倚蘭陔淚萬絲。右藥山夕烽黃昏泣送崦嵫日。到曉岐山的歷回。錯擬吾親如日至。佳城依舊白楊哀。右岐峯曉日東郊田土自先曾。一一吾親手耔仍。今歲年豐禾稼熟。宗宮春酒及時登。右東郊稼穡北遷行旅何方客。朝去曛回不作遙。怊悵王孫一歸去。年年芳草綠迢迢。右北遷行旅平生恨乏魯陽戈。夕照如飛奈爾何。惟願遙岑高不極。莫敎羲馭度山阿。右遙岑返照春回別浦簇游魚。曾是王祥叩出餘。施罟如今差易得。得來何處奉親居。右別浦游魚</text>
<title>甲申春帖</title>,<text>雪盡遙山翠欲來。北窓爐几又春開。東君餉我無餘事。濃抺梨花作雪堆。</text>
<title>題禹府尹 俊民 四時山水圖帖</title>,<text>江樓春盡柳絲垂。樓上幽人候釣遲。璜玉已隨西伯去。竹竿終日漫相持。右春川決銀河百折盤。長橋纔下瀉瓊湍。兩翁觀水誰傳術。長日茅齋玩碧瀾。右夏客宿茅堂趁早歸。平林籬落露依微。山如新沐江如鏡。滿地晴嵐濕不飛。右秋終宵臥雪凍生髭。早赴山陰竹閣期。童子折枝寒沒膝。待來橋上立多時。右冬</text>
<title>豐德村舍雨後</title>,<text>春城終夜雨催花。曉起斑鳩鳴古槎。日出耕農滿四野。千家芳晝柳絲斜。</text>
<title>壬午人日。宋士誨第。作賞梅會。仍出豐壤。夜已深矣。錄奉二絶。</title>,<text>梅下盈盈送玉杯。屛間笑出小娘來。酒醒驅馬黃昏月。怊悵荒山野水隈。曾見梅仙倚馬間。歸來月色滿空山。臨溪樹影多驚絶。不是羅浮一片顔。</text>
<title>謝睦楊口 叙欽 惠藥材</title>,<text>採到難看本來面。布囊埋沒露華殘。何當與子山中去。手攋幽芳晒石壇。</text>
<title>松峴茅堂。贈鄭大丘景任之行。二絶</title>,<text>驀地輕陰雨欲來。望君時上屋西臺。行塵起處人應去。人到江南幾日廻。春來人自鶴山廻。消息頻傳二竪催。天道未應忘此老。觀爻梅下日三回。時西厓病報連急</text>
<title>許左相 負 暄求垂楊枝</title>,<text>贈君垂柳綠烟絲。柳掩閑門只好垂。若在相門須植立。不如蘇老十靑枝。蘇齋相公建十靑軒</text>
<title>西郊。別千秋使書狀官李正郞 幼淵。</title>,<text>昔赴咸關我有詩。燕山別日倍咸遲。咸猶有贈燕何已。詩外還添酒一卮。</text>
<title>次志軒軸韻</title>,<text>不做山人不做官。一園功力竹千竿。僧來免作通名苦。經造淸陰六月寒。</text>
<title>天印軸。次鵝溪韻。</title>,<text>觸熱今休嘲褦襶。非師誰到渭南村。山中不自知寒熱。衝雪前年再及門。</text>
<title>題天敏軸李上舍士浩畫雨蘭</title>,<text>日照幽蘭倍有光。光猶可已雨斯長。詞人取雨饒深意。非雨何由釀得香。</text>
<title>天淡軸 淡方化粮。其師志軒代來求詩。</title>,<text>爲師化米淡沙彌。軒要酬勞乞句時。斗米歲饑勤苦得。酬勞須滿百篇詩。</text>
<title>送蔚山吳判官 二絶○汝撥。卽金鶴峯孫壻。</title>,<text>厓翁今作九泉人。每見南歸淚滿巾。今日送君重寄意。鶴峯秋月爲誰新。爲忠休謂小官輕。柳季惟將直道行。曾過島山傷白骨。瘡痍待子得生成。</text>
<title>送平安監司韓益之 三絶</title>,<text>痛哭長歌孰勝悲。向來歌哭太支離。忘言秋夜荒荒曙。明日陽關遠別時。男子平生一片心。融金介石鬼神臨。送君殘月曉星白。千里峩洋瀉玉琴。碧天秋夜動星河。西路蒼生得子多。靜作吉凶猶在我。運籌須審在人何。</text>
<title>安伯共自號五芝山人。丁未秋。余得金剛山九井峯桂樹。種之盆心。日夕愛玩。示之人。皆不知。余又慮所得者之非眞。正疑訝間。伯共忽至。諦視曰。此物何從至此。此是九井峯桂樹也。余旣喜伯共之知。而又喜所得者眞。遂志其事以謝之。</title>,<text>峯在世間靑眼稀。桂來宜亦少人知。安期信有超塵想。知桂知峯又號芝。</text>
<title>重陽獨坐。寄康平山。明之○二絶</title>,<text>佳辰服朮替茱囊。今日登高孰主張。黃菊入窓如媚我。不知人老廢重陽。湖堂紫醖楓明席。玉署黃封菊嚲樽。顧語妻兒譏幻妄。不如垂首掩秋門。</text>
<title>對安伯共待酒</title>,<text>待酒花邊酒不來。酒遲何恨故人回。朋來已見從千里。酒在隣家可洗盃。</text>
<title>斜川雪中。贈眞上人。</title>,<text>雪中相別寺門前。長老佳期誤七年。從此仙山那可到。浮生元少淨因緣。</text>
<title>次金亨吉閑居兩絶韻</title>,<text>歲暮山家人事絶。朝朝盥櫛迎淸暉。靈臺元不管晝夜。夜靜松籟鳴天機。</text>
<title>泛楊花渡。舟中口號。</title>,<text>江上人家短短籬。杏花橫出兩三枝。此中應有忘機客。沙岸眠鷗不自疑。</text>
<title>辯師久随松雲執殳南陲。今且東還。次軸韻以送之。二絶</title>,<text>出山而哭入山歌。誰識吾師氣槪多。出爲勤王入爲佛。世間隨地踏蓮華。晨起庭柯乾鵲噪。僧來剝喙是何奇。靜緣未盡禪家債。話到朝陽菊外移。</text>
<title>謝江原李都事 彦英 送當歸</title>,<text>仙山靈草摠佳名。獨寄當歸倘有情。應念池邊蹲老鳳。勸敎淸洛趁春耕。</text>
<title>題德倫卷</title>,<text>夢入湘東白板扉。向來春物正芳菲。循蘺手種文無草。草已當歸人未歸。古今注。文無。一名當歸。</text>
<title>爲黃叔正悼溫娘</title>,<text>溫。私娼也。叔正眄之。僕爲持平也。溫犯紫紬禁。被臺參。後戊戌嵗。遇叔正於龍灣。言溫已逝於亂離中。葬在江西海上。言甚悲。遂作此以悼之。蕭瑟淸秋海上魂。至今環珮月中聞。曾從御史臺前見。翠黛依微紫繡裙。</text>
<title>映碧主人 沈宗敏 出宰山陰 二絶</title>,<text>籜已生龍梅已零。春風不駐換鵝亭。扁舟早晚尋溪轉。倘有當時舊寫經。地理山人玉寶高。彈琴玄鶴下江臯。洞房千載餘音在。一曲飄風落碧桃。飄風寶高。琴調名。地理。智異舊稱。主人携文君以行故云。</text>
<title>題學專卷</title>,<text>居山居世休分別。山是頑空世卽眞。萬事全成臘月扇。會從心上起靑春。</text>
