<title>栢川醉吟</title>,<text>逢場卽盡懽。豈必傷遲暮。岸柳與汀花。蹁躚共我舞。</text>
<title>栢川回棹</title>,<text>初尋石壁去。却到栢川還。窮處疑無地。行來別有山。登高宜眺望。遇勝卽躋攀。人世多憂患。何妨一解顔。</text>
<title>題臨津盤石</title>,<text>盤石登臨處。江山不世情。波連祖海水。地近夜牙城。野闊平蕪綠。沙晴夕照明。白鷗如有意。飛去復來迎。</text>
<title>題栗谷舊亭</title>,<text>湖山元有主。風月自成雙。雅量稱南斗。閑情卧北牕。人亡餘古址。潮落但春江。脉脉空遺恨。吟詩瀉我腔。</text>
<title>白川江西寺 白川。公外鄕也。省墓後。仍尋江西寺。</title>,<text>懸燈理歸楫。欲趁早潮生。行李依童僕。扁舟任水程。非關謀活計。只爲奉先情。明發挂帆去。風高波浪驚。其二惘惘傷時事。悠悠哀此生。已難追旣往。豈必問前程。海草無心色。沙鷗不世情。何妨作我伴。舟過莫相驚。</text>
<title>次崔興叔 起南 見寄</title>,<text>溪山豈無分。去住本前期。秋入潘郞鬢。春生謝子池。野居偏有味。官路苦多歧。會趁梨湖漲。扁舟理釣絲。其二 少時。與崔興叔。有溪山之約。而來詩歎其不成。故兩詩幷及其意云。吾輩雖遲暮。歸山會有期。自能詩作伴。可是酒爲池。老病違三樂。年豐祝兩歧。堪吁墨氏子。何事浪悲絲。</text>
<title>禁直偶吟</title>,<text>畵閣連雲逈。觚稜拂斗平。風傳三殿漏。月送五更明。竟夜愁無寐。長吁暗有聲。誰知禁直裏。尙抱未歸情。其二白髮催吾老。靑衫愧爾新。官閑仍羽衛。地禁接鉤陳。擺落浮生事。安排自在身。三更未歸夢。夜夜祖江濱。</text>
<title>復次前韻。贈敬甫。</title>,<text>說着前時事。心中自不平。斷絃寧再續。古鏡要重明。暗恨空遺悔。深悲欲寄聲。無緣承一願。琴調謾關情。其二不是緣情薄。元非喜好新。休將舊日事。更向老夫陳。可惜泥中玉。空煩夢裏身。襟懷如欲道。江海浩無濱。</text>
<title>挽韓僉知夫人</title>,<text>早歲于歸日。門闌婦德全。傳家三女秀。纘業四兒賢。故宅俄新訃。行旌忽舊阡。西風一掬淚。沾洒隔墻邊。</text>
<title>挽人</title>,<text>通政官仍貴。稀年齒亦尊。平居敦孝友。餘慶屬兒孫。一夢重泉夜。新阡大海濆。連家情獨厚。題挽暗銷魂。</text>
<title>次子謙金谷壁上韻</title>,<text>靑山圍古院。白水繞新居。路仄纔通馬。籬疎未掩廬。誰知三畆宅。尙有五車書。二十年前計。緣君不擲虗。</text>
<title>右兵營。次韓柳川益之 浚謙 韻。</title>,<text>廢府濱溟渤。靑山護將營。繁華捴消歇。歲月謾崢嶸。未死丹心在。無端白髮生。琴樽淹半日。少慰遠遊情。</text>
<title>次尙中</title>,<text>客子淸晨發。行行車馬塵。廵南窮渤海。瞻北杳星辰。已是靑春謝。寧嫌白髮新。聯鑣眞勝事。况復少年親。</text>
<title>挽金僉知 得光</title>,<text>壽富東隣丈。官高鬢玉鮮。無端作一別。已是隔重泉。老淚揮難盡。哀詞寫未圓。人生孰免死。賴有善居連。</text>
<title>扶餘謫所。蒙宥後作。</title>,<text>身世輕秋葉。歸心隔暮雲。徒聞頒赦命。不見到公文。萬物皆含感。孤臣獨抱寃。全生亦聖澤。終老漳江濆。</text>
<title>題忠淸水營永保亭 本道方伯時作</title>,<text>空中樓閣鏡中天。薄暮登臨意渺然。走勢北來山欲跨。跳波西注海無邊。楣懸才子驚人句。門泊將軍下蜀船。直到夜闌呼小酌。當筵紅燭大如椽。</text>
<title>題李兵使江陰亭榭</title>,<text>將軍亭榭枕官津。去馬來牛日幾廵。山勢直從松岳外。海波遙接漢江濱。平蕪曉霽鶯聲滑。野店煙收柳色新。休沐有期留不得。可堪覊宦苦牽人。</text>
<title>朝天時。次氷溪韻。</title>,<text>十年勳業已衰遲。細筭人生不勝悲。夫子存心寧在飽。伊川着力更看髭。駑敢擬良騏副。樗櫟還叨聖主知。銜命朝天亦異數。臨歧何用動離思。</text>
<title>朝天時。和敬甫見寄。</title>,<text>朝天銀燭淚潸潸。偏向孤臣照寸丹。三殿瑞雲開繡戶。一聲淸蹕繞珠欄。風微玉漏傳呼淺。日早彤庭珮響寒。苦憶破眉山下客。何時共把釣魚竿。</text>
<title>龍泉道中。次氷溪韻。已下十三首。壬寅朝天時作。</title>,<text>僕夫催我且須遲。老去離親意轉悲。强索深杯寬別恨。羞將華帽歎霜髭。天涯客路三河近。歲暮覊懷一劒知。惆悵安興昨夜會。薊門何處苦相思。其二落月依微下岫遲。五更鼓角聽堪悲。驚殘遠客還家夢。撚斷騷人滿掬髭。窮達任天吾不管。是非由己子當知。同行萬里多生分。他日雲泥倘可思。其三更鼓鼕鼕五下遲。憶曾辭曉獨含悲。行裝萬里承新命。霜雪今朝換舊髭。同舍不須疑雋子。漢高何必讓無知。鞠躬盡瘁元吾分。王事驅馳可斁思。其四自笑名韁解我遲。十年簪紱喜兼悲。人心險似翻三峽。世事危如攬虎髭。誰是不偏誰不倚。孰能先覺孰先知。非非是是吾無與。唯有鄕山入夢思。</text>
<title>湯站途中。次氷溪韻。</title>,<text>伊洛音塵隔幾千。五雲東望已茫然。前程欲渡遼河水。客意偏傷歲暮天。燈火有情明獨夜。酒杯無賴送殘年。來來轉覺君親遠。一味相思淚逬泉。其二經過水萬與山千。眼底川原尙了然。境土東連靺鞨界。雲煙西入蔚藍天。明時政屬艱虞會。行役寧辭少壯年。男子襟懷本磊落。素心焉可凂貪泉。其三臨歧休歎道途千。入境胸襟便爽然。意豁還同鶯出谷。身輕猶似翰飛天。楡關去路山連海。漢水歸期日抵年。多小客懷書不得。羡君詩思湧如泉。其四客邊霜髮丈三千。異域光陰過瞥然。節序已驚冬至後。歸期只在艶陽天。龎公豈是尋常士。蘧瑗方知四十年。遭遇聖明恩獨厚。顧慚才乏賦甘泉。</text>
<title>立春</title>,<text>旅舘寒宵客夢回。起來推枕獨徘徊。浮生衮衮靑春謝。歲律駸駸白髮催。長路不知何日了。新年又逐五更廻。三山遊子傷心處。那裏吹簫送落梅。</text>
<title>杏山途中</title>,<text>遊子歸期在幾時。春溝處處漲驚澌。東園桃萼紅初暈。南陌楊絲綠漸垂。客久可堪魂易斷。病來唯覺睡相宜。長途險遠征驂緩。未度楡關已夕曦。</text>
<title>永平府觀燈</title>,<text>風流公子五花騧。駄得名姬擁蜀紗。縹緲天香雲外颺。輝煌燈燭望中多。元宵自古眞堪賞。四海于今久不波。唯有東韓萬里客。小牕孤枕獨傷嗟。其二郵程竟日策犂騧。風捲飛塵撲面紗。誰道幽燕行役苦。有時樽酒好懷多。暄催澤國氷先泮。春早桃花浪未波。薊水遼山遊賞遍。暫淹京洛莫相嗟。</text>
<title>再次前韻</title>,<text>塞上貔貅雄十千。威聲直欲拉燕然。狼煙久息陰山道。虜箭無傳瀚海天。橫槊將軍開府日。垂衣天子太平年。驚塵不起三邊靜。絃管家家酒似泉。</text>
<title>通津農舍。和默翁詩。</title>,<text>荊扉深掩寒山下。秀色偏憐夕照時。却掃前庭張雀網。高懸一榻印蛛絲。陶潛官罷猶餘酒。東野家貧尙有詩。不說大槐春夢覺。向來耕鑿只關思。其二茅齋淸曉紬衾暖。卧聽寒牕雪打時。明鏡謾敎悲白髮。玉壺誰復送靑絲。家貧第學樊遲稼。才魯寧言賜也詩。惟有靜中眞箇樂。圖書一室讀兼思。</text>
<title>早出登舟 已下三律。赤壁船遊時作。</title>,<text>孤舟解纜曉風輕。鰲島遙看旭日生。處處靑蕪迷遠望。家家黃鳥弄新晴。蒼茫海色連空碧。的歷巖花照眼明。何幸此行天借便。他時夢想亦堪驚。</text>
<title>過洛河</title>,<text>冠童三四試春衣。僊境來尋得意歸。山店依微花覆屋。水村寥落柳圍扉。詩篇下筆潭龍泣。歌管喧空渚鴈飛。紫綬金章身外事。今年始覺衛蘧非。</text>
<title>高浪</title>,<text>僊境行尋處處幽。兩山屛擁水中流。江通禹鑿歸無極。石帶秦鞭散不收。競把村醪留倦客。謾敎歌鼓起眠鷗。醺醺不覺回舟晩。風露凄凄濕晏裘。</text>
<title>次人韻</title>,<text>高陽一二舊吾徒。住近湖村德不孤。詩律向來增放逸。酒杯時復費招呼。奇材本待良工顧。韞玉惟須美價沽。五十無聞君莫惜。阮公三語也非愚。其二靑松爲友鹿爲徒。十載歸山計已孤。傍海非關謀喫着。選幽端爲避喧呼。淸晨擧網魚新得。山甕藏春酒舊沽。須趁良辰拚一醉。北邙高塚等賢愚。其三萍蹤南北任沉浮。駒隙光陰苦不留。老去朋親惟卷子。晩來生計有漁舟。三年月笛關中夢。萬事風燈鬢上秋。欲向明湖看夕照。暝雲搖落白鷗洲。其四初看淑氣草根浮。逝水流光莫暫留。不管狂風捲破屋。任他驚浪打虗舟。愚誠尙效葵傾日。病㥘還同柳望秋。愁入新年添一倍。美人如夢隔汀洲。其五陽坡未共祝春杯。咫尺離懷不自裁。祖海歸波天際去。寒山暮色枕邊來。迎年花勝家家闘。傍渚氷湍處處堆。起見小園新意好。須將卉木及時栽。其六門外寒潮去復還。平湖近海本無灘。新年草樹梅粧塢。舊歲風煙雪滿山。愧我庸才添老病。多君健筆擅詩壇。黃冠野服相從地。隨處開樽可解顔。其七節食少思宜少病。世間寧復有神僊。名塲不必謀三窟。老境惟須卧百泉。小砌移花觀活意。晴牕展卷對羣賢。蓬門寂寂無人問。只見君詩到案邊。</text>
<title>次敬甫見寄</title>,<text>一癖湖山舊有因。良辰行樂莫嫌頻。潘郞鬢上千莖雪。陶令門前五柳春。母岳西來長入望。祖江東去遠通津。憐君句法欺高李。到手詩篇字字新。其二拋官來卧絶塵因。野店追呼與子頻。舊釀發醅濃似海。羣書滿架富如春。休言市上三傳虎。欲向山前一問津。獨立東園無限意。新年剩得鬢絲新。其三重尋蓮社豈無因。淺酌長吟不厭頻。莫向高堂悲素髮。須從佳節賞靑春。梅邊白綻淸香嫩。柳上黃浮喜氣津。遙想君家草屋裏。晴牕鉛槧得詩新。</text>
<title>寄滄浪。兼示默翁。</title>,<text>霜浦前頭寄草堂。歸心暗逐隴雲長。寒山秀色當軒碧。綠樹濃陰滿地香。萬舸過時帆影集。八牕開處午風凉。默翁淸唱滄浪詠。何日琴樽共一塲。</text>
<title>次敬甫韻</title>,<text>靑山是處搆新堂。地僻猶堪舍則藏。萬里風煙連碧海。一天星月照瓊觴。衰頹自作魚蝦侶。老病惟須藥物良。看取向來人世事。可憐憂樂捴亡羊。</text>
<title>次敬甫見寄</title>,<text>海上哦詩一默客。洛中覊宦老梨翁。雲泥縱隔情何間。楚越雖分意則同。衰草黃花防浦外。瞑雲紅樹祖江東。秋來衮衮相思恨。暗逐歸波日夜通。</text>
<title>挽金判中樞 晬</title>,<text>交分曾投大小連。門屛留迹最多年。承家篤行人何間。爲國孤忠衆所賢。老去沉痾知有命。向來奇禍亦關天。高官美爵渾如夢。六字丹旌露渡邊。</text>
<title>挽韓參議 百謙</title>,<text>憶曾西路慣相隨。楊岳棲巖適一時。墻面半生無益友。龍登十載有餘師。怡愉伯仲渾和氣。蘊藉談論捴好辭。仁者如何天奪速。爲題哀挽瀉深悲。</text>
<title>寄默翁</title>,<text>年逾蘧瑗知非歲。病似相如渴酒時。不管流光頻換節。惟嫌老髮漸成絲。淸晨伴讀三兒子。遲暮隨身一篋詩。晩計加平能辦否。軟蔬新蕨苦縈思。其二剛惜年光如隙駟。世間行樂不多時。平生浪信成都卜。投老空悲墨氏絲。可笑劉伶偏愛酒。堪憐杜甫謾工詩。君家北望郊原逈。海色西風有所思。其三茅簷寂寞孤眠夜。落月蒼茫照海時。燈焰伴人明似畵。爐煙繞榻細如絲。寧嫌賈傅三年謫。還愧韋郞五字詩。莫把愆尤追旣往。須憑來者再深思。其四安得人生長少壯。偏傷世事異前時。年華漸漸看梅眼。春意駸駸上柳絲。要趁佳期煩覓酒。爲酬高唱强裁詩。東隣咫尺元非遠。休惜跫音慰我思。</text>
<title>酬默翁見寄</title>,<text>人間四序暗中移。天上三陽漸可期。終歲不開原憲室。逢春漫詠杜陵詩。眞機衮衮洪匀轉。淑景煕煕細草知。寒極暄回元是理。從來造物本無私。其二末路憐君志不移。峩洋一曲聽鍾期。平居雅趣猶耽酒。餘事閑情最愛詩。衣褐自甘隨豹隱。懷珠空復畏人知。窮通已是無心久。偶和瓊琚寫我私。其三淑氣今宵遍九幽。一年春意起鞭牛。梅腮已綻南枝上。柳眼初嚬北隴頭。彩勝家家唐制古。靑幡處處漢儀稠。神京喜見昇平象。甲第香煙散五侯。其四春返湖村事事幽。土床湯粥飯耕牛。三餘卧病因緘口。半歲吟詩不出頭。牕外梅梢新意動。檻前山態暮光稠。交游已斷靑雲上。晩契徒深卽墨侯。其五人生五十元非夭。且見今年春又來。身返梨湖家舊築。心驚槐枕夢初回。隨緣可辦無邊興。到手休停有限杯。林下自然多勝事。還疑造物起嫌猜。其六多情最是寒山色。日夕前峰送翠來。幽壑雪消知凍退。小溪鷗泛覺春回。靑絲暫試新蒿菜。白玉初傳舊栢杯。蹤迹避人甘寂寞。每逢車馬却驚猜。</text>
<title>挽沈南坡學而 悅 岳母</title>,<text>貞敬夫人福祿尊。女中嘉範仰高門。年臨鯢齒仁兼壽。慶溢螽斯子又孫。天上忽看飄鶴馭。世間無復理魚軒。深交早託東床客。哀挽寧辭老不文。</text>
<title>挽李白沙 恒福</title>,<text>門墻投迹幾多時。髫齕相隨鬢已絲。山嶽萬重纔得似。海波千丈敢窺涯。言關宗社寧辭死。身任綱常獨禦魑。百世是非公議在。滿巾淸血哭吾私。</text>
<title>酬敬甫見寄</title>,<text>自笑半生成底事。支離南北十年蹤。西來寂寞音書斷。北望微茫雲樹重。回憶去冬趨曉漏。却憐居士聽晨鍾。襟懷草草憑誰攄。朝暮扶吾竹一筇。其二日下久趨文石陛。海隅今混釣魚蹤。終南東望山千疊。淸漢西來水萬重。孤節每憐霜後竹。薄情多見飯餘鍾。春回更起加平興。擬向泉巖響瘦筇。</text>
<title>丹山夜宿</title>,<text>嗚嗚殘角曉星稀。郡閣寥寥獨掩扉。身世五年猶道路。音書千里隔庭闈。逢春剩洒傷時淚。扶病偏知作客悲。明發出門登嶺去。落花無數撲人衣。</text>
<title>次籌邊軒柳川韻</title>,<text>客來霜雪鬢邊饒。扶病偏驚道路遙。壯志未成書劒計。襪才無補聖明朝。何時白首漳濱去。空遣朱顔鏡裏凋。萬事關心眠不得。五更山雨聽蕭蕭。</text>
<title>次籌邊軒韻。寄李養久。時發。</title>,<text>南徼風煙特地饒。軒臨碧海眺望遙。還聞老范分西陝。行見呼韓欵漢朝。千里河山誰洗耻。百年民物半成凋。煩公暫爲蒼生屈。活國須同丞相蕭。</text>
<title>次樓船益之韻</title>,<text>東風吹我上樓船。曉旭窺崖欲闖然。報蔑絲毫身獨瘁。天連斗極眼長懸。庭闈杳杳書三尺。溟海茫茫路八千。從古遠游男子事。此行何必問歸年。</text>
<title>次統營韻</title>,<text>廟堂籌畫設經營。辛苦誰知海上情。客鬢曉添千丈雪。夜潮風送五更聲。何時日域誅驕虜。幾處幽關憶遠征。賴有將軍英略在。胸中十萬捴神兵。</text>
<title>次尙中</title>,<text>蓮帷暮撤冠山營。海曲縈廻十二程。紅臉低時愁唱咽。翠眉顰處眼波傾。芳心寂寞羞無語。客意融怡轉有情。夜入金陵獨不寐。小牕殘燭向人明。</text>
<title>西征</title>,<text>恩深報蔑泰山輕。扶病年年作此行。未是平戎得上策。只緣憂國借長纓。前驅白旆翻風逈。夾路黃花照眼明。離席竟孤拚一晤。終南回望有餘情。</text>
<title>題梨湖亭子</title>,<text>新搆高亭俯大江。舟人指點判書公。狂謀不合風塵際。老病宜投寂寞中。宅近鰲山雲出北。門臨漢水日生東。支離二十年間迹。捴入秋宵一夢空。</text>
<title>謫扶餘作 丁卯</title>,<text>扶蘇王氣千年後。白馬江流一帶長。覇業銷沉蕭寺廢。繁華寂寞舊臺荒。從來故國情偏感。况復覊臣意獨傷。倚棹西風多小恨。夕陽無限下蒼茫。</text>
<title>東園聯句</title>,<text>誰道今年似去年。年年人事不如前。當筵莫說歌長短。取醉休論酒聖賢。好古。 特地園林花爛漫。數行羅綺月嬋姸。明朝更放梨湖棹。萬里鷗波落照邊。敬甫。</text>
<title>舟中聯句 船游時作</title>,<text>當筵拍手恣歌呼。雪膾銀盤薦腹腴。子謙。 船逐落花歸別嶼。鳥從殘照下平蕪。敬甫。 升天舊迹憑誰問。好古。 望浦新醪滿眼酤。子謙。 惆悵前朝何事業。一眉松岳望中孤。好古。</text>
<title>萬柳庄 二十韻。朝天錄。</title>,<text>萬株楊柳樹。三世大夫鄕。選勝開精舍。探幽搆別庄。豪華今寂寞。風月但蒼凉。白水環瑤砌。靑松掩畵堂。書樓臨逈野。祠宇枕崇岡。塑像罥虫網。爐灰冷瓣香。縈紆登幔閣。寥落倚虗廊。事逐風燈散。碑留姓字芳。浮生堪悵惘。弔淚自淋浪。蕙逕埋荒草。苔磯入釣郞。池塘春未暖。時節鴈廻翔。鳥啄壞文壁。蛇穿毁粉墻。死生誰獨免。愚智竟同亡。暫弭觀風節。來求渴酒漿。黃冠偸暇日。白髮照濠梁。北路傳名勝。東人話備嘗。平生勞夢寐。今日不尋常。素業哀稚子。靑鸞愴老孀。題詩欠健筆。遣興喚椒觴。隔岸喧歌笑。春遊四五娘。</text>
<title>次默翁紀行 赤壁船游時作</title>,<text>吾與數帆翁。扁舟尋石壁。曉旭一輪紅。驚波萬里碧。風微燕語忙。日暖魚尾赤。光景供淸賞。入眼捴奇絶。冠童一二輩。伴我同往觀。岸柳颺輕綠。巖花猶未殘。移船向蟹巖。鼓枻辭梨湖。興味一何長。可以起頑夫。泛泛逐沙鷗。茫茫挾天風。舟中進酒饌。醉後衰顔紅。森森岸上樹。歷歷洲邊浦。行同張季鷹。去尋孔巢父。紺岳與坡平。龍鍾佳氣盤。桐江及花莊。瞥眼阻狂瀾。纔經照海浪。却到洛河渡。回瞻望美亭。寒山隔雲樹。吟詩覓佳句。神鬼如相助。飛飛逐檣烏。點點顚空絮。古廟屹空山。傍水三四家。疎籬晝寂寥。柴門半欹斜。臨津接西路。杳杳望行色。來者固悤悤。去者不遑食。停橈騁遠目。爲此淹行纜。歌鼓雜鳴琴。魚龍闖然闞。花石舊亭存。繫舟屛風疊。餘馨起余慕。盛名高映日。感時思昔賢。臨風一擊節。吾作百鍊鉛。子重千金諾。莫辭琥珀濃。且進鸕鷀杓。還擬魚返淵。有似鶯出谷。肝膽淡相照。如兄復如弟。良辰不樂何。趁此江山麗。何煩拊髀歌。起作長松舞。多猜忌造物。能言怕鸚鵡。暮投岸北家。夜坐恣歡謔。楚調呼鳳凰。秦箏動銀匣。細筭此行樂。無非聖主渥。明朝復催船。北去窮幽僻。淸流鏡新涵。翠壁列畵障。纖塵不到地。漁舟泛一兩。飛鳴煙渚鷺。跳躅桃花鱖。層巖挾兩岸。萬古如相揖。赤城霞欲餐。金莖露堪吸。泠泠笙竽韻。如自空中聽。不願換三公。還應芥千乘。翩翩鄭氏子。不知從何處。携酒又挈榼。慇懃開晤語。蘇僊七月望。曲水三月三。何地不有水。未若栢灘南。何地不有山。未若高浪山。花鳥似惜別。徘徊未忍還。收拾入奚囊。塵襟一淸澈。玆行豈易再。北望手屢額。俯仰迹已陳。題詩記日月。</text>
<title>己巳春帖</title>,<text>吾年六十四。布衣榮已極。上願退田園。次願歸溟漠。此外無所求。神明照心曲。</text>
<title>和李叔平 埈 見寄 以副體察使。往兩南時作。</title>,<text>年前忝糜湖西廩。處處溪山遍足迹。今來正屬去年時。江草江花捴舊色。輕舟擘破碧玉流。瞥眼看過千層壁。風流主人好事者。坐令繁華生水石。纖雲捲盡一曲歌。鶴夢驚斷三聲笛。令人豪氣增百倍。放歌行吟天地窄。但恨龜縮不出門。氣味暗符凝淸客。如許風光竟落莫。可憐佳期從此隔。</text>
<title>賜金龍扇</title>,<text>堯蓂日永敞金闕。舜琴風薰開玉殿。龍顔一解御史詩。文彩膾炙霜臺彥。中官傳詔賜金龍。拜舞丹墀紆帝眷。淸飈滿握魯練輕。曾是君王手中扇。驪珠初出碧海中。筆頭文章龍虎戰。莊鵬始舒北溟翼。禰鶚端宜文擧薦。平生有志勵秋霜。正直還參烏府選。淸光得依日月邊。逸思頗學風雲變。神愁鬼泣累千篇。鳳起皎騰堆萬卷。文星一耀北辰中。錦囊忽入重瞳見。淸新奚啻大人作。雅麗堪誇謝家練。天書褒美賜顔色。不世恩光生顧眄。還將一扇寵錫予。綵練團團月一片。宮中試出鳳搖尾。手裏纔揮風滿面。薰薰猶惹御爐香。皎皎新裁西蜀絹。靑蠅肯敎汚几筵。五月不受炎威煽。中心嘉貺當百朋。入手翻敎感淚濺。非汝爲美美人貽。奉揚仁風期不倦。秋來何忍棄篋笥。歲暮愈深犬馬戀。</text>
<title>題梅先生碑陰 己丑。會試入格。</title>,<text>淸霜夜凋洞庭葉。旅鬢初驚千丈絲。江南何處訪梅僊。片石無語傾空陂。曾於靑史揖淸芬。過此聊復題新詞。生全光岳逸氣淸。澗底落落長松姿。身當炎運屬中灰。太阿將倒王家兒。謙恭豈是學周公。大漢乾坤朝暮移。巖廊盡是肉食徒。慷慨誰能扶國危。孤忠寧避出位誅。碎首丹墀臣不辭。三封直筆凜秋霜。一寸丹忱天獨知。浮雲已蔽白日光。美人還誤黃昏期。東門雨雪正雱雱。惠好同歸安可遲。風塵吳市舊南昌。姓名人間知者誰。遺蹤還入野人傳。古里凄凉餘舊基。江東騷客好義人。遠慕先生興一噫。還將石刻表遺美。十行瓊詞三尺碑。文章彪炳照後人。頂上剝落蟠龍螭。褒公之美頌公德。庶使後人徵於斯。停鞭幾洒志士淚。播詠多費遊人詩。空山風雨幾多年。古字半入苔紋滋。男兒墮地重意氣。處世行藏須得宜。遺風至今尙起敬。况復當時親見之。摩挲更惜漢朝臣。食君之祿終何爲。衣冠投閣是何人。地下遊魂應忸怩。豐安道上一片石。萬古遺芳其在玆。</text>
<title>挽詞[行判中樞海昌君尹昉]</title>,<text>公方幽眇穎未脫。先子每稱公可用。及公後爲人所識。餘刃屢試藩臬重。末乃爲國大元帥。御手親傳尙方劒。逆臣稱兵犯城闕。馬鞍山高一戰斬。遂迎乘輿還京師。錫之鐵卷功無兩。時論同歸大司馬。君王注意朝夕相。籌公平生有足多。先子之見若蓍龜。公今逝矣吾又老。幾何不與公相隨。九重爲之惻愴久。部曲凄凉散似雪。公應爲岳爲星辰。爲雷爲霆轟烈烈。不然化作千丈虹。興雲噴雨蘇槁乾。或化厲鬼行陰山。殺賊萬計報君恩。公生公死夫豈偶。我欲求之穹壤間。穹壤茫茫覓無有。但見馬鞍之山突兀高入天。</text>
