<title>咸安大寺洞口</title>,<text>石路雲深處。苔留宿雨痕。靑驢慵不去。山色已黃昏。</text>
<title>次宗姪夢弼 尙說 韻</title>,<text>宇宙一逆旅。吾生是適來。日月如跳丸。寒暑幾還回。萬古風燈滅。百年隙駒催。人於倐忽間。虛老尙堪嗤。富貴元有命。於我浮雲哉。仁義爲干櫓。欲泝洙泗隈。胷懷物不隔。水月無塵埃。生涯寄林泉。誰爭孰相猜。拱默戒金人。或恐媒禍胎。三旬九遇食。身世亦足欸。古逕人不到。柴門晝未開。看山自怡悅。得月還傾盃。徜徉聊自得。不願蟾桂摧。圖書開左右。滿庭皆花魁。小兒易解字。山妻強添罍。所樂在此中。貧賤誰復哀。堪爲聖代棄。文學可用才。神州尙陸沉。大明如飛灰。北望心欝欝。撫釰蓮花頹。聖人生五百。王風幾時迴。謀猷不得獻。天門遠崔嵬。窮居宜獨善。樹義仁以培。朝聞夕死可。撫躬恒腮腮。</text>
<title>天梅上人</title>,<text>尊攘大義日星明。爾不知心但識名。身世百年無所托。白雲流水送平生。</text>
<title>述懷</title>,<text>只爲柴桑老別區。竹床藜榻一塵無。禽聲喚作尊前句。山翠開成壁外圖。峽險雲從巖角去。林深人與月輪孤。藏蹤自得安身術。俗士如何辨智愚。</text>
<title>磨雲嶺</title>,<text>磨雲嶺上披雲坐。俯視東西南北閒。夷夏交流三大水。乾坤惟有白頭山。</text>
<title>月南値雨</title>,<text>嵯峨月出山。萬古神仙所。千峯露石頭。雲雨不知處。</text>
<title>采蓮曲</title>,<text>蓮舟移上曲塘西。粉汗微微雪臂低。日暮淸歌嬌迭唱。不知花雨近前溪。</text>
<title>滿月㙜。次權石洲韻。</title>,<text>搔首西風客意悽。粉墻頹盡草相齊。荒㙜雨泣秋雲散。古郭烟生落日低。輦路楓丹猶有葉。瑤階禾熟揔成畦。繁華孰謂今如此。往事千年一鳥啼。</text>
<title>鳳谷精舍八景</title>,<text>檻外田畦萬頃多。嘉禾千種滿平陂。農家自有年豊願。長短斜陽幾處歌。右西郊農唱家在南湖湖上頭。蘆花如雪滿寒洲。漁翁不管人間事。明月孤舟一笛秋。右南湖漁笛嶽樹陰陰夜色昏。小庵遙在幾重雲。下簾獨宿書籤靜。時有踈鍾入戶聞。右義谷晨鍾霽月徘徊上碧峯。淸宵光景浩無窮。一般上下虛明裏。頓覺胷中萬慮空。右玉峯新月重城如壁壓江灣。地利金湯勝釰關。畵角聲中天更濶。女墻千堞粉成顔。右孤城粉堞▣後千村日欲曛。白烟初起亂紛紜。橫斜遠邇輕紈色。散入西風幅幅分。右千村炊烟古戍蒼茫草樹迷。川原寥濶水東西。咿咿曉角聲悲壯。吹罷江雲月欲低。右戍樓曉角鯨鯢不動海波殘。候火常傳塞外安。謾作騷人吟翫事。卧看明滅暮雲間。右望陣夕烽</text>
<title>己亥春。寓義谷寺。</title>,<text>禪家本自小喧譁。曲岸春深景亦嘉。半夜泉聲當戶聞。夕陽山影入樓斜。依微晩綠烟凝樹。亂落殘紅雨濕花。悄坐無心空寂處。三更白月照金沙。</text>
<title>詠懷</title>,<text>忍說求和丙子秋。筐珠篚玉走中州。皇皇使華龍灣者。不識吾東百世羞。賓服年來北以尊。休言禮樂寄東藩。綱常未定君臣義。皮幤全忘聖帝恩。擧目羞看前日月。容身恨出此乾坤。空將蹈海平生志。夜卧牛衣拭淚痕。天下存亡九十春。含生愚智抱羞均。盈朝但見千羊士。擒敵嗟無一虎臣。致帛貯金謀潤屋。紆靑拖紫詑榮身。揚揚自道男兒者。不識嵒間哂爾人。</text>
<title>夢過一處。水石淸奇。時霽景甚鮮。吟成一律。覺後只記芳草落花踈雨外之句。遂足成上下句云。</title>,<text>湖山何處水雲邊。蝴蝶尋春栩栩然。芳草落花疎雨外。明沙白石短筇前。飄飄宛是驂鸞客。忽忽還如化羽仙。會得他年蟬蛻日。又從靈境續眞緣。</text>
<title>聞鴈</title>,<text>高飛羣鴈一行過。何處江南有淨沙。叫罷數聲紅葉外。曉天霜月影邊斜。北陸竆陰動虐威。蕭蕭枯荻不堪依。霜寒七澤魂驚月。葉下三江夢罷磯。聲斷楚雲秋塞遠。影斜吳雪曉星微。南湖雨歇呼新侶。何處愁人獨掩扉。</text>
<title>夜坐</title>,<text>竹屋寒多戶未開。小燈明滅夢初回。滿天霜月三更白。萬木秋聲葉葉來。</text>
<title>義巖</title>,<text>形勝南州第一區。義娥遺躅此汀洲。千年哀㤪江波咽。萬古芳名石面留。寂寂孤城雲鎖峽。蕭蕭墜葉月籠秋。臨風最是傷心處。翠黛依俙泣渡頭。</text>
<title>㫌忠壇有賜祭</title>,<text>江上烟波萬古愁。山河空帶至今羞。兵家勝敗星霜久。壯士精忠日月留。爭頌義聲榮百代。寵贈新渥煥千秋。分明不死英靈感。雲雨蕭蕭咽晩洲。</text>
<title>松</title>,<text>托在山阿處所宜。龍形蛇骨稟天奇。亭亭特立凌雲榦。凜凜孤高傲雪姿。𤃡水淸風巢父隱。首陽寒月伯夷飢。當時枉被封官累。我爲秦皇亦一嗤。</text>
<title>竹</title>,<text>政合幽居隱者看。滿簷踈韻不嫌繁。瘦莖任飽風霜苦。勁節能堪雪月寒。密葉參差宜鳳睡。孤根屈曲學龍蟠。閑來欲剪猗猗翠。更釣當年渭水湍。</text>
<title>梅</title>,<text>婆娑粉白透氷霜。不與凡芬待載陽。獨保千年寒士節。初成淸夜美人粧。雪深虛舘花無影。風捲踈簾月有香。庭畔一枝斜更好。小窓先得早春光。</text>
<title>菊</title>,<text>香飄詩榻夜氳氤。影動虛簷霽月新。古砌幽深離汚俗。曉風吹到擺纖塵。叢叢綠葉迎霜晩。馥馥黃葩浥露均。閒坐北窓淸致足。尊前如對葛巾人。</text>
<title>蓮</title>,<text>深紅微白澹和烟。雪藕亭亭十丈連。風搖翠盖欹還正。雨散明珠碎却圓。淸倒寒波看濯濯。靜臨虛月愛姸姸。可憐千載濂翁後。誰取餘香尙宛然。</text>
<title>梧</title>,<text>手植梧桐盖有緣。物中惟汝最天然。深幽旣得寬平地。孤直能擎覆燾天。疎葉將秋來戶外。寒枝扶月護庭邊。盤桓縱得閑中伴。只恐蕭蕭客未眠。</text>
<title>閒居</title>,<text>靜裏安身是萬全。風燈泡沫實堪憐。荒田數畒營三務。白日淸窓穩一眠。松檻月升移卧榻。楓汀雨細理漁舟。淸宵抱膝長吟後。惟有孤懷憶仲連。</text>
<title>過廣灘</title>,<text>沿江一路蓼花灣。盡日孤行水石間。去去沉吟詩思苦。便知身世未曾閒。</text>
<title>次許滄洲詠懷韻</title>,<text>關門一闢使車繁。天下同穪鐵木尊。擧目寧堪悲日月。紆籌還欲整乾坤。臣隣已負三綱罪。聖帝空遺萬世恩。如使仲尼生此世。豈云軍旅未曾言。</text>
<title>訪四無翁</title>,<text>雨後春江北。行尋一草堂。落花紅滿路。步步屐生香。</text>
<title>聞杜宇有懷</title>,<text>夜夜花間泣血痕。月明何處訴煩寃。書窓有客偏多感。疑是禧宗聖帝魂。花落山空曉月痕。三春啼盡有餘寃。無端一箇皇明士。淚下孤燈獨斷魂。</text>
<title>雜詠</title>,<text>誰言君子疾無穪。學到無名至道凝。不事王公高尙志。何須千載讓嚴陵。塵埃何必役神精。况是浮榮過鳥鳴。千載淵明堪笑處。一官彭澤汚平生。</text>
<title>咏懷</title>,<text>久失神州理卽無。歸之天命可言愚。至今尙蔑重恢策。楚越男兒亦鄙夫。事業詩書易外無。釣磯明月一竿孤。霍公倘識烟霞趣。不向雲㙜入畵圖。</text>
<title>宿匡山寺</title>,<text>漸覺扶桑近。晨隨月影來。孤雲今不在。誰與話蓬萊。</text>
<title>宿昌原海亭</title>,<text>高低羣嶽四望開。萬里重溟一小㙜。夜色虛明波湧月。却疑身是泛槎來。</text>
<title>與郭欽若 鳴朝 望海聯句</title>,<text>出門觀大海。若。 地盡近扶桑。甫。 鯨噴風濤立。甫。 龍吟貝闕凉。若。 嚙巖平作礪。若。 呑浦斷無梁。甫。 萬棹聲咿戛。甫。 天光接杳茫。若。</text>
<title>斷俗寺。觀姜通亭手植梅。次南冥韻。</title>,<text>人臣猶可薄湯武。忠義寧忘世祿家。尺土今非麗代物。寒梅何事又開花。</text>
<title>漁翁</title>,<text>蒻笠蕭蕭覆白頭。一竿垂處渚雲幽。晩來雨歇江潮漲。移上漁舟繫柳洲。呴沫銀鱗跳復驚。貫來江柳拂新晴。歸時路暗蘆花岸。獨倚西巖待月生。</text>
<title>訪四無翁夜話 三首</title>,<text>銅壺滴滴漏聲殘。吟到深更興未闌。花墜壁燈天欲曙。雪飄詩榻筆生寒。世途苦海升沉劇。人事浮雲會合難。盤有佳肴樽有酒。莫辭談笑盡情歡。吟到三更蠟燭殘。醉中奇思未全闌。湖心月上林生白。簷外霜侵壁透寒。佳興不窮呼酒數。豪情無限寫詩難。慇懃笑話披肝膽。能得人間一夜歡。草堂寥寂小燈殘。北斗垂天夜色闌。窓外淸光湖月湧。檻前踈韻竹風寒。酒緣怕醉斟盃淺。詩爲爭奇下筆難。勝會無常人易老。浮生那得不相歡。</text>
<title>贈許君則 榘</title>,<text>等閒庭畔小寒梅。愛此方塘一鏡開。看取虛明波上月。宛然移得底心來。</text>
<title>夜坐有懷</title>,<text>底事中宵坐涕洟。皇明消息杳無期。只憐鴨綠長江水。幸別吾東不混夷。</text>
<title>訪道谷</title>,<text>竹裏漁家晝掩門。江花半落渚禽喧。白首圍碁無語坐。案頭童子數斟尊。七十人間自古稀。一生經術老書幃。時遊法界雲山勝。偶逐江花雨後歸。</text>
<title>移植舍兄舊居紫荊。有感懷賦二絶。</title>,<text>無情草樹有情移。何日傷懷不在玆。花事不知人事變。夜來重着舊年枝。無恙西來客土移。却憐人壽不如玆。存亡人世難堪痛。風雨餘根有一枝。</text>
<title>玉連環體</title>,<text>日長村巷夕風凉。小塢芳蘭綠暎床。木葉迎春濃影碧。石衣經雨古紋蒼。君懷蕩蕩寧憂餓。我志囂囂亦似狂。王事不關雲水客。各將尊酒醉花香。</text>
<title>次崔兵使 鎭漢 矗石韻</title>,<text>蒼嵒不轉翠樓危。壯士仙娥往蹟奇。恨入長江層浪碧。至今嗚咽夕陽時。明月南樓罷詠詩。指揮䧺畧六花奇。當年未遂剸鯨志。欝欝龍光夜吼時。</text>
<title>呈崔兵使求和</title>,<text>龍泉匣裏暗鳴秋。元帥書生豈異憂。休道百年鯨海息。至今未雪二陵羞。</text>
<title>拙修齋集中。有寄謝吾先人詩。不勝追感。敬次其韻。</title>,<text>拙叟身窮道德流。昔同先子說懷幽。凄凉詩句惟殘墨。倐忽星霜幾十秋。遼鶴不來餘往跡。緱仙無返愴前遊。雲愁谷口偏多感。一讀淸篇悄倚樓。</text>
<title>憶大明</title>,<text>頭戴明天一居士。百年東海泣徘徊。山僧不識平生意。秪道烟霞翫景來。</text>
<title>辛丑夏。自三月不雨。至五月晦始雨。謹賡。大行大王喜雨詩韻。御製詩曰。春雨知時夜未已。乾坤霈澤物皆被。病中民事何能忘。只願年豊自麥始。</title>,<text>天感堯誠雨不已。桑麻千里盡添被。憂民聖筭無時休。萬世開平知有始。宵旰民憂出至誠。至今宸翰感丁寧。仁天喜雨沾膏澤。應賴先王不昧靈。</text>
<title>謝地主送米魚酒</title>,<text>泥下惟甘曳尾龜。鷦鷯何害處深枝。平生恨未藏踪密。枉使虛名太守知。</text>
<title>曉坐</title>,<text>三間茅屋一蒲團。人說生涯似范丹。誰識此身能富貴。分明前夜夢槐安。</text>
<title>與四無翁。遊義谷寺。</title>,<text>古麓千年寺。山回石作門。僧歸踈雨過。林外暮禽喧。</text>
<title>憶檜山露頂軒海亭舊遊</title>,<text>露頂幽亭小嶼邊。別來仙賞已依然。蕭蕭落葉漁汀月。忽憶三宵伴鷺眠。呼朋携酒昔同遊。政値楓丹橘熟秋。碧海三更無限月。共聽漁子話孤舟。</text>
<title>偶吟</title>,<text>杜門三十有餘春。底事窮居樂自珍。迂拙不知時俗事。衆訕如影未移身。</text>
<title>詠史</title>,<text>武王渡水剪殷時。八百諸侯會不期。未有當年孤竹子。綱常萬古果誰知。</text>
<title>感懷</title>,<text>深讐羞戴一天同。萬國何心執玉恭。看取東流江漢水。至今猶不變朝宗。</text>
<title>偶題拙守齋壁上</title>,<text>世道日機巧。人誰性命全。惟君能拙守。萬事一聽天。</text>
<title>大龍洞石佛</title>,<text>寺破千年石佛孤。古篁幽處尙跏趺。曾聞慣識三天事。風雨空山不掩軀。</text>
<title>訪義相㙜</title>,<text>登登石壁脫驢蹄。踰盡千岑或越溪。花雨東風曾一過。却因黃葉路依迷。西風吹雨過前山。洞樹秋光錦葉斑。宿鳥投林巖路暝。一筇僧踏白雲還。法界風烟古。登臨絶世情。樓含雲氣濕。山帶雨痕明。月白禪心凈。泉鳴客夢淸。沉吟仍不寐。秋夜欲三更。</text>
<title>感懷</title>,<text>羞看玉帛走幽燕。幾箇英豪淚泫然。休問餘生蹤跡秘。伯夷曾不戴周天。</text>
<title>謹次朱夫子與南軒赫曦㙜聯句韻</title>,<text>先生遊嶽麓。筇下幾層岑。緬仰風期合。還欽道契深。隱淪前後計。涵泳古今心。勝跡傳千載。餘生慟莫尋。</text>
<title>呈地主韻</title>,<text>翩翩鳧舃又南州。廊廟江湖揔是憂。一箇東方巖穴士。可憐林下讀春秋。</text>
<title>曉坐</title>,<text>鷄鳴獨坐掩書扃。萬竅迎風但聞聲。星月滿天天欲曙。幾人依枕計功名。</text>
<title>菁川觀練兵</title>,<text>鐵騎縱橫釰戟森。風幡獵獵陣雲深。鳴金撾鼓軍容壯。一倍男兒雪北心。</text>
<title>和地主乘月見邀韻</title>,<text>東風消息返庭梅。良夜芳尊特地開。豪興無邊銅漏永。不辭同醉淺深盃。</text>
<title>贈方丈山妙上上人</title>,<text>忽喜沙彌夕到軒。狵眉微帶白雲痕。自言不慣人間路。共逐溪流出石門。</text>
<title>遊靑谷寺</title>,<text>花樓來倚日斜時。春滿東林物色宜。萬㥘灰殘雲塔古。千年松老鶴巢危。窮探異境平生願。更有何山此外奇。佛榻携僧談水石。世間消息欲無知。</text>
<title>過黃柳津</title>,<text>麗日淸湖花滿堤。堤邊芳草入驢蹄。長郊漠漠東風暖。忽有鶬鶊上下啼。</text>
<title>春日。和益齋韻。</title>,<text>堤邊烟柳弄金斜。春滿江南處處家。別是幽居一奇翫。短籬橫出數枝花。</text>
<title>與宗侄汝良 相詹 遊臨江亭戱贈</title>,<text>浮生於世貴無爲。自古繫華揔一時。看取百年身後事。不知何物是吾資。</text>
<title>偶吟</title>,<text>明庵居士淡無營。不欲時人識姓名。只取春秋三傳讀。首陽山色夢中靑。</text>
<title>義相臺</title>,<text>一杖投來步屐遲。登樓何事不吟詩。看山翫水無竆趣。政在收心寂默時。</text>
<title>次退溪先生矗石樓韻</title>,<text>城下長江江上石。人間知有架空樓。漁翁獨釣西巖畔。商女爭喧北渚流。壯士不還春草碧。貞娥無跡浪花浮。沉吟不禁龍蛇恨。悄坐黃昏月湧洲。</text>
<title>讀禹貢</title>,<text>當時導氷意無窮。鍊石媧皇不足工。敷土八年勞帝力。隨山四海費神功。諸川會九東南北。厥賦分三上下中。萬派千源從古道。封疆依舊限華戎。</text>
<title>遣懷</title>,<text>野藿園芋備夕餐。古冠單褐不曾完。君恩尙及垂竿地。剩得南湖月一痕。</text>
<title>夢中遊何處山齋。月色微明。吟成一絶。覺後只記末句。子䂓啼血㤪聲聲之語。因綴三句。</title>,<text>開懷不欲說平生。底事無端涕自橫。半夜山簷微月照。子䂓啼血㤪聲聲。</text>
<title>閑居</title>,<text>明庵居士謝知音。案上羲書一古琴。無喜無悲無語坐。滿庭春草一般心。</text>
<title>庚申秋七月。宿山齋。是夜風聲蕭蕭。蛩音喞喞。</title>,<text>虛堂獨宿感懷生。風雨三更睡未成。世上經營誰得失。千秋人事一蛩鳴。</text>
<title>麻田赤壁。追次先人與金相國 錫胄 唱酬詩韻。先人詩曰。峨嵋形勝最。層壁壓長洲。古蹟麗王墓。楓林廢寺秋。淸尊留遠客。落日送孤舟。回首問漁父。何如蘓子遊。</title>,<text>麻江流不盡。山月暎寒州。想像當時景。依俙壬戌秋。世移餘赤壁。人去繫虛舟。小子追吟意。抆涕愴舊遊。</text>
<title>三壯寺。次善甫韻。</title>,<text>我似箕山老。君騎𤃡水牛。耳聞天下事。當洗碧溪流。</text>
<title>畣人</title>,<text>人言從俗衆誚無。畣謂斯言不識吾。富貴功名都謝了。更求何事向人諛。</text>
<title>朋黨之作盖久。而究其歸則不過勢位相傾軋。轉輾醞釀。遂成大禍。閒居默念。不勝慨嘆。吟成一絶。</title>,<text>其勢難容若炭氷。釀成非是亂如繩。危檣䆠海無人退。百尺風瀾又一層。</text>
<title>有懷</title>,<text>百年驕子坐中州。如彼簪纓亦足羞。天下宗周非大義。仲尼何必作春秋。</text>
<title>贈客</title>,<text>眉帶雲嵐客上堂。笑言行色自天王。仙區只恨鞭驢早。楓葉猶遅爛染霜。</text>
<title>偶吟</title>,<text>未復皇明死亦輕。忘讐寧不愧簪纓。君看魯叟春秋筆。今日應無罪我名。</text>
<title>憶靑蓮庵</title>,<text>靑蓮古寺入依俙。望裏瓊岑一髮微。遙想孤僧無語坐。滿林紅葉閉禪扉。</text>
<title>有感</title>,<text>相傳吾道已無徵。竹帛餘言寡服膺。今日更當千五數。有誰豪傑再中興。</text>
<title>寫懷</title>,<text>一箇腐儒在。乾坤痛未旋。身㞐東魯地。頭戴大明天。歲月悲歌裏。山河血淚邊。重恢如有日。吾死是生年。</text>
<title>宿武夷精舍聞落葉</title>,<text>夜有蕭蕭山雨響。夢驚孤枕却生疑。開窓月白星河潔。悔被秋風落葉欺。</text>
<title>義相臺。與李汝三同話。</title>,<text>來往仙㙜不失期。我心君貌鳥應知。山僧笑向巖楓語。紅葉何如綠葉時。</text>
<title>次盧完寶 珏 韻</title>,<text>吾㞐寂寞海雲邊。物外藏蹤已有年。日月長閑幽壑枕。風塵不近綠蘿烟。可期洗耳箕山老。羞作投竿渭水賢。窮巷始逢傾盖客。晴窓如對羽衣仙。</text>
<title>己酉正月二十七日夜。與李汝三同宿于義相㙜。感其舊遊。約以重尋因吟。四首。</title>,<text>細問金剛雪夜中。金剛大抵勝吾東。高低萬二千峯裏。第一龍淵倒白虹。又言皆骨石崔嵬。萬二千峯萬瀑雷。深洞碧桃明月下。玉蕭微囀永郞來。莫向淸尊㤪別離。爲君今日定前期。靑山薇蕨初生際。杜宇新花未落時。江北江南手忽分。別愁無限動汀雲。丁寧花鳥東風事。不負山僧不負君。</text>
<title>次李子大 天根 詠雪韻</title>,<text>嶽色湖光接凍天。鶴飛無影玉堆前。乍含巧態斜侵燭。微帶寒威任透筵。地白初疑花錯落。林明何待月高懸。應知楚竹三更夜。萬葉蕭騷動客船。</text>
<title>題李汝三觀瀾堂壁上畫</title>,<text>何處孤僧着衲衣。行裝閒與白雲歸。夕陽底事停筇立。松下分明石逕迷。</text>
<title>再上雙溪八詠樓</title>,<text>憶曾經過此名區。物色當時紅葉秋。山入白雲深萬疊。水從靑鶴合雙流。嵒門尙在孤雲筆。風月偏多八詠樓。滿地碧桃花影亂。今遊何似昔年遊。</text>
<title>贈贊益上人</title>,<text>智異山中最勝區。萬峰回處一菴幽。上人莫道心無慾。專取雲泉置案頭。</text>
<title>獨坐感懷</title>,<text>愀然含淚對山河。何事成來髮欲皤。風雨乾坤無可往。一生蹤跡寄禪家。</text>
<title>謾吟</title>,<text>北定中原不復期。世間何謂有男兒。夜來杜宇啼寃血。天下興亡鳥亦悲。看盡蓬萊萬瀑流。歸來方丈草廬幽。百年天地腥塵外。獨老皇明一白頭。</text>
<title>釣南湖</title>,<text>招呼釣伴下漁磯。童子看菴鶴護扉。日暮歸來魚貫柳。滿溪風雨濕簑衣。</text>
<title>與史汝宿義相臺</title>,<text>携手三人石逕行。法天風日十分晴。杖頭嶽色皆前樣。燭下僧談揔舊情。古壑雲深松自老。荒㙜仙去月空明。峨洋一曲兼詩興。物外奇遊足此生。</text>
<title>病中感吟</title>,<text>蓬萊楓嶽久難忘。十里鳴沙路杳茫。病卧水雲松月裏。白頭心事忽悽凉。</text>
<title>有懷</title>,<text>玄黃玉帛走龍灣。莫恠明翁慨涕潸。宇宙寧無夷夏別。君看天限白頭山。</text>
<title>食蕨</title>,<text>對食人皆彈鋏悲。爭將珍錯樂生涯。明翁獨採西山蕨。天下誰知此味奇。</text>
<title>宿內延山繼祖菴</title>,<text>滿室宿雲留不去。石頭杉木老斜斜。庵僧憐我連飢坐。笑進囊中松葉茶。</text>
<title>次宗侄季宗 相周 韻</title>,<text>平生於俗異方圓。白首蓬蒿氣欝然。遍踏仙山峯萬二。大觀瓊海路三千。身扶漢鼎羞當世。淚灑燕雲歎百年。惟爾慇懃能愛我。今人誰識阮公賢。</text>
<title>錦山題名</title>,<text>風塵萬事等寒灰。重訪烟霞碧海隈。掃石玆留名姓字。羣仙應喜故人來。</text>
<title>菩提菴</title>,<text>菩提靈境極淸幽。居士重來舊跡留。蓬島雲收溟萬里。蓮㙜仙去石千秋。俯看日月初生處。高卧山河已盡頭。從此塵緣無復在。百年身世自悠悠。</text>
<title>兜卛庵</title>,<text>尋眞重到卧蒼藤。知我仙緣果有曾。萬古奇觀巖立立。千年靈蹟塔層層。波頭點碧蓬山出。窓外翻紅海日昇。人世歸心從此絶。却將生滅問高僧。</text>
<title>出石門</title>,<text>我是皇明一布衣。百年於世事皆違。金剛昔翫龍淵瀑。錦嶽今看日出歸。</text>
<title>九井峯</title>,<text>兔沒楡花影。烏飛桑葉天。神仙來海上。簫囀白雲邊。</text>
<title>碧海菴。見漁燈。</title>,<text>窓外潮鳴碧海頭。黑風吹雨打寒洲。漁舟夜載孤燈去。照破蒼溟萬頃秋。</text>
