<title>讀書 乙丑</title>,<text>月是太古月。書是太古書。太古明月下。人讀太古書。</text>
<title>除夜</title>,<text>賣他癡騃盡。仍把屠蘇盃。舊歲宵中去。新春子後來。千門呼博燭。五漏打堆灰。將使甘羅笑。筭年愧不才。												又						守歲家家人不眠。三彭上訴豈其然。童心自有迎新喜。笑賀明朝得一年。</text>
<title>立春 壬申</title>,<text>餠飄繭紙出。菜上玉盤行。辛未隨灰盡。壬申共漏生。千門陽氣至。玄陸歲功成。數字區區禱。立春大吉迎。</text>
<title>苦熱</title>,<text>陽烏赫烈一何威。火傘張空爐四圍。道上行人多暍病。園中蒔菜盡萎腓。思將赤脚層氷踏。徒喚蒼頭巨扇揮。安得雲梯登九萬。手傾銀漢洗炎暉。</text>
<title>苦蚊</title>,<text>炎欝氣蒸草洳成。乘昏得意任橫行。遠來聒耳如遭哭。近至叢身疑遇兵。長喙微形飛嚙善。惡煙嗜肉往還輕。露筋貞婦應哀訴。天帝胡寧忍汝生。</text>
<title>七夕</title>,<text>癡牛騃女隔西東。只得逢歡此夕中。幸不長離恩有感。却思前事悔無窮。停梭翠袖三更動。駕漢金蘭一道通。送與人間多少巧。年年猶復乞詞同。</text>
<title>大風雨 癸酉</title>,<text>潑墨頑雲勢莫摧。疾風淅淅駕獰雷。江濤直𥳽高山上。海雨亂隨走石來。無計撥回天氣朗。何由快覩日輪嵬。床床屋漏添愁歎。排悶新詩強自裁。</text>
<title>尋春 甲戌</title>,<text>春草江城綠四邊。淡雲和日匝輕烟。山川物色難圖畫。花樹鸎蟬勝管絃。耽看池塘魚出沒。却忘簾幕燕蹁躚。尋閑自是吾心樂。何妨人稱學少年。												其二						初過甘雨晩風微。萬象森羅自動輝。欵欵雙蝴深藪入。浮浮獨鳥何山歸。烟磯釣罷柳搖水。月夜人回花點衣。堪喜甕間新酒熟。江魚白白正春肥。</text>
<title>驟雨</title>,<text>纔見崇朝陰。忽驚驟雨淋。山光搖草木。船影亂津潯。林鳥飛還落。沙鷗浮復沉。庭前花半缺。綠樹自森▣。</text>
<title>端午卽事</title>,<text>江天碧杳杳。江水波洶洶。風送秋千舞。陰陰樹色濃。</text>
<title>遣興</title>,<text>深深吾亦愛吾廬。霽月光風興有餘。原野綻紅花可訪。池塘躍白鯉宜漁。心閑最好論文細。地僻何妨與俗䟱。城市故人多厚祿。今年已斷往來書。</text>
<title>七月十六夜。雨過凉生。雲收月霽。淸景皷興。敬次伯氏韻。</title>,<text>喜雨初過興不勝。新凉一洗老炎蒸。林䟱遠壑淸飊至。雲破長空素月昇。便欲登仙跨彩鶴。何愁撲面閙蒼蠅。庭前散步高吟處。已覺楓林玉露凝。</text>
<title>鴈</title>,<text>陽鳥知霜信。一聲萬里秋。天長行整整。水濶意悠悠。遠集先時候。將飛顧侶儔。白鷗分興趣。明月滿蘆洲。</text>
<title>除夜</title>,<text>倐忽三冬遽已盈。新年斗覺在天明。延祥萬戶帖金字。逐厲千村爆竹聲。守歲苦嫌銀燭短。哦詩仍瀉玉壺淸。囊中多少勞神句。酒脯恭將學賈生。</text>
<title>寒食雨 乙亥</title>,<text>山上浮靑意。江頭漲綠波。農家占有歲。寒食雨聲多。</text>
<title>大雨</title>,<text>雲容忽慘惔。雨脚劇縱橫。列缺三光闘。阿香萬轂砰。得非北海捲。無乃銀河傾。破塊不須歎。四郊溢喜聲。</text>
<title>舟行曉望</title>,<text>吹帆風淅淅。濕纜露斜斜。白帶平湖月。紅浮遠峀霞。蒼茫人語。閑適鷺眠沙。回想籬邊菊。今開幾朶花。</text>
<title>夢有人呼韻。信口答之。覺卽了了。丙子</title>,<text>博施宜袗果。獨善樂瓢簞。巧拙同䂓矩。堅高在仰鑽。有苗斯有秀。觀水必觀瀾。莫放金烏遣。奔跳勢似丸。</text>
<title>鞠歌</title>,<text>四坐且停酒。側耳聽我歌。我歌何所歌。君聽我須哦。我心狹天地。我氣壓江河。我欲凌長風。遠遊窮八垓。扶桑視尺咫。廣都看盃罍。恥同𪘏𪘏者。出沒於塵埃。茫茫九州外。有海無乾坤。欲破萬里浪。遂以窮其源。孰能從我行。與我同飛騫。盈盈酒滿尊。爲子擊玉壺。子無惜我去。且以勉吾徒。借問焉所從。喬松與翺翔。摻手薄臨歧。世路劇悲傷。寒風振萬壑。白日爲無光。行行行路難。險隔山川長。東憂暘谷深。西愁羊膓苦。瘴霧南天凝。氷雪朔方聚。而我已發軔。且欲勿骫骳。堅車可躐山。利楫可涉水。蹞步且莫休。跛鼈卽千里。君莫笑鶉衣。我不恥狐貉。君莫笑蔬食。我有其中樂。此日足可惜。所願學孔子。不知老之至。斃而後乃已。</text>
<title>詠喬木 丁丑</title>,<text>千劫蒼松半無枝。歲寒猶有後凋姿。森森直榦昂霄立。大廈棟樑舍爾誰。</text>
<title>醉人</title>,<text>人之於酒乎。毫益而刀害。聖者其猶難。凡愚誠自鄶。</text>
<title>蒼蠅</title>,<text>營營終日往來頻。隨處難明黑白眞。也非不足偸生計。畢竟杯盤喪厥身。</text>
<title>山齋卽事 戊寅</title>,<text>東窓睡覺射朝暾。遶屋唯聞百鳥喧。峽束滄江天一穴。花圍村落洞三門。溪邊坐石沾苔色。雨後栽蔬印屐痕。莫道桃源有勝地。此中亦自別乾坤。</text>
<title>雨</title>,<text>點物細成潤。隨風斜作行。不煩祈蜥蜴。已驗舞商羊。暗暗添花蘂。欣欣動麥芒。白鷗何意思。衝雨戱滄浪。</text>
<title>步到豆毛浦。乘船向楊根。己卯</title>,<text>間關豆浦路。邂逅楊江船。帆影隨風轉。灘聲逐地遷。峯留頻隱後。走巧爭先。落日傍沙立。臨舷興杳然。</text>
<title>龍門山有龍湫懸瀑可觀</title>,<text>爲看龍湫瀑。行行法寺東。迎風巖石上。盡日水聲中。噴勢山全拆。歸心海直通。沈吟不覺暮。溪路落花紅。</text>
<title>遊斜川。敬次家君用陶靖節斜川詩韻。贈深寧翁。</title>,<text>天地一陽春。物物皆休休。而我當此時。陪侍得優游。聯翩杖屨間。斜川曲曲流。昔有海上翁。忘機不驚鷗。我亦無心者。坐沙或登丘。閑花簇紅紫。好鳥呼侶儔。龍湫信奇怪。萬雷轟相酬。借問淵明遊。亦復有此不。偸得半日閑。忘却百年憂。便欲營菟裘。更向主人求。</text>
<title>遊龍門山</title>,<text>飄然乘興躡嵳峩。前路分明問舍那。急瀑春來聲倍壯。層巒雨後嵐偏多。魚山僧到龍門寺。稷粥禽鳴粟飯花。遙指白雲峯上月。竹筇斜披碧藤蘿。</text>
<title>遣愁</title>,<text>雲水濛濛小峽中。危軒獨對萬林楓。羃山宿霧偏能雨。掠葉輕禽故自風。客子魂隨鴻翼北。楊江波接鳳湖東。愁來不用引詩興。詩欲排愁愁不窮。</text>
<title>觀網魚</title>,<text>昨夜今朝雨。前溪後瀑聲。行持一網到。坐看萬鱗橫。鳥喜鴨頭浴。魚多牛卯名。淸流愜素思。聊復濯斯纓。</text>
<title>寄宿山家</title>,<text>廉纖暮雨馬凌兢。爲向山村借一燈。主人笑語君無味。吸草𠷢盃捴不能。</text>
<title>效皇華集中東坡體。仍次其韻。</title>,<text>門外曾無顯者車。紅塵消息我全䟱。寒齋盡日殘香篆。卧看羲皇以上書。</text>
<title>除夕自歎 余今年十九</title>,<text>三餘送盡已除夕。默筭行年到五更。十九堪嗟眞碌碌。由來錐末事何成。</text>
<title>次李正言 載厚 送別韻 庚辰</title>,<text>識荊三載沐淸儀。呼友慙非北海兒。每於暇日頻承誨。可耐今朝倐告辭。春歸古驛離愁重。身遠靑山去夢疑。秪應努力加餐飯。臨別何須歎盛衰。</text>
<title>舟中 四絶</title>,<text>羸馬尋江路。主人繫歸舟。縱郞行次急。風浪奈中流。						孤舟傍行。夜久些凉生。水宿鳥飛起。也驚柔櫓聲。						五月濤聲壯。黃昏野色幽。篙師停楫語。月黑前多舟。						霧裏扁舟行。依微遠峀隱。江村聞犬嘷。知是我家近。</text>
<title>次沈都事 埜 考槃窩韻</title>,<text>考槃寧俾昔人專。空谷誅茅寄暮年。吟處筆濡紅葉澗。興來筇擲白雲巓。塵纓拋却何曾吝。野服蕭然自得便。喬木風流寥落久。聖朝應不履簪捐。</text>
<title>歐陽文忠公守潁州時。雪中約客賦詩。禁體物語。凡玉月梨梅練絮白舞鵞鶴銀飛塩鷺蝶等。皆請勿用。仍不使皓皚㓗素等字。於艱難中特出神奇。其後蘇子瞻禱雨。張龍公得小雪。與客飮聚星堂。歐公二子又適在郡。因擧前令賦詩。此殆千古盛事也。獨恨坡公詩不能不犯白字。又兩公皆用雪字。僕生於數百載之下。每讀之不能無憾。適値歲暮。寒齋夜雪。忽憶二公之擧。歆羡不能自抑。忘其鄙拙。輒申前令。各次二公之韻合二首。遂不復用雪與白字。但坡韻押雪字。雖不得避。亦不敢用本意焉。九原可作。二公亦必莞爾而笑曰。若汝者乃眞不持寸鐵者也。</title>,<text>蕭蕭草木皆斂萼。巽二滕六相回薄。陰氣初從同雲緊。暗響已隨密霰作。黃昏海山驚黯慘。半夜乾坤忽昭廓。一日能令世界變。萬物都逐寒威爍。書生凍吟筆欲折。貧女夜織淚應落。茫茫獵騎搜鹿兎。欝欝朱門擁狐貉。開徑勢聳成雙呀。乘危力弱忽半攫。空念櫪上縮寒蝟。可憐簷底噪飢雀。靜坐未嫌陽生纈。出門却愁深沒屩。共賀今年飽麥飯。田公嚇嚇相爲樂。莫是化翁多戱劇。牢籠百態皆濯瀹。使我胸中無一塵。獨立天地何廣漠。醉翁昔能遺前言。詩令誰繼把筆槊。我今千載追餘韻。爲題新篇發大噱。													右次歐文忠公韻												寒風獵獵走萬葉。天地氛埃一漱雪。忽驚虛堂夜半明。誤雞呃喔聲未絶。江空野濶落無際。但聞蔌蔌簷竹折。攪空絲絲遠近失。鋪地緌緌坑谷滅。霍然一變無量界。吁此造化誰持掣。兀兀蓬戶閉僵卧。醺醺暖帳生綺纈。令人却憶歐陽子。脫略前言曾不屑。俯視俗人笑塵陋。高揮巨筆驚蹔瞥。後來子瞻差可意。號令聽取前約說。愧我未足追餘賞。獨坐寒齋冷似鐵。													右次蘇文忠公韻</text>
<title>寄故人</title>,<text>故人倜儻士。相別更長思。宇宙孤心在。風塵一會遅。共憐萍跡似。常歎世途歧。何日城西宅。重吟醉後詩。</text>
<title>李進士 赫胄 自楊湖挐船來。約共遊摩尼山。示以一詩。信口次之。辛巳</title>,<text>斗室涔涔卧。孤懷孰起哉。簷過細細雨。江吐殷殷雷。有客行何自。相迎眼忽開。摩尼春色好。淸興意中來。</text>
<title>至江都。登鎭海樓次韻。</title>,<text>平生我愛沁都勝。小艇乘潮興益隆。天設金湯眞保障。地浮滄海却豪雄。戍樓人坐閑花裏。沙島鳥飛暮靄中。宿債摩尼今可償。未登先覺襲淸風。</text>
<title>尋傳燈寺</title>,<text>不見傳燈寺。行行萬疊峯。心忙覺愈遠。山破訝還重。亂石纔通逕。殘花半暎松。摩尼秪在此。前路任䟱筇。</text>
<title>登鼎足山藏史閣次韻</title>,<text>盡日相携亂樹間。傳燈忽出却忘艱。三郞城屹猶存古。鼎足峯高遠控灣。也識烟霞冠我國。由來石室在名山。他時太白尋遊處。表裏金湯未敢班。太白山藏史冊</text>
<title>傳燈寺</title>,<text>一路蒼茫古木中。層層危石拄琳宮。璿源系謹春秋奉。石室藏留歲月隆。浪接樓頭誰吐氣。山分鼎足欲爭雄。玆遊漸看多奇絶。朗詠飛過怳御風。</text>
<title>船逗浦次韻</title>,<text>何年船逗射潮波。白晝長虹半野過。遊人自是無心者。偶逐林泉卷軸多。</text>
<title>登摩尼山塹城壇</title>,<text>檀君手築昔聞名。千載高壇上塹城。須看足踏雲霞出。只許頭擡日月明。魚龍驅去島千點。天地浮來盃一泓。剛恨眼前多宿霧。後期留待雨新晴。</text>
<title>祭天壇</title>,<text>王儉何年至。塹壇古更奇。空留遺跡在。猶似祭天時。</text>
<title>祭天壇煑花次韻</title>,<text>松濤巖瀑滿山颼。噴沫空中玉雪浮。却摘紅花盈素筥。更將白粉和淸油。細吹殘焰初開鼎。團作濃香倐入喉。此日勝遊猶有恨。奈無從事到靑州。</text>
<title>登積石山。欲觀落照。是日雲靄不得見。可嘆。</title>,<text>積石山高黨碧天。沙彌導我上層巓。欲觀落照愁雲掩。謾詠新詩寄悵然。</text>
<title>下山後戱贈同遊諸人</title>,<text>先我東坡詠我行。玆遊奇絶冠平生。却被重雲欺落照。逢人羞說到江城。</text>
<title>尋白蓮寺</title>,<text>行行度澗石。步步聽風松。欲向白蓮寺。雲深幾疊峯。</text>
<title>白蓮寺有老僧說丙子亂相傳之語</title>,<text>丙丁胡騎日憑陵。此地誰家避亂曾。寺僧解說當年事。某氏捐生某不能。</text>
<title>登江都南門樓有感</title>,<text>國事丙丁板蕩秋。欲尋遺跡不勝愁。輕鋒莫禦無天險。重任非人奈廟猷。只爲江都失守誤。遂貽南漢下城羞。朝宗舊路今安在。嗚咽寒波自北流。</text>
<title>李上舍向朴淵。余有故徑還。臨歧口呼二絶送別。</title>,<text>不期而會不時出。數日同遊亦有緣。今朝忽送朴淵去。獨立城頭意杳然。						憐君今日有餘興。慙我中途未了緣。滿月朴淵無限景。倘憑歸語意泠然。</text>
<title>鎭海寺</title>,<text>鳥飛夕陽波。僧度白雲壑。滿山蒼翠中。淸磬數聲落。</text>
<title>歸路歷比兒山文殊寺</title>,<text>搜盡名山到比兒。昔年負笈幾多時。人情自是忽於近。滿眼風光不賦詩。</text>
<title>率家將向楊根。覔船不得。漫吟。壬午</title>,<text>盡日尋船不得船。江干獨立意茫然。自憐身計拙無比。却被人間一累牽。</text>
<title>舟中敬次己卯陪家君舟行時韻</title>,<text>掛席船初駛。穿山水漸淸。婢驚灘石觸。兒喜村平。魚出長難久。鳧行故自輕。龍門何處是。天際白雲橫。</text>
<title>上龍門山白雲峯。忽逢一童子問路。</title>,<text>白雲峯下白雲深。散步嵓泉畫裏尋。邂逅忽驚童子出。問渠何處是仙林。</text>
<title>登白雲峯</title>,<text>層層危石拄乾坤。古木蒼茫日月昏。地劈千尋山彌智。天開一穴郡楊根。頭擡帝座通呼吸。足躡仙風爽魄魂。便覺朝鮮眼下小。玆遊奇絶是龍門。</text>
<title>纔登白雲峯。忽白雲冉冉自山腰起。頃刻環繞瀰漫。成無邊白海。</title>,<text>特地登臨第一峯。深深從古白雲封。欲辨燕齊纔引頸。漸離膚寸倐圍筇。身外忽驚滄海濶。坐間已失水山重。應知仙子要持贈。故出靈氛滿眼濃。</text>
<title>無題</title>,<text>昔遊龍門寺。但仰白雲峯。今日白雲立。龍門斯下風。</text>
<title>峯頭有杜鵑花兩叢盛開。旹則仲夏望間。</title>,<text>白雲峯上絶人烟。不盡長風萬里巓。化翁亦被山靈却。五月中旬始杜鵑。</text>
<title>舟宿夜半。不知浮去。忽聞漁篴可意。</title>,<text>扁舟不繫落花濱。眠罷蓬窓度遠津。白雲深處逢漁篴。怳惚相驚畫裏身。</text>
<title>炎凉</title>,<text>俗態炎凉變。世情雲雨新。昔能無憾友。今豈借乘人。爲我嗟皆是。謀忠竟孰珍。行收妻子去。到處任愁顰。</text>
<title>余過濱陽値重九。而適阿睹病。力不得預登高。愁獨無聊。客有來言今日之會。麴生不來。風味難忘。於是深寧翁詩之。五知庵和之。皆惓惓寓歎。子欲聞之乎。余遂用其韻。反其語以釋其意。儻二公覽之。其不罪我否。是時以酒禁甚嚴。飮者嗟歎。深寧翁。鄭進士漢雄自號。五知庵。金平澤光啓自號也。</title>,<text>佳節重陽每歲娛。登高與客卽提壺。天回昔日非今異。酒向吾曹已分無。手裏芳英嗅自趣。胸中磊塊澆何須。茱萸細看醒還好。不必歸來醉得扶。</text>
<title>病眼</title>,<text>病眼連旬苦未蘇。聞晴強被短筇扶。玄花白日空迷亂。野樹山村遠有無。謾把金篦思刮膜。却嫌俗物復撩吾。百年世事何須問。已向風塵不見圖。</text>
<title>借馬不得。戱贈其人。</title>,<text>有馬今無借人乘。仲尼當日尙嘆曾。淳厖古俗嗟愚甚。緊着斯時曰我能。每道背傷猶策駕。恒言足蹇亦飛騰。似聞疫氣遍千里。槽櫪不妨騈死仍。</text>
<title>漫占</title>,<text>明朝將啓發。天雨更淹留。借馬今亡矣。謀忠古有不。非難納履去。聊欲乘桴浮。問舍終南計。何時便得休。</text>
<title>壬午十一月初吉。卽家君周甲日也。敬伏藁以效忭祝之誠。</title>,<text>佳節黃鐘朔。生辰壬午回。人間大德得。天上壽春栽。花甲瞻南極。斑衣愧老萊。今朝小子祝。玄黓萬年來。</text>
<title>又敬次家君韻拜獻</title>,<text>無情羲馭六旬催。花甲高堂此日回。善禱方騰松栢茂。孝思還切蓼莪哀。祥開碧落南星曜。律動黃鍾朔氣灰。海屋添籌期萬萬。斑衣庭舞共雲來。</text>
<title>又敬次伯氏獻詩韻。拜獻。</title>,<text>天垂極曜膺生辰。遐筭方看軔六旬。靈葉日生三萬莢。茂枝滿八千春。有詩徒祝箕疇福。無養偏傷子路貧。共聽純深庭下訓。樂吾無故兩人身。</text>
<title>偶吟絶句 五首○癸未</title>,<text>女弱同元亮。妻賢勝敬通。自憐生計拙。棄置楊江東。						彭殤雖曰殊。俱是盡天數。何事世之人。強思分好惡。						膏粱長覺厭。狐貉苦無溫。爭似竹窓下。啜芹仍負暄。						苟使芳未流。無寧草共腐。如何樂禍徒。遺臭欲終古。													多病心長苦。卜居計又違。寒齋獨坐歎。春雨暮霏霏。</text>
<title>下第後寫懷</title>,<text>兩會去年俱潦倒。五塲今歲又蹉跎。誰人肯買千金帚。當世惟憐半額娥。中酒不須眊矂打。吟詩羞作怛忉歌。廬江最愧毛生喜。奈此高堂鶴髮何。</text>
<title>又作絶句</title>,<text>妻見羞無語。婢聞嗔有聲。二者皆閑事。不堪愛日情。</text>
<title>晩發</title>,<text>長路間關獨自知。短筇晩發鳳湖湄。公然霧裏孤村失。無數天邊疊嶂疑。石危通行客苦。野橋斜渡夕陽宜。吟詩本欲忘途遠。一字難時更覺遲。</text>
<title>宿奉恩寺乘舟</title>,<text>扁舟繫宿禪簷。三老開頭報水籤。夜雨染生千樹嫰。朝雲畫出萬峯尖。東陵悅眼春光早。南漢傷心落照添。聞說龍門花事爛。山行日子不須占。</text>
<title>斗尾峽</title>,<text>居然斗峽出。怪底石間流。霧産分明峀。沙呑特地舟。村村粧柳杏。水水樂鳧鷗。明日龍門入。平生有此遊。</text>
<title>雨中獨坐。見幼女戱於床前。</title>,<text>仰母憐渠小。靡家歎我踈。默坐雨聲裏。百憂春草如。</text>
<title>雨後朝望</title>,<text>添舌憐溪水。啼粧感砌花。村家凡幾住。半沒遠山霞。</text>
<title>暮投田家。記所見。</title>,<text>田父携鋤暮歸家。迎門稚子喚爺爺。隣兒不謹繫牛索。齕盡溪邊五畒禾。</text>
<title>窮峽</title>,<text>窮峽深深入。氓風處處殊。溪上觀魚婢。山中乏木奴。世降多騷屑。人貧少丈夫。憑軒發大嘯。一任判頭顱。</text>
<title>遣興</title>,<text>深峽斜陽霽色生。滿村花柳更分明。靑山注目無人語。倚遍虛堂四五楹。</text>
<title>山行記所見菜女</title>,<text>腰帶筠籃色丰茸。披雲采采露纖䓗。見客忽然含笑走。藏身急向木芙蓉。</text>
<title>代次人韻 四首</title>,<text>黃鍾羞瓦釜。蚓竅亦蠅鳴。宇宙多朝市。風塵少耦耕。徑開仲蔚宅。人識伯休名。自是忘機好。何須海上盟。						霜方豊蠡響。皷始蜀桐鳴。早歲堂堂去。荒田故故耕。百年三疊曲。萬世千秋名。把筆因人強。全輸十九盟。						幽窓眠忽罷。深樹鳥相鳴。渚釣斜陽艓。山田細雨耕。蕭條千古意。寥落一身名。微爾吾誰與。江湖早有盟。						捲簾晴晝永。橫膝素琴鳴。焉用三冬史。只宜數畒耕。論心欣有友。遯世貴無名。已讓超乘氣。眞成代起盟。</text>
<title>夜泊舟。宿鳳城村舍。距家十里。</title>,<text>敗壁頹窓四面風。中宵來借主人翁。廉纖秋雨侵愁夢。顚沛行裝問小僮。側耳雞聲偏似靳。攪心蟲語一何工。沿江十里前程近。暗筭明朝水可通。</text>
<title>遊子</title>,<text>曉發西天拜北闈。兩親執手恐遅歸。出門自落千行淚。負米平生我未希。</text>
<title>余素不喜題僧軸。偶逢楓嶽僧於龍門寺。談其名勝。亹亹可聽。因乞題其軸。余神遊此山久矣。聞其言。怳若泠然御風。聊書以贈。</title>,<text>金剛名勝飽聞曾。滿說仙區又此僧。待吾他日尋眞入。萬二千峯共爾登。</text>
<title>客中除夜。次高達夫韻。</title>,<text>迎新久客苦難眠。愁對枯燈意杳然。默念家鄕知遠近。悠悠倍覺夜如年。</text>
<title>旣登上第。無故被拔。漫吟遣懷。甲申</title>,<text>平生親老又家貧。屈節風塵赴擧頻。朱批幸得魁高第。黃甲公然屬別人。空悲末路趍炎熱。忍向高堂慰夕晨。十年奔走成皮骨。不是功名汲汲身。</text>
<title>豐德衙贈李生</title>,<text>偶爲旬日客。忽見故人過。柳暗端陽節。雲迷德水衙。驚人道舊句。握手聽新歌。多少靑松意。臨歧恐日斜。</text>
<title>謹次宗丈送別兩絶韻</title>,<text>離懷長路倍愁霖。曲曲靑山翳暮林。不惜浮生閑聚散。忘年厚眷奈偏深。						窮途莫歎髩垂絲。吐氣經綸會有時。秋菊春蘭元各賦。當年蔡澤亦棲遅。</text>
<title>賀再從曾祖老安堂陞秩榮。先拙搆敬呈。</title>,<text>投簪向日視雲輕。卿月還從極宿明。海屋添籌千歲祝。泉塗改照一門榮。孝思元自通孚感。天道故應降福禎。盛事相傳疇不艶。將垂家乘永休聲。</text>
<title>客中除夕。步老杜杜位宅守歲韻。口占寫懷。</title>,<text>除夕倍思家。山河滿雪花。浮游憐旅羽。歸哺羡林鴉。意懶身渾拙。業踈歲忽斜。眞如送人別。回首向天涯。</text>
<title>客中贈族弟愇 乙酉</title>,<text>與弟同爲客。相携憶洛航。居然經歲月。俱是戀家鄕。古驛春生早。寒江雪暗長。源源行可卜。飄泊也何妨。</text>
<title>將迎家眷歸洛。偶吟。</title>,<text>爲累眞妻子。靡家歎我生。不成楊峽置。復作洛濱迎。世路多傾險。人情捴妬爭。故園無限思。滿眼送波聲。</text>
<title>斜川之傍。有躑躅巖。巖下有瀑布可觀。口占短律。贈同遊諸人。</title>,<text>斜川憶昔翫龍湫。不謂名區咫尺留。賴有暮春冠五六。解敎半日客優游。洞門雷擊晝兼夜。山頂雪飛夏亦秋。躑躅巖邊無躑躅。何妨泉石自淸幽。</text>
<title>楊峽竹村。有小川淸瑩淙琤。値客愁。輒翫濯終日。因得二絶一律。</title>,<text>散步到溪上。坐聽流水聲。不知日將暮。無數濯吾纓。						誰往復誰繼。川流至理微。無人談此妙。注目樂忘歸。						水哉何取水。逝者乃如斯。間斷元非理。周流自不私。極知觀有術。深感息無時。願學平生志。百年倘可期。</text>
<title>楊江待舟</title>,<text>待舟胡不至。春盡夏將半。萬事皆如斯。臨流發浩歎。</text>
<title>未及登舟。主家有故。蹔寄廊底。其主日相促迫。苦惱萬端。漫成一絶。</title>,<text>蹔借村房數日依。主人何事苦相疑。惟有子䂓知我意。隔林頻道不如歸。</text>
<title>是歲痘疫大熾。有人示余一律要和。盖欲以強韻困之也。聊戱次之。</title>,<text>痘疫元從熱在腔。人生一度必相撞。三三日數排旬五。箇箇顆斑有疊雙。氣血耗虛何恃寡。根窠紅活不嫌厖。可憐愚俗眞難曉。却藥惟持迓客幢。</text>
<title>今年痘疾頗險。而辛氏兒五男妹。俱得順經。喜可知也。詩以賀之。</title>,<text>頭角參差捴食牛。今年痘疫又新收。一先四後初相繼。二女三男倐並瘳。順症眞看勿藥喜。吉祥端賴自天休。從玆透得大關嶺。膝下免敎父母憂。</text>
<title>俗以庚申日。三彭伺人眠時。卽以平日過惡訴于上帝。遇此夜輒不眠。余思之有不然者。漫筆示兒輩。</title>,<text>世人多罪獲于天。謾守庚申強不眠。何如內省自無疚。縱有千彭亦靡緣。</text>
<title>留別應祿 二絶○辛氏兒應祿時年八歲。而開口輒能驚人。余愛之以爲可與於三樂。故末句勉之。</title>,<text>明朝將別汝。坐愛山日暮。大江流不休。歸棹苦難住。						愛爾幼而才。眉目烱如畫。痘疫今已經。讀書愼毋懈。</text>
