<title>偶題</title>,<text>門對南山矗。軒臨洛水流。百年仁智樂。黃卷一牀頭。</text>
<title>梅花若爲賦 親試應製</title>,<text>淡月橫斜樹。寒煙潔白花。巡簷時一笑。綺語屬誰家。</text>
<title>龍門有遺歌十八韻 親試應製</title>,<text>武夷山上石鼓堆。武夷山前漁篴過。我懷悠悠人不見。寒江依舊月影多。大樂沖瀜天地間。瑤琴一張宣其和。大絃虞庭引儀鳳。小絃周沼奏逢鼉。始條終條集大成。一曲彈出龜山阿。左右顔琴與點瑟。萬古徽音絃上拕。禮樂詩書皆寶韻。宮商角羽叶程科。大雅不作吾道已。洪鐘一閟可柰何。巖巖泰嶽輟微響。無人更續猗歟那。由來一千五百載。匣中日月空蹉跎。大音希聲陽道復。是時伯仲挺南河。餘韻直泝金聲振。雅響一洗俗學訛。怳然坐在春風裏。古桐泠泠手摩挲。一貫遙得農山訣。微醺時共邵子哦。斯文自有淵源接。伊水洋洋山峨峨。元氣渾入塤篪詠。江山千古一聲歌。上自祈姚下孔孟。分明曲中好講磨。謾將一筏泝河洛。金丹歲暮令人嗟。</text>
<title>玉淵三峽。講乾坤二卦。十八韻。親試應製</title>,<text>遇雨雲谷西銘解。臨水溪堂極圖挂。况復滄洲雲水隩。俯仰妙契胷襟灑。大哉乾坤易之門。羲文劈破陰陽界。忠信進德與直方。君子以之履道夬。後來學廢圖象隱。修煉諸家語幻怪。鵝湖學非庸行謹。麻衣易爲奸僞戒。遯翁先生紹正脈。山下蒙泉早納拜。時枉藍輿度遠岑。不是尋常閒說話。最愛廬陵山一面。雲月分明沙上卦。已矣斯文陽九會。秖有麗澤共征邁。麗水佳山無限地。一筏泝上竆源派。欲尋箇中奇絶處。肯學偸閒醉笑殺。俛仰遺躅芬猶在。其上葢有先天畫。鳥啼花落渾謾事。一部連山眼中快。巖洞谽呀闔又闢。奇耦布排爛不差。用易莫如吾夫子。此地當年設鑪鞴。山立淵停翫氣像。深衣拜聆諄諄誡。玆遊勝集冠平生。非爲名山了宿債。</text>
<title>高處最先紅。排律十韻。親試應製</title>,<text>萬二千峯曉靄籠。遙看火傘上層空。輕嵐乍辨依微鶴。瑞旭先隨縹緲鴻。羅立峭峯眞上界。森排削壁亦神工。冰雕玉琢皆殊狀。雲豁天開有最崇。直抵嵎夷羲仲宅。平連滄海玉龍宮。兩儀高下須臾曙。萬國光明次第通。炯晃平巒收積翠。飛騰絶頂見初紅。那緣造化分先後。自是崚嶒有上中。樓外層樓先得月。樹間高樹最生風。還看至敎喩盤燭。山面人心一理同。</text>
<title>祇受內賜節目一冊。與金叔明 煕洛 感賦一律。</title>,<text>蓬瀛那意草萊臣。時雨無私物物新。天上紅雲垂禁籞。閣中黃卷警簪紳。兼文兼武規模遠。呈朔呈旬照撿親。寶篆煒煌奎閣字。千秋留作子孫珍。</text>
<title>贈別李時應</title>,<text>拜出脩門迥。秋風關塞長。亞營猶聖渥。前路且金剛。白鴈天南遠。黃花洛北香。浮生多聚散。須盡勸君觴。</text>
<title>次金上舍聖爲 宗鐸 贈別韻</title>,<text>春風嘉客到。爲我復西遊。勖善知先契。論文到上頭。天長歸海鴈。江闊浴沙鷗。此別應無日。追隨飮且謳。</text>
<title>汾津謫中偶吟 二首</title>,<text>不有風波險。焉知江海深。困亨能道泰。須體古人心。						剩得看書味。身貧道不貧。釀成歡喜酒。同醉海東人。</text>
<title>汾津述懷 五首</title>,<text>明時記注荷恩偏。匪曰臣能念爾先。銀燭淸香趨紫禁。奎章高閣廁華筵。繁纓弊袴非虛器。時雨嚴霜自上天。海曲秋風寒事早。玉樓高處夢長懸。													右戀闕												春闈寢膳近如何。念我西遊日月多。前夜秋聲應打戶。今年穡事又無禾。弧辰忍闕稱觥禮。海上謾吟陟岵歌。祿養由來還有命。佩將賢訓手摩挲。													右思親												松堤分袂尙依依。何事秋風我不歸。舞綵高堂春色晩。下帷江閣素心違。荒年曷就三間築。罄室應多八口饑。步月看雲思未極。蕭蕭征鴈向南飛。													右憶弟												潦倒吾生陋復慵。頻年湖海別離蹤。况如汾曲千餘里。來自關山一萬重。榮辱有時知命運。困亨隨處豁心胷。枕邊忽夢門楣慶。彌月靈辰降五龍。																				右謝妻												吾家活計愼旃詩。忠孝如今兩失之。黼黻無文恩澤負。耕農不事遠遊爲。做官秖道便宜好。履險愈知性氣癡。從此江湖歸臥處。讀書竆理有餘師。先祖遺戒詩曰勉爾子孫須愼旃。忠孝之外無事業。													右責己</text>
<title>次朴上舍 潤德 韻</title>,<text>灩澦舟過會面難。故人書到喜平安。定知恩帖歸南日。雨雪長程不怕寒。</text>
<title>奉恩寺夜話 幷小識</title>,<text>偶成蕭寺集。團坐足長吟。夜靜沈山色。燈明照佛心。龍蛇千載感。松柏二陵深。浮世還如夢。悠悠難再尋。						又						挑盡香燈意悄然。一牀閒話五更前。思家對月渾如夢。攜酒吟詩耿不眠。御氣山中鄰寢閣。淸遊物外入壺天。明朝分手知何贈。且看寒花無數錢。												壬子冬。余隨臨齋公住宣陵之奉恩寺。時尹姨兄永儀氏，任斯文夏常來過寺中。各賦五七言四韻一首。其後十四年之間。人事便作滄桑。尹兄登重試官正言而違世。任斯文亦已作泉下人久矣。點閱古篋。得此片紙。感而識之。</text>
<title>冬至日。次李聖應▣▣韻。</title>,<text>一理陽無息。天心見此晨。潛䨓隨日至。瑞雪占秋殷。泛綠懷鄕客。包黃殿海臣。元良增寶筭。宣冊頌邦人。</text>
<title>孫景羽遠訪謫中。感贈一律。</title>,<text>故國迷茫欲損神。江山阻絶北來輪。那知泮舍萍逢客。委訪汾洲玦佩人。靑眼始開連夜話。紅醪浮動滿杯春。定知賢祖潛光闡。異渥昭垂太史陳。景羽請褒其先祖格齋公方留洛。</text>
<title>次杜工部韻。贈泮中僉友。二首</title>,<text>細酌村醪白。遙瞻繡陌紅。人遐神𨓏𨓏。書到說悤悤。落日雞棲桀。秋風鴈入空。庭闈千里隔。流水玉淵東。						澗松含晩翠。籬菊掇殘紅。戀宅江山遠。看書歲月悤。盍簪期未易。識路夢還空。尙有提心法。明窻日出東。</text>
<title>贈尹進士聖老 永燮</title>,<text>汾雲落木倚秋風。回首仙樓一夢中。錦峽新詩誇杜老。水調悲闋憶蘇翁。困亨有命神先定。陶鑄成材聖幸逢。千里尙多遊子戀。悠悠日月古今同。</text>
<title>贈金戚兄 虎燦</title>,<text>年來知讀退翁書。棐几鑪薰一弊廬。靜養工夫應久大。幽居風味且耕漁。寒泉夢憶經過地。蕭寺驚攀送別裾。休說明時潦倒歎。好將烏喙砭愚疎。</text>
<title>輓樊巖蔡文肅公 濟恭○四首</title>,<text>於水黃河嶽岱嵩。百年吾黨再眉翁。文章峻拔奎華運。氣力森嚴豸角風。黃閣謨猷勤協贊。蒼生休福起疲癃。亭開是岸懸車晩。祇爲明時聖主逢。						隋城松柏五雲蒼。往事將言血淚滂。亘宙撐天公義理。輸肝剖肺大疏章。金縢煥白徽寧敎。玉牒昭垂睿德彰。達孝吾王能繼述。獨知當世有金藏。						明良際遇古來稀。扶植潛陽一線微。楚寶惟賢和不刖。魯醪雖薄趙奚圍。春湖生動朝東水。夜宿昭森拱北輝。五十餘年腔子血。煌煌恩誥下彤闈。						嶠南多士讀春秋。星斗爭瞻七十州。彰義孚攣千里遠。闡休恩徹九泉幽。帲幪益仰敦親誼。薰沐偏蒙贊聖猷。已矣莫攀箕尾去。萬人齊哭涕橫流。</text>
<title>扶餘政軒偶吟</title>,<text>微風鈴索靜。癡坐正南窻。天闊扶蘇國。官淸白馬江。看書休簿牒。遣意掇芝茳。做罷奎華夢。龍樓列紫幢。</text>
<title>正宗大王輓 三首</title>,<text>於戲聖德蕩無名。剛毅仁明做太平。舜受堯傳心法在。文經武緯典章成。春秋禴祀通神孝。松柏園陵準海誠。二十四年陶鑄澤。父生母育我羣生。						千五門開瑞靄濃。天休宗國慶重重。萊衣獻酒祈難老。文子橫經儼有容。靈壽縟儀來歲復。洪疇敷福庶民從。如何仙旆雲鄕陟。未副當年祝華封。						庭衢高闢八荒中。南土偏蒙覆載功。義理諭音臣拜手。山河舊券聖監衷。萬川明月輝光遠。竆谷陽春造化融。糜粉一身恩莫報。大皇橋下血盈瞳。</text>
<title>余知扶風之翌年。因召遞歸。縣中諸君子來會送餞。用東閣板上韻以贈。</title>,<text>湖山百濟郡。文酒二年居。高閣淸風爽。荒城半月疎。忠臣留古廟。多士讀朱書。未效絃歌志。愧君摻我裾。</text>
<title>壬戌十月旣朢。與李文叟 野淳，李來卿 泰淳，李胤遠 遠模，金元禮 永膺 諸同志。會漱石亭。次退陶先生韻。</title>,<text>良辰佳會百年多。淸夜江聲葉下波。水石軒窻開靜几。風煙湖海訪寒査。纓潭淨活靈眞護。壁月迷茫道士呵。酌酒攜琴仍笑語。莫嫌山雨片時魔。</text>
<title>輓金叔明 二首</title>,<text>南河雨過白山陽。露草春風蘸小塘。收斂工夫衣不勝。旁通文藝錦成章。仙樓握管龍蛇動。奎府蜚英黼黻煌。致澤弘功嗟未徧。興民唯說惠無疆。						一夢依依病劇時。如今萬事涕空洏。喬山落日傷心我。雲漢宸篇潤色誰。洛下風流疎寀伴。嶠南義理抱民彝。靈筵未洩公私慟。慚愧螟哀與白眉。</text>
<title>輓李后山 宗洙</title>,<text>河嶽挺姿衆所欽。一春和氣藹眞襟。南湖雨潤方塘水。巖舍風來講樹陰。了卻羣書知素養。退然竆巷樂初心。忽驚仙旆乘雲去。冥擿吾生慟倍深。</text>
<title>樓院道中 癸亥北評事時○下同</title>,<text>東城秋色雨新晴。海嶽迷茫棨戟迎。再拜君恩還佇立。故山千里夕陽橫。</text>
<title>次披襟亭板上韻 金城</title>,<text>谷口朝暉晩。登臨驛路亭。軒憑秋水白。天豁衆山靑。短櫂征人泊。華筵太守醒。金剛何處是。瓊韻已淸泠。</text>
<title>長安寺神仙樓。次板上韻。二首</title>,<text>飄然飛舃上蓬萊。碧落晴雲大眼開。且喚闍梨談異事。香煙一炷衆仙來。						大地閻浮一線通。萬山控護衆香東。仙樓坐愛楓林早。陡勝高秋落木風。</text>
<title>三日浦四仙亭。次板上韻。二首</title>,<text>丹書巖下木蘭舟。三日淸遊往事悠。莫歎永郞來不再。七星峯影蘸千秋。						斜日芳洲一夢經。天風隨意捲靑冥。故人石刻名猶在。萍會依然海上亭。</text>
<title>萬物草路中</title>,<text>穿石披雲一屐輕。金剛秀色正秋淸。老僧競賀仙緣重。近海高山十日晴。</text>
<title>鶴浦道中</title>,<text>遲遲故信宿。蝸屋敵華堂。海鶴留仙浦。津龍導畫梁。秋風歲已暮。魏闕心難忘。入夜還山夢。依依一葉航。</text>
<title>駕鶴樓。次圃隱鄭先生韻。</title>,<text>歸來滄海訪仙樓。星斗精光壁上留。驛路長關山北走。戰場寒月水東流。層城百疊臨遙塞。胡笛三聲屬凜秋。駕鶴仙人如可覩。登臨聊復暫時休。</text>
<title>雙城館。次蔡希庵 彭胤 韻。</title>,<text>龍江淑氣海無波。皇澗豳州夾入過。王業膴原瓜結蔕。邦家典祀廟升歌。畫圖樓閣連雲壯。風化閭閻撲地多。瞻拜遺宮徵古禮。此心悽愴竟如何。</text>
<title>平州鄕射堂。次洪原使君韻。</title>,<text>淸秋葭露一番新。金鼓聲邊夜向晨。世事由來還可笑。淵明猶作折腰身。</text>
<title>誓海堂次韻 縣監崔鎭漢。刱建揭額。</title>,<text>士在昇平世。須存誓海心。安危隨所處。備禦卽如今。巨艦張溟渤。高譙翳夕陰。書生空撫劒。感慨一悲吟。</text>
<title>和呈李鍾城令公</title>,<text>極北湖山大眼竆。一樽萍會挹淸風。武城自有絃歌樂。鹿洞旋看衿佩同。地遠愁瞻銀漢截。天寒思入玉樓崇。慇懃勉誨心如醉。嵩嶽分明夢寐通。</text>
<title>鏡城載筆堂。次金公穆 煕周 韻。</title>,<text>自笑非狂便卽癡。飄零朔漠大冬時。天高北斗依城望。雲遠南鄕陟岵思。兵馬官銜淸角奏。按廉行色弊裘知。何如靜坐茅齋下。煙月江山樂我私。</text>
<title>載筆堂閒坐偶占。呈寄園令公求和。四首</title>,<text>高柳朱門憶漢南。市朝聲利戰方酣。莫言塞外無佳境。長白名山瑟海潭。						袞袞年華不淹留。亂山飛雪灑貂裘。王靈萬里身猶健。歸夢尋常繞玉樓。						高堂鶴髮日西時。一弟承歡七稺隨。更憶玉淵江上月。團圓影入讀書帷。													梅閣淸風晩有緣。羽林叢裏獨詩仙。好將百斗瓊琚寶。散在名山耀北邊。</text>
<title>次寄園令公郵筒韻 二首</title>,<text>驛路委遲倦著鞭。風流丈席幸相聯。羇懷古國雲低樹。秋思長天劒吐蓮。始見冰壺涵月露。肯敎銅佩失神仙。灑然不覺寒門羾。警發吾心讀十年。						琴鶴歸旌朔氣搖。碧天銀漢路迢迢。含蘆澤國南飛鴈。逐雪陰山暮下鵰。香社村邊杯餞水。伯顔城裏月橫霄。新年好帶春風去。覲耿仙樓慰寂寥。</text>
<title>鍾山延賓館坼號日。遇重陽。</title>,<text>飄轉長隨擧子忙。黃花一朵已重陽。離懷路截天雲嶺。佳節秋回肅愼鄕。咽咽胡笳飄律呂。蕭蕭候鴈度衡湘。邊城麥汁都無味。強醉佳人錦瑟傍。</text>
<title>滌愁軒。次板上韻。</title>,<text>淸宵步月畫欄頭。胡笛寒聲大漠秋。五國風塵煙樹杳。六州喉㧖亂山悠。杯樽厚意多三宿。文武英材快一遊。最是酒醒茶歇後。不禁悄悄望鄕愁。</text>
<title>行營書劒堂。次板上韻。</title>,<text>輸贏世事著棊高。天可欺時理莫逃。千里外今含鳳詔。十年前是曳鶉袍。黃楡地僻敷文化。紅燭神迷講武韜。坐擁華銜無所做。此身多愧古賢豪。</text>
<title>香雪軒。次芝峯李文簡公韻。</title>,<text>楊州騎鶴我何關。千里重來五載間。䕺竹翠看霜後節。梨花淸對月中顔。民稀抱牒欣登歲。日永看書戀故山。曉起明窻聊自警。主恩圖報敢偸閒。</text>
<title>駕鶴樓。次月沙李文忠公韻。</title>,<text>人民城郭白雲悠。華表精神月一樓。大野中間江水去。仙鄕咫尺海山浮。身輕葉縣雙飛舃。眼慣玄都再到秋。最是長安消息遠。落花簾外斷腸愁。</text>
<title>文會堂試藝。示諸生。</title>,<text>修己何論達與竆。各須努力振儒風。天生懿德賢愚得。地產英材遠邇同。良玉丹砂宜琢煉。涓流拳石就深崇。優遊十日渾餘事。千聖書中路自通。</text>
<title>會寧府。謁東岡金先生祠。次金臥隱戚丈 翰東 板上韻。</title>,<text>一筏晴川泝翠湄。遺芬更覩廟於斯。大賢灩澦行過處。多士春秋報享時。十畝庠宮開北漠。百年儒敎煥東夷。屛山後學追先契。落日荒城感古祠。</text>
<title>次永嘯堂板上韻</title>,<text>金元帥爔莅北三載。邊政修擧。列邑樓臺城堞宏麗一新。而民不知勞。於是犒賞將士於永嘯堂。謹次板上韻以識之。						雕甍粉堞畫圖明。牙纛春風士女迎。邊塞幸逢今節度。朝廷最倚北兵營。波傾瀚海匏樽擧。雪霽胡山錦瑟橫。飮罷諸君咸醉舞。臺頭一炬翠煙生。</text>
<title>西水羅觀日出</title>,<text>奇巖矗立自成臺。萬里扶桑咫尺回。暘谷最先天下照。火輪俄自海中來。蹌蹌秘怪銜祥暈。漠漠長空埽點埃。隨處遊人開壯矚。也應玄化本無猜。</text>
<title>追次德源政堂夜話韻。謝壯南鎭將李乘運餽酒致問。兼傳舍季平信。</title>,<text>南營北鎭較何如。晝錦歸裝遠別餘。驄馬前塵秦樹杳。虎符新渥嶺雲舒。黃花早處江衙酒。白日眠時洛弟書。誓海盟山須自勵。卽今邊上備秋疎。</text>
<title>歸自北關。拜從兄令公于玉淵亭。次壁上韻。</title>,<text>淸明花雨一蓑肩。書劒悠悠負壯年。萬里身歸靑海外。數椽家住白雲邊。鸎啼北岸深深樹。春入西疇上上田。莫歎幽居生理薄。湖山佳氣翠依然。</text>
<title>北關還歸之秋。與金聖爲課縣士于洛皋書堂。次韻卻呈。二首</title>,<text>征馬悠悠徧海陬。嶽靈前導塞雲收。吾生幸出高麗國。故事難追太史遊。便覺乘槎浮漢水。何須騎鶴上楊州。願君擺卻塵寰事。棊局湖山對一投。						蒼葭白露暮江陬。淸日閒齋淡靄收。衰眼那堪多士試。新秋幸與故人遊。文明盛化今奎會。豈弟遺風舊福州。從此田園行樂處。朋情愈覺以膠投。</text>
<title>示鶴城諸生 在安邊時</title>,<text>鶴城之進學所。每年冬設接試士。余謂擧業末藝也。改試爲課。通讀一經何如。與選諸生咸曰。近思錄儘好。遂設會十五日而了四冊。盛事也。然學原於思。徒讀而不思。何益之有哉。况是編之名以近思。尤當讀而思思而復讀然後可。諸君其勉矣夫。						爲學在竆理。看書貴致精。休言音讀解。須體近思名。</text>
<title>次屛村族叔 泰春 花樹會韻</title>,<text>滾滾南河世德參。遶村澄碧玉成潭。蘋蘩禮訖餘誠藹。花樹春煕滿座咸。聖代休治三物敎。故家遺俗百年諳。嘉殽旨酒非玆會。講誼惇倫庶不慙。</text>
<title>輓趙承旨 錫晦</title>,<text>文藻家庭士望翹。登崇時値聖明朝。經綸海幕輸芹曝。寵渥仙樓耀錦貂。八耋康強人瑞見。一丘措置世紛超。忽驚荷佩雲鄕去。南國秋聲落木蕭。</text>
<title>輓崔進士 鳳羽</title>,<text>溫厚寬平作座銘。一身境界太和亭。芙蓉出水無雕飾。花樹同春有典刑。羸馬麤袍回薄俗。眞腴芳潤味遺經。匭函纔徹符先到。士友嶠南涕淚零。</text>
<title>輓權進士敬持 義度</title>,<text>淡然無厭闇然章。冰玉天姿錦繡腸。義理同聲煕政席。煙霞攜手石泉堂。春闈歲暮西岑日。山木風摧大廈杗。上舍銘旌歸祖道。鯫生多愧廁芸香。</text>
<title>代輓申丈 昌敎</title>,<text>南郭翛然晝掩扉。羲皇窻下客來稀。愛人藹若嬰兒善。寡欲全消點雪微。渭樹春雲犀共照。遼城斜日鶴先歸。二咸啓道賢孤孑。無怙諸孫又失依。</text>
<title>輓李剛齋 承延</title>,<text>延陵恢拓舊垣墉。江右儒林一代宗。枳棘䕺中人覩鳳。蓬蒿門下士登龍。文違黼黻天心嗇。壽嚮康寧聖世逢。仙鶴居然華表返。靑山祖道慟塡胷。</text>
<title>哭族兄 昌祚</title>,<text>花樹三年會。豐山百代親。土硎斟醴酒。薺糝敵仙珍。久別山中客。忽驚泉下人。慕河堂構責。螟嗣典刑新。</text>
<title>輓李霽庵 宗儒</title>,<text>公溥明通學聖功。斯言佩服見斯翁。竆經政自三餘得。推孝能令一室融。杏樹陰邊蘭吐綠。蓮花社裏棣聯紅。如今遽失高山仰。警誨從容尙在中。</text>
<title>輓權濯之 進漢○四首</title>,<text>種種貽謨草㵎翁。肖孫同鼎尙餘風。白眉最著詞壇譽。滄海明珠寶采籠。						賓樓湖閣少年朋。洛社香橋遠客燈。文酒逢場皆勝友。居然衰髮白鬅鬙。													同庚袞袞策名多。君獨江湖一釣蓑。榮利何須論得失。不妨長笛和菱歌。						親戚琴書竹墅村。芳蘭韡棣繞名園。如何仁壽終無驗。相繼靑山哭弟昆。</text>
<title>輓李俛庵 㙖</title>,<text>吾南義理藉公伸。煕政堂前尺紙陳。聖孝極天諭本意。萬街燃燭擎恩綸。炎涯薄譴環旋賜。庠舍珍藏石不磷。學問家中忠義正。靈輀哭送士莘莘。</text>
<title>輓郭進士 溟翰</title>,<text>美植敷華早。名家舊業傳。追從遊翰墨。離闊阻山川。振羽須圖海。超氛遽化仙。未終偏母養。泉下涕應漣。</text>
<title>哭三從叔 鶴春○號屛巖蚤殀</title>,<text>雅靜初無物誘萌。弱冠人是老成名。眞工剩著三餘學。擧業旁通十日程。韡棣方看聯綵舞。芳蘭何遽失春榮。可憐淸洛江心月。冰璧相涵夜夜明。</text>
<title>輓金典籍 相溫○二首</title>,<text>小白窈而廓。名家鍾聞孫。硏經庖刃解。秉義鐵腸存。藝苑名聲重。逢場笑語溫。如何天奪速。衰服葬秋原。						金榜前年擢。祥雲衆目瞻。猷謨眞侍講。官職一郞潛。宿德今無在。時憂日更深。新昏敦舊誼。摧慟我私兼。</text>
<title>次皓鄰姜丈 世白 櫻桃韻 二首</title>,<text>元春歌聖痘。餘渥見朱櫻。雨露林林徧。瓊瑤樹樹明。味甘丹液嚥。香轉綠陰輕。重午登時物。臨盤喜爽情。						客滯長安久。鳴蜩野送櫻。香腮春色醉。柔核病眸明。巷市紅雲帀。宮盤紫玉輕。恭將千萬顆。拜獻壽君情。</text>
<title>輓鄭嘉山 蓍○壬申殉節。特贈兵判。</title>,<text>忠義嶠南豎腳牢。大賢遺範百年高。威名蜀郡雪山重。烈氣晉陽江水滔。巡遠未聞賢父在。眕盱無愧一門襃。捐軀且得從容就。聖代風聲判騎曹。</text>
<title>己卯五月。三度祈雨得一犂。喜賦二絶。</title>,<text>桑林珪幣藹宸衷。子夜簷鈴喜雨濛。莫把歸心愁暫滯。四鄰耒耜萬家中。						大界炎蒸熇日長。一番山雨送微凉。遊人頓覺煩襟滌。潤物神功辟暑方。</text>
<title>次李而拱 奎鎭 韻</title>,<text>疎慵無事病吟時。旅舍風櫳一枕攲。乳鷰飛低孤杏樹。嬌鶯啼亂映花池。洛川明月歸程晩。山雨微凉送客遲。強把金樽呼舊伴。寒門羾濯有新詩。映花堂。在春塘臺後。</text>
