<title>偶吟 甲寅。余受大學于伯氏洞虛齋獻徵。讀三百遍後。靜坐持敬三月有餘。一朝怳然若有契悟。卽賦一絶。伯氏見而喜之曰。粗見其體用。</title>,<text>無上亦無下。無始亦無終。若人問此物。萬殊一源通。</text>
<title>次禹貞甫 大亨 韻。贈崇惠上人。</title>,<text>霽月昭昭上碧空。山河萬里一光中。浮雲不起纖塵斷。肯借西天貝葉風。</text>
<title>次金君遠 必大 韻</title>,<text>雞黍三秋約。居然入大冬。寒梅呈素蘂。陽律罷黃鍾。月照論心地。雲栖對榻松。思君坐長夜。天宿動蒼龍。</text>
<title>記夢</title>,<text>怪底茅簷一賤臣。夢中何事近楓宸。恭將堯舜君民業。獨對丹墀拜手陳。</text>
<title>忠孝吟</title>,<text>逄干自是行臣職。曾閔惟能服子勤。只爲世衰臣子薄。強名忠孝美諸君。</text>
<title>奉別李侯叔謙 益著</title>,<text>厚澤深仁草木知。春來何事解金龜。停車且莫催征路。白叟黃童不忍離。</text>
<title>訪水竹菴。次韓仁夫 德全 韻。乙酉</title>,<text>踏雪穿雲壑。寒梅何處開。逢僧訪古意。三笑渡溪來。</text>
<title>孔菴 在露陰山絶頂</title>,<text>宵分坐無寐。冰鑑海天開。咫尺蓬壺影。神仙來不來。</text>
<title>玉峯 在白華山○丙戌</title>,<text>幾年魂夢洞天飛。猿鶴應嗔客不來。今入玉峯奇絶處。塵蹤方覺昨時非。</text>
<title>普門古寺</title>,<text>古寺千年在。僧空室半頹。鳥啼迎客至。依舊木蓮開。</text>
<title>般若寺</title>,<text>石逕連雲上。琳宮倚半空。登臨天宇近。仙路若相通。</text>
<title>慕賢書院。贈李巨源 海遠。</title>,<text>洞天雲水窟。三日共徜徉。重到慕賢院。無言意更長。</text>
<title>次李巨源韻送別</title>,<text>逐臭曾聞海上翁。笑君今日訪余東。論交已在形骸外。講學爰尋性命中。石㵎煙朝觀物色。梵宮淸夜吐深衷。臨分更指仙巖約。莫負春山花信風。</text>
<title>答鄭攀桂 攀桂以公心大無外之說。謂近於釋家錙銖天地之氣味。故詩以曉之。</title>,<text>奉我身心事我天。此生非釋亦非仙。煌煌太一居中照。然後方知有道緣。</text>
<title>收放心</title>,<text>並參三極是吾心。一放何如擲萬金。天理卻從人欲晦。可憐爲獸復爲禽。</text>
<title>淸溪精舍新成 丁亥</title>,<text>經營山室喜初成。此日來棲夢亦淸。蒼壁繞溪開活畫。白雲糚壑媚幽情。春歸洞面風光滿。波靜潭心霽月明。莫道紛紛山外事。世間榮辱萬緣輕。</text>
<title>白雲菴 幷序</title>,<text>淸溪洞結茅之後。取曾點浴沂之興。欲以詠歸菴命名。則行腳僧信和曰。洞天雲物。迥隔塵世。安閒淸靜。可作地上仙。盍以隱仙菴名之。余笑而應之。今李君示以白雲菴之名。贈以白雲深之句。我本靑山白雲人也。甚愜素心。而且無僭越之嫌。故安而受之。卽扁以白雲菴。自號以白雲子。起余者李君也。因而戲次。幸博一粲。白雲菴裏白雲子。惟有白雲交分深。時遣白雲橫谷口。桃花流水杳難尋。</text>
<title>贈李聖擧 命夏</title>,<text>若欲志斯學。先從入德門。致知心自廣。居敬性能存。宜使良金鍊。寧任寶鑑昏。須將蕘說勉。基址在溫溫。</text>
<title>挽詞[烏川鄭澔]</title>,<text>賢兄有令弟。卓見自孩童。逮事華陽丈。仍從寒水翁。致知本乎性。飭行反諸躬。晉鄙人薰德。聖朝禮聘隆。嘉禾秀不實。吾道奈何竆。運氣相傾奪。命道有窒通。士林興悼惜。師席罄哀恫。客歲承君札。至言砭我侗。申申詈悻直。切切說平中。有少迷疑處。卒期爛漫同。遂翁書懇至。使我開昏矇。誰意一旬頃。居然萬事空。何由綴哀誄。無限訴悲衷。但有如泉淚。揮沾塞北風。</text>
<title>挽詞[豐川任埅]</title>,<text>識公初自遂菴翁。拔俗高標恨晩逢。爵祿可辭賢者事。州城不入古人風。前秋嶺路重攜手。半日山談亦豁胷。報道少微星忽晦。痛今南斗以南空。</text>
<title>挽詞[延安李喜朝]</title>,<text>嶺之南古稱多賢兮。夫何近世之寥寥。嗟惟君生晩而好古兮。其心蓋已嘐嘐。况聞華陽之風而興起兮。能自得師而私淑。聲名達於九重兮。除旨屢降於邱壑。君猶無意於應命兮。確乎其介如石。然謂早晩之一出兮。庶展抱負於當世。何彼蒼奪之斯亟兮。聞者莫不悲之。顧我識荊之雖未久兮。心實相照而莫逆。嘗邂逅於黃江兮。仍登覽於月岳。討一夜之淸話兮。勝十年之讀書。別來亦已多年兮。每歎音聞之闊疎。孰知訃車之忽至兮。不覺驚慟而欲絶。身旣病而路且遠兮。恨無由撫柩而一哭。聊綴詞而寄哀兮。但有臨風出涕之盈臆。</text>
<title>挽詞[安東金昌翕]</title>,<text>雲雪三山夜。初逢金玉人。暎冰心炯徹。霏屑話淸新。理窟推探賾。仙源借問津。投詩雖率爾。意在託交神。灑落延平訣。觀心未發前。斯爲公案一。自有密符傳。造次談何悉。他時擬共硏。逍遙林下意。遺恨在甁泉。別久非三日。知常處萬山。果能分理氣。眞箇契曾顔。此事寧容易。浮生或等閒。發微書幾帙。留在白雲間。偶作商山隱。非追四皓名。潛龍一爻玩。陰鶴九臯聲。只謂徵難拔。那知逝已輕。少微星晦矣。靑紫滿王城。千里知君葬。春天寫挽情。高林黃鳥語。空谷綠芻生。磨鏡聞徐孺。奔車歎巨卿。分山書在篋。重閱倍沾纓。</text>
<title>挽詞[丹陽禹大亨]</title>,<text>欲識同參契。凄然感淚潸。並生年己亥。共老地商山。言必稱堯舜。心誠慕孔顔。太平歌聖代。耕鑿兩人閒。憶昔露陰寺。相攜雪夜中。眞經同紬繹。邵易共磨礱。乍弄冰壺月。旋吟水面風。猶嫌太快活。臨別語從容。曩者春風座。賢哉立雪楊。羣疑亡四七。眞見快圓方。素志甘漁釣。高名滿楚梁。行藏占以決。爻象蹇之陽。甲申正月日。呼我向巴溪。俎豆新馨潔。衣冠肅整齊。丹靑瞻廟貌。寶墨賞宸題。爲講春秋義。悲歌望北啼。去年雲水地。送子好相從。易敎追前哲。成材繼乃翁。逐章論大學。連句討中庸。此事稀今俗。多君有古風。前年臘月末。過我龜亭宿。日錄看看畢。新圖細細復。爲言書有跋。何遽善無福。不幸人皆曰。傷心惟我獨。</text>
<title>挽詞[谷山韓以原]</title>,<text>華老棄吾儒。斯世失喬岳。荊榛塞聖路。鰍鱔舞深澤。憐君尋墜緖。生晩志古學。機靜翠陰庄。座高黃湖席。理到明體用。敬立嚴寨柵。力踐眞實地。傍宣士友則。春和舒戶闥。冬愛襲鄕俗。風儀標南斗。聲名動北極。恩旌下蓬蓽。素履安雲壑。學優扶世道。仁應享壽祿。年才知孔命。深痛易曾簀。杳冥造化意。俯仰我心惻。理固欺善人。命不酬天爵。顧余忝姻親。蘭室襲餘馥。十月湖嶺雪。訪我滄海曲。對床南樓月。振衣東岡石。霽看西日沒。淸挹大海色。天長別袂遙。浮雲倏南北。日月曾幾何。音容便永隔。始爲斯文弔。復以吾私哭。春風想氣像。吾道哀寂寞。有時將卜遠。無淚可沾臆。永歎羈郡紱。孤負撫窀穸。臨詞更收涕。庭有一樹玉。</text>
<title>挽詞[恩津宋奎運]</title>,<text>南州自古蔚儒眞。公又慈詳愷悌人。將謂鳳麟能瑞世。豈知圭璧遽埋塵。跡陳華峽雲千里。魂斷黃江月一輪。嗟我病衰違執紼。欲題哀挽倍沾巾。</text>
<title>挽詞[恩津宋康錫]</title>,<text>山河儲淑氣。間世生美質。孜孜好學志。已自童丱日。早登尤老門。晩入遂翁室。誰知造詣深。但見謝儔匹。鵷班仰老成。鶴書徵遺逸。簞瓢自有樂。致澤非無術。士林方拭目。願爲蒼生出。福善理顚倒。斯人有斯疾。師門喪予痛。欲向蒼蒼詰。顧我蒙陋甚。久倚溫而栗。戚誼卽弟兄。交情比膠漆。自擬蠅附驥。千里無相失。前冬一夜話。更深屢促膝。和氣浹人肌。天寒忘凜凓。充然如有得。歸來詑弟姪。雖聞君始病。尙謂天可必。衰周元氣薄。寺丞遽已卒。牢落我安放。乾坤轉蕭瑟。落月在屋梁。素塵埋道帙。惟應千載名。輝暎史臣筆。</text>
<title>挽詞[坡平尹升來]</title>,<text>南郡醇儒在。北方旨訣傳。存存持敬篤。本本踐形全。樂道無餘事。守岡度幾年。仁人終未壽。直欲問蒼天。良玉精金質。光風霽月襟。圖書潛玩意。山水自知音。顧我眞愚昧。逢公幾警箴。今朝欲題挽。慟絶不成吟。一壑優遊久。雙龍卜築新。華山許分半。洛社約同隣。聚散誠難料。死生竟莫旬。典刑尋遺帖。揮淚謾沾巾。</text>
<title>挽詞[昌原黃鍍]</title>,<text>光岳千年淑氣收。驚聞夜壑失藏舟。儒林葉落渾無色。學海波殘但有漚。束帛人間猶未就。修文泉下亦何求。悲吟最是傷心事。吾道如今已矣休。</text>
<title>挽詞[宣城李柬]</title>,<text>妙齡南㵎識門庭。中歲黃江仰典刑。資性段冰生萬壑。襟期秋月洗重溟。端方德義林泉重。溫厚名言世俗醒。叔季斯人那復得。白山淸洛地無靈。猥從師友講高名。近歲華陽始識荊。誘掖德音先輩厚。峨洋淸賞洞雲明。前冬湖海蒙垂訪。深夜天人入細評。孰謂斯文關厄運。虞歌不獨愴交情。</text>
<title>挽詞[坡平尹焜]</title>,<text>疇昔巴溪水石中。德音如玉警昏蒙。修心認得惺惺法。睟面知加慥慥功。吾道在南承洛學。伯豐無壽悼閩翁。溫淳氣質今難見。重爲斯文寄一恫。</text>
<title>挽詞[安東權燮]</title>,<text>蕭然一室苦心人。鎭日談經儼幅巾。早歲工夫尊德性。晩來儀度範儒紳。靑山有力收賢士。聖世于今失聘臣。慟哭黃江門下子。平生講道孰爲隣。</text>
<title>挽詞[德殷宋來陽]</title>,<text>玉無瑕玷鏡無塵。公是斯文第一人。踐履工夫探奧突。精明學術絶緇磷。始因偲切心常敬。頻接音徽誼轉親。萬事如今嗟已矣。哀詞題罷淚盈巾。</text>
<title>挽詞[宣城李夏炳]</title>,<text>蔚然聲望重斯文。欽仰多年未奉塵。尤老在時曾考德。遂翁門下久親仁。功深持養逢昭曠。行滿家邦篤誼倫。從此嶺南長寂寞。不堪矯首淚沾巾。</text>
<title>挽詞[平山申銡]</title>,<text>露岳巖巖高揷天。降精聚氣挺儒賢。師門講業心通道。朋友論仁意透玄。素履林間甘隱遯。丹書闕下幾招延。斯文寂寞人何去。墜緖茫茫涕自漣。</text>
<title>挽詞[咸豐李熽]</title>,<text>夫子生乎世。天意似有爲。夫子至於斯。茫茫理難推。歎息跡公行。至德由秉彝。尤翁道有託。江門見而知。淵源得其正。坦然復奚疑。爲學貴知要。反求有餘師。靜坐覓端倪。確乎心不移。向裏日加工。執中無偏私。操存老益專。踐履矩與規。積中發於外。儼然安定辭。幽蘭香自播。寵命幾虛施。考槃安素履。肯與俗相隨。未伸經國手。遽見埋玉悲。德厚壽何促。學優位何卑。師門慟喪予。士林復仰誰。吾黨何所慰。克家有孤兒。餘慶定無垠。從知福履宜。而我生也後。未契荷深期。情篤託媾日。仁服誨人時。華山共有約。百年期莫違。萬事今已矣。我懷增悽其。執紼終天痛。和淚題短詩。</text>
<title>挽詞[月城李台佐]</title>,<text>味道平生俗慮疎。出山聲譽不曾虛。風塵一宦終難屈。商嶺三芝自有餘。開口恥爲功利說。會心惟對聖賢書。別君十載存亡淚。南土今無處士廬。</text>
<title>挽詞[知製敎金興慶]</title>,<text>尙記前冬識面初。始知名下士無虛。摳衣函丈弘規奉。樂道山樊宿望儲。微宦莫回遐志潔。聖朝爭奈禮羅疎。從今後學將安放。空遣邦人式舊廬。</text>
<title>挽詞[綾城具爾天]</title>,<text>斯文相賀有儒眞。道脈扶持任一身。吾不復言天下理。君何已作地中人。禮羅纔設官終俯。學業雖優志未伸。昨歲逢爲千古別。題詞嗚咽淚霑巾。</text>
<title>挽詞[三從弟德徵]</title>,<text>安養窩中別有春。方塘活水洗心神。林泉高臥棲雲士。鄕國爭推瑞世人。蘭室幾年承至訓。竹壇今日闃芳塵。應知嗜道精靈在。來去黃江江上津。</text>
