<title>暮春</title>,<text>春盡花園裏。流年一半空。山禽亦解惜。啼過小溪風。</text>
<title>平壤有感</title>,<text>麗祖舊蹤餘老石。殷師遺制有區田。千年文物飛鴻外。萬井風煙落照前。</text>
<title>赴靈巖戱吟 丁巳</title>,<text>金章皁蓋摠榮光。湖海秋風去路長。緬憶古人成一笑。汲君何事薄淮陽。</text>
<title>罷官歸。菊叢一盆在行槖中。戊午</title>,<text>使君行李去來同。不許湖塵凂素風。歲暮却憐陶令菊。滿堦風雪斲寒叢。</text>
<title>罷官歸路遇雪</title>,<text>明時豈肯貸庸官。退伏田間分亦安。回首故山歸思浩。滿天風雪不知寒。</text>
<title>乞巧日偶吟</title>,<text>昨夜天河雨洗車。彩烏高處列香瓜。靈星莫乞人間巧。點檢人間巧亦多。</text>
<title>問梅花</title>,<text>玉骨冰容不入時。竆山獨委歲寒姿。可憐月落參橫夜。忽到窻前問爲誰。</text>
<title>梅花答</title>,<text>雲冷孤山鶴影遙。更無人愛雪霜標。歲寒知己惟君在。故到窻前不待招。</text>
<title>幽居</title>,<text>草屋深深絶世緣。幽人無事只甘眠。數聲啼鳥驚殘夢。柳綠花紅又一年。</text>
<title>太白山歸路。到鳳凰寺寄柳醴泉 挺輝。</title>,<text>看盡名山興未休。歸來更上鳳凰樓。故人知在巖門外。雲樹蒼蒼入遠眸。</text>
<title>洛城途中作</title>,<text>綺城朝雨挹香塵。人事天時一倂新。無象太平還有象。烟花粧點萬家春。</text>
<title>送李廈卿還山</title>,<text>來去無心泛若雲。少微星影照離罇。白頭亦有蓴鱸興。江漢秋風獨送君。</text>
<title>春園晩酌</title>,<text>細酌東園淑景遲。梅香初動柳絲垂。一年好處君須記。正是芳菲二月時。</text>
<title>過故人舊宅</title>,<text>立馬溪頭日欲傾。故廬無主冷烟橫。傷心十載存亡恨。都入隣翁一篴聲。</text>
<title>行路難</title>,<text>末俗齗齗巧索瘢。重裘安得禦深寒。可憐瘦骨都銷盡。始識人間行路難。</text>
<title>贈趙公望 以興 錦里新居</title>,<text>秋風匹馬問新居。入眼溪山畫不如。沙際白鷗飛欲狎。汝應知我世緣踈。</text>
<title>漫吟</title>,<text>數間茅屋水西頭。楊柳磯邊繫小舟。漁唱一聲塵事少。更移蘭棹下芳洲。</text>
<title>贈別李勉餘出宰東萊</title>,<text>千里關防大海隈。至今人說宋東萊。使君氣槩知相感。此去應須酹一杯。</text>
<title>赤壁新秋旣望放舟 福川十五里有赤壁。上有挾仙樓。</title>,<text>甲戌秋同壬戌秋。逐臣遊處逐臣遊。千年物色分留在。明月淸風滿小舟。</text>
<title>挾仙樓秋懷</title>,<text>漠漠天涯獨倚樓。數叢寒菊殿殘秋。凄風吹送黃昏雨。添郤孤臣一夜愁。</text>
<title>再遊赤壁</title>,<text>秋風孤櫂月邊舟。更挾飛仙上翠樓。自是聖恩隨處大。謫來猶得辦奇遊。</text>
<title>偶吟</title>,<text>殘骸零落一涯天。渭水終南思渺然。魂夢不知身在謫。有時飛繞五雲邊。</text>
<title>伏次大人落淵韻</title>,<text>石門中自劈。江勢外堪通。誰倒銀河水。方知造化功。天紳垂不盡。壑雪灑還空。流到滄溟日。波濤想更隆。</text>
<title>郡齋聞臺評罷官。戱吟。丁未</title>,<text>待罪河東客。迂踈不適時。臺評眞實狀。龜譴已前知。且盡罇心綠。休言世路危。庭闈遙入望。此去亦恩私。</text>
<title>郡齋思歸</title>,<text>湖外人三黜。天涯月幾彎。老知供務苦。病覺折腰難。林翮惟應倦。松哦未暇閒。春來頻得夢。一半在鄕山。壬寅丞濟原。丁未出沃溝。丁巳又宰靈巖。故上句云。</text>
<title>次黃山寺夜話韻</title>,<text>古寺羣英集。深杯取次行。纖歌生密席。孤燭照寒更。踈散陶彭澤。風流阮步兵。團圝情不極。屋角已河傾。</text>
<title>南遷時。金先達 哲雲 棄家遠隨。厚意可感。甲戌</title>,<text>上馬將何適。湖城天一涯。身輕霜後葉。跡似劒頭炊。世態隨時變。人情逐勢移。誰知任俠子。千里遠相隨。</text>
<title>到同福配所</title>,<text>寂寞深村裏。停車是福川。江通商舸路。境接海門烟。谷邃霜華重。山高月影偏。鄕關杳何許。東望意茫然。</text>
<title>秋思</title>,<text>一斥南荒去。居然節序遒。虫聲妨客夢。秋色染鄕愁。楚澤風霜苦。秦川道路脩。斜陽無限意。獨上仲宣樓。</text>
<title>赤壁懷古 鶴峰先生牧羅州時。與金同福富倫。船遊有記。</title>,<text>問仙兼弔古。行此碧江潯。赤壁風烟老。紅亭草樹深。奇遊邈不嗣。勝蹟更誰尋。白首天涯客。登臨一感吟。</text>
<title>題無言齋</title>,<text>一臥滄江歲月深。幽居不受點塵侵。已知漁釣還多事。更覺琴碁亦攪心。石榻任他風過掃。梅壇輸與鳥來吟。如今全省經營力。終日無言對碧岑。</text>
<title>次台姪韻 二首</title>,<text>愛爾粧成五鳳樓。百家珠貝一毫收。輕鴻孤唳幽都夜。白藕新開綠水秋。司馬跡奇初滌器。孟明時會竟焚舟。石人灘畔湖波合。竚看風翎破碧流。吟翁催倚夕陽樓。石上殘碁散不收。紫洞雲深山百疊。碧壇松老月千秋。神遊翠壁孤房寺。興入蒼江一葉舟。風景滿前塵事少。前身知是採芝流。</text>
<title>山樓月夜獨坐。又次台姪韻。</title>,<text>輕風吹我上危樓。景物紛然散不收。鳴鸛飛鳶前浦晩。淡烟斜雨小村秋。參差桑柘陰中屋。出沒菰蒲影畔舟。更是月明雲淨夜。愛他金斛浴江流。</text>
<title>輓洪百源 汝河</title>,<text>誰報文星落夜臺。蒼生望絶士林哀。空將夷道澄淸志。未展昌辰黼黻才。直道晩遭明主識。剛腸早被世途猜。堂堂間氣埋何得。不作長虹定作䨓。</text>
<title>南上舍德心 俅 有酒失自悔。因獻一語。</title>,<text>莫從平地起風波。須束身心聽我歌。口是禍門終速累。酒爲狂藥易傷和。萬言皆合不如默。三爵猶迷矧敢多。抑戒初筵明訓在。古今箴警儘同科。</text>
<title>郡齋述懷</title>,<text>宦情羇思兩悠悠。暇日聊登百尺樓。故國山河秋入夢。荒城風雨夜生愁。空吟潘岳歸田賦。常抱陶潛束帶羞。遙想前溪魚正美。拂衣何日理扁舟。</text>
<title>奉讀備忘記有感</title>,<text>大哉王言綸綍然。唐虞心訣此中傳。淸時正屬崇儒日。聖主方當志學年。丙枕不忘箴暬御。夏氊無廢講經筵。羣仙列侍通明殿。誰是黃裳第一賢。</text>
<title>輓金校理 𤧚</title>,<text>何處蓬萊縹緲邊。儒仙一去杳無緣。金剛矢直曾推望。玉署銀臺竟失賢。經術空拋當世用。淸操偏荷聖君憐。塵間未化妻兒戀。定有英靈月下旋。</text>
<title>次愼明府 景尹 遊太白山韻</title>,<text>夢想名山見未曾。忝隨皁蓋試攀登。六鰲頭上峯千疊。孤鳥背邊路幾層。躡翠何嫌林霧濕。凌虛却喜嶺雲憑。人間誤道蓬萊遠。衰白問仙此去能。</text>
<title>次金文伯 斗章</title>,<text>世故驅人苦未央。五更霜雪滿衣裳。羇心偏惜流年暮。歸夢翻愁嶺路長。拙宦無成彈尺劒。炊烟頻冷撫空囊。披襟幸接平生友。九陌寒燈對一觴。</text>
<title>送愼明府移拜慶州</title>,<text>孜孜每見恤民心。琴鶴淸風邁古今。南國荐遭饑歲逼。此邦全賴福星臨。雙鳧忽送天涯影。五朶空垂海上陰。白首偏蒙康庇惠。攀轅歧路倍沾襟。一區民物太平歌。靈運風流又永嘉。甘露霱雲沾蔀屋。好山名水屬官家。朝廷寵秩新增戟。父老深情競挽車。會待政成遷拜日。桐鄕重訪舊烟霞。</text>
<title>次再從姪安安 泰基 仙遊亭韻</title>,<text>仙區形勝稱徘徊。縹緲紅亭畫裏開。翠壁削成浮海出。洪濤倒瀉自天來。狂歌宇宙無餘事。隨處雲烟只此杯。安得淸風生兩腋。凌虛直欲上崔嵬。</text>
<title>次安安韻</title>,<text>小雨飄蕭苦不晴。坐看江郭暮烟生。懷人虛占晨枝鵲。喚友偏憐隔葉鸎。芳草潤分千逕色。高梧愁滴半庭聲。孤吟却憶南庵會。笑對飛繩盡日橫。山寺歸來已晩春。平蕪軟綠恰成茵。百年光景重三節。四海風流一十人。言笑晏時仍謔浪。心期傾處更精神。蘭亭古事眞堪哂。虛負黃花赤葉辰。</text>
<title>追次安安宵字韻</title>,<text>芳罇華燭可淸宵。况復春光報昨朝。江郭初回新日月。綺筵相對舊松喬。酒仙豪氣凌霄漢。詞伯雄毫捲海潮。漏盡杯乾餘興在。半簾蟾影共逍遙。</text>
<title>次再從姪坦坦 履基 韻</title>,<text>半世浮榮夢一場。暮年林下共徜徉。孟生詞藻竆還麗。康樂風流老更狂。倚杖松坡春寂寂。移舟雲渚月蒼蒼。白頭多病知妨飮。爲答年華強擧觴。野老耽遊不覺勞。一罇沙面對詩豪。蛟宮日暖翻銀尺。麥壠風多起翠濤。萬里湖山仍令節。百年天地更吾曹。提攜到夜忘歸去。小鼓聲中白雪高。</text>
<title>次題無爲堂</title>,<text>不是仙人不是尼。此翁身世世誰知。公孫無事猶忘飮。杜五耽閒幷廢詩。春圃草深拋已久。雲窻睡足起常遲。奇懷何處難名狀。請看枯查隱几時。</text>
<title>次族孫天若 世欽 七灘草堂韻</title>,<text>咫尺囂塵限一灘。終年苔逕斷人還。白鷗沙外千株樹。黃犢坡前幾點山。風月自來非有約。簞瓢屢空不憂艱。孤舟夜雪行乘興。分付樵童莫掩關。</text>
<title>次盆梅韻</title>,<text>歲暮梅窻問主人。淸標踈韻兩精神。冰容帶笑非求媚。冷骨生寒不訴貧。絶愛素娥留舊態。更疑和靖作前身。嚴冬誰信春光在。凍雪紛紛欲沒輪。</text>
<title>次沙村萬年松韻 二首</title>,<text>擧手當年早謝時。園林獨對後凋姿。日移晩影來詩幌。風引幽香過硯池。聳壑凍龍鱗半縮。出塵癯鶴骨全奇。至今杖屨逍遙地。月笛飈輪世不知。蒼髯紫甲靜離塵。百霹千霜翠蓋新。萬古春光藏此地。一園奇景不曾貧。寒聲奏瑟風生榻。踈影成篩月漏巾。詠罷淸篇仍遠擧。世間誰識謫仙人。</text>
<title>輓李別檢 埰</title>,<text>君是晦齋夫子後。大家文獻不曾衰。謫仙詞賦聞名早。元禮風流得御遲。賁帛未移高臥志。溟鵬虛負遠圖期。傷心此日朱絃斷。白首竆途更向誰。</text>
<title>贈別嚴錦山 鼎耉○甲辰在濟原時</title>,<text>嘯罷黃堂發興新。雪程千里動行輪。那知末路孤吟處。更送平生愛慕人。心爲感恩偏作惡。酒因傷別不辭頻。鯫生亦是思歸客。底事區區謾走塵。</text>
<title>輓李判書 元禎</title>,<text>湖土寃封歲十更。快看天日照忠貞。文章德義全朝望。器局風流間世英。剛恨廟謨終未展。從知國是久逾明。白頭不盡公私慟。爲向新阡倍愴情。</text>
<title>輓金文伯 乙卯</title>,<text>暮境空懷少日遊。樹雲東北恨悠悠。九街暗響愁邊雨。雙岳淸光夢裏秋。獄底久嗟騰劒氣。罇前誰復話風流。平生同志同庚友。痛哭如今萬事休。</text>
<title>輓南章于 天漢</title>,<text>冰作淸標鐵作心。斗南聲望重南金。三朝諫掖風霜凜。五夜銀臺雨露深。畎畞暮年甘養病。急流當日勇投簪。雪堂千古公私慟。緘罷哀詞涕滿襟。</text>
<title>輓鄭禮安 維河</title>,<text>文雅風流嶺外英。詞壇少日擅芳名。會看鵬路連霄漢。誰識牛刀輟武城。興入竹林仙露艶。神怡橘裏壽星明。儀刑一秘吾安倣。詩榻荒凉月五更。</text>
<title>輓李子實 蕡</title>,<text>冰壺朗月照塵襟。一御龍門分義深。過客光陰俱白髮。世途雲雨獨丹心。天池快覩鵬新化。吳海誰知劒兩沈。弔慶相仍無處詰。空敎衰淚語前霪。</text>
<title>輓李秀才 檥</title>,<text>美質溫溫玉出崑。妙年藻思藹春雲。家庭緖業詩書禮。嶺海聲名祖子孫。天地何心生俊乂。風霜一夜敗蘭蓀。春暉未報身先死。朝暮門閭儻返魂。</text>
<title>輓洪參奉 昇</title>,<text>晩節投閒益自奇。只將書籍作生涯。皇天有定徵仁壽。昭代無知柰位卑。蘭谷淸風香不改。屋樑明月色猶疑。庭前挺秀三珠樹。餘慶他年正若茨。</text>
<title>輓朴龍宮 </title>,<text>雅望英才擅一時。旅翁門下早依歸。風猷久屬儒林仰。遺逸仍蒙相國知。治著嶺湖銅虎重。業傳詩禮石麟奇。追思金谷今秋語。泉裏應嗟萬事違。</text>
<title>輓柳以能 世鳴</title>,<text>名家杜曲挺文豪。今代詞垣屬望高。日下風雲生兩腋。人間奎璧麗層霄。掄才初入湖堂選。徵記俄催月殿招。何處靑山埋玉樹。漢津餘淚更沾袍。</text>
<title>贈別李監司萬里 溟翼</title>,<text>玉節須材撤近臣。南維前後主恩頻。賢良猶誦蘇通判。風裁爭稱謝幕賓。百濟山河仍按撫。西湖民物任陶匀。臨歧獨有恾恾恨。漏舶危瀾孰指津。</text>
<title>輓權進士 克正</title>,<text>雙璧淸標世共稱。朗然秋月暎壺冰。論交幸忝雄雌甲。結媾仍迎大小馮。半世悲歡眞夢寐。浮生存歿劇風燈。白頭病負生芻奠。獨立竆途祇撫膺。</text>
<title>輓李直長 墩</title>,<text>洛下旅燈乍接裾。神交十載遡風餘。浮榮未絆冥飛鵠。歸興方催巨口魚。一代高名傾嶺海。百年遺業有詩書。雪山何處埋雙璧。樑月悲凉萬事虛。</text>
<title>輓金玉果</title>,<text>竆到衰年謝五鬼。風流一代付詩罇。貞心豈逐炎凉變。薄俗從他毁譽喧。南郡農桑歌杜母。東吳人物數虞翻。可憐雙璧連埋土。老淚重垂舊日痕。</text>
<title>到謫所</title>,<text>垂死投荒道路賖。福川城下寄人家。山村歲儉炊烟少。海國春深瘴霧多。千里客魂迷遠樹。五更歸夢落漁簑。柴門雖設無人過。獨倚枯䕨數暮鴉。</text>
<title>輓再從姪遠伯 宇基</title>,<text>吾宗聲價越璵璠。餘力詩書孝友敦。羅隱奇才空落魄。于公潛德竟高門。庭闈不盡無方養。泉壤先埋未死魂。哀慶相因何處詰。悲號直欲叩天閽。</text>
<title>輓石溪李先生 時明</title>,<text>大老居東海。聲名溢四方。詞華班太史。志業蕫賢良。炎海違鵬徙。深山見虎藏。模楷雙校尉。壽福兩汾陽。小子曾瞻斗。前年幸拜床。儀刑山立立。器宇海汪汪。繼體皆三傑。白眉最馬常。庸才充有得。法語久難忘。誰謂斯文戹。連傳哲人亡。九原無起日。冥道祇沾裳。</text>
<title>賀延安李相公 觀徵 致仕奉朝賀</title>,<text>名家承積慶。瑞世挺高賢。鵬擊三千里。鵷行四十年。德堪齊鸑鷟。志自少鷹鸇。高棟看支廈。虛舟利濟川。仙籌添海屋。魁象逼台躔。賜几偏優老。循牆每避權。扳留恩屢至。休致意彌堅。惜去仍縻爵。臨離更侈筵。霞觴雨露溢。奎藻璧璣聯。異數驚初覩。高標許孰肩。風聲遐邇聳。寵渥始終全。進退憂兼切。功名夢已圓。朝銜猶祿秩。天放卽神仙。華省長裾滿。層城甲第塡。榮途誰退步。宦海亟回船。獨遠紅塵累。偏深綠野緣。三朝南斗望。萬事北窻眠。始見高翔鳳。方知不染蓮。幾叨陳榻解。今賀薛車懸。不用蕪詞詠。芳名太史傳。</text>
<title>松湖設酌</title>,<text>少小遊遨地。今來更拂衫。光陰蛇赴壑。身勢馬駘銜。渡變何年水。郊靑昨夜𩁺。晴螺橫晩黛。寒鏡闢塵函。浩渺沙堆雪。參差石疊瑊。高行憑短策。廣涉借輕帆。岸柳初成幄。汀花已敗縿。聯裾步緩緩。追舊語諵諵。滕閣東南盡。蘭亭少長咸。芳醪兼水淨。逸氣倚天巉。坐藉如茵草。陰依翳日杉。恭桑仍進慮。護學更歸諴。宇宙身如寄。江湖思更緘。佳辰古亦用。淸景取何饞。落魄梁公子。風流賀少監。江情任漫浪。世味謝酸鹹。迷醉那嫌笑。狂吟不避讒。超然遺俗累。幾許隔塵凡。日晩嚴陵瀨。烟籠傅氏巖。流連憺忘返。湖月送攕攕。</text>
<title>輓朴汝弼 廷薛</title>,<text>懸秋冰鏡瑩無玼。雅望淸名擅一時。披膽獨登文石陛。掌綸三到鳳凰池。陳生坐府交關絶。淸獻迴舟一鶴隨。壽至耄期身尙健。位躋宰輔志逾卑。平生事業元無愧。晩節行藏益自奇。細酌常懷憂國志。蹁躚日對稱家兒。弧星昨夜沈南極。鷄夢當年告大期。楊氏家無十金産。韋公床有一經遺。乾坤牢落風流盡。鄕井蕭條父老悲。戀主素心孤月在。丐閒幽趣斷雲知。生幷宇宙年差後。契托金蘭志自冞。處世行休同霽潦。隨聲唱和應塤箎。傷心夫子惟知我。後死人間更託誰。空憶竹林中夜話。西風回首淚長垂。</text>
<title>壬寅夏。李廈卿至落淵。留詩十一韻。相與唱酬。</title>,<text>野性不適俗。冥棲在巖谷。簷飛仙峽雲。門對香罏瀑。巷僻寡輪蹄。日高眠白屋。有時乘野興。獨遶淸江曲。江深鱖魚肥。此間生涯足。聲名非我期。寂寞固所欲。塵喧隔幾許。惟見山水綠。不曾聞是非。亦豈知榮辱。夫子紫霞客。逸氣凌凡碌。閒來遠相訪。陡覺情義篤。留詩侈山居。寶唾成珠玉。</text>
<title>次洪聖輝 道翼 落淵韻。寄無爲子。</title>,<text>覽君陶淵作。却較陶淵勝。秀句奪山綠。淸思兼江淨。晴牎一高吟。浩爾神骨瑩。僕本陶淵主。奇觀愜素性。飛湍轉懸厓。天鼓滿淸聽。狂瀾走雪山。騰踔不少定。駭膽穴虬吼。撼夢白鷺警。驪珠幾萬斛。洪瀉迷晨暝。奇巖碧四圍。玉立荷千柄。巖顔留虎跡。鳥道通神徑。我屋萬松裏。雲水相掩映。中間一誤出。塵夢繞懸磴。歸來歲月深。華髮已滿鏡。鷗波尋舊約。景物催新詠。知非慕伯玉。覺是追陶令。臨濠魚萬隊。遵渚鳧幾乘。平生江海志。未暮欣相稱。臨風發一嘯。山谷爲響應。禪宮翔林表。落月送淸磬。委心任流憇。此樂無人競。塵世等浮漚。功名一破甑。明年豈無事。心事日蹭蹬。日望子來遊。吟駕何時命。靑山我當分。丹竈君可傡。微𩁺洗塵途。遊子堪乘興。勿憚行路險。烟渚粧新榜。</text>
<title>謝李廈卿枉駕山居</title>,<text>海內李君我知己。半世同遊膠漆地。龍門一別玉音遐。江渭經年歎弦矢。况玆山居更僻左。音信無由憑尺鯉。滄洲去夜月分明。故人面目依俙是。落日蹇驢水雲外。一鞭行李來何自。靑眸忽開寂寞濱。衰鬢蒼顔略相似。三更夜雨一燈前。多少情懷諧笑裏。抽毫欲賦高軒過。拙語何能揚厚義。浮雲聚散苦無期。掣電一歡終難恃。塵裾纔摻別恨催。歧路無端丈夫淚。逾山渡水送將歸。不覺吾行行十里。銀河一道當去路。雪波層濤怒不已。憑厓覷得造化功。三伏龍宮多爽氣。須臾小雨滿江城。似解吾人惜別意。驪歌一闋儵遠去。杳杳華旆西南指。薄暮歸來江畔路。愁雲漠漠凄風起。明朝離思更一倍。回首淸遊眞夢耳。</text>
<title>輓權竹所 鼈</title>,<text>七達風流又竹林。早脫天弢娛詩酒。居家純行起人欽。踐履平生敦孝友。積善終古必有徵。頓膺人間箕福九。天恩優老渙異數。不世崇慶知誰右。先人早結潘楊好。分誼從來覺偏厚。嵇生此日轉孤𡞦。撫古傷今空白首。哀哉公胤爲姊壻。符彩酋酋世豈有。泉臺十載隔音容。可惜斯人天奪壽。孤兒寡妻幸有依。日月爲向高堂久。何知天意邈難詰。弔廬還開賀門後。回頭先輩淪沒盡。床下承顔今不又。哀誄欲當萬古訣。短詞未就腸先朽。</text>
<title>輓吳德明 以晉</title>,<text>臨江餘業屬溪翁。一代詞華擅海曲。煌煌珠樹挺三秀。伯也淸淳尤拔俗。春風杞縣一相遇。我童已成公冠弱。書牎半載許共氊。言笑時時雜嘲㖸。愛公情性保天眞。共期平生心莫逆。人非鹿豕豈常聚。半世踪跡西東各。離情頻向尺牘輸。珍重殘年願努力。一馬前秋爲叩扉。老去風神如夙昔。何知此別間冥漠。斯世無由接良覿。荒詞題罷當永訣。言不盡兮情無極。</text>
<title>輓詞[李玄祚]</title>,<text>耆老襄陽幾箇遺。彼蒼難問亦難知。名鄕考德宜今日。逐客招魂柰此時。却向江潭揮感涕。祇憑霜月挹淸䂓。琴堂一曲偏悽切。爲是新翻薤露詞。</text>
<title>輓詞[金聲久]</title>,<text>漆室憂時事。靑山送故人。吾宗嗟不祿。孤抱向誰陳。存歿惟雙涕。乾坤尙此身。一歸終孰免。泉下更相親。</text>
<title>輓詞[李惟樟]</title>,<text>湖南逐客賦懷沙。昨日靈車過我家。宋玉招魂魂未返。林宗私慟慟無涯。淸班令望圭璋重。藝苑高才黼黻華。被髮大荒公自得。區區哀㤪舊蓬麻。</text>
<title>輓詞[李簠]</title>,<text>經幄多年最受知。白頭恩謫杳南陲。定應歸日看髭勝。那料沿途揷竹悲。公論自當留後世。孤忠難可徹明時。舊遊蕭寺渾如夢。敗菊殘楓入涕洟。</text>
<title>輓詞[柳榰]</title>,<text>瘦鶴風姿見粹然。玉堂儒雅冠經筵。榮名逆旅炊粱裏。世路瞿塘激浪前。誰遣孤忠吟傍澤。日斜庚子愴遺篇。重泉不獨長齎恨。從古罹寃幾箇賢。</text>
<title>輓詞[金泰基]</title>,<text>仙鶴飛鳴下震藩。一聲寒月動天門。錦腸繡臆纖塵絶。鐵面豸冠寸舌存。陽疏兩封嚴似鉞。介名千仞重於崑。琴歌蜀郡爲慈母。出納虞廷近至尊。肥馬暮塵嫌走路。片颿秋鴈好歸園。桑田變海時將晦。霜葉隨風日欲昏。宣室未聞中夜對。楚些空返大招魂。龍亡巨澤鰌驕舞。鳳去高梧月破痕。自我從遊成白首。與公諧笑幾淸罇。洛城旅泊同愁枕。鳥嶺間關幷凍轅。黃寺懸燈談麈尾。白雲聯榻討玄源。謂將此味餘年過。誰料斯遊今日翻。豪傑盡歸空宇宙。山河獨在冷乾坤。凄凉病姪悲號處。萬事茫茫更不言。</text>
<title>輓詞[李嵩逸]</title>,<text>望實傾朝野。風流冠嶺儒。卷懷觀世變。乍出應時需。庶見邦猷美。那知澤畔枯。漬緜違素願。垂淚向阡途。</text>
<title>輓詞[金兌一]</title>,<text>淸標姱節毓名門。敭歷王廷雅望尊。半世行藏毫不苟。平生心事玉無痕。潮陽一受韓公玦。楚澤還招屈子魂。已矣吾南老成失。箇中悲抱共誰論。</text>
<title>輓詞[權泰時]</title>,<text>漁釣江湖樂自存。早辭朝市臥丘園。東山偶副蒼生望。北闕偏蒙聖主恩。一謫瘴鄕天曷故。三皋鵩舍世爭寃。封崇四尺知何處。回首霜霄月一痕。</text>
<title>輓詞[金履基]</title>,<text>賢父兄吾樂有之。家如樑棟國如龜。孤高自分禽三黜。淸白何慚震四知。䨓雨春潭聲未動。柳車寒月影空移。仙庵杖屨攀無日。雲水千秋起我思。</text>
<title>輓詞[康習]</title>,<text>乃老湖南謫。斯文甲戌竆。鄕閭返素翣。天地多悲風。正氣留山嶽。淸名與始終。云亡今日慟。重憶木齋翁。</text>
<title>輓詞[李栽]</title>,<text>夙佩瓊琚藹厥聲。南州人物數淸英。時來幸際河淸會。老去還嗟澤畔行。白日未回陰壑照。文星忽閟曉天精。擬招忍賦歸來些。暮雨靑楓不盡情。憶昨蒼黃嚴譴日。兩家南北各分飛。炎荒幾祝江山護。關塞偏驚霰雪霏。䨓雨祇應終作解。圭璋何意奄藏輝。白雲千里思親淚。遙向新阡爲一揮。</text>
<title>輓詞[李華翊]</title>,<text>名家儀範嶺中師。玉彩金精瑞世姿。披腹獨登文石陛。掌綸頻到鳳凰池。誰憐湖海吟蘭蕙。只謂江山足護持。怊悵雲輧今已遠。鯫生一哭也非私。</text>
<title>輓詞[趙德鄰]</title>,<text>爭道祥鸞與瑞麟。亭亭特立好風神。霜臺長席能言事。璧沼師帷喜得人。自勵江湖難進節。今爲嶺海未歸身。皇天豈必令公死。末俗多端鬼不仁。</text>
<title>輓詞[李惟枋]</title>,<text>經幄當年誦典謨。蔚然王國有鴻儒。誰知安石東山望。轉作靈均澤畔枯。大老云亡歌殄瘁。斯文無主歎蓁蕪。他時直氣應難泯。佇看晴虹貫斗樞。</text>
<title>輓詞[洪相民]</title>,<text>正氣從來鍾德門。昔賢之後有賢孫。曾尋漁釣江湖隱。晩際風雲德業尊。直道難容還禦魅。斯文無祿遽招魂。典刑千古知何處。淸洛源頭月一痕。</text>
