<title>巖上卽事</title>,<text>北望城千堞。西瞻山萬疊。一帶烟波中。漁歌聲斷續。</text>
<title>我有一歌。五章章十句。</title>,<text>我有一張琴。羲農在時作。曾經聖人手。體制方且直。龍唇吐雲氣。鳳尾含瑞色。五絃備五音。六徽應六律。皷商春叢雪。奏宮冬芽茁。一彈南薰殿。仁風吹六合。再皷西周都。彩禽鳴岐嶽。三撫匡圍中。匡人解戈戟。漂流百代下。絃斷無人續。鍾期去已遠。黄塵生寶匣。						我有一塊玉。精英天地獨。日暖藍田烟。截肪備溫栗。山蘊輝潤山。澤藏媚生澤。所以君子人。佩不離頃刻。天子分五瑞。五等次以爵。聖人齊七政。璿璣以窺測。夏商貴瑚璉。宗廟盛黍稷。瑟瓉注黄流。無言自奏假。至寶空蘊櫝。衆目混魚目。嗟嗟和氏子。抱璞三見刖。						我有一長劍。磨之十年一。烈烈青萍鋒。凜凜蓮花鍔。抽鞱試拂拭。明霜耀秋日。蛟龍水可斷。犀象陸可剸。獻諸君王前。兇醜從可馘。自矜有所恃。無往不自得。一進金門前。虎豹守九闕。再進辟雍外。環橋徒雜沓。終歸十上勞。兩鬢千莖雪。世無張雷眼。龍光橫斗極。						我有一良驥。以德不以力。或云渥洼來。或云瀠河躍。兩耳批秋竹。雙蹄削寒玉。醴泉水渴飮。玉山禾飢食。欲騁千里途。欲買連城直。世人昧天才。滔滔視之劣。所好就價微。駑駘之䠎齪。房星空熒熒。龍媒老槽櫪。秋風吹永夜。仰秣鳴跼踖。孫陽在何處。垂首監車服。						我有一間屋。茅簷長寂寂。人喜千萬間。我喜僅容膝。人喜積金帛。我喜貯甔石。牀上萬卷書。堯舜孔孟說。窓邊五畒園。寒梅與綠竹。時耕江上田。禾麻雜菽麥。時釣滄江魚。銀鯽黃鯉鱖。室中敎子孫。昕夕忘飢渴。望以無疾病。勉以少過失。如斯送餘年。途窮知免哭。</text>
<title>次長孫瀚永韻</title>,<text>久棲碧江上。誅茅初卜吉。潛光圭竇中。出門無所適。偸閒事幽討。牙山之古剎。㟮屼見深殿。金碧耀山曲。沙彌皆識面。欣迎舊情篤。况與二三子。從前意氣合。風楹豁談笑。歡悰生索寞。隨山倚鳩杖。尋雲躡鳧舃。遠害看鹿遊。染黑知藏漆。雜家已逾時。誕節旄丘葛。吟詩弄白筆。論文坐管榻。三老靜裏趣。何殊橘中樂。水態淨淵淵。山容高屼屼。透得仁智體。內守無不足。事旣有終始。物豈無本末。味佳多雋永。鐵餘奚鑄錯。世人恒殊調。趣舍異格局。臨害不知避。㗖利口流液。求福昧積善。欀灾媚事佛。閒忙趣不同。仙凡路逈隔。吾徒淡水交。其何露圭角。心存眞實意。面動敷腴色。行色如靑天。令人見白日。或以戒兒孫。又與情友約。耄言愧聖謨。畫蛇難藏拙。</text>
<title>感舊遊一章。憶亡友河子常 恒。</title>,<text>吾友河子常。昔年構精舍。靑山在其後。流水在其下。幽蹤寄此間。心事淡而雅。圖書一室靜。軒䆫絶蕭灑。我是托知已。我洋指下瀉。約爲南北居。閒擬香山社。那知鬼不仁。奪我知音也。踽踽人世間。偸生已苟且。今到舊遊地。遺臺但破瓦。座有孔懷人。鴒情非外假。又有胤冑賢。早歲捷司馬。各抱感愴意。忍傾春風斝。悠悠我之懷。耿耿終難捨。言志非爲詩。恨無知己者。</text>
<title>和百泉寺一甲會韻</title>,<text>丙午春二月旬。百泉寺一甲會。願終始守此心。金石如無內外。</text>
<title>學勿失時 辛未</title>,<text>爲學孜孜當及時。時移歲去悔何追。四十無聞無足畏。莫臨衰境只懷悲。</text>
<title>過勿憚改 辛未</title>,<text>人言我過我當思。有則改之無自怡。子路喜聞能勇改。端宜百世作人師。</text>
<title>閒中悼懷</title>,<text>閒中常悼少時懷。忠孝君親兩勿乖。風樹悲啼身且老。悵然空自撫殘骸。</text>
<title>批子䥬陳情和詩叙</title>,<text>知過誠難悔又難。倘能知悔改之端。從今定脚如曾勇。闊步期趨誠意關。</text>
<title>過亡兄舊居</title>,<text>寥落遺墟草樹荒。枯梨依舊靠頹墻。臨風落日無窮恨。問與江流誰短長。</text>
<title>寓居嘉坊。月夜詠懷。</title>,<text>傷時一念轉悠悠。揮淚徒懷漆室憂。不知毛將謀何事。鴨綠留兵已十秋。時有毛文龍者。擁兵來駐我國境上。已經十秋。不知其意之所在。疑而賦之。</text>
<title>遊靑谷寺四章</title>,<text>誰馭泠然列子風。斜陽來訪古禪宫。琪樹丹崖仙興足。一尊相對世緣空。右蕭寺尋朋						少年磨劍此山中。暎雪啖蔬枉費功。萬事如今成一夢。羞將白髮對秋風。右禪窓感舊						故人家在碧江東。生少年同志亦同。惆悵如今泉路隔。暮鴉啼散白楊風。右江東悼友						世間平地起風波。喜喜悲悲哭又歌。爭似老僧閒意足。白雲生處卧煎茶。右山僧管閒</text>
<title>敬次灌圃魚先生雙溪寺八詠樓韻 幷序</title>,<text>丁巳冬。余在浮査第。河上舍子平 憕 過之。袖出一素紙同裹一詩帖以示之曰。此乃吾外曾祖魚灌圃手迹。子其移書之以與我。我欲刻之板。懸於雙溪寺邀鶴樓。使後人知八詠樓之所由作也。余於是。披而閱之。乃魚先生雙溪寺八詠樓所題記及詩。和之者有金克成，黃㻶，閔壽千，黃汝獻，朴世煦諸賢之作。亦皆先生之手自書者也。噫。先生。余所景慕。而與余有連派之分。又先生少肄業於吾曾王父校理公。故手撰校理公碑銘。余每以未及摳衣爲恨。今者何幸得見先生咳唾之珠璣。心畫之鐵索。當日精神之所凝聚。筆跡之逼眞竗。玆可想矣。爲子孫者。桑梓尙恭。况此神會處乎。宜子平之愛而寶之。欲傳於來世者也。余亦尤有所感焉。昔余弱冠。讀書雙溪寺。身登八詠樓。仰見楣間。有先生記及詩洎諸賢作。愛而詠之。謄而藏之。及其年久而旋失之。常以不續舊遊爲嘆。丙辰秋。丁巳春。再入雙溪。樓爲兵燹所焚。月戶風軒。銀鉤鐵索。幷爲灰燼。余於是有感舊之懷。勸寺僧謀所以重建則寺僧無有應之者。於是。益嘉仲暹創立之壯志。益敬先生物外之風致也。今子所求。適出於余所慨嘆欽慕之餘。嗟余年過八九。筆路荒拙。安能副君望。然不忍孤索而負初志也。故首書先生之記。次書先生之詩。靑蘿，橡亭，及庵，柳村諸賢之作。次次書之。余又步其韻叙其事。嗚呼。自正德丁丑。至萬曆戊午。首尾百有二年。其間天道之變換。人事之遷易。不知幾更興廢。獨先生遺筆。不見失於兵火中。使後人復見先生之眞筆。所謂善藏者藏於天者也。如使山僧之好善如仲暹者出焉。則安知子平之爲此擧。亦如灌圃之勸仲暹也哉。先生諱得江。字子游。咸從人。晩居鐵城之混沌村。自號混沌，詠潭，泉石居士，灌溪，抱甕丈人。其平生出處。退溪先生所撰詩集跋詳之。萬曆戊午正月旣望。浮査主人，伴鷗閒翁。昌山後學進士成汝信。謹識。						千疊雲山五派溪。碧桃深洞紫霞迷。行隨錦浪偶然到。地與武陵同品題。溪出自雪峯，鶴洞，寺前，七佛洞，紅流洞等處而合流。故云五溪。○右洞合五溪						何年星隕矗荒原。四字雙刊萬古存。天爲儒仙留勝迹。至今雲物護嵓門。距寺數里許。兩石雙峙。西刻曰雙溪。東刻曰石門。○右門刻四字						儒家筆跡釋家詞。鐫入貞珉閱幾時。仙李乾坤羅日月。千年舊物獨斯碑。故眞鑑禪師碑。唐僖宗光啓年間。崔文昌所撰書。○右龜戴古碑						少時爲客任逍遙。慣見橫溪卧斷條。五十年來重到此。陵遷無處覔仙橋。自八詠樓向邀鶴樓。其間有一小溪。老木模卧其上。今到不見。故嘆之。○右澗橫老木						雞峯高竝鶴峯蒼。月出雲來灝氣長。日夕悠然無限趣。憑欄幾許入瓊章。白雞。山名。與靑鶴洞毗盧峯。相對而峙。○右白雞當戶													曾聞洞裏可耕田。避世幽栖問幾年。欲扣巖扉塵夢罷。牽牛無乃種桃仙。余甞夢入靑鶴洞。逢牽牛一丈夫。問答未了。忽驚寤。故云塵夢罷。○右靑鶴尋仙						天王峯下發初源。奔放西南過石門。流入碧江成一帶。兩三茅店是漁村。右橫洞蟾江						甘辛世味飽曾諳。自放林泉分所甘。看盡頭流山盡處。橫分一水界湖南。右對岸湖南</text>
<title>觀物</title>,<text>竹色春秋堅節義。川流日夜洗塵婪。若能觀物知三反。俯仰乾坤豈有慚。</text>
<title>江湖晩興</title>,<text>萬事如今入掉頭。江湖身世伴沙鷗。桃花錦浪多肥鱖。須上漁舟泝碧流。</text>
<title>九月將盡</title>,<text>過盡江南九月天。滿山紅錦照晴川。江山不老詩人老。危鬢添霜又一年。</text>
<title>到靑谷。逢金察訪 永纘，李忠義 城，柳秀才 仁培 諸君。琴酒會話。</title>,<text>鞭驢來入水雲間。楓葉粧成錦繡山。又遇諸君琴酒會。浮生猶得蹔時閒。</text>
<title>夢與巴山李 明恕 兄弟話</title>,<text>夢與巴山李氏子。從容談笑吐深腔。覺來身卧靑氊上。夜未三更月半窓。</text>
<title>觀姜秀才讀中庸</title>,<text>人文宣朗出於天。大道昭然萬古傳。聖祖賢孫相授受。一篇看了歎高堅。</text>
<title>贈吳仲賢</title>,<text>暮年千里遠遊人。剪燭山堂夜話新。得失由來知有數。霜蹄蹔蹶莫嗟辛。</text>
<title>夢與朴子澄話 名漉。朴嘯皐之子。與余少時同榻之交。</title>,<text>夢見榮川朴子澄。儀容宛對舊情稱。山川千里音書斷。一榻論文又豈能。</text>
<title>人日未題詩 己巳</title>,<text>今年人日未題詩。只爲無人寄我詞。獨坐閉門風氣冷。惟將黃卷敎兒孫。</text>
<title>里仁爲美</title>,<text>犬吠雞鳴達四鄰。村南村北自相親。風淳俗朴斯爲美。莫使今人愧古人。</text>
<title>觀毛文龍檄書 毛文龍檄我國之書曰。一人之下萬人之上。皇上許其便宜。廣天之下。無足畏者。擁蔽奸臣。流毒四海。吾將牧馬義州。掃除奸兇。肅淸朝廷。王請勿疑云云。</title>,<text>毛公形迹夙余疑。常恨其中未測窺。今見檄辭兇狼極。不知時事竟何爲。</text>
<title>謝安君明仲折贈一枝梅 名彰漢。號暘谷。</title>,<text>謝君聊贈一枝春。香襲浮査處士巾。馨德由來吾所取。歲寒心事許相親。</text>
<title>東都遺跡 二十七首</title>,<text>百結先生太古心。隨身惟是一張琴。東鄰西舍舂舂響。傳上鯤鉉鐵撥音。右碓樂○百結先生。家貧而善琴。歲將暮。鄰里舂粟。其妻慍有語。先生乃鼓琴作杵聲以慰之。世傳碓樂。						唐羅天地入昬庸。黃葉靑松叫九重。色擧歸來雲壑裏。遺莊只見舊仙蹤。右上書莊○羅末。崔致遠知王氏受命。上書羅王。有雞林黃葉。鵠嶺靑松之語。王惡之。致遠卽挈家入伽倻。人以其所居。名上書莊。						尸諫曾爲聖所許。金公今又俾余欽。路傍斧屋聲毋去。終使君王激悔心。右墓諫○新羅眞平王好田獵。金后稷諫不悛。后稷將死。遺命其子。葬於王遊田路側。王後出獵。有聲若曰王毋去者。王聞而悲之。不復田獵。人謂之墓諫。						東海鯨波渺接天。良人一去幾時旋峯頭。悵望無窮淚。化血千秋石更堅。右鵄述嶺○訥祗王弟味斯欣。爲質于倭。久不還。朴堤上以王命入日本。竊遣欣還國。倭王怒而燒殺之。其妻上鵄述嶺望日本。日夜痛哭而死。佔畢齋有詩。						色畋人心國自傾。花王一語爲君評。羅代文風公始倡。至今文廟配羣英。右花王諷○薛聰諷神文王曰。臣聞花王之發艶也。有一佳人。名曰薔薇。請薦枕。又有一丈夫。名曰白頭翁。進曰。雖有絲麻。不棄管蒯。王亦有意乎。凡人君。親近老成而興。昵比夭艶而亡。花王謝之云云。王愀然曰。子之諷。切矣。請書以爲戒。						漢家忠烈紀將軍。爲主捐生樹大勳。千載貞心誰更繼。羅王船上有溫君。右溫君解○武烈王入唐還。至海上。遇高句麗邏兵。從者溫君解高冠大衣。坐於船上。邏兵以爲武烈。殺之。武烈得免。王贈君解大阿飡。						志士仁人不愛生。臨危肯變素心貞。孤城風雨聲援絶。叩首呼天灑血誠。右訥催○百濟攻三城。訥催殊死固守。及城陷。訥催死。王聞之。悲慟追贈之。						三代遺風及我東。淳厖民俗古人同。當時井晝宛然在。安得復行吾國中。右井田○新羅時用井田法。今遺基尙存。						聖德淵宏格彼蒼。垂頒玉帶作奇祥。可惜孱孫終未守。空將至寶獻他王。右玉帶○眞平王元年。神人降于庭曰。上帝命我。傳賜玉帶。王受之。及敬順王降高麗。獻于太祖。						誰琢藍田溫潤姿。裁成七孔笛形奇。羅家舊物今猶在。吹起千年故國悲。右玉笛○長尺有九寸。其聲淸亮。俗云東海龍所獻。歷代傳寶之。						小山浮海自何來。上有琅玕一笛材。吹了萬波皆自息。太平風氣此中胎。右萬波息笛○神文王時。東海中有小山浮來。隨波往來。上有一竿竹。王取以爲笛。吹之則兵退病愈。旱雨雨晴。風定波平。號萬波息笛。						奇形詭服處容翁。歌舞王前氣像䧺。市上婆娑凌亂影。至今如見月明中。右月明巷○憲康王遊鶴城開雲浦。忽有一人。奇形詭服。詣王前歌舞。自號處容。每月夜。歌舞於市。其歌舞處。後人亦云月明巷。李齋賢，李詹有詩。													羅王崇信沙門法。日引緇從八九重。若也池翁書不獻。當時難免剝牀凶。右書出池○新羅王十年正月十五日。有老翁自池中出。奉書於王。王開見。書中云。射琴匣。王入宮見琴匣射之。乃內殿焚修僧與宮主爲奸者也。遂殺之。因名其池曰書出池。						多婆那國幾千里。船櫝浮來泊浦邊。誰識異人終脫解。成家立國信多緣。右阿珍浦○多婆那國王含達婆娶女國王女。有娠七年。生大卵。王以爲不祥。棄之。其女以帛褁置櫝中。載船浮海。至辰韓阿珍。有老嫗開見之。小兒在焉。取養之。是爲昔脫解。儒理王遂傳位。						鍊石爲臺高幾尺。通中上下察天文。孱孫不守千年業。臺獨嵬然照夕曛。右瞻星臺○善德女王時。鍊石築臺。高十九尺。通其中。人由中而上下。以候天文故云。													三風從古禍之萌。未見荒亡國不傾。不知門外來擒虎。終見宮庭亂敵兵。右鮑石亭○鍊石作鮑魚形。故名焉。甄萱攻新羅。逼至郊畿。時景哀王與妃嬪宗戚遊鮑石亭。忽聞兵至。與夫人走入城南籬宮。萱大掠。入宮索王。逼令自盡。立金傅爲王。						金鰲山頂松亭在。聞音高仙抱瑟遊。彈盡新調玄鶴舞。如今往事水東流。右琴松亭○景德王時有王寶高者。入智異山學琴五十年。自製新調彈之。有玄鶴來舞。遂名玄鶴琴。又云玄琴。琴松亭。寶高遊樂之處。						天降仁賢必有緣。沒柯歌唱豈徒然。博學訓人經義解。至今東土盛名傳。右瑤石宮○太宗王時。有神師元曉者唱云。誰借沒柯斧。我斫支天柱。王聞之曰。此師欲得貴婦生賢子。時瑤石宮。有宗室寡婦。王勅宮吏。邀元曉入宮留宿。寡婦因有娠。生子卽薛聰。													望見楊峯日月形。往尋瓠宅卜王城。炭埋異術由神略。千歲羅基此日成。右月城○脫解登吐含山。望見楊山日月形。下尋之。乃瓠公宅也。潛埋礪炭于其側。謂瓠公曰。此本吾祖家屋。而曾業冶匠時。有礪炭之埋。因掘以示驗。瓠公乃與脫解居之。婆娑王時。築城如半月。故云月城。						金城西畔始林間。聞有雞聲盍往觀。金櫝開來誕聖主。雞林爲號是其端。右始林○脫解王夜聞金城西始林間有雞鳴聲。遣瓠公視之。有金櫝掛樹。白雞鳴於下。王開櫝視之。有小男兒在。乃收養之。名曰閼智。以其出於金櫝。故姓金氏。改始林爲雞林。						井現神龍誕女兒。老嫗收養作王妃。天生賢德成閨範。二聖同心致至治。右閼英井○新羅始祖五年。龍見是井。左脇生女兒。老媼異而收養之。以井名名之。及長有德容。始祖納以爲妃。 有賢行能內輔。時人謂之二聖。													新羅始祖赫居世。剖卵生成岐嶷姿。東國千年王業創。至今人道誕生奇。右蘿井○漢地節元年。高墟村長蘇代公。望見楊山蘿井傍林間。有白馬跪拜。因忽不見。而有大卵。剖之。嬰兒出焉。收養之。年及十三。岐嶷夙成。六部人立爲君。稱赫居世。時人謂大卵如瓠。以朴爲姓。						一髮孤城受敵兵。禦無良策勢將傾。忽有神人來助戰。始知陰騭自冥冥。右味鄒王陵○儒理王時。伊西國來攻金城。禦之不能抗。忽有異兵來助。皆珥竹葉。攻賊破之。軍退後不知所歸。但見竹葉積於味鄒陵前。乃知先王陰隲。因號竹現陵。一云竹長陵。						遺命難違葬海邊。波間時見露蜿蜒。故將追慕無窮意。爲築高臺出半天。右利見臺○倭國數侵新羅。文武王患之。誓死爲龍禦寇。遺命葬于東海水中。神文王從之。葬後王追慕。築臺望之。有六龍見于水中。因名利見臺。						舞劍年方十五六。爲王深八報王讐。忠雖有裕孝非足。令母喪明吾汝羞。右黃昌舞○有黃昌者。年十五六。善舞劍。謁於王曰。臣請爲王刺百濟王。以報王之仇。王許之。遂往舞於百濟通衢。觀者如堵。王召入宮中舞之。昌刺王於座。遂爲左右所害。其母聞之。號哭而喪明。						躬儉淳風古所難。宮廷分績夜將闌。名曰嘉俳爲節日。至今遺俗在民間。右嘉俳○儒理王。分六部爲二。使二女各率部內女子。自秋七月旣望。每日。早集大部之庭續麻。乙夜而罷。至八月望。考其績之多小。負者置酒食以謝。因歌舞百戲。謂之嘉俳。						君憐吾父代防秋。妾喜君行許好逑。破鏡分持堅示信。他年成約共衾稠。右分鏡○薛氏。良家女也。其父老當防秋。薛恨不得代爺。有嘉實者願代父曰。君欲代我之行。願以女妻之。實請期。薛曰。旣以心許。待歸未晩也。乃分鏡爲信。遂行。至六年未還。父欲强婚於他人。薛固拒不從。及實還。衣破形枯。不能識。乃合鏡號泣。約日成禮。</text>
<title>西都遺跡 十二首</title>,<text>鴻荒朴略無君長。天遣神人作我王。遙想唐堯戊辰歲。晩生衰季意茫茫。右檀君廟○擅君降于太伯山檀木下。立於唐堯戊辰歲。是爲前朝鮮。						微子去之比干死。佯狂雖異道同仁。千載猶知崇禮樂。八條遺敎被東人。右箕子祠○武王十三年。封箕子于東。是爲後朝鮮。祠在城內。						浮碧樓前江水流。澄澄鏡面白鷗浮。欲將竹葉爲舟楫。泛向名區任意遊。右大同江○一名浿江						千載箕都百尺樓。朱欄丹檻壓淸流。太平文物今何處。惟見波心點百鷗。右浮碧樓○在永明寺東						蕭灑琳宮隔世塵。觚稜高壓碧江濱。暮烟籠處鍾聲起。添助名樓一景新。右永明寺○在麒麟窟之上						東明王養麒麟馬。騎上朝天跡尙存。異說荒唐誰復辨。至今人道是天孫。右麒麟窟○在浮碧樓下。東明王養麒麟馬。乘之朝天云。						窟南奇石號朝天。麟馬騎來謝玉鞭。仙跡依然石不轉。江山無語鎖雲烟。右朝天石○在麒麟窟南。升天馬跡。至今在石上。						唐宗親率六師來。一髮孤城閉不開。終使玄花落白羽。堂堂萬乘亦云哀。右安市城○在烏石山下。險固無比。						殷周遺法尙依然。區畫分明古堞邊。終使東人蒙至澤。太師恩德迄千年。右井田○在外城內。箕子區畫。遺跡宛然。						天孫逃難到江頭。欲濟無梁孰艤舟。魚鼈成橋終利涉。始知神聖異凡流。右淹淲水○扶餘王金蛙子朱蒙。有勇力善射。諸王子欲殺之。朱蒙逃至淹淲水。欲渡無梁。追者將至。蒙祝曰。我是天帝子。河伯外甥。於是。魚鼈成橋。渡至卒本川。立國而號高句麗。亦號卒本扶餘。						太伯山熊化女兒。天神仍嫁誕神姿。國人推戴爲君長。東土爲邦始此時。右太伯山○一名妙香山。有一熊常祝于神。願作人身。神遺靈藥。使食之。熊遂化爲女。生子。是爲檀君。						水邊兒女柳花名。慕漱相逢卻有情。日照有娠生大卵。卵中誰識誕奇英。右瀀渤水○金蛙得女子於瀀渤水。問之。女子曰。我是河伯之女。名柳花。有一男子自稱解慕漱者。誘我於鴨綠邊室中。私之不返。父母責我無媒從人。遂謫於此。金蛙異之。幽閉室中。爲日所照。有娠生一大卵。置之暖處。有男子破殼而出。是爲朱蒙。</text>
<title>過石灘有感 恭愍時。李正言存吾上䟽。極言辛旽誤國之罪。王怒。貶長沙監務。後居公州之石灘。憂憤成疾而歿。歿三月。旽誅。</title>,<text>爲臣何計禍相仍。面叱君邊誤國僧。一斥長沙天日隔。石灘嗚咽怒濤增。</text>
<title>威化島 高麗辛禑。謀攻遼陽。使我太祖。將兵屯威化島。亡卒相繼。禑督令進兵。太祖乃喩諸將。欲除君側之惡。諸將皆喜而從命。於是。回軍渡鴨綠江。時久雨水不漲。及旋師渡岸。大水驟至。全島墊沒。人皆神之。○島。在鴨江西二十五里。</title>,<text>天生神聖豈無因。億萬人心共戴仁。决義旋師寧社稷。根盤仙李幾千春。</text>
<title>茸長寺 僧雪岑。俗名金時習。五歲能屬文。魯陵後。佯狂爲僧。入金鰲山中。構此寺居之。</title>,<text>年才五歲擅文章。晩節佯狂豈是狂。逃禪誰識逃禪意。只爲舊君終不忘。</text>
<title>到黌堂吟</title>,<text>聯鏖來八孔氏庭。殿宇巍然彩艧明。千載斯文猶未喪。吾儕盍亦勉而行。</text>
<title>騎牛渡水 自朴凌虛書樓還山。到伊川。水漲不能渡。得野牛。相替而渡。</title>,<text>黃柳扁舟旣同渡。枕流漁艇又同乘。歸來更騎伊川犢。三老宜稱物外朋。</text>
<title>次權冲齋 撥 韻 有序見上。次孫七休韻。</title>,<text>天降文忠道已東。扶綱植節在吾公。兩賢褒慕今如許。一紙淸風萬葉中。						附原韻 冲齋						淸風峻節冠吾東。扶植綱常賴此公。歎賞慇懃孫按察。精誠相照一紙中。</text>
<title>赴遊山約 二首</title>,<text>莫學中途求也畫。須從絶頂退之升。飄然共駕王喬鶴。飛上頭流上上層。						今朝已辨雙芒鞋。作意登山殊未已。獨立峯頭下見之。萬里滄溟可杯視。</text>
<title>上山</title>,<text>自下登高有妙理。心忙行速上之難。從容勉强行無已。然後方知世界寬。</text>
<title>頭流歸路。遇鄭察訪 允穆。吟贈一絶。</title>,<text>出山人遇入山人。疑是飛吟昌洞賓。萬壑雲烟吾已拾。頭流風景想應貧。						附次韻 鄭察訪						來傳佳句忽驚人。君主騷壇我作賓。物色分留知已小。頭流歸去錦囊貧。</text>
