<title>次陶靖節四時吟</title>,<text>春花堆萬壑。夏樹蔭千峯。秋光黃入菊。冬色翠留松。</text>
<title>過杆城。到花田浦。</title>,<text>鑑湖十里是杭眉。中入君山別一奇。濶海晴沙皆眼界。游魚浴鷺好心期。無名還幸車塵遠。眞賞惟應羽袂知。天際輕陰非日暮。倚筇流眺獨遲遲。</text>
<title>渡南江抵烽峴津。騎漁船周覽海金剛。</title>,<text>山靈向若落殘枰。萬二千峯割一莖。出沒孤舟驚浪拍。崚嶒危石共天崢。錯傳羅漢曾留相。多事時宰揔刻名。鰲背三山躬踏遍。韓公寧獨詫窺衡。</text>
<title>過高城抵三日浦。艤小舠登四仙亭。</title>,<text>三日仙舟逈。千年客袂登。松踈歸老鶴。寺古有殘僧。楓嶽尖微見。獅巖怒欲騰。眞源行未遍。匹馬又西陵。</text>
<title>登雙印巖。碧海淸澈。游魚可數。誦崔德符觀魚詩。仍步其韻。</title>,<text>游鯈知爾樂。津人謾相杠。所以九淵鱗。潛躍窅莫量。伯玉知非歲。胡不卷而藏。</text>
<title>府隷遍踏津村。以是歷路勝景頗周覽。但金剛眞面不得見。可歎。</title>,<text>路自金剛山下歸。金剛風景說依俙。顧無分寸躋攀力。那免尋常耳剽譏。本體由來居切近。麤心看過失精微。何時步步尋行遍。千仞岡頭一振衣。</text>
<title>宿沙津。曉登前峯看日出。</title>,<text>海門驚沸彩霞濃。擎上扶桑一抹紅。始出猶疑明未畏。巍臨方覺照無窮。陰崖底事貽伊阻。陽德元來自至公。迷道孤臣欣起拜。怳如身近五雲東。</text>
<title>過通川郡。登叢石亭。</title>,<text>誰斲亭亭玉筍叢。觚稜一一巧磨礲。銅門萬里空成屹。砥柱千年却失工。會閱幾番桑海劫。待他重構水晶宮。何由笑拍洪厓袂。細叩太初融結功。</text>
<title>關東八景。惟望洋，月松未見。聊成拙句塡闕窠。</title>,<text>九邑名區號八仙。玆行遊歷亦淸緣。雲開衡岳看猶富。路隔天台恨豈纏。棠岸一旬洋幾望。松田十里月堪憐。更將拙句留眞約。謝屐王驢有後年。</text>
<title>過德源。金吾吏押付蔡邇叔 弘遠 穩城而回。吾輩被先朝特恩。秋毫無所報。北投西流。固其宜也。</title>,<text>東溟無際北關巍。押謫王人去復回。世烈君應恬鼎鑊。舊恩吾蔑報涓埃。都歸造化生成內。須向風霜閱歷來。道義貫心傳古帖。若爲寄與嶺頭梅。</text>
<title>入文川界。今行。遵海濱旬有五日。更向窮峽疊谷中作路。信乎世上元無平路歧也。</title>,<text>早年勳業鏡頻看。不信人間有路難。苦海霾風將半月。窮巖蜒霧又千山。一心安處身應健。萬境緣來理自寬。先聖丁寧遺旨訣。言忠行敬可居蠻。</text>
<title>越直踰嶺入陽德</title>,<text>直踰高嶺與天參。鳥道羊膓入笑談。上雪下冰蹄謾滑。前牛後馬尾相含。疆分百里關西北。路隔三千地朔南。自愧行迷都付命。半生虗負魯邦男。</text>
<title>過看星洞。有石山偃蹇如高人。</title>,<text>節彼無名江上峯。千年孤立道人容。淸宵伴月惟華鶴。浮世尋山揔葉龍。境奧豈無薖軸舊。臺空還愜送迎慵。閒情每切揚幽意。隔岸低回倚碧筇。</text>
<title>江東。敬翫溪東先祖遺愛碑。</title>,<text>寒山開棘路。遲日屆桐鄕。一片遺鐫在。百年去思長。孱孫憐碌碌。緖烈墜茫茫。此地空徽躅。摩挲涕自滂。</text>
<title>入平壤登練光亭。次鄭知常板上韵。</title>,<text>千古名亭送客多。斜陽何處唱漁歌。聖朝方撫河淸運。風伯西江且莫波。是日適風濤。不得行舟。</text>
<title>雨中愁寂。敬次晦庵夫子遠遊韻。</title>,<text>拙性素寡合。端居謝交遊。云胡觸世網。逖矣向西州。親朋爲聚糧。東出碧海畺。巖危探鶻棲。淵幽瞰龍驤。向若歎望洋。乃今見大方。末路故多險。臨歧寧慨慷。紅日上扶桑。爛然四表光。奈彼冥行子。倀倀顝彷徨。欲乘尼父桴。大海無津梁。聊恣八景賞。嚴程慰永傷。迤邐關北嶺。登登九回膓。停輈父師國。陳辭斂冠裳。不材傳櫟壽。易折戒齒剛。虗名賈奇禍。玉巵寶何當。再拜謝靈訓。感涕欲成行。喚起惺惺主。整頓一屋荒。存存且無懈。竚升君子堂。</text>
<title>連日關兩。略記箕都舊蹟。成二十韻排律。</title>,<text>白馬東來浿水干。千年文物煥三韓。惟皇建極龜疇演。罔僕初心鰈域安。區井猶存三代舊。仁風今說八條歡。設都正得山河美。歷世遙過漢宋殘。搏鴨操雞棊屢換。宅豐遷鎬運重環。遂將冔黼君臨地。留作藩屛使節蟠。衛甸人烟元富庶。齊郊禮俗自衣冠。淸流壁立金湯固。浮碧樓開襟帶寬。松柏仙陵人勿伐。本支遺殿世仍官。哀絲暮起嬋娟洞。潔俎春登武烈壇。島號綾羅橫似練。橋成虹月屹如盤。永明寺古僧閒汲。乙密臺高鳥自還。瀅淨練光亭上月。紺寒靜海館前灘。雙雙危堞粧糕白。六六奇峯擢牧丹。庶尹早衙交亂牒。亞營長閉掩重關。列廛居貨多燕物。壓座賖醪盡蠆鬟。晝靜壘和聯射隊。春闌浦澨弄漁竿。堯天耕鑿生民樂。遼路金繒志士嘆。安得鎭西文武彦。長敎辰北岱盤完。邃初降聖傳奇蹟。且陟香山訪古檀。</text>
<title>憇安州南門外。渡晴川江。</title>,<text>曾知觀海萬流輕。無數西來大渡橫。浿岸㥘風留兩日。晴江爭舶殿羣甿。使渠步步持斯戒。寧復迢迢作遠行。薄暮又登楓浦舤。只將忠信任平生。</text>
<title>過龜城。渡兄弟川。</title>,<text>新川橋過路龜城。更喜雙流喚弟兄。性得一源俱就下。形分二氣各含淸。東西孔邇成湛洽。日夜無停學邁征。雲海茫茫歸隻鴈。波神應識去留情。</text>
<title>宿稷里民家</title>,<text>窮峽稀烟戶。隔岡喚比隣。墻頭鋤紫蕨。屋角採靑薪。海遠魚何羡。山畬粟未貧。爭如迷道客。乾沒百年身。</text>
<title>午入楚山府</title>,<text>楚州海一隩。覊抱暫能開。繞郭奇峯出。迎春好鳥來。深林無俗駕。流水有高臺。物我元同得。何妨倒數杯。</text>
<title>暮泊渭原郡</title>,<text>行行月六日。始到歸泊地。偏慳借半晷。雨師何太戲。窈窕雌伏洞。幽賞嗟未恣。撲面千里塵。黧黑仍受漬。縐絺濕不收。風巾墊欲墜。邑犬爭驚吠。恠狀眞禦魅。</text>
<title>主倅李宗赫枉顧館舍。自言三年居謫。備諳客苦。仍言近來儒學多無實。湖中亦有山林。而未覺可畏。盖見我讀書。以是相嘲。而末學盜名之譏。切中時病。殊可警惕。</title>,<text>楊方猶絶季通書。鵩舍何煩運使車。傷虎餘情君有以。詠烏幽恨客曾紓。時賢會見休輕世。晩學難成只愧余。遣日殊邦聊對卷。此心端不釣虛譽。</text>
<title>近北地寒。春花晩開。</title>,<text>渭北春將盡。城南錦始堆。谷寒稀蝶度。境僻待人開。不恨孤芳晩。還應嫰綠催。靜看生物妙。隨遇可啣杯。</text>
<title>朔望哭班。罪跡不敢自同班行。感事書懷。</title>,<text>先朝洪渥軼蒼穹。跛躄曾歸造化中。十載身羇泮水東。三時夢繞上林楓。元春陪輦向新豊。吉月鳴鏘拜閟宮。半夜筵登激寸衷。重星歌和忭羣工。駑資猶喜際雲風。鳳曆長期慶岱嵩。萬事喬山泣劒弓。孤臣此日任萍蓬。南冠寧恨楚囚窮。北海偏深茂苑恫。象設邊城殿陛通。衰麻月朔哭臨同。自憐危喘等昆蟲。莫效哀號展赤忠。權免旬呈賴主公。久沾朝籍混邊戎。何時快覩豁雲空。每曉欣瞻瑞旭紅。但願諸賢善迪冲。共追殊遇鞠微躬。</text>
<title>四月二日祖妣忌辰。倍切感愴。</title>,<text>髫齡繞膝記儀容。婦德咸稱範衆宗。捐世如今逾一紀。悶余無祿渺孤蒙。喪餘每向他邦度。謫裏那堪此日逢。昔夢丁寧陪鯉對。莪詩三復涕橫縱。</text>
<title>有來市江魚者。巨口長身。狀如南方之鱸。</title>,<text>渭川多釣叟。春日得銀口。館夫買之歸。憐我爲客久。朝饔進烹鮮。何嫌違切縷。聞說江流大。鱍鱍游無數。中有赬腮鯉。神書藏腹肚。我欲垂直針。潛鱗肯來受。</text>
<title>邑中散糶。聞老農言。爲之惻然。</title>,<text>夜坐成幽獨。村翁來剪燭。舊是此土著。頗能談往躅。伊昔邑居庶。戢戢多富屋。過半適樂郊。近緣四郡復。戶縮糴愈滋。厲民是倉糓。曾以六千食。今於二千督。一夫之所受。多或三十斛。峽居無水田。山耕惟菽粟。盻盻終歲勤。箕斂半不足。公門恣鞭扑。侵徵及鄰族。常平本無多。營耗日如錄。守邊盡武倅。轅駒謾局促。匪無更張意。上司怒恐觸。如何民不窮。言罷淚盈矚。一命猶濟物。愧我空碌碌。誰將鄭俠圖。細陳宣公牘。天門遠千里。汪澤常滲漉。八域頻蠲賦。新化且拭目。</text>
<title>邑俗以浴佛日設文會</title>,<text>佛日張燈舊俗因。不妨移作試儒辰。旣來花煦題詩客。亦有槐秋占解人。地氣重開才豈借。天荒一破俗應彬。千年尙說文翁化。司馬三蘇盡蜀賓。</text>
<title>騣帽弊甚。召匠補綴。戯成俳體。</title>,<text>世人皆願騣帽冒。不知騣帽招嫉媢。使我不著頂邊帽。伉拙緣何坑穽蹈。葛巾便好南窓傲。接罹無憂花下倒。岸來閒受朝陽曝。脫去上有靑天燾。深深澗薖送寒燠。不必媚奧况媚竈。一自軒冕分外到。埋頭丈塵空倒潦。羈鳥籠中心自悼。鮎魚竿上事多懊。塊守旅館跡如掃。未學時賢前進躁。十載寧有及民膏。秋毫又蔑君恩報。哭歸梧雲巾自縞。秪愧半世虛名盜。空林忽驚暮鴉喿。市虎喧然成衆譟。踈蹤無路九門造。泯默遠適幽都隩。細思禍階一帽靠。只合裂去焚柴燥。生平謾誦古典誥。坦履分明昔所道。中孚起信人休禱。无妄生災天豈告。尙嫌久著騣盡耗。更要重緝頭無瘙。帽乎帽乎自視眊。笑爾不免塵世套。峨峨長戴樂鴻號。任他打頭風怒呺。</text>
<title>土人安蜂</title>,<text>峽土宜蜂起趁春。民家桶上好安身。蟻微素講君臣義。螟負重成父子仁。北地無花團蜜苦。南山當戶放衙新。鎭日服勤仍捍禦。堪愧塵寰素食人。</text>
<title>李生宗廷。以心志不專。乞言寫贈求放心齋銘。</title>,<text>舍失操存只此心。牛山樵牧怕相尋。須知提掇無他法。珍重先師惠一箴。</text>
<title>汗甑</title>,<text>大地成紅爐。毒熱人皆苦。行路汗成漿。鋤田汗滴土。靜坐淸風窓。亦復㥘當午。如何陶竈裏。芸芸日樂赴。熱氣浮如蒸。名甑義盖取。只費一文直。能使百病愈。土俗視單方。不事鍼與炷。四時渙其汗。風氣誠異賦。邊城係緩急。蹈火倘不懼。聞說江州民。業是成富戶。</text>
<title>自官率吏校數百獵鹿</title>,<text>渭城西北有高峯。草樹蒙密迷行蹤。虞人走報鹿甡甡。夏至角解挺新茸。縣官聞之投袂起。簡徒數百爲前鋒。列校桓桓爭賈勇。掎之角之山下隴。鋌而走險豈擇音。一發連殪雙麋踴。將軍仰笑按虎節。拔劒斫飮頂中血。區區得鹿何足道。可喜吏士如電掣。此曹俱是不隷兵。能砲能射又使槍。收得城中可半千。摧勍陷銳誰敢京。蒐獮元知爲講武。此地况復隣北虜。隔江榛莽漭百里。獵火三時腰鋩怒。昇平敢忘詰戎義。越國蕞爾猶生聚。</text>
<title>嘗新瓜</title>,<text>朝饔薦新瓜。野色盈盤載。疐之當肥俎。菹之代醓醢。調塩好烹羹。襍葱細生菜。或炮又或炙。一一堪潤肺。從知雨露滋。賸喜風味在。囓肥愧無分。茹蔬性所愛。豈必做百事。庶免譏肉袋。綿瓞詩叙烈。隕杞易垂誨。聖朝昔勤菑。何人今調鼐。任分憶邵種。銷嫌嘉楚漑。學圃信可樂。繫匏寧有悔。故園春已晏。蕙畮誰理穢。</text>
<title>宋生益隆示所次七一齋七詠。步成仍添一絶。以興學校爲邑宰七事之一。故名。</title>,<text>山深澤氣通。觱沸生瓊液。比德有佳巖。中應藏璞玉。德巖靈泉嚮晦心神靜。書樓坐整襟。東峯來皓月。淸影散平林。書樓明月夜雨江流漲。前山定出雲。非魚猶識樂。莊惠浪相云。新江觀魚長空霏玉雪。戶外失靑峯。深塾斷迎送。眞工看木鐘。牛峯賞雪參差城上石。無數玉崢嶸。欲雨興雲氣。不風聞籟聲。城頭石角欝欝歲寒松。俱宜樑棟作。不愁匠石遠。伴月來笙鶴。作嶺靑松落暉須可惜。此地是磻溪。伊昔釣璜老。八旬到鎬西。嚴山落照聖代廣文敎。邊城髦士多。何曾誣十室。夜夜起絃歌。渭城絃誦</text>
<title>閒中卽事。謹次晦菴詩鉛山六言兩絶</title>,<text>閒汲淸泉漱口。曉開竹牖梳頭。不聞人間非是。坐看雲去水流。捲釣客歸何處。荷鋤人出前村。初罷北窓羲夢。南山有意對門。</text>
<title>夜坐見月</title>,<text>嚮晦江城暑氣輕。中天來照故鄕明。輪孤却向邊山輾。雲掩猶看永夜淸。解使幽人醒宿暍。幾回塵世閱虧盈。從知泂泂心期在。千里相尋獨舊情。</text>
<title>伏次晦庵夏日齋居韵</title>,<text>朱光烘海宇。白雲鎖山門。轉覺敲赩倦。何處樹陰繁。天長孤鶴去。沙暖衆鳥喧。濯熱惟書卷。此意共誰論。山下有喬松。上竦不成陰。縱愛根孤直。實少葉蕭槮。道暍不得休。若爲滌煩襟。炎蒸亦無幾。看取歲寒心。遙思溪上塾。樹木翳中庭。濯足檻外水。隨意坐復行。開逕看菊茁。拓牎聽蟬鳴。親朋團一坐。圖史有餘情。</text>
<title>前江水漲舟不通</title>,<text>峽流容易走驚濤。半夜滋成數尺高。黃雀長風纔拖雨。山樊新水忽沈臯。行人隔岸身難羽。游鯉跳波氣欲豪。梢手不妨閒一醉。渡頭終日繫輕舠。</text>
<title>館舍多蝎。有歎。</title>,<text>昔人喜見蝎。所惡應有甚。此物峽裏多。無由安客寢。螫膚災旣切。播臭穢難禁。鷄鳴忽走匿。燈殘已來闖。抵𡾟一何巧。相時如有審。久視又安用。石穴能十稔。不齊是大化。參差生萬品。鱗蟲或虺蛇。羽族猶毒鴆。曷不盡麟鳳。沴氣殊所禀。沙蜮及樊蠅。在人爲諂譖。况彼當道豺。磨牙惟血飮。細思物理紛。秪自增慓懔。區區蟣蝨微。遇毒宜自任。呼僮一汛掃。頹思復就枕。朱子書。有鴟梟蝮蝎惡草毒藥不可道。不是天地陰陽之氣所生之語。</text>
<title>官厨送食物中有覆盆子。南中時物刱見。</title>,<text>覆盆是何名。登盤尙舊情。甛豈草蜜比。瀅若瑛珠晶。可排煩燠苦。不羡冷菰淸。故園饒菓顆。時夏正芳馨。黃梅與綠李。丹杏又朱櫻。瑣細團曉露。此物曩謾輕。</text>
<title>流頭日。謹次朱詩六月望詣水庵韻。</title>,<text>哭弓悲莫逮。悄坐到天明。宿雲簷端起。淸溪枕下鳴。流光遽如許。端居百感生。蘭浴傳遺稧。槐淘憶舊傾。雨過山容洗。天陰簟席淸。禽噪有底樂。樹密競敷榮。客心聊自適。泊然更何營。四鄰來野襫。時復話農耕。</text>
<title>庭前列植枯榦。匏葉縈蔓交翠。</title>,<text>種匏塲邊圃。緣木作翠屛。豈惟秋得實。淸陰可一庭。</text>
<title>此土有唐瓜。長似東瓜。堅硬如竹筒。</title>,<text>唐瓜不與野匏同。結實離離晩圃中。翠葉疊錢承曉露。白華如雪傲炎風。長腰可愛虗能受。無口誰知用自通。近有拙吟全大朴。不妨裁此作詩筒。</text>
