<title>興庵卽事 庚申</title>,<text>頑雲收遠嶂。紅日度前川。寒山鳴夕磬。餘韻上靑天。</text>
<title>挽都事李公 觀煕</title>,<text>喬木蒼蒼浦上邨。靈光古閣典型存。名家有祖傳淸德。大耋居鄕儼達尊。遲遲一命陰鳴鶴。藹藹良心信及豚。風樹餘生無所仰。先人舊契又荒原。</text>
<title>挽金達叟 逵</title>,<text>歎息人文百六窮。君才堪仗輩流中。芳年翰墨曾馳譽。實地根基更着工。數幅蕘詢求道切。半生蘭臭許心同。猿山一別今千古。梁月凄凄淚滿瞳。</text>
<title>和呂致岳 泰會 三首</title>,<text>十年蹤跡住靑山。萬事乘除付轉環。釜塵可苦身無累。肉食雖佳志未閒。世事漸非誰着手。童年如昨已衰顔。宇內虛生堪可恨。願言努力透重關。終宵無寐逈離羣。更把牀書至理聞。春於萬物非雕刻。水是千流有合分。神龍歲暮深藏壑。斥鷃天晴杳入雲。南鄰幸有知音友。此意傾囷說與君。塵間贏得歲華流。底事吾儕鬢欲秋。無復昏衢經濟策。嗟今陋巷屢空憂。鷰知寒盡春同返。天爲花開雨不休。幸將炳燭交相勖。及此桑楡晩景收。</text>
<title>先妣貞夫人墓。奠石時感懷。</title>,<text>空山日落草離離。風樹餘哀泣涕洟。人世無期烏哺返。童年最恨鼈歌悲。冶隱幼時失母。遊南溪得石鼈歌之曰。鼈乎鼈乎。爾亦失母。吾亦失母。吾知烹汝食之。汝之失母猶我也。是以放汝。因投于水。號泣甚哀。 孟家敢忘三遷敎。朱母誰題四尺碑。端莊壼德終難闡。片石只令後裔知。</text>
<title>放鼈歌 幷引</title>,<text>余旣伐石親墓。感懷而作詩。其頷聯用冶隱放鼈故事。是夜夢有故人遺余以鼈曰奉親。余始甚懽喜。而旋又思之。親不在矣。將焉用彼鼈。遂臨溪而放之。不覺失聲大哭。被傍人所攪。乃作放鼈之歌以自悲。南澗有鼈離母。西溪有魚含索。父兮母兮不我待。哀哀此身靡所托。雖有三牲養無地。列鼎重茵誰與樂。寄語世間養親者。孝養須盡親在時。鼈乎鼈乎放爾去。浩浩蒼波同母兒。</text>
<title>洗孫兒</title>,<text>四十年前我亦童。白頭今作乃家翁。千駟爾應門戶大。一驢吾且海山窮。希聖希天方盡職。無灾無害又兼聰。此生未試經綸策。收拾靑氈付汝躬。</text>
<title>玄都觀。觀白塲會。</title>,<text>玄都門外水東流。人事居然四十秋。老吏無徵如隔世。佳人不返有高樓。萬蟻戰時風雨暗。一蟬啼處洞天幽。桐梓物色渾如昨。風樹餘生感舊遊。</text>
<title>瑜珈寺</title>,<text>梵宮如海晝沉沉。萬壑淸秋一杖尋。憂道吾非忘世客。入山閒動學仙心。塵寰杳杳鍾鳴曉。僧唄幽幽月在林。歎息先君莅郡日。旬休華蓋此登臨。</text>
<title>次安吉叟 禧遠 櫂淵亭韻</title>,<text>櫂淵山色翠亭亭。物外高人寓性靈。鳥啼魚躍天機活。水碧沙明道氣醒。北闕風雲曾謝紱。南州泉石晩劬經。九曲堂成能繼述。先公遺業一氈靑。</text>
<title>挽居觀金公 台應 二絶</title>,<text>韓窮鬼不去。董餒釜生塵。淸灞流無盡。歸來獨閉門。我懷風樹哀。瞻仰先人契。先契又荒原。餘生靡所逮。</text>
<title>和贈李公允 鉐均</title>,<text>良宵相對若爲情。籍籍堪聽說理明。萬壑秋窮龍蟄伏。十年世亂虎縱橫。江湖有約閒敎放。歲月爭誰不駐行。願言收拾桑楡界。更與諸君勖此生。</text>
<title>海印寺守歲 二首</title>,<text>大陸蒼茫走壑蛇。悠悠懷緖苦無佳。嗟我𦤎魚無地養。爲誰旅鴈在天涯。時余新經草土。伯兄又遠遊故及之。 世事擾擾棲不定。童年忽忽鬢生華。俯仰良辰何所往。名山深處訪藍迦。水陸沙門大醮筵。百羣梵唄迓新年。冥王肅肅千魔伏。老佛重重萬燭懸。下界煙塵如夢國。上房鍾磬在雲天。此行不是參禪客。獨向須彌度惡緣。</text>
<title>桃枕二絶 幷小序○戊戌</title>,<text>謹按西厓集。引醫書云戊子日作桃枕。使人聰明。先生嘗作桃枕。有絶句一詩。蓋先生事業。皆從聰明中出來。而其聰明才德。天賦然也。豈有賴於桃枕哉。如我之愚無用者。苟假聰明則自有許大合做底事。造二枕。自枕其一。一遺兒是遠。遂次先生皇字韻二絶以志之。歲戊戌三月戊子日也。平生愚魯苦無長。歎息如今馘已黃。老去更無聰慧望。閒來只自夢羲皇。我有靑氈世業長。勝佗貽汝滿籯黃。願言努力聰明進。無負恒衷上帝皇。</text>
<title>送黃正宥 炳中 金剛行</title>,<text>湖上有高士。聰明定不貧。遊觀皆實地。莫敎名爲賓。</text>
<title>挽李季灝 相淳 二絶</title>,<text>濯濯其英燁燁光。古家風采動南鄕。枉敎生得奇男子。潦倒江湖六十霜。林廬臥病且加餐。落落相期此歲寒。人物渺然公又去。餘生無賴泣汍瀾。</text>
<title>登美崇絶頂</title>,<text>崇嶽崔嵬鎭二州。天長地遠豁開眸。丞相門前山亦幻。將軍臺下石空留。渺渺浮生殘日照。寥寥千古白雲流。艱危歷盡終夷坦。道體須從極處求。</text>
<title>和呂致岳 回文體</title>,<text>城西過雨晩風凉。夢覺閒唫苦夜長。螢流冷屋深橫月。鴈度孤邨曉墜霜。耕釣樂時名姓晦。史經咀處頰牙香。氓俗渾居同石木。腥塵遠隔窈山鄕。</text>
<title>中秋月夜。憶伯兄。</title>,<text>風樹餘生更憶兄。九秋鴻鴈不堪鳴。終南宦逕誰云樂。直北兵塵苦未晴。君臣義重身難退。家國憂深夢不成。最是雲亭山水裏。猿唫鶴嘯喚人情。</text>
<title>挽護軍安公 欽 三絶 己亥</title>,<text>雪嶽何崔崔。雲川碧練帶。無限鶯花裏。日高眠不害。有兒蹈鰐海。有兒幽狴獄。大耋不嗟嗟。方知義訓足。大陸獸蹄遍。令公遽促歸。先契零落盡。餘生復誰依。</text>
<title>挽申外兄仲雍 相穆</title>,<text>黃鵠一徘徊。扶搖摶天路。良騏初發軔。歷落長楸步。弓冶是本業。絳灌亦有文。淸官隕自天。有祖垂來雲。寧自沈郞署。不欲病夏畦。悠悠歲將暮。遊子思凄凄。回看碧山裏。依舊巖間屋。亂代復焉求。高棲將不告。先人遺薄田。絲穀足餘生。有兒能幹蠱。不墜古家型。四郊桑麻熟。一室圖書閒。何似風埃中。白首拜達官。野性無羈紲。游哉以歲卒。誰知金石堅。及此遽摧折。秀質化爲土。壯志消如煙。精靈應不散。笙鶴向雲天。公歸亦何悲。此世渾人獸。獨有天寧弟。瞻望淚沾袖。萬事成陳迹。歎息復何爲。病中違紼斥。慚負此來遲。</text>
<title>冬至日。韓通政舜若 善敎 用杜甫韻寄示。和呈。</title>,<text>靜裏渾忘歲月催。晨雷忽報一陽來。萬國昭回天上線。千門吹動地中灰。品物將萌終碩果。大羹方淡不鹽梅。進退消長誰燮理。吾儕且醉大酋杯。</text>
<title>次默軒集人道心唫</title>,<text>千秋心學肇虞經。一理還殊發後名。私正元非論體用。分開始可曰端情。船因棙柁方能運。珠沒泥沙自在明。歎息氣機侵大本。幾人到此會硏精。</text>
<title>挽再從叔四未軒先生九絶 庚子</title>,<text>大嶺元氣積。先生適來時。先生好古道。倡學東南陲。衎衎冲和氣。休休古朴儀。因心孝且友。應有天翁知。今人但謄口。言行或不逮。魚目本非珠。反躬只自勵。大道承家學。眞工在夜箴。龍門琴韻絶。千載想遺音。一遊天曰明。萬實人皆信。星斗仰嶙峋。帲幪儼作鎭。巖廊道方隆。草莽招隱士。臺官衆所榮。外物浮雲視。國有蓍龜尊。世推金石筆。謙謙不自居。四未名吾室。痛哭山梁摧。皓天將不返。乾坤回首望。人去斜陽遠。小子何夢夢。故山歸未得。餘生更賴誰。歎息冥行埴。</text>
<title>挽再從叔磊蒼公六絶</title>,<text>四未先生家。金晜有玉季。今人薄弟兄。覿德寧無愧。冷櫪殘騏病。寒天老鶴飢。平生拙自守。淸白是家規。竈陘九不煬。隣里未嘗知。我且窺其室。妻孥無怨咨。詩朋推主盟。往往執牛耳。無限牢騷思。消殘寂寞裏。小子昔髧髧。趨隅受古史。深慚不自效。匏落今如此。天欲喪斯文。未翁遽易簀。公胡不少延。門祚日蕭索。</text>
<title>挽金極中 建五 三絶</title>,<text>昔聞詩中聖。今人不借才。黎山鬼不去。淸灞幾歸來。昔我先大夫。愛君如圭璧。緣君命數奇。枉費吹噓力。寂寞靑山路。埋藏一布衣。平生無限恨。誰復慰雄飛。</text>
<title>用先祖文康公畫屛命題。題家藏八帖屛八絶。</title>,<text>三等堦前萬國平。後王何事費瑤瓊。人生最恨生衰世。不與夔龍立此庭。右帝堯茅茨土堦。人彝天理賴誰存。精一心傳萬世源。蒲坂山河琴韻絶。至今胡篴滿中原。右帝舜南薰殿彈琴。雞人籌唱報朝曦。元聖胡爲獨苦思。噫彼跖徒甘自棄。一心尙向利孶孶。右周公坐而待旦。莊壇高處振洪鍾。列侍誾誾睿化中。千載遐荒生我祖。魯邦迢遞恨無窮。右孔子杏壇授受。茅廬終日淨無塵。滿地葳蕤獨掩門。何處何人無此草。胷中只乏一般春。右周濂溪庭草交翠。和風麗日弄韶光。物物天機此樂長。多少名園車馬客。楊花鷰子各紛忙。右程明道訪花隨柳。洛陽兒戲閃相逃。安樂窩中一枕高。覺得世間無着手。恁麽只是死賢豪。右邵康節安樂窩。武夷山色碧亭亭。日月中天萬象明。小子無知猶自勉。先生謨訓足平生。右朱晦庵武夷精舍。</text>
<title>上元夜。李直汝 是榮 庄上。逢李景輝 以鍵 共賦。辛丑。</title>,<text>盤菜油珠送馬頭。逢君忘却日西流。宇宙無人支大廈。江湖何處繫孤舟。平生未試三墳策。老去空懷萬古愁。劒吷無端爭寶瑟。且將心說更歸求。</text>
<title>與李啓道 承煕 往甑峽道中口號</title>,<text>閒中消却一年春。馬上看花歲月新。節物驚心雙鬢白。如何常作恁麽人。</text>
<title>商山道中</title>,<text>商山舘外草連天。回憶前遊二十年。最是當時回馬首。已知今日老林泉。余於癸未年間。以親命赴尙州抄擇。見場屋之間。紛競太甚。恥與從事。因不納券而還。自是廢擧。今老白首無成矣。偶記此事而及之。</text>
<title>登終南山</title>,<text>南來布褐強登山。歎息皓天久不還。萬生皆夢迷茫裏。百恠交馳覆載間。鍾鼎誰知危虎尾。草茅無路拜龍顔。空懷壯志身先老。歸去巖阿任自閒。</text>
<title>挽安華益 英濟</title>,<text>燁燁癡史翁。有德不食報。翁家有肖子。珍重早聞道。行己守三事。承家緬七孝。翩翩遠游志。摧剛極處到。江干踵先築。讀書矢不告。宗族待而食。臧獲忠皆效。生祥董家狗。知恥王里盜。南人皆虛館。英譽日相噪。記昔逢君日。寒門鴈旭耀。早共公車役。晩討天人妙。相期歲寒後。不改松柏操。君年纔彊壯。疾病久纏繞。天胡不假年。一疾遽呼嘯。嗚呼尙何言。北堂親年卲。庭花子所栽。牀書子所樂。嗟君何處去。梁月空來照。牙絃無復續。吾誰論古調。</text>
<title>挽校理金公 煕國</title>,<text>先人有友許牙音。賤子夤緣夙所欽。出處得宜輿議重。淸要自至聖恩深。大夫居巷如寒士。小學傳家見本心。南極祥光今寂寞。此生何處奉規箴。</text>
<title>挽李晩求 種杞 三絶 壬寅</title>,<text>山茶采采似中庸。星斗高名世所宗。漠漠三韓風雨夜。東南無恙豎帲幪。記昔三言贈遠遊。天涯相送意悠悠。平生佩服餘師在。高景微忱老不休。中流砥柱忽傾頹。歎息斯文百六衰。興國談經如昨日。此生何處更稽疑。</text>
<title>挽都禮叔 漢基 四絶</title>,<text>學博詞宏見解高。賢材堪惜屈流曹。世間多少名家子。不識金根也自豪。今人求友不求心。論學還從口耳尋。晩得管軒深托契。仁山秋月照胷襟。七情包得四端微。太極初非雜氣機。雲谷陶山千載訣。與君相駁庶同歸。凄凄䪥露不曾留。白馬山靑水自流。皓首窮經嗟寡助。餘生何處更相求。</text>
<title>挽金守一 萬秀 三絶 癸卯</title>,<text>羲文大易心融妙。王趙法書口受精。通國但知秋奕善。謾將一技誦高名。有生虛死最關愁。滿肚經綸蹔不休。歎息今人無所業。雞鳴喔喔睡齁齁。鬢玉煌煌不救貧。入山耕鑿共吾隣。可憐晩節相期意。斥苦聲中萬事塵。</text>
