<title>秋夜雨中</title>,<text>秋風惟苦吟。擧世少知音。囱外三更雨。燈前萬古心。</text>
<title>食朱李</title>,<text>殷玉爛盈盤。一呑已可厭。猶忌整冠嫌。敢懷鑽核念。</text>
<title>謝人惠扇 二首</title>,<text>交情淡若水。團扇皎如霜。不夜月長滿。先秋風自凉。</text>
<title>謝人惠扇 二首 其二</title>,<text>君心眞似氷。相對洗煩鬱。更贈一襟秋。留爲雙手月。</text>
<title>北山雜題 九首</title>,<text>得道已無事。經律亦蹄筌。我不作羯麻。山僧且安眠。</text>
<title>北山雜題 九首 其二</title>,<text>巖僧不浪出。溪鳥自閑飛。日暮松間霧。霏霏欲濕衣。</text>
<title>北山雜題 九首 其三</title>,<text>夢廻山月落。吟久野雲歸。松石今朝是。風塵昨日非。</text>
<title>北山雜題 九首 其四</title>,<text>岸幘倚靑松。拂琴掃白石。落瀑截翠微。寒峯界危碧。</text>
<title>北山雜題 九首 其五</title>,<text>我是忘機人。萬物視一類。山鳥殊未知。見我忽驚起。</text>
<title>北山雜題 九首 其六</title>,<text>無心白駒詩。寓意黑蝶賦。讀罷南華篇。山中日亭午。</text>
<title>北山雜題 九首 其七</title>,<text>山花發幽谷。欲報山中春。何曾管開落。多是定中人。</text>
<title>北山雜題 九首 其八</title>,<text>客榻靜無聊。幽人睡正濃。未聞呼勝力。驚起一聲鍾。</text>
<title>北山雜題 九首 其九</title>,<text>山人不出山。古徑荒苔沒。應恐紅塵人。欺我綠蘿月。</text>
<title>明日雨中。與全履之，朴還古復賞。</title>,<text>柘染御衣裁。金裝佛面開。却愁容易落。雨裡亦看來。</text>
<title>又吟廻文</title>,<text>笛慢牽風遠。舟行舞浪輕。碧天秋夜靜。寒月浸湖淸。</text>
<title>是日迷路。夜到脇村宿。</title>,<text>入谷畏飢虎。穿林驚宿鵶。三家村裏宿。何必問誰家。</text>
<title>池上詠月</title>,<text>天上群仙會。姮娥欲點粧。却嫌塵掩鏡。下洗碧流長。</text>
<title>冠成又作</title>,<text>穩似鹿胎幘。輕於鵲尾冠。幸無劉氏溺。堪學貢公彈。</text>
<title>雪中。訪友人不遇。</title>,<text>雪色白於紙。擧鞭書姓字。莫敎風掃地。好待主人至。</text>
<title>偶吟二首有感 其二</title>,<text>環顧六尺身。一日能幾食。尙營口腹謀。未去雲山碧。</text>
<title>九月十三日。發長安。將赴全州。臨津江船上。與晉公度，韓韶相別。</title>,<text>遠浦烟拖素。澄灣日浴金。三人揮別淚。斗覺海波深。</text>
<title>邊山路上作</title>,<text>旌旗光客路。皷角壯人心。野鼠跳藏竹。山麕走覓林。</text>
<title>又次絶句 六首 韻</title>,<text>林踈空自籟。雨細不成泥。墮羽爭巢雀。申吭叫屋雞。</text>
<title>又次絶句 六首 韻 其二</title>,<text>飯殘飢鳥喜。釀熟亂蜂多。小圃雨初過。香蔬添幾何。</text>
<title>又次絶句 六首 韻 其三</title>,<text>掃地林餘影。鋤園樹礙根。人閑如老衲。地僻似山村。</text>
<title>又次絶句 六首 韻 其四</title>,<text>曲塢花迷眼。深園草沒腰。霞殘餘綺散。雨急亂珠跳。</text>
<title>又次絶句 六首 韻 其五</title>,<text>閃閃風搖幔。微微日瀉簷。菌肥黃耳大。柳弱翠腰纖。</text>
<title>又次絶句 六首 韻 其六</title>,<text>送老唯芳酒。驚人忽晚花。乞茶憑岳叟。看竹懶隣家。</text>
<title>夜霽</title>,<text>娟娟天上月。相見間何闊。好在佳人面。令我心大豁。</text>
<title>天壽寺鍾義師方丈夜宿 二首</title>,<text>煙寺侵昏訪。風箏徹夜聞。水甁餘冷滴。香篆有殘熏。</text>
<title>天壽寺鍾義師方丈夜宿 二首 其二</title>,<text>月出高山逈。風生小閣虛。我如棲寺鴿。來汚梵僧廬。</text>
<title>早春</title>,<text>草木含新態。江山換舊頑。唯餘氷谷子。尙作去年顔。</text>
<title>醉題山寺壁</title>,<text>醉後喜題詩。一字僅盈尺。此壁有何辜。今日逢我厄。</text>
<title>又贈安處士</title>,<text>眉毛垂似絲。眸子炯如水。我不見龐公。見君疑卽是。</text>
<title>重九日詠菊</title>,<text>三十九重陽。寒花一樣黃。奈何雙鬢髮。換綠半染霜。</text>
<title>山寺詠月</title>,<text>境絶未曾看。心高索句難。故人唯月在。入詠已娟娟。</text>
<title>山中寓居 三首</title>,<text>欲試高人心。入山先醉奰。了不見喜慍。始覺眞高士。</text>
<title>山中寓居 三首 其二</title>,<text>道人雖灰心。亦愛詞人詞。幽庭不掃葉。請我遍題詩。</text>
<title>山中寓居 三首 其三</title>,<text>高巓不敢上。不是憚躋攀。恐將山中眼。乍復望塵寰。</text>
<title>木筆花</title>,<text>天工狀何物。先遣筆花開。好與書帶草。詩家庭畔栽。</text>
<title>八月見梨花忽開 二首 其二</title>,<text>颯颯金風肅。娟娟玉蘂新。羲和天上醉。錯遣已歸春。</text>
<title>早春臨津江上。送文禪老還本寺。江上口占。</title>,<text>胡爲勸駐馬。不欲見乘舟。後會縱靑眼。此行應白頭。</text>
<title>文禪師見和。復次韻答之。</title>,<text>出城飛一錫。候水漾孤舟。行色不堪見。背江慵轉頭。</text>
<title>聞鸎 三首 其二</title>,<text>斂去藏何處。啼來必此時。有期還有信。爲鳥頗靈奇。</text>
<title>聞鸎 三首 其三</title>,<text>鵶鳶不堪見。朝夕尙𦐠𦐠。將爾色音好。其來何苦遲。</text>
<title>題李花</title>,<text>汝與我同姓。逢春發好花。吾顔不似舊。反得鬢霜多。</text>
<title>題石泉</title>,<text>每見東流疾。潛懷逝者悲。淸泉知我意。礙石故逶遲。</text>
<title>稻畦魚</title>,<text>播榖望西成。魚肥本非意。旣穫又烹鮮。人欲何窮已。</text>
<title>聞胡種入江東城自保。在省中作。</title>,<text>殘胡猒竄逃。已入圈牢內。得肉幸平分。萬人甘共膾。</text>
<title>得蟬鳴稻。早稻謂之蟬鳴稻。</title>,<text>不欲負其名。趁得蟬鳴日。眼見新糓升。今年事亦畢。</text>
<title>孔巖江上吟</title>,<text>浴殘飛倦鳥。耕罷臥閑牛。複嶺山中郭。奔舟水上郵。</text>
<title>孔巖江上吟 其二</title>,<text>爲憐江上景。潛到荻洲濱。太守不汝詰。漁翁好下緡。</text>
<title>朝闕</title>,<text>朝天猶恐後。劫劫着鞭催。雪路無人跡。方欣第一來。</text>
<title>路上詠雪 二首</title>,<text>學花工翦刻。解舞巧徘徊。我鬢曾渾白。何須更點來。</text>
<title>路上詠雪 二首 其二</title>,<text>初愛輕飄袂。都忘備障身。漸堆寒弁重。翻羨笠簦人。</text>
<title>冬日。與僧飮戲贈。</title>,<text>酒能防凜冽。俗諺號冬冠。禿首如吾子。能無備禦寒。</text>
<title>苦熱 二首</title>,<text>酷熱甚於火。千爐扇炭紅。馮夷應暍死。燒及水精宮。</text>
<title>苦熱 二首 其二</title>,<text>臥欲起奮飛。起思還裸臥。誰憐甑底蒸。移向水中坐。</text>
<title>仲冬雨</title>,<text>天地大閉凝。想無雨霎霎。應是雪飛來。冬温融作汁。</text>
<title>路上逢故人口號</title>,<text>握手長安路。潛然涕自零。鬢從何日白。眼是舊年靑。</text>
<title>種花</title>,<text>種花愁未發。花發又愁落。開落摠愁人。未識種花樂。</text>
<title>苦雨</title>,<text>雨絲紛似織。天罅裂難緘。堂上猶持繖。街中直掛帆。</text>
<title>放鼠</title>,<text>人盜天生物。爾盜人所盜。均爲口腹謀。何獨於汝討。</text>
<title>啄木鳥</title>,<text>木穴得蟲藪。剝剝如扣戶。將汝五色妍。胡爲好啄蠱。</text>
<title>客至忽歸有作</title>,<text>何所見而去。子豈鐘會倫。吾非鍛柳客。莫導臥龍人。</text>
<title>絶句 三首</title>,<text>松亭春日永。午枕夢初驚。欲雨礎先潤。有風琴自鳴。</text>
<title>絶句 三首 其二</title>,<text>樹影晚斜窓。花陰晴蒲地。素琴猶嬾彈。始覺眞無事。</text>
<title>絶句 三首 其三</title>,<text>春暖鳥聲軟。日斜人影長。小園山意足。隨意自倘佯。</text>
<title>櫻桃</title>,<text>天工獨何妙。調味適酸甘。徒爾圓如彈。難防衆鳥含。</text>
<title>炤鬢有感</title>,<text>霜雪之於物。秋冬各有司。如何人鬢上。一著不曾離。</text>
<title>閨情 二首</title>,<text>寂寂空閨裏。錦衾披向誰。相思深夜恨。唯有一燈知。</text>
<title>閨情 二首 其二</title>,<text>淚從心底出。豈與眼相謀。不似寒泉水。無情亦自流。</text>
<title>嘲睡僧</title>,<text>貪傾大道漿。正到睡鄕境。毛鞠莫輕投。安知不入定。</text>
<title>花羞以飮量之句。頗不悅。復以一絶贈之。</title>,<text>愛酒神仙事。西施醉亦多。欲添渠態度。欹倒似風花。</text>
<title>舟行 二首 其二</title>,<text>猬島非吾鄕。如何欲去忙。得投煙火地。猶勝海中央。</text>
<title>十一日又吟</title>,<text>哭久喉聲嗄。飢頻面色凋。孤囚今日態。村父尙能嘲。</text>
<title>壬辰四月。拜判祕書兼學士知制誥。戲作。</title>,<text>莫言官未峻。飛上木天高。其奈詞源涸。重提演誥毫。</text>
<title>友人見和。復次韻。</title>,<text>努力事文字。休嫌秩未高。須知三足鼎。鑄自一錐毫。</text>
<title>贈禪者</title>,<text>老衲從何至。喃喃話祖心。子言何暇聽。捫蝨失還尋。</text>
<title>聞早鶯</title>,<text>寂寂山花裏。黃鶯意外鳴。爲綠新邑聽。似勝舊京聲。</text>
<title>泉出四面有作</title>,<text>繞家皆湧溜。無處不笙蕭。仙樂中間坐。身疑在紫霄。</text>
<title>炤井戲作</title>,<text>不對靑銅久。吾顏莫記誰。偶來方炤井。似昔稍相知。</text>
<title>歸燕</title>,<text>社後辭巢燕。依依訴別哀。汗梁吾不厭。好去莫忘廻。</text>
<title>重陽後菊</title>,<text>霜寒偏艶艶。煙暝更煌煌。已負重陽飮。從渠此日黃。</text>
<title>聞同年韓樞密薨 丁酉年作 其二</title>,<text>四十八年間。唯留一箇老。韓亡吾得悲。我去誰當悼。</text>
<title>山夕詠井中月 二首 其二</title>,<text>山僧貪月色。幷汲一甁中。到寺方應覺。甁傾月亦空。</text>
<title>花酒</title>,<text>酒爲詩羽翼。花是妓精神。今日幸雙値。升天同貴人。</text>
<title>路傍二詠 大樹</title>,<text>好是炎天憩。宜於急雨遮。淸陰一傘許。爲貺亦云多。</text>
<title>路傍二詠 其二 寒泉</title>,<text>南北行人暍。寒漿當路傍。勺泉能潤國。再拜迺堪嘗。</text>
<title>戱題舊筆</title>,<text>此筆那輕擲。能成宰相身。今吾頭亦禿。兩老合相親。</text>
<title>十月二十日。寫乞退表有作。</title>,<text>已寫蠅頭字。欲拋蝸角名。一言蒙許可。衆噪弭譏評。</text>
<title>燈前炤影</title>,<text>骨相難如畫。頭形略似眞。蕭條一隻影。榮辱備甞身。</text>
<title>鏡中鑑影</title>,<text>未知形大瘦。猶不愧於人。今日鏡中炤。飜慚見自身。</text>
<title>冬至。以新曆寄李學士 百全。○二首</title>,<text>喜得明年曆。寄他同調人。期君巡甲子。亥首下如身。</text>
<title>冬至。以新曆寄李學士 百全。○二首 其二</title>,<text>君家非所欠。奉寄意如何。願效年年獻。看公壽漸多。</text>
<title>次韻李學士 百全 見和寄曆詩</title>,<text>依然十二辰。各管萬千人。愷悌神所勞。知公壽萃身。</text>
<title>次韻李學士 百全 見和寄曆詩 其二</title>,<text>我齒迫相逐。容毫間幾何。那將一日長。獨享百年多。</text>
<title>硯破</title>,<text>墮落已無及。提携未遽捐。詩膓如未破。何石不堪研。</text>
<title>屛兒孫獨坐</title>,<text>靜坐欲澄慮。兒孫鬧亂侵。須防投瓦礫。痛我水觀心。</text>
<title>二月向晚猶寒</title>,<text>鳥噤方歌舌。花防欲笑顔。今年四月閏。堪作孟春看。</text>
<title>草沒</title>,<text>春草無人種。何由滿地繁。僮奴愼勿剪。偏稱退翁門。</text>
<title>四月猶寒</title>,<text>三春猶未可。是豈大凄時。已矣農家事。地寒耕校遲。</text>
<title>孟夏向晚無鸎</title>,<text>四月垂垂晚。鸎聲何大遲。鳥靈知有閏。平枰往來期。</text>
<title>借馬 曾有馬死詩。</title>,<text>自我懸車後。于今鬻馬遲。出門猶有日。方愧借人騎。</text>
<title>聞鸎</title>,<text>猶有舊年聲。欣聞睍盶鳴。故姬何處在。雖到不如鸎。</text>
<title>五月二十三日。題家泉。二首○幷序 其二</title>,<text>大熱要寒水。泉流必此時。此時吾富貴。盈井又盈池。</text>
<title>六月三日。李侍郞 需，金壯元 莘鼎 來訪。和家泉詩。飮席次韻。 其二</title>,<text>四出難勝障。盈盈溢井時。初嫌歧作派。終喜捴歸池。</text>
<title>兩君見和。復次韻。 其二</title>,<text>主人詩作癖。未有暫停時。泉水莫誇漲。乾予一硯池。</text>
<title>又和 其二</title>,<text>哿矣李夫子。浴蘭專一時。龍頭今始見。應兆躍鱗池。</text>
<title>六月八日。旣得加耶琴始彈。二首○示朴學士。</title>,<text>舊譜渾忘了。新聲未自翻。唯餘數三弄。隨指仙將言。</text>
<title>又次韻朴學士揔和前詩。親訪見贈。上同</title>,<text>檀拍常交碎。花裙慣對翻。一來殘叟手。似作怨咨言。</text>
<title>又有黃蛾墮觴輒死</title>,<text>不獨赴燈火。還工墮酒盃。秋花多小發。香豈不如醅。</text>
<title>又一絶重乞寫眞</title>,<text>吾詩與君竹。無處不同到。幸若寫其眞。身還蒙手造。</text>
<title>觀菁蟲上壁化蝶</title>,<text>暮見靑身幺。朝看粉翅新。俄將食葉觜。換作唼花唇。</text>
<title>捫蝨 三首</title>,<text>宰相長捫蝨。非予更有誰。豈無爐火熾。投地是吾慈。</text>
<title>捫蝨 三首 其二</title>,<text>雖云貧宰相。未至如回臭。何必苦尋來。捫搜煩我手。</text>
<title>捫蝨 三首 其三</title>,<text>汝亦無所寄。以我爲之家。無我則無是。益發有身嗟。</text>
<title>又捫蚤</title>,<text>跳捷莫如汝。須臾去莫尋。心能知癢處。遙遣手猶擒。</text>
<title>加耶琴因風自鳴 二首</title>,<text>置琴當北戶。風過自然鳴。暗向靜中聽。依俙天樂聲。</text>
<title>加耶琴因風自鳴 二首 其二</title>,<text>我今忘舊譜。只解弄絃鳴。風亦欺吾妄。虛彈曲外聲。</text>
<title>窮宰相</title>,<text>午天然大火。難覓宰臣窮。曷不來相見。於斯有一翁。</text>
<title>九月十三日泛菊</title>,<text>菊殘重九後。還有一枝開。似欲媒吾飮。何妨更泛盃。</text>
<title>詠廁中雞冠花 一首</title>,<text>雞已化花艶。云何在溷中。尙餘前習在。有意啄蛆蟲。</text>
<title>又戱作</title>,<text>火能殘妓家。胡柰無人救。我若少年時。焦頭猶不懼。</text>
<title>看經終又作</title>,<text>讀終經一卷。猶似出齋時。始可親觴酌。斟來何大遲。</text>
<title>卧誦楞嚴有作 二首</title>,<text>儒書老可罷。遷就首楞王。夜卧猶能誦。衾中亦道場。</text>
<title>卧誦楞嚴有作 二首 其二</title>,<text>恃我夜能誦。從敎白日頹。蓮花森在眼。千葉夢中開。</text>
<title>又和二絶 此其時重乞寫眞詩也。</title>,<text>方君訪吾時。吾亦隨君到。猶有故吾存。何必別相造。</text>
<title>又和二絶 此其時重乞寫眞詩也。 其二</title>,<text>一生榮辱身。半幅綃中到。知君豈天工。此像逡巡造。</text>
<title>二月。聞虜兵猶在南。</title>,<text>侯鴈已歸北。胡雛猶在南。南方朱鳥窟。何不啄皆殲。</text>
<title>偶見氣毬。因寓意。</title>,<text>氣滿成毬體。因人一蹴沖。氣收人亦散。縮作一囊空。</text>
<title>氣毬答</title>,<text>造物亦蹴汝。飛到九天涯。如今蹴已罷。氣縮是其時。</text>
<title>泉涸酒乾</title>,<text>舍南泉已枯。舍裏酒復斷。我殆喉生煙。從玆成渴漢。</text>
<title>無酒</title>,<text>家貧醞酒遲。肺渴含盃少。丞相何處逃。隈窓但默笑。</text>
<title>泉枯</title>,<text>酒涸眉方皺。泉枯口渴澆。此身垂欲溘。於物諱聞焦。</text>
<title>飮白酒 前後各韻</title>,<text>吾知斟白酒。偏稱泛黃花。爲問花開不。靑苞未拆葩。</text>
<title>唇焦 韻上同</title>,<text>唇因病燥耳。痟渴非犬子。當與龐居士。吸盡西江水。</text>
<title>痒和子 其二</title>,<text>昔人工刻木。宛作指尖尖。後世移牙物。功夫倍玉纖。</text>
<title>小栗樹結子</title>,<text>矮樹才過頂。胡爲殼已成。定非將子植。大本斫傍生。</text>
<title>十日菊</title>,<text>已負重陽宴。那思十日花。將渠嬌艶艶。應悔發吾家。</text>
<title>梳髮</title>,<text>忌見星星鬢。曾嫌照鏡明。盈梳不啻影。手拾雪霜莖。</text>
<title>食天子梨</title>,<text>天子以爲名。人臣恐未當。想承君所賜。跪食亦何妨。</text>
<title>後五日又飮</title>,<text>綠蟻泛淸香。堪傾數四觴。吾身餘猛在。亦服麴神強。</text>
<title>謝河郞中 千旦 送紅柹</title>,<text>飽霜方爛熟。濡及病中唇。膚砑紅綃色。膏流赤玉津。</text>
<title>謝河郞中 千旦 送紅柹 其二</title>,<text>始擬火龍卵。遲疑未遽呑。嘗焉百拜謝。大矣一飡恩。</text>
<title>謝河郞中 千旦 送紅柹 其三</title>,<text>邈寄江船到。赬飢爛尙全。略存凝濕氣。着手不跳圓。</text>
<title>次韻河郞中見和。各成二首答之。</title>,<text>詩以洗塵眼。菓能滋燥唇。通仙應有分。丹露吸津津。</text>
<title>次韻河郞中見和。各成二首答之。 其二</title>,<text>畏脫難傾手。留甘惜度唇。嚼終偏自喜。添得玉池津。</text>
<title>次韻河郞中見和。各成二首答之。 其三</title>,<text>試知親友重。豁與老夫呑。一箇那輕散。分甘尙感恩。</text>
<title>次韻河郞中見和。各成二首答之。 其四</title>,<text>衆傾稱曰德。餉集得頻呑。子以人心致。予慙與沐恩。</text>
<title>次韻河郞中見和。各成二首答之。 其五</title>,<text>高樹非難撼。深嫌落破全。想應猿掛臂。隨摘袖藏圓。</text>
<title>次韻河郞中見和。各成二首答之。 其六</title>,<text>新從霜樹摘。深襲始能全。展轉聊來我。宜哉物也圓。</text>
<title>次韻河郞中見和復惠之。末二章。言再惠之意。</title>,<text>早知偏補氣。不但止沾唇。始以渾全喜。臨飱任潰津。</text>
<title>次韻河郞中見和復惠之。末二章。言再惠之意。 其二</title>,<text>賴是全甘液。宜於病客唇。若如梨橘味。何甚嗜酸津。</text>
<title>次韻河郞中見和復惠之。末二章。言再惠之意。 其三</title>,<text>朋友之投餉。義同相吐呑。非如偏僻子。鑽貴樹私恩。</text>
<title>次韻河郞中見和復惠之。末二章。言再惠之意。 其四</title>,<text>枉成閑老有。大減貴人呑。本自心中貺。何言掬上恩。</text>
<title>次韻河郞中見和復惠之。末二章。言再惠之意。 其五</title>,<text>以我饞貪最。虧君貯蓄全。再投應必念。剖盡不重圓。</text>
<title>次韻河郞中見和復惠之。末二章。言再惠之意。 其六</title>,<text>靑葉重重裹。嫌他直露全。是應新得品。何謂舊儲圓。</text>
<title>次韻河郞中復見和。親訪贈之。</title>,<text>始嘗猶掛意。申喫已周唇。撫愛彤霞片。含疑絳雪津。</text>
<title>次韻河郞中復見和。親訪贈之。 其二</title>,<text>甘宜稚子舌。丹稱美人唇。可笑霜鬚老。包羞好嚥津。</text>
<title>次韻河郞中復見和。親訪贈之。 其三</title>,<text>先供中饋費。當與上賓呑。而我何爲者。猶參再及恩。</text>
<title>次韻河郞中復見和。親訪贈之。 其四</title>,<text>賴君時見惠。隨分得頻呑。未暇謝夫子。何知亦聖恩。</text>
<title>次韻河郞中復見和。親訪贈之。 其五</title>,<text>遠信來千里。難乎一樣全。尙侔鷄子大。還倣氣毬圓。</text>
<title>次韻河郞中復見和。親訪贈之。 其六</title>,<text>頃刻欲留賞。圖看箇箇全。舌先頻大嚼。忍作手中圓。</text>
<title>冬至曆若干。各寄朴，丁兩學士。書後書一絶。兼簡兩公。</title>,<text>豈意七旬餘。還看九幅書。奉君因自約。歲備手中舒。</text>
<title>復次韻丁學士見和寄曆詩 二首</title>,<text>友執更誰餘。於何寄此書。餉君呈壽兆。面澤逐春舒。</text>
<title>次韻朴學士見和寄曆詩親訪贈之</title>,<text>羞將老朽餘。強獻紀年書。君在長春境。陰陽任慘舒。</text>
<title>次韻朴學士見和寄曆詩親訪贈之 其二</title>,<text>趁日手談餘。時觀曆象書。正朝立雨水。陽道進而舒。</text>
<title>次韻朴學士見和寄曆詩親訪贈之 其三</title>,<text>平時奉緖餘。餘事及琴書。病裡逢淸裁。中懷恨未舒。</text>
<title>次韻朴學士見和寄曆詩親訪贈之 其四</title>,<text>眉頭喜氣餘。咄咄不須書。天道否還泰。人材屈必舒。</text>
<title>次韻丁學士復和寄曆詩 二首</title>,<text>時省聽朝餘。斯稱御覽書。頒宣及遺老。與子又同舒。</text>
<title>次韻丁學士復和寄曆詩 二首 其二</title>,<text>猶及退殘餘。年年獨是書。但嗟春氣力。未遣老尫舒。</text>
<title>次韻朴學士復和寄曆詩親訪見贈 三首</title>,<text>成歲閏之餘。因名曆日書。君將看六氣。俱入眼前舒。</text>
<title>次韻朴學士復和寄曆詩親訪見贈 三首 其二</title>,<text>飛藻一吟餘。華藤舞筆書。凌雲飄欲擧。軒豁我心舒。</text>
<title>次韻朴學士復和寄曆詩親訪見贈 三首 其三</title>,<text>無遺一喘餘。來贈九行書。莫詰龜終縮。殘身病莫舒。</text>
<title>士人女乞食。旣以與之。因作詩。</title>,<text>汝雖生士族。丐食已云卑。更亦懷何恥。猶蒙破羃䍦。</text>
<title>塗窓</title>,<text>今日塗窓罅。能防烈烈風。神哉一幅紙。大有禦寒功。</text>
<title>病後飮</title>,<text>病後猶能飮。今朝酌一觴。人來莫問疾。先問酒存亡。</text>
<title>外孫孩兒學拜</title>,<text>小兒方三歲。向我能再拜。老夫亦人情。未免心中愛。</text>
<title>詩成後有作</title>,<text>耄矣白頭人。著詩何大迫。如予詩癖中。能忍不之作。</text>
<title>又吟</title>,<text>目暗不成藁。宜停此鄙作。尙吟脣吻間。是謂眞詩癖。</text>
<title>又五言 雙韻</title>,<text>愆伏所自化。名之曰雨氷。打猛如擲丸。隈屋避奔騰。</text>
<title>舊燕來 二首 其二</title>,<text>頷似班將軍。腰如趙皇后。多渠尙微禽。眷眷不忘舊。</text>
<title>紙有餘地。又作一絶。破南行之意。</title>,<text>月食行當復。絃絶亦可續。南遊幸勿卜。竟莫逃天祿。</text>
<title>和絶句 雙韻</title>,<text>知君必牽復。理豈無斷續。今年喜可卜。天人申立祿。</text>
<title>和絶句</title>,<text>連山得卦復。知子官必續。爾後更何卜。駸駸逼寵祿。</text>
<title>卯飮 雙韻</title>,<text>今朝飮狂藥。頗覺頭岑岑。尙難剛斷却。輒欲緩愁心。</text>
<title>蟻拖蟲 雙韻</title>,<text>微莫微於蟻。曳蟲猶善走。大小若等視。如虎制百獸。</text>
<title>四月二十四日大雨 二首○皆雙韻 其二</title>,<text>屋漏未遑視。先欣萬物蘇。膏流深入地。無復慮禾枯。</text>
<title>夏日卽事 三首</title>,<text>風曉床琴咽。陰天柱礎津。讀殘書在手。睡氣着來頻。</text>
<title>夏日卽事 三首 其二</title>,<text>靜戶風開幔。明窓日弄塵。屋烏啼孝子。簷燕舞佳人。</text>
<title>夏日卽事 三首 其三</title>,<text>有意尋園去。無端入閣來。脚危心莫制。難遣上層臺。</text>
<title>聞郡守數人以贓被罪 二首</title>,<text>歲儉民幾死。唯殘骨與皮。身中餘幾肉。屠割欲無遺。</text>
<title>聞郡守數人以贓被罪 二首 其二</title>,<text>君看飮河鼴。不過滿其腹。問汝將幾口。貪喫蒼生肉。</text>
<title>六月無霖。唯兩夜小雨。</title>,<text>六月無霖潦。天機固莫知。雨師飜自愧。夜翳密飄絲。</text>
<title>奉使入金</title>,<text>西華已蕭索。北寨尙昏蒙。坐待文明旦。天東日欲紅。</text>
<title>憶金翰林 克己</title>,<text>吟詩臥窮巷。爽氣透屋浮。上天結爲露。散作人間秋。</text>
<title>訪正陽禪老。偶書壁上。</title>,<text>逐世忘榮辱。參禪慠主賓。釋儒今合道。休忌洞庭春。</text>
<title>𪚥𪚥𪚥𪚥</title>,<text>𪚥𪚥𪚥𪚥𪚥。𪚥𪚥𪚥事空。講軒花片片。知雨幾飄紅。</text>
<title>次韻王郞中贈柳枝 二首</title>,<text>濯濯王公態。滿庭金線垂。忍借佳人手。臨行折一枝。</text>
<title>次韻王郞中贈柳枝 二首 其二</title>,<text>聞噵關東路。高低十里垂。此時歌一曲。髣髴唱楊枝。</text>
